we	be
weteranlary	beteronloru
wezipelerden	be8ipelerden
wezipesiniň	be8ipe8iniN
ygtyýarlyklaryň	uXtuyorluqloruN
ygtyýarlylygy	uXtuyorluluXu
ygtyýaryndadyr	uXtuyorunnodur
ykbal	uqbol
yklymda	uqlumno
ykrarnama	uqrornomo
ylalaşmadyk	uloloSmoduq
ylalaşykly	uloloSuqlu
ylgamak	ulXomoq
ylgaw	ulXob
yurt	uurt
yzda	u88o
zatlaryny	8otlorunu
zehinini	8ehinini
zenanlara	8enonloro
zenany	8enonu
zolagyň	8oloXuN
zyýanynyň	8uyonunuN
Ätiýaçlandyrýan	EtiyoClonnuryon
Çagalary	CoXoloru
Çempionatyň	CempionotuN
Önümçiligiň	EnemCeleXiN
Özbegistandan	E8bEXe88onnon
Ýüze	ye8E
äriniň	EriniN
çagyrýan	CoXuryon
çal	Col
çalyşýan	ColuSyon
çalşygy	ColSuXu
çalşygyň	ColSuXuN
çapan	Copon
çar	Cor
çempion	Cempion
çuňlukda	CuNluqdo
çykandan	Cuqonnon
çäge	CEXe
çözgütlerine	CE8XetlErenE
çözülende	CE8elEnnE
önüminiň	EnemeneN
ösdürmekden	E88ermEkden
öwrenýän	EbrEnyEn
özgertmäge	E8XErtmEge
özleşdirýärler	E8lESderyErler
özümiň	E8emeN
üçinji	eCenji
üýtgän	eytXEn
ýadro	yodro
ýag	yoX
ýalana	yolono
ýaran	yoron
ýatyrýar	yoturyor
ýazgyda	yo8Xudo
ýazmak	yo8moq
ýaňadan	yoNodon
ýaňlanýan	yoNlonyon
ýaşamagyna	yoSomoXuno
ýaşaýjylaryny	yoSoyjulorunu
ýaşlarymyz	yoSlorumu8
ýedisi	yedi8i
ýerlemegiň	yerlemeXiN
ýetirijileriniň	yetirijileriniN
ýetirilendigini	yetirilenniXini
ýetişýän	yetiSyEn
ýeňijiler	yeNijiler
ýollarda	yollordo
ýygymyň	yuXumuN
ýyladyşhanalaryň	yuloduSxonoloruN
ýyrtyjy	yurtuju
ýörgünli	yErXenle
ýüzüş	ye8eS
Şasenem	So8enem
Şeýh	Seyh
şahamçasynyň	SoxomCo8unuN
şahslarynyň	Sox8lorunuN
şaýatlaryň	SoyotloruN
şeýh	Seyh
şirin	Sirin
şäherjigiň	SEherjiXiN
Adwokatyň	odboqotuN
Agzalan	oX8olon
Angela	onXelo
Arkalaşygyna	orqoloSuXuno
Azady	o8odu
Aziz	o8i8
Bagtly	boXtlu
Bahar	boxor
Baku	boqu
Balkanyň	bolqonuN
Barlag	borloX
Baýramow	boyromob
Behişdi	behiSdi
Bilermenleriň	bilermenleriN
Bitaraplygyna	bitoropluXuno
Buýruga	buyruXo
Bölümde	bElemnE
Daşkent	doSkent
Döwrüň	dEbreN
Emomali	emomoli
Ermenistanyň	ermeni88onuN
Eýeçilik	eyeCilik
Fransiýa	fron8iyo
Galan	golon
Gazanylan	go8onulon
Gazyp	go8up
Görnetin	gErnEten
Göroglynyň	gEroXlunuN
Gözel	gE8El
Güýçlerimiziň	geyClerimi8iN
Halkbank	xolkbonk
Hallyýew	xolluyEb
Hoşniýetli	xoSniyetli
Hyrat	xurot
Igor	iXor
Jaýlaryň	joyloruN
Kanunlaryň	qonunloruN
Kanunynda	qonununno
Kassa	qo88o
Kawkaz	qobqo8
Kazylar	qo8ulor
Kitaphananyň	kitopxononuN
Kompaniýanyň	qomponiyonuN
Kreditor	kreditor
Laçyn	loCun
Liderleriniň	liderleriniN
Magdanly	moXdonlu
Munda	munno
Owganystany	obXonu88onu
Pakistandan	poqi88onnon
Paýtagtyň	poytoXtuN
Peýdalanyjy	peydolonuju
Repetek	repetek
Reýestre	reye88re
Sebitleýin	8ebitleyin
Serkerdebaşymyz	8erkerdeboSumu8
Synag	8unoX
Tebigatyň	tebiXotuN
Tejenow	tejenob
Tertibiň	tertibiN
Tohumlyk	toxumluq
Tokio	toqio
Türgenlerimiz	terXEnlerimi8
Türgenleriň	terXEnleriN
Türkmennebitgazgurluşyk	terkmEnnEbitXo8XurluSuq
Türkmenstanyň	terkmEn88onuN
Wedomstwoara	bedom88booro
Ylham	ulxom
Ylmyň	ulmuN
adalatlylyk	odolotluluq
adamlyk	odomluq
agaçlary	oXoCloru
agzybirliginiň	oX8ubirliXiniN
akademiýasynda	oqodemiyo8unno
akrobatika	oqrobotiko
aktiwleriniň	oqtibleriniN
akymy	oqumu
akymynyň	oqumunuN
aldyk	olluq
alman	olmon
alyjysy	oluju8u
alysdaky	olu8doqu
alşyň	olSuN
ammary	ommoru
arassalaýyş	oro88oloyuS
arkanlygyna	orqonluXuno
artandygyny	ortonnuXunu
artdyryldy	ortdurullu
artdyrýan	ortduryon
arçasy	orCo8u
azaldy	o8ollu
açylmagyny	oCulmoXunu
aýap	oyop
aýlap	oylop
babyna	bobuno
baglanşykly	boXlonSuqlu
baglaryny	boXlorunu
barlaghanalar	borloXxonolor
barlar	borlor
baýramçylyklaryň	boyromCuluqloruN
başlangyçlaryna	boSlonXuCloruno
başyndaky	boSundoqu
bedewlerimiziň	bedEblErimi8iN
bekre	bekre
belarusly	beloru8lu
belentligine	belentliXine
berilýändigine	berilyEnniXine
bermedik	bermedik
bermese	berme8e
berýändiginiň	beryEnniXiniN
beýanyna	beyonuno
bilmäge	bilmEge
bolardy	bolordu
bolmagyň	bolmoXuN
boluň	boluN
borçlanýar	borClonyor
bozmalary	bo8moloru
bozulmasy	bo8ulmo8u
boşadylmagy	boSodulmoXu
boşan	boSon
buýsanjymyz	buy8onjumu8
bäşisine	bESi8ine
bölekler	bElEklEr
büremek	berEmEk
býulletende	byulletenne
dabarasyndan	doboro8unnon
dahylsyzlar	doxul8u8lor
dartgynly	dortXunlu
daşalanda	doSolonno
daşy	doSu
dellaly	dellolu
depgin	depXin
dergähinde	derXEhinne
dikeltmegiň	dikeltmeXiN
diýlende	diylenne
diňlemek	diNlemek
dolunmaga	dolunmoXo
dolunmagyny	dolunmoXunu
duralga	durolXo
durýandygyna	duryonnuXuno
döwletdir	dEblEtder
düzümli	de8emle
düşdüler	deSdelEr
düşnükli	deSnekle
düşünişmegi	deSeneSmEXe
edilýändigi	edilyEnniXi
edilýäne	edilyEne
edinip	edinip
edişlik	ediSlik
edýänleriň	edyEnleriN
egriji	eXriji
ekerançylary	ekeronCuloru
eltmek	eltmek
emissiýasy	emi88iyo8u
enjamlaşdyrylandyr	enjomloSdurulonnur
enjamlaşdyrylmagy	enjomloSdurulmoXu
ertekilerdäki	ertekilerdEki
ertesi	erte8i
ertirki	ertirki
esaslanandyr	e8o8lononnur
eserlerine	e8erlerine
etdirip	etdirip
etegine	eteXine
eteginiň	eteXiniN
etmeklige	etmekliXe
etmeklik	etmeklik
etmese	etme8e
ezber	e8ber
eýelär	eyelEr
eýerilip	eyerilip
eýeçilikdäki	eyeCilikdEki
eýranly	eyronlu
eýýämden	eyyEmnen
fitnes	fitne8
formada	formodo
galyndylaryny	golunnulorunu
galyndysyz	golunnu8u8
gaplamak	goplomoq
gaplar	goplor
garalanda	gorolonno
garaýan	goroyon
garaşýarlar	goroSyorlor
garaşýarys	goroSyoru8
garşylamaga	gorSulomoXo
gatnaşandygy	gotnoSonnuXu
gawun	gobun
gazaply	go8oplu
gazlaryň	go8loruN
gaznalarynyň	go8nolorunuN
geldiňiz	gelliNi8
geljegiň	geljeXiN
gelmeginde	gelmeXinne
gepleşiklerde	gepleSiklerde
geçeliň	geCeliN
geçendigi	geCenniXi
geçirilmeli	geCirilmeli
geçirmezden	geCirme88en
geçişi	geCiSi
gije	gije
girdejilerini	girdejilerini
girewidir	girEbidir
girizilendigi	giri8ilenniXi
goldanyldy	gollonullu
goldanylmagymy	gollonulmoXumu
gollanmalar	gollonmolor
goraghanasyna	goroXxono8uno
goraýşy	goroySu
gowulandyrylan	gobulonnurulon
gowuşmagy	gobuSmoXu
goýumy	goyumu
goýýarys	goyyoru8
goşgularyny	goSXulorunu
goşular	goSulor
goşulmagyna	goSulmoXuno
guralandygy	gurolonnuXu
guramagynda	guromoXunno
gurmaly	gurmolu
gurulmagyny	gurulmoXunu
gutly	gutlu
guwandyrýar	gubonnuryor
gymmatlygyň	gummotluXuN
gyrymsy	gurum8u
gyzlyga	gu8luXo
gyşyna	guSuno
görkezmeleriniň	gErkE8mEleriniN
görkezmeli	gErkE8mEli
gözegçilige	gE8EXCeleXe
güler	gelEr
halylaryň	xoluloruN
hasaplananda	xo8oplononno
hasaplar	xo8oplor
hasaplaşygy	xo8oploSuXu
hatary	xotoru
hemaýat	hemoyot
hlorellany	hlorellonu
hormatyny	xormotunu
hoşallyklaryny	xoSolluqlorunu
häkimden	hEkimnen
häsiýetde	hE8iyetde
hödürlediler	hEderlEdelEr
hödürlemäge	hEderlEmEge
hötde	hEtdE
iberijiniň	iberijiniN
institutda	in88itutdo
itleriň	itleriN
içgiler	iCXiler
iýmitlenmegi	iymitlenmeXi
işeňňir	iSeNNir
işiňizde	iSiNi88e
işlerimiz	iSlerimi8
jaňlar	joNlor
jerimeleriniň	jerimeleriniN
joşguny	joSXunu
kalby	qolbu
kalbyny	qolbunu
kanagatlandyrylýar	qonoXotlonnurulyor
karzyň	qor8uN
kazylarynyň	qo8ulorunuN
kepillendirilen	kepillennirilen
kepilligi	kepilliXi
kerwen	kerben
kesdi	ke88i
keçe	keCe
kitaphanasy	kitopxono8u
kodeksinde	qodek8inne
komandalary	qomonnoloru
komitetinde	qomitetinne
komitetine	qomitetine
kompozisiýasy	qompo8i8iyo8u
kompozitorlarynyň	qompo8itorlorunuN
kottejleriň	qottejleriN
kömekçileri	kEmEkCeleri
köpsanlysy	kEp8onlu8u
liga	liXo
lybasyny	lubo8unu
maşyngurluşyk	moSunXurluSuq
mehaniki	mehoniki
melhem	melhem
merkezler	merke8ler
miraslyk	miro8luq
muşdaklaryny	muSdoqlorunu
myhmanlaryna	muxmonloruno
mysalynda	mu8olunno
mätäçlik	mEtEClik
möwsümde	mEb8emnE
namaz	nomo8
neşiriniň	neSiriniN
nusgalar	nu8Xolor
näsag	nE8oX
obýekt	obyekt
obýektini	obyektini
okadylar	oqodulor
okamagy	oqomoXu
okruglarynyň	oqruXlorunuN
otagyň	otoXuN
oturdaşlary	oturdoSloru
owazly	obo8lu
oýnady	oynodu
oýunçylaryň	oyunCuloruN
pasportyny	po8portunu
paýtagtly	poytoXtlu
peýdalanmakda	peydolonmoqdo
prokurorlar	proqurorlor
pudaklara	pudoqloro
pugtalandyrylmagy	puXtolonnurulmoXu
rowaçlygynyň	roboCluXunuN
ruhubelentlikde	ruxubelentlikde
saklaýarlar	8oqloyorlor
salgylanma	8olXulonmo
salynmagy	8olunmoXu
samboçylary	8ommoCuloru
sanawda	8onobdo
saparlaryň	8oporloruN
sazlamak	8o8lomoq
sazlaşygyň	8o8loSuXuN
sazçylyk	8o8Culuq
saýlanylyp	8oylonulup
saýlaýar	8oyloyor
sementiň	8ementiN
senesiniň	8ene8iniN
serenjam	8erenjom
serişdesinde	8eriSde8inne
skripkaçylar	8kripqoCulor
sorap	8orop
sorujy	8oruju
sowallar	8obollor
sungatlarynyň	8unXotlorunuN
sylaga	8uloXo
synçylaryň	8unCuloruN
sütünleri	8etenlEre
taekwondonyň	toekbonnonuN
talapnamasy	tolopnomo8u
tanyşmagyny	tonuSmoXunu
tapmaga	topmoXo
tapmaçalary	topmoColoru
tassyklaýarlar	to88uqloyorlor
teklibiň	teklibiN
teksti	tek88i
telewideniýäniň	telEbideniyEniN
teswirnamasynyň	te8birnomo8unuN
togtadylyp	toXtodulup
topologiýasyna	topologiyo8uno
tory	toru
toýunyň	toyunuN
tumary	tumoru
turbinaly	turbinolu
tussaglykdan	tu88oXluqdon
tutma	tutmo
täzelenip	tE8elenip
töledilip	tElEdelip
türgene	terXEnE
ukyplydygyny	uqupluduXunu
ulanylandan	ulonulonnon
uny	unu
urup	urup
ussatlarymyz	u88otlorumu8
ussatlaryna	u88otloruno
utgaşdyrmagyň	utXoSdurmoXuN
utmagy	utmoXu
uçuşlary	uCuSloru
wekilhana	bekilxono
wekilhanasy	bekilxono8u
wepalylygy	bepoluluXu
windsörfing	binn8ErfenX
wiza	bi8o
ygtyýary	uXtuyoru
ylalaşygyna	uloloSuXuno
ylgamakda	ulXomoqdo
ynanmak	unonmoq
yzlary	u8loru
zakazçy	8oqo8Cu
zaýawkanyň	8oyobqonuN
zenanlarymyzyň	8enonlorumu8uN
zolaklarda	8oloqlordo
Ätiýaçlandyryjynyň	EtiyoClonnurujunuN
Ätiýaçlandyryşyň	EtiyoClonnuruSuN
Çyzykly	Cu8uqlu
Çäklendirilen	CEklennirilen
Özboluşly	E8boluSlu
Özleriniň	E8lEreneN
Ýarymaýyň	yorumoyuN
Ýaryş	yoruS
Ýazmaça	yo8moCo
Ýelena	yeleno
Ýolagçylaryň	yoloXCuloruN
Ýurtlaryň	yurtloruN
äheňinde	EheNinne
ätiýaçlandyrma	EtiyoClonnurmo
çagyrýarys	CoXuryoru8
çakyr	Coqur
çalşylýan	ColSulyon
çalşyrylyp	ColSurulup
çapuw	Copub
çekilmeginiň	CekilmeXiniN
çyglylyk	CuXluluq
çykarylandygy	CuqorulonnuXu
çykarylmagyna	CuqorulmoXuno
çykarylyp	Cuqorulup
çykarylyşynyň	CuqoruluSunuN
çyksa	Cuq8o
çyn	Cun
çäklendirilmeýär	CEklennirilmeyEr
çärede	CErede
örtügi	Ertege
öwrüljek	EbreljEk
özleşdirip	E8lESderep
özleşdirmekde	E8lESdermekde
öýlerde	Eylerde
öňürti	ENerte
ülňülerini	elNelEreni
ünsli	en8le
ýaramsyz	yorom8u8
ýatyr	yotur
ýatyrylmaga	yoturulmoXo
ýaýbaňlanýar	yoyboNlonyor
ýaýratmaga	yoyrotmoXo
ýaşalmaýan	yoSolmoyon
ýaşamagynyň	yoSomoXunuN
ýaşar	yoSor
ýaşaýşy	yoSoySu
ýaşululara	yoSululoro
ýerlenilýän	yerlenilyEn
ýetirilipdir	yetirilipdir
ýetirjekdigine	yetirjekdiXine
ýetýän	yetyEn
ýiten	yiten
ýitirýär	yitiryEr
ýoklugy	yoqluXu
ýuwujy	yubuju
ýyldakydan	yulloqudon
ýyndam	yunnom
ýörediji	yErEdeji
ýöretmäge	yErEtmEge
ýüzi	ye8e
ýüztutmasy	ye8tutmo8u
Şweýsariýadan	Sbey8oriyodon
Şägirtlik	SEXirtlik
Şäherleriň	SEherleriN
Şükür	Seker
şa	So
şadessanynyň	Sode88onunuN
şertini	Sertini
şäherdir	SEherdir
şübhesizdir	SebhE8e88ir
Žurnal	Zurnol
žurnalistleriň	Zurnoli88leriN
žurnallaryň	ZurnolloruN
Abdulla	obdullo
Annaýewiň	onnoyEbiN
Anyk	onuq
Arassa	oro88o
Artyk	ortuq
Azerbaýjandan	o8erboyjonnon
Aýgytlaýjy	oyXutloyju
Babamyradowa	bobomurodobo
Babaýew	boboyEb
Baky	boqu
Bazar	bo8or
Bedew	bedEb
Bilşimiz	bilSimi8
Bina	bino
Bölek	bElEk
Dahyllylar	doxullulor
Deputat	deputot
Derýanyň	deryonuN
Desgalaryň	de8XoloruN
Duşenbe	duSenme
Döwletliler	dEblEtlelEr
Edil	edil
Fransiýada	fron8iyodo
Garpamyk	gorpomuq
Gatnaşyja	gotnoSujo
Gatnaşyjynyň	gotnoSujunuN
Gatnaşyklaryň	gotnoSuqloruN
Gender	genner
Geodeziýa	geode8iyo
Giorgiý	giorXiy
Gumanitar	gumonitor
Gutlagy	gutloXu
Gyzlaryň	gu8loruN
Halaç	xoloC
Haç	xoC
Hyzmatlar	xu8motlor
Ilçihanasy	ilCihono8u
Işsizlik	iS8i8lik
Joşgunly	joSXunlu
Kansleri	qon8leri
Kitapda	kitopdo
Kärhanany	kErxononu
Köýten	kEyten
Köşi	kESe
Londonda	lonnonno
Maksatnamada	moq8otnomodo
Maksatnamanyň	moq8otnomonuN
Maldarçylyk	mollorCuluq
Maslahatynyň	mo8loxotunuN
Mejlisine	mejli8ine
Merkezleşdirilen	merke8leSdirilen
Meýdançada	meydonCodo
Meýletin	meyletin
Minnihanow	minnihonob
Miraslyk	miro8luq
Mugallymçylyk	muXollumCuluq
Myrat	murot
Nejmeddin	nejmeddin
Neşirýat	neSiryot
Okuwyň	oqubuN
Olimp	olimp
Pariž	poriZ
Paryzdepäniň	poru88epEniN
Pikir	pikir
Psihiatrik	p8ihiotrik
Puluň	puluN
Puşmana	puSmono
Pyragy	puroXu
Raýdaş	roydoS
Sahnada	8oxnodo
Salgydy	8olXudu
Seljuk	8eljuq
Seul	8eul
Söweşjeň	8EbESSEN
Talyplaryň	toluploruN
Taslamany	to8lomonu
Tomaşaçylaryň	tomoSoCuloruN
Toplumlaýyn	toplumloyun
Tälim	tElim
Tölegli	tElEXle
Türkmenleriň	terkmEnlEriN
Welaýatda	beloyotdo
Ykdysadyýetimiziň	uqdu8oduyetimi8iN
abadanlaşdyryş	obodonloSduruS
absolýut	ob8olyut
adamlaryna	odomloruno
agajynyň	oXojunuN
agzaçar	oX8oCor
alamatydyr	olomotudur
algydaryň	olXudoruN
altynsow	oltun8ob
alynyp	olunup
alyşmalary	oluSmoloru
amatsyz	omo88u8
arakesme	oroqe8me
aralygyna	oroluXuno
arkalaşykly	orqoloSuqlu
arzuwy	or8ubu
asma	o8mo
asmanda	o8monno
asudalygyň	o8udoluXuN
atlandyrypdyrlar	otlonnurupdurlor
atlandyrýarlar	otlonnuryorlor
audit	oudit
awia	obio
awtoduralgalaryň	obtodurolXoloruN
awtomatlary	obtomotloru
açyşlar	oCuSlor
aýlanýan	oylonyon
aýrylyp	oyrulup
aýyp	oyup
aýyplaýjysy	oyuployju8u
aňynda	oNunno
b	bE
babatyndaky	bobotundoqu
baglara	boXloro
baglaşyldy	boXloSullu
bagyşlap	boXuSlop
balyklary	boluqloru
bapda	bopdo
barar	boror
barlyşyksyz	borluSuq8u8
baýdagyna	boydoXuno
baýlyklarynyň	boyluqlorunuN
başda	boSdo
başlarynda	boSlorunno
begendirdi	beXennirdi
bekedine	bekedine
belgisiniň	belXi8iniN
bergileri	berXileri
berilse	beril8e
besläp	be8lEp
betbagtçylykly	betboXCCuluqlu
beýannamasyny	beyonnomo8unu
bilimleriň	bilimleriN
bilşiňiz	bilSiNi8
biriňize	biriNi8e
birleşdirip	birleSdirip
boldugyça	bolluXuCo
bozmak	bo8moq
bozup	bo8up
buhgalter	buxXolter
bukjasynyň	buqjo8unuN
buýsanjydyr	buy8onjudur
bähbit	bEhbit
bäsdeşleri	bE88eSleri
bäsdeşlerinden	bE88eSlerinnen
bäsleşer	bE8leSer
bäsleşiler	bE8leSiler
bölege	bElEXE
bütinleý	betenlEy
daýhanlary	doyxonloru
daşalmagyny	doSolmoXunu
daşamagy	doSomoXu
dekabryndan	dekobrunnon
derejelerine	derejelerine
derwezesiniň	derbe8e8iniN
deňlik	deNlik
dillerine	dillerine
diplomatlar	diplomotlor
diwanynyň	dibonunuN
diwaryň	diboruN
diýilýär	diyilyEr
dostlarça	do88lorCo
dowamyna	dobomuno
duralgasy	durolXo8u
dury	duru
duýup	duyup
duşuşyklarynda	duSuSuqlorunno
döredilende	dErEdelenne
döwürler	dEberlEr
dükanlarynyň	dekonlorunuN
dünýäden	denyEden
dünýäni	denyEni
edaralardan	edorolordon
edijileri	edijileri
edilenleri	edilenleri
edinilýär	edinilyEr
edýärdi	edyErdi
ekerançylaryň	ekeronCuloruN
elektronika	elektroniko
elementleriň	elementleriN
elçarpyşmalar	elCorpuSmolor
eminleriň	eminleriN
erkine	erkine
esaslandyran	e8o8lonnuron
esaslaryna	e8o8loruno
esaslaryň	e8o8loruN
esere	e8ere
eserlerinden	e8erlerinnen
etdireris	etdireri8
etekleriniň	etekleriniN
etme	etme
eýedigine	eyediXine
eýelerini	eyelerini
festiwalynyň	fe88ibolunuN
film	film
filmler	filmler
fizioterapiýa	fi8ioteropiyo
flotuny	flotunu
flotunyň	flotunuN
foto	foto
frahtlaýanyň	froxtloyonuN
futbolçylar	futbolCulor
gadyrly	godurlu
gahrymany	goxrumonu
galasy	golo8u
galdyrdylar	gollurdulor
galp	golp
galyndylarynyň	golunnulorunuN
gapdalynda	gopdolunno
gaplary	goploru
garadylar	gorodulor
garalýan	gorolyon
garaýandygyny	goroyonnuXunu
garaşly	goroSlu
garaşyp	goroSup
garşylanyldy	gorSulonullu
gat	got
gatlaklary	gotloqloru
gatnaşjakdygyny	gotnoSSoqduXunu
gatyşyk	gotuSuq
gawunlary	gobunloru
gawunyň	gobunuN
gaza	go8o
gazagystanly	go8oXu88onlu
gazanmakda	go8onmoqdo
gazanylmagy	go8onulmoXu
gazturbina	go8turbino
gaçyp	goCup
gaýduwsyzlyk	goydub8u8luq
gaýtarylmagy	goytorulmoXu
gelendiklerini	gelenniklerini
geodeziýa	geode8iyo
geologiki	geologiki
geriminiň	geriminiN
german	germon
gezim	ge8im
geçirilişe	geCiriliSe
geçirilýändiginiň	geCirilyEnniXiniN
geçmişi	geCmiSi
girdejisine	girdeji8ine
girelgesinde	girelXe8inne
girizilenden	giri8ilennen
giňeldilýär	giNellilyEr
goldady	gollodu
goldanylmagy	gollonulmoXu
gollanmalaryň	gollonmoloruN
goragly	goroXlu
goralmagyna	gorolmoXuno
gowulandyrylmagyna	gobulonnurulmoXuno
gowşak	gobSoq
goýlandyr	goylonnur
goşandyna	goSonnuno
gruzin	Xru8in
gullukçy	gulluqCu
gurallaryň	gurolloruN
guramasyny	guromo8unu
guraýarlar	guroyorlor
guraýjy	guroyju
gurluşlary	gurluSloru
gurluşykçylar	gurluSuqCulor
gurluşyna	gurluSuno
gurýarys	guryoru8
gurşawynyň	gurSobunuN
gutarýan	gutoryon
guýularyň	guyuloruN
guşçulyk	guSSuluq
gyzy	gu8u
gyzyklanýar	gu8uqlonyor
gämide	gEmide
gönükdirmäge	gEnekdermEge
görkezijisidir	gErkE8eje8idir
görülmeginiň	gErelmEXeneN
göwrümini	gEbremene
göwün	gEben
gözlegler	gE8lEXlEr
gümmezli	gemmE8le
habarnamany	xobornomonu
hadysa	xodu8o
hadysalarynyň	xodu8olorunuN
hakujy	xoquju
hakykaty	xoquqotu
halyçy	xoluCu
hassahanalary	xo88oxonoloru
hassahanalaryň	xo88oxonoloruN
hassahananyň	xo88oxononuN
hormata	xormoto
hyzmatdaşlygynda	xu8motdoSluXunno
häsiýetlendirip	hE8iyetlennirip
häzirlikçe	hE8irlikCe
iberilmegini	iberilmeXini
ilkinjiligi	ilkinjiliXi
infrastruktura	infro88ruqturo
itleri	itleri
işgärlerinden	iSXErlerinnen
janköýerleriň	jonkEyerleriN
jebisliginiň	jebi8liXiniN
jedelleşilýän	jedelleSilyEn
jemgyýetimizi	jemXuyetimi8i
jezalary	je8oloru
jümmüşinde	jemmeSennE
kabel	qobel
kanunalaýyk	qonunoloyuq
kararlaryna	qororloruno
kararlaryň	qororloruN
kazyýetlik	qo8uyetlik
kepilidir	kepilidir
kesgitlemekde	ke8Xitlemekde
kilogramy	kiloXromu
kime	kime
kitaphanalar	kitopxonolor
kitaphanasynyň	kitopxono8unuN
klubynyň	klubunuN
koeffisiýenti	qoeffi8iyenti
kombinirlenen	qomminirlenen
komissiýa	qomi88iyo
kommunikasiýalar	qommuniko8iyolor
kompozisiýalary	qompo8i8iyoloru
konsertine	qon8ertine
konwensiýa	qonben8iyo
korporatiw	qorporotib
kowçum	qobCum
kynçylyklar	qunCuluqlor
kysymlarynyň	qu8umlorunuN
kämilleşdirmekde	kEmilleSdirmekde
känini	kEnini
köl	kEl
köpdürli	kEpderle
köprüsiniň	kEpre8eneN
köpçülik	kEpCelek
köpüsinde	kEpe8ennE
köçesi	kECE8e
künjegi	kenjEXe
künjekleri	kenjEkleri
küştçüler	keSCCelEr
küştçüleriniň	keSCCelEreniN
lukmanlary	luqmonloru
lukmanyň	luqmonuN
lukmançylygy	luqmonCuluXu
lybaslaryň	lubo8loruN
lybasynda	lubo8unno
maddalaryna	moddoloruno
maglumatlardan	moXlumotlordon
manysyna	monu8uno
maslahatlara	mo8loxotloro
maslahatlaşyp	mo8loxotloSup
maýadarlar	moyodorlor
maýanyň	moyonuN
maýyplygy	moyupluXu
medeniýetleriniň	medeniyetleriniN
mejlisleri	mejli8leri
mele	mele
meni	meni
merkezidir	merke8idir
merkezlerine	merke8lerine
metjidine	metjidine
metrologik	metrologik
meşgullanmagyň	meSXullonmoXuN
meşhurlyk	meSxurluq
milliondan	millionnon
minudynda	minudunno
myhmanhanasyna	muxmonxono8uno
mysallary	mu8olloru
müňýyllygyň	meNyulluXuN
nagyşly	noXuSlu
naharyny	noxorunu
nazar	no8or
nesle	ne8le
nyrhnama	nurhnomo
näsaglara	nE8oXloro
oglan	oXlon
okaýar	oqoyor
okuwçy	oqubCu
okyjylary	oqujuloru
onlaýn	onloyn
operasynyň	opero8unuN
operatorlary	operotorloru
oragyny	oroXunu
organlary	orXonloru
orunbasarlaryna	orunmo8orloruno
oturdaşlarynyň	oturdoSlorunuN
oturdyp	oturdup
oturgyçlar	oturXuClor
oýnadylar	oynodulor
oýunçysy	oyunCu8u
paralimpiýa	porolimpiyo
pars	por8
pasportynyň	po8portunuN
paýtagt	poytoXt
peýdalanyjynyň	peydolonujunuN
polipropileni	polipropileni
portuny	portunu
pursatlarda	pur8otlordo
pursatlarynda	pur8otlorunno
pälwanlar	pElbonlor
raýdaşlyk	roydoSluq
redaksiýanyň	redoq8iyonuN
rentgen	rentXen
reňki	reNki
salgy	8olXu
sanlar	8onlor
sapagy	8opoXu
satyjynyň	8otujunuN
saýlamaly	8oylomolu
saýlawlaryny	8oyloblorunu
saýt	8oyt
sebitler	8ebitler
sebäbini	8ebEbini
seljerildi	8eljerilli
seljerişi	8eljeriSi
senasynyň	8eno8unuN
sentýabry	8entyobru
sereden	8ereden
seredilmegi	8eredilmeXi
serhetleri	8erhetleri
seýilgähi	8eyilXEhi
seýilgähiniň	8eyilXEhiniN
seýilgähler	8eyilXEhler
simfoniki	8imfoniki
soraglary	8oroXloru
soralýan	8orolyon
sowallara	8obolloro
sowgatlaryny	8obXotlorunu
stansiýalarynyň	88on8iyolorunuN
subýektiň	8ubyektiN
sungatynda	8unXotunno
suwdaky	8ubdoqu
synçylary	8unCuloru
syrlary	8urloru
söwdada	8Ebdodo
söýgini	8Eygini
sürüldi	8erelle
talyplaryny	toluplorunu
tamamlamagy	tomomlomoXu
tansynyň	ton8unuN
tanyşdyryp	tonuSdurup
tapgyrydyr	topXurudur
taraplaryny	toroplorunu
taryhyndaky	toruxundoqu
taýýarlanylyp	toyyorlonulup
taýýarlanyp	toyyorlonup
taýýarlaýarlar	toyyorloyorlor
tebärek	tebErek
tematiki	temotiki
terbiýeleýiş	terbiyeleyiS
terbiýesi	terbiye8i
terrorçylyga	terrorCuluXo
tersine	ter8ine
teswirnamasy	te8birnomo8u
toparymyza	toporumu8o
towuklaryň	tobuqloruN
toýa	toyo
toýuna	toyuno
turbalar	turbolor
turbalaryň	turboloruN
tutanyňda	tutonuNNo
tygşytlamak	tuXSutlomoq
täsirinden	tE8irinnen
täsirine	tE8irine
täsirlerini	tE8irlerini
tölenilmeginiň	tElEnelmeXiniN
tölenmeýär	tElEnmEyEr
uglerodyň	uXleroduN
ukyplylyk	uqupluluq
ukypsyz	uqup8u8
ulanmazdan	ulonmo88on
ulanylmalydyr	ulonulmoludur
ulanylyş	ulonuluS
uçarlaryň	uCorloruN
uçran	uCron
uçuşlaryň	uCuSloruN
welin	belin
wesýetlerine	be8yetlerine
weteranlaryň	beteronloruN
wezipedir	be8ipedir
wezipelerinde	be8ipelerinne
wezipesidir	be8ipe8idir
wideoşekiller	bideoSekiller
ygtyýarlydyr	uXtuyorludur
ylalaşan	uloloSon
