va	vE
xilof	Xilof
xizmatini	XizmEtini
xodimlarining	XodimlEriniN
xonandalar	XonEndElEr
xoreografiya	XoreogrEfiyE
xotiralar	XotirElEr
yahshi	yEhSi
yakuniy	yEkuniy
yaqinda	yEqindE
yaqinlashib	yEqinlESib
yaratilishiga	yErEtiliSigE
yashadi	yESEdi
yetilishi	yetiliSi
yetishtirilgan	yetiStirilgEn
yetkaziladi	yetkEzilEdi
yeydi	yeydi
yezda	yezdE
yezdi	yezdi
yodgorliklarni	yodgorliklErni
yogʻli	yoXli
yomonlashadi	yomonlESEdi
yomonlik	yomonlik
yongʻin	yoN7in
yonidan	yonidEn
yoyildi	yoyildi
yoysimon	yoysimon
yozishgan	yoziSgEn
yoʻllariga	yollErigE
yoʻnalishlaridan	yonEliSlEridEn
yuqoriroq	yuqoriroq
yuritib	yuritib
yutuqlarini	yutuqlErini
yuzdan	yuzdEn
zafar	zEfEr
zardob	zErdob
zaxira	zEXirE
ziyolilari	ziyolilEri
zonada	zonEdE
zotli	zotli
бўлиб	bolib
AQSHda	Eqs hdE
Absheron	EbSeron
Abul	Ebul
Afsuski	Efsuski
Aholini	Eholini
Ahror	Ehror
Aktyor	Ektyor
Albert	Elbert
Amazonka	EmEzonkE
Amudaryodan	EmudEryodEn
Anna	EnnE
Atlas	EtlEs
Axrlisi	EXrlisi
Azot	Ezot
Bering	beriN
Beruniyning	beruniyniN
Bezak	bezEk
Birma	birmE
Birok	birok
Bobo	bobo
Boliviya	boliviyE
Boshi	boSi
Britannica	britEnnitsE
Carlo	tsErlo
Darvin	dErvin
Davriy	dEvriy
Diplomatik	diplomEtik
Dovud	dovud
Eramizdan	erEmizdEn
Fransiyadagi	frEnsiyEdEgi
Ftor	ftor
Geografiya	geogrEfiyE
Global	globEl
Gs	gees
Gʻulomov	Xulomov
Halima	hElimE
Hazorasp	hEzorEsp
Hisoblash	hisoblES
IX	iX
Inqilob	inqilob
Inqilobiy	inqilobiy
Insonning	insonniN
International	internEtionEl
Iqtisodiyotining	iqtisodiyotiniN
Iskandariya	iskEndEriyE
Islomga	islomgE
Istiqlol	istiqlol
Kadrlar	kEdrlEr
Kant	kEnt
Karaganda	kErEgEndE
Karim	kErim
Karimovning	kErimovniN
Kavkazdagi	kEvkEzdEgi
Kavkazorti	kEvkEzorti
Kelajakda	kelEjEkdE
King	kiN
Kirov	kirov
La	lE
Land	lEnd
Lola	lolE
Madina	mEdinE
Madinada	mEdinEdE
Magniy	mEgniy
Maktabda	mEktEbdE
Me	me
Mitsubishi	mitsubiSi
Mojariston	mojEriston
Mualliflik	muElliflik
Musiqali	musiqEli
Myunxen	myunXen
Naqsh	nEqS
Nasriddin	nEsriddin
Nizom	nizom
Nizomiyning	nizomiyniN
Ogahiy	ogEhiy
Old	old
Olimxon	olimXon
Oltingugurt	oltiNugurt
Omon	omon
Opera	operE
Oraliq	orEliq
Ozarbayjonni	ozErbEyjonni
Oʻyin	oyin
Partiya	pErtiyE
Ptolemey	ptolemey
Qahhor	qEhhor
Qamashi	qEmESi
Qayta	qEytE
Qish	qiS
Qishda	qiSdE
Qiziltepa	qiziltepE
Qurtlari	qurtlEri
Qusar	qusEr
Reaktiv	reEktiv
Rentgen	rentgen
Romitan	romitEn
SO	so
SSSRda	eseses rdE
SSSRning	eseses rniN
Samara	sEmErE
Samarqandning	sEmErqEndniN
Saturn	sEturn
Saxa	sEXE
Saylov	sEylov
Sayyid	sEyyid
Sdan	sdEn
Sharqdagi	SErqdEgi
Shavkat	SEvkEt
Shirvon	Sirvon
Shotlandiya	SotlEndiyE
Sirtqi	sirtqi
Sovuq	sovuq
Sudralib	sudrElib
Sugʻorma	suXormE
Super	super
Tailandda	tEilEnddE
Tanasining	tEnEsiniN
Tarkibi	tErkibi
Tayvan	tEyvEn
Temuriy	temuriy
Temurnoma	temurnomE
To	to
Tojikistonning	tojikistonniN
Toyota	toyotE
Tun	tun
Turar	turEr
Turkistonga	turkistoNE
Turkiyaga	turkiyEgE
Tuzilishi	tuziliSi
Universitetida	universitetidE
Xizmat	XizmEt
Yettisuv	yettisuv
Yilning	yilniN
Yopiq	yopiq
Yoqut	yoqut
York	york
Yuan	yuEn
Yuk	yuk
Yulduzlar	yulduzlEr
Yupiter	yupiter
Zambiya	zEmbiyE
abstrakt	EbstrEkt
adabiyotshunos	EdEbiyotSunos
adabiyotshunoslik	EdEbiyotSunoslik
adirlarda	EdirlErdE
adliya	EdliyE
aerodinamik	EerodinEmik
afgʻon	EfXon
ahd	Ehd
ahvolga	EhvolgE
ahvoliga	EhvoligE
akademiya	EkEdemiyE
akliy	Ekliy
aloqaning	EloqEniN
amaldorlari	EmEldorlEri
amaliyoti	EmEliyoti
amaliyotiga	EmEliyotigE
amallarni	EmEllErni
aminokislota	EminokislotE
amirlari	EmirlEri
amorf	Emorf
analog	EnElog
anatomiyasi	EnEtomiyEsi
anglashga	ENlESgE
antitelolar	EntitelolEr
antropologiya	EntropologiyE
ariqlar	EriqlEr
arki	Erki
armiyaga	ErmiyEgE
as	Es
ashyolari	ESyolEri
aspirant	EspirEnt
asrlardan	EsrlErdEn
atm	Etm
atmosferasi	EtmosferEsi
audio	Eudio
avtobiografik	EvtobiogrEfik
ayollari	EyollEri
ayovsiz	Eyovsiz
badavlat	bEdEvlEt
bahodir	bEhodir
bajara	bEjErE
bajarib	bEjErib
bakalavriat	bEkElEvriEt
baleti	bEleti
barkaror	bErkEror
barqarorlik	bErqErorlik
basketbol	bEsketbol
baxshilar	bEXSilEr
baxtli	bEXtli
bilishga	biliSgE
binoga	binogE
binolarini	binolErini
biofizika	biofizikE
biokimyosi	biokimyosi
birday	birdEy
birikmalarni	birikmElErni
biriktiriladi	biriktirilEdi
biriktirilgan	biriktirilgEn
birlashadi	birlESEdi
bolalik	bolElik
borliqni	borliqni
bosimda	bosimdE
bosimning	bosimniN
boyidi	boyidi
bozorlari	bozorlEri
boʻlimlaridan	bolimlEridEn
boʻlmaganligi	bolmEgEnligi
boʻshligʻida	boSliXidE
boʻyashda	boyESdE
boʻysundirilgan	boysundirilgEn
bulinadi	bulinEdi
burmalanish	burmElEniS
burmalar	burmElEr
buyurdi	buyurdi
buzilganda	buzilgEndE
daryosiga	dEryosigE
dastavval	dEstEvvEl
davlatlarini	dEvlEtlErini
davrlardan	dEvrlErdEn
dehqonlarga	dehqonlErgE
dekorativ	dekorEtiv
dengizdagi	deNizdEgi
deputat	deputEt
dezinfeksiya	dezinfeksiyE
diagnostika	diEgnostikE
dialog	diElog
dindorlar	dindorlEr
dinning	dinniN
diskret	diskret
doirasiga	doirEsigE
doirasini	doirEsini
doktor	doktor
doktorlik	doktorlik
dollarga	dollErgE
dollaridan	dollEridEn
dostonlarida	dostonlEridE
dumli	dumli
durang	durEN
egallay	egEllEy
ekinlarning	ekinlErniN
ekinzorlar	ekinzorlEr
eksporti	eksporti
ellarda	ellErdE
embrional	embrionEl
emlash	emlES
endogen	endogen
epiteliy	epiteliy
eshittirish	eSittiriS
etagi	etEgi
etishiga	etiSigE
etti	etti
ezgulik	ezgulik
faktlar	fEktlEr
falaj	fElEj
faoliyatni	fEoliyEtni
faslida	fEslidE
faylasuflari	fEylEsuflEri
fikrlarini	fikrlErini
fikrning	fikrniN
filmni	filmni
flyus	flyus
fondlari	fondlEri
fonologik	fonologik
formulasi	formulEsi
foydalandi	foydElEndi
foydalanishda	foydElEniSdE
fuqaroning	fuqEroniN
gamma	gEmmE
gazetalar	gEzetElEr
gidroenergiya	gidroenergiyE
gidrometeorologiya	gidrometeorologiyE
giyohvand	giyohvEnd
guvoh	guvoh
gʻarbidagi	XErbidEgi
gʻildirak	XildirEk
h	ha
halqum	hElqum
harakteriga	hErEkterigE
haritasi	hEritEsi
harom	hErom
havzasidagi	hEvzEsidEgi
havzasiga	hEvzEsigE
haydalma	hEydElmE
hiqildoq	hiqildoq
hissasini	hissEsini
hizmat	hizmEt
hokimlar	hokimlEr
holatlarni	holEtlErni
holidagi	holidEgi
hududdagi	hududdEgi
hujumga	hujumgE
hujumlar	hujumlEr
hukumatiga	hukumEtigE
hukumatni	hukumEtni
huquqining	huquqiniN
ida	idE
ijodkorlar	ijodkorlEr
ilmfan	ilmfEn
imlo	imlo
imtiyozlar	imtiyozlEr
inersial	inersiEl
institutlarida	institutlEridE
iplari	iplEri
irqi	irqi
ishq	iSq
ishsizlik	iSsizlik
ismlar	ismlEr
itoat	itoEt
izotop	izotop
jadalligi	jEdElligi
jadvallar	jEdvEllEr
jamiyatini	jEmiyEtini
jamoaning	jEmoEniN
jamoasini	jEmoEsini
jarangdor	jErENdor
jarayonidagi	jErEyonidEgi
jazirama	jEzirEmE
jismlarni	jismlErni
joylashtirildi	joylEStirildi
jurnalistlar	jurnElistlEr
kadar	kEdEr
kadimdan	kEdimdEn
kapitalistik	kEpitElistik
kapitan	kEpitEn
kasalligining	kEsElliginiN
katalogi	kEtElogi
kattalashib	kEttElESib
kelajagi	kelEjEgi
kelishadi	keliSEdi
kelmoqdalar	kelmoqdElEr
kemalarning	kemElErniN
kengaytirildi	keNEytirildi
kerakligi	kerEkligi
ketishgan	ketiSgEn
kifoya	kifoyE
kimyoda	kimyodE
kinematografiya	kinemEtogrEfiyE
kirill	kirill
kitlar	kitlEr
kiyimlari	kiyimlEri
klassitsizm	klEssitsizm
komik	komik
kompozitsiyalar	kompozitsiyElEr
konussimon	konussimon
korxonalarda	korXonElErdE
kosa	kosE
kosasi	kosEsi
koʻpayishiga	kopEyiSigE
koʻrsatildi	korsEtildi
koʻzlab	kozlEb
kreditlar	kreditlEr
kti	kti
kulgi	kulgi
kundagi	kundEgi
kurashida	kurESidE
kursini	kursini
kuylash	kuylES
kvarsli	kvErsli
lat	lEt
leksika	leksikE
liberal	liberEl
lokal	lokEl
lozimki	lozimki
mablagʻlar	mEblEXlEr
madrasalarida	mEdrEsElEridE
mafkura	mEfkurE
mafkurasi	mEfkurEsi
mahsulotlaridan	mEhsulotlEridEn
majburiyatlar	mEjburiyEtlEr
majlislar	mEjlislEr
maksimum	mEksimum
maktablarning	mEktEblErniN
manbasi	mEnbEsi
manzarasi	mEnzErEsi
maqsadiga	mEqsEdigE
marganes	mErgEnes
masalaning	mEsElEniN
mashinalarda	mESinElErdE
mashinalarning	mESinElErniN
maslahati	mEslEhEti
massaj	mEssEj
matnni	mEtnni
mavzularni	mEvzulErni
mehnatiga	mehnEtigE
metrga	metrgE
mexanizmlarini	meXEnizmlErini
mezonlar	mezonlEr
milodning	milodniN
minerali	minerEli
mineralogiya	minerElogiyE
mintaqaning	mintEqEniN
miyasi	miyEsi
moduli	moduli
mohiyatan	mohiyEtEn
mohiyatiga	mohiyEtigE
molekulasida	molekulEsidE
momiq	momiq
moyak	moyEk
mualliflar	muElliflEr
muddatlari	muddEtlEri
muharrirlik	muhErrirlik
muhofazasi	muhofEzEsi
mukofotini	mukofotini
muqobil	muqobil
musiqasini	musiqEsini
musobaqasida	musobEqEsidE
mutatsiya	mutEtsiyE
muvaffaqiyatsiz	muvEffEqiyEtsiz
muxtoriyat	muXtoriyEt
namoyandalaridan	nEmoyEndElEridEn
niobiy	niobiy
nishonga	niSoNE
nizolarni	nizolErni
nm	enem
noib	noib
nomlarini	nomlErini
nomzodlari	nomzodlEri
novdalar	novdElEr
nozil	nozil
nuqtada	nuqtEdE
o	o
ogʻzini	oXzini
ohanglari	ohENlEri
oksidlanib	oksidlEnib
ola	olE
olamining	olEminiN
olgandan	olgEndEn
olinayotgan	olinEyotgEn
olingandan	oliNEndEn
olinmaydi	olinmEydi
olinsa	olinsE
ommaga	ommEgE
organlarida	orgEnlEridE
oshqozon	oSqozon
osmotik	osmotik
osonlashtiradi	osonlEStirEdi
otryadi	otryEdi
ovlanadigan	ovlEnEdigEn
ovqatga	ovqEtgE
ozodligi	ozodligi
oʻldiradi	oldirEdi
oʻlgan	olgEn
oʻqitiladi	oqitilEdi
oʻrganilayotgan	orgEnilEyotgEn
oʻrganishni	orgEniSni
oʻrmonlarda	ormonlErdE
oʻsimliksimon	osimliksimon
oʻtloqlar	otloqlEr
oʻylaydi	oylEydi
oʻzbekistonlik	ozbekistonlik
oʻzgartirdi	ozgErtirdi
oʻziyurar	oziyurEr
oʻzlashtirib	ozlEStirib
pardalari	pErdElEri
pari	pEri
pasaytiradi	pEsEytirEdi
pastdan	pEstdEn
pastligi	pEstligi
pay	pEy
pensiya	pensiyE
peshtoq	peStoq
piroksen	piroksen
pishirish	piSiriS
plastikligi	plEstikligi
pogʻonali	poXonEli
predmetning	predmetniN
presslash	presslES
prezidentlik	prezidentlik
protsessual	protsessuEl
provinsiya	provinsiyE
provinsiyasining	provinsiyEsiniN
pust	pust
qahramonlarining	qEhrEmonlEriniN
qalinlikdagi	qElinlikdEgi
qalqonsimon	qElqonsimon
qaragʻay	qErEXEy
qarata	qErEtE
qaratdi	qErEtdi
qarshiligiga	qErSiligigE
qatlamda	qEtlEmdE
qatlamlardan	qEtlEmlErdEn
qattiqligi	qEttiqligi
qavm	qEvm
qaynatiladi	qEynEtilEdi
qazishlar	qEziSlEr
qilganini	qilgEnini
qilishdir	qiliSdir
qilmay	qilmEy
qirgʻizlar	qirXizlEr
qismlarning	qismlErniN
qiyinlashadi	qiyinlESEdi
qiymatli	qiymEtli
qiyofasida	qiyofEsidE
qiyshiq	qiySiq
qizga	qizgE
qiziqishi	qiziqiSi
qizni	qizni
qoldiriladi	qoldirilEdi
qolmadi	qolmEdi
qolsa	qolsE
qoʻlladi	qollEdi
qoʻllana	qollEnE
qoʻllanib	qollEnib
qoʻltigʻiga	qoltiXigE
qoʻlyozmasi	qolyozmEsi
qoʻshinida	qoSinidE
qoʻyilishi	qoyiliSi
qoʻzgʻalish	qozXEliS
qoʻzgʻolonlar	qozXolonlEr
qoʻzgʻolonni	qozXolonni
quldorlik	quldorlik
qurilishlar	quriliSlEr
qurilmalarni	qurilmElErni
qutulish	qutuliS
radiatsion	rEdiEtsion
rahbarlarining	rEhbErlEriniN
rayonga	rEyoNE
razryadli	rEzryEdli
reaksion	reEksion
reaksiyalarda	reEksiyElErdE
reaksiyalarini	reEksiyElErini
rejissyorlik	rejissyorlik
roziligi	roziligi
roʻmol	romol
sahifalarida	sEhifElEridE
sak	sEk
samimiy	sEmimiy
sammit	sEmmit
saqlanayotgan	sEqlEnEyotgEn
saqlashda	sEqlESdE
sardori	sErdori
sarflanadigan	sErflEnEdigEn
savanna	sEvEnnE
savdoni	sEvdoni
saylovi	sEylovi
sexlar	seXlEr
sezgilar	sezgilEr
sezgirligi	sezgirligi
sharoitlarini	SEroitlErini
shartnomasining	SErtnomEsiniN
shaxsiyati	SEXsiyEti
shishadi	SiSEdi
shohlari	SohlEri
shoxli	SoXli
shoʻrligi	Sorligi
shugʻullanganlar	SuXullENEnlEr
shuhrati	SuhrEti
sida	sidE
sikl	sikl
siljib	siljib
simlar	simlEr
sinfga	sinfgE
siyosatida	siyosEtidE
skif	skif
sohalaridagi	sohElEridEgi
sohalarini	sohElErini
sohilda	sohildE
solishga	soliSgE
sonlari	sonlEri
sosoniylar	sosoniylEr
sotishni	sotiSni
sovrindori	sovrindori
soʻzlarda	sozlErdE
soʻzlashuv	sozlESuv
spektr	spektr
stansiyasida	stEnsiyEsidE
stomatologiya	stomEtologiyE
suiqasd	suiqEsd
sunna	sunnE
sxemalar	sXemElEr
tahmin	tEhmin
taksonomik	tEksonomik
talabalarning	tElEbElErniN
talabini	tElEbini
talablar	tElEblEr
talafot	tElEfot
taloq	tEloq
talqini	tElqini
tamomila	tEmomilE
tamoyillar	tEmoyillEr
tanaga	tEnEgE
tanazzulga	tEnEzzulgE
tanglik	tENlik
tanqisligi	tEnqisligi
tarafdan	tErEfdEn
tarafga	tErEfgE
tarjimasida	tErjimEsidE
tarmoqlarini	tErmoqlErini
tarmoqli	tErmoqli
taronalari	tEronElEri
tasdiqlandi	tEsdiqlEndi
tashkilotning	tESkilotniN
tashviqot	tESviqot
tasvirga	tEsvirgE
tasvirlab	tEsvirlEb
tasvirlarni	tEsvirlErni
tayyorlanishi	tEyyorlEniSi
tazyiqi	tEzyiqi
tekshirilgan	tekSirilgEn
telekoʻrsatuv	telekorsEtuv
telekoʻrsatuvlar	telekorsEtuvlEr
tenglamasi	teNlEmEsi
terilgan	terilgEn
teshiklari	teSiklEri
texnikasida	teXnikEsidE
texnologiyalarni	teXnologiyElErni
timsolida	timsolidE
tipologik	tipologik
tokembriy	tokembriy
tokzor	tokzor
tomonlariga	tomonlErigE
topishida	topiSidE
toptirish	toptiriS
tortdi	tortdi
tortgan	tortgEn
toshlarga	toSlErgE
toshli	toSli
tovarning	tovErniN
toʻldirish	toldiriS
toʻlqinlarni	tolqinlErni
toʻplamning	toplEmniN
toʻqimadan	toqimEdEn
toʻxtatildi	toXtEtildi
toʻyi	toyi
transportida	trEnsportidE
transportining	trEnsportiniN
trubka	trubkE
tuda	tudE
tugallangan	tugEllENEn
tugʻruq	tuXruq
tuksiz	tuksiz
tumanga	tumENE
tundra	tundrE
tuproqlari	tuproqlEri
turganda	turgEndE
turistik	turistik
tushirilishi	tuSiriliSi
tuxumini	tuXumini
tuygʻular	tuyXulEr
tuygʻulari	tuyXulEri
umumlashtirib	umumlEStirib
universitetlarida	universitetlEridE
urushining	uruSiniN
uskuna	uskunE
usullarining	usullEriniN
uygʻun	uyXun
uyushmalar	uyuSmElEr
uzaytirish	uzEytiriS
uzoqdan	uzoqdEn
vakuumda	vEkuumdE
vaqtvaqti	vEqtvEqti
vaziyatga	vEziyEtgE
venger	veNer
viloyatga	viloyEtgE
viloyatidan	viloyEtidEn
vismut	vismut
vodiysidan	vodiysidEn
voqeadan	voqeEdEn
xalifaligi	XElifEligi
xalifalik	XElifElik
xalkaro	XElkEro
xalkopirit	XElkopirit
xaltasi	XEltEsi
xarajatlari	XErEjEtlEri
xaritasi	XEritEsi
xavfsizlikni	XEvfsizlikni
xisoblanadi	XisoblEnEdi
xodimlariga	XodimlErigE
xonada	XonEdE
xonaga	XonEgE
xonligiga	XonligigE
xonliklari	XonliklEri
xorij	Xorij
xorijga	XorijgE
xotiralari	XotirElEri
xukmronligi	Xukmronligi
xulosasi	XulosEsi
yalla	yEllE
yaralar	yErElEr
yaratishgan	yErEtiSgEn
yashiringan	yESiriNEn
yetishtirishda	yetiStiriSdE
yey	yey
yigitlar	yigitlEr
yillaridan	yillEridEn
yilliklar	yilliklEr
yopib	yopib
yopilib	yopilib
yoqish	yoqiS
yoritishga	yoritiSgE
yoruglik	yoruglik
yoshidan	yoSidEn
yozuvini	yozuvini
yoʻnaladi	yonElEdi
yoʻqotdi	yoqotdi
yoʻqotib	yoqotib
yulduzlari	yulduzlEri
yumor	yumor
yumoristik	yumoristik
yuritishga	yuritiSgE
yurtlariga	yurtlErigE
yutgan	yutgEn
yuvilgan	yuvilgEn
zamirida	zEmiridE
zangori	zENori
zarurligini	zErurligini
zavodda	zEvoddE
Расулуллоҳ	rEsululloh
алайҳи	ElEyhi
васаллам	vEsEllEm
соллаллоҳу	sollEllohu
эса	esE
Adabiyoti	EdEbiyoti
Afgʻonistonda	EfXonistondE
Afgʻonistonga	EfXonistoNE
Agʻdam	EXdEm
Aholiga	EholigE
Akkad	EkkEd
Alimqul	Elimqul
Alyuminiy	Elyuminiy
Amorf	Emorf
Arastu	ErEstu
Ashug	ESug
Ashula	ESulE
Ayniy	Eyniy
Azimov	Ezimov
Aziz	Eziz
BMC	beemts
Barselona	bErselonE
Betxoven	betXoven
Bevosita	bevositE
Bismark	bismErk
Buxorodan	buXorodEn
Buzruk	buzruk
Darvishali	dErviSEli
Daryoning	dEryoniN
Dekan	dekEn
Dogʻiston	doXiston
Ekvatorial	ekvEtoriEl
Etnik	etnik
FK	efka
Farmoni	fErmoni
Federatsiyasida	federEtsiyEsidE
Fermi	fermi
Fil	fil
Fin	fin
Firdavsiy	firdEvsiy
Freeman	freemEn
Galaktika	gElEktikE
Gazeta	gEzetE
Gazli	gEzli
Geologiya	geologiyE
Gʻaznaviy	XEznEviy
H	ha
Hayvonlarning	hEyvonlErniN
Hidoyatov	hidoyEtov
Hindixitoy	hindiXitoy
Industrial	industriEl
Infeksiya	infeksiyE
Irtish	irtiS
Ishi	iSi
Ishoq	iSoq
Ispaniyada	ispEniyEdE
Issiklik	issiklik
Italiyadagi	itEliyEdEgi
Iyul	iyul
Jack	jEtsk
Jalolobod	jElolobod
Jamshid	jEmSid
Jome	jome
Joʻrayev	jorEyev
Jun	jun
KP	kape
Kamoliddin	kEmoliddin
Karmana	kErmEnE
Kaykovus	kEykovus
Kitobning	kitobniN
Klassik	klEssik
Kompleks	kompleks
Kompyuter	kompyuter
Kondagi	kondEgi
Konfutsiy	konfutsiy
Kundalik	kundElik
Kuyosh	kuyoS
Kuzgi	kuzgi
Le	le
Lenin	lenin
Lenkoran	lenkorEn
Liberiya	liberiyE
Logan	logEn
MPa	mpE
Majmua	mEjmuE
Majolis	mEjolis
Maksvell	mEksvell
Maorif	mEorif
Martin	mErtin
Materik	mEterik
Maydon	mEydon
Mendel	mendel
Metro	metro
Meva	mevE
Mexiko	meXiko
Mezon	mezon
Milan	milEn
Mirzoga	mirzogE
Muhabbat	muhEbbEt
Munavvarqori	munEvvErqori
Mushfig	muSfig
Mustaqillikdan	mustEqillikdEn
Muzlik	muzlik
Nafis	nEfis
Nodira	nodirE
Nyu	nyu
Odessa	odessE
Ogʻiz	oXiz
Ogʻzaki	oXzEki
Oksidlanish	oksidlEniS
Olmoniyaning	olmoniyEniN
Oqibatda	oqibEtdE
Oqtosh	oqtoS
Oʻlim	olim
Oʻzbekistondan	ozbekistondEn
Paleogen	pEleogen
Parker	pErker
Pedagogika	pedEgogikE
Peter	peter
Petr	petr
Piyoda	piyodE
Politsiya	politsiyE
Press	press
Pskov	pskov
Qabala	qEbElE
Qazilma	qEzilmE
Qirgʻizistonning	qirXizistonniN
Qoratepa	qorEtepE
Qum	qum
Qunduz	qunduz
Radiatsion	rEdiEtsion
Rasul	rEsul
Rasululloh	rEsululloh
Sa	sE
Sababi	sEbEbi
Sanoatida	sEnoEtidE
Sayfi	sEyfi
Sem	sem
Seylon	seylon
Sezar	sezEr
Shaharlar	SEhErlEr
Shaxs	SEXs
Sheroz	Seroz
Shofirkon	Sofirkon
Shtatning	StEtniN
Shvesiya	SvesiyE
Simon	simon
Sinay	sinEy
Sohil	sohil
Soʻx	soX
Stalin	stElin
Sun	sun
Suvga	suvgE
Suyuqlik	suyuqlik
Talas	tElEs
Tarixda	tEriXdE
Tashhis	tEShis
Tazkirat	tEzkirEt
Tellur	tellur
Terisi	terisi
Thomas	thomEs
Tib	tib
Tibbiyotda	tibbiyotdE
Tijorat	tijorEt
Toni	toni
Toʻrtkoʻl	tortkol
Turkmanistonning	turkmEnistonniN
Tuxum	tuXum
Ufa	ufE
Uganda	ugEndE
Urugvay	urugvEy
Usmoniylar	usmoniylEr
Uzbekiston	uzbekiston
Vazifasi	vEzifEsi
XIII	Xiii
Xamsa	XEmsE
Xom	Xom
Xona	XonE
Xonadon	XonEdon
Xonqa	XonqE
Xorazmdagi	XorEzmdEgi
Xurshid	XurSid
Yilda	yildE
Yogʻ	yoX
Yoʻldoshev	yoldoSev
Yuriy	yuriy
Zij	zij
Zulfiya	zulfiyE
adabiyotni	EdEbiyotni
adirlari	EdirlEri
aeroportlar	EeroportlEr
ahvolda	EhvoldE
ajdodi	Ejdodi
ajratiladigan	EjrEtilEdigEn
akauka	EkEukE
albomning	ElbomniN
almashtiriladigan	ElmEStirilEdigEn
aniklandi	EniklEndi
aniqlikda	EniqlikdE
aqli	Eqli
ar	Er
arava	ErEvE
armanilar	ErmEnilEr
armanlarning	ErmEnlErniN
asarlardan	EsErlErdEn
asbobuskunalar	EsbobuskunElEr
asbobuskunalari	EsbobuskunElEri
ashaddiy	ESEddiy
ashulalari	ESulElEri
ashyoviy	ESyoviy
askarlarini	EskErlErini
asnoda	EsnodE
asrab	EsrEb
asta	EstE
atamalar	EtEmElEr
atamalari	EtEmElEri
atmosferadagi	EtmosferEdEgi
avlodga	EvlodgE
axlat	EXlEt
ayon	Eyon
aytadilar	EytEdilEr
azeotrop	Ezeotrop
badanning	bEdEnniN
bahori	bEhori
barbod	bErbod
bardosh	bErdoS
bastakorlik	bEstEkorlik
belgilarining	belgilEriniN
belgilashga	belgilESgE
belgining	belginiN
bijgʻitish	bijXitiS
bilak	bilEk
birikmalarini	birikmElErini
bodom	bodom
bogʻlarda	boXlErdE
bogʻlaydilar	boXlEydilEr
boj	boj
borishiga	boriSigE
boshlanishidan	boSlEniSidEn
boshli	boSli
boshligʻining	boSliXiniN
boshqarma	boSqErmE
boshqarmasida	boSqErmEsidE
bosiladi	bosilEdi
boyitdi	boyitdi
boyitilgan	boyitilgEn
boyliklarini	boyliklErini
boyliklarni	boyliklErni
bozorlarida	bozorlEridE
boʻlakli	bolEkli
boʻlimini	bolimini
boʻlishdan	boliSdEn
boʻlishidir	boliSidir
boʻlmadi	bolmEdi
bukilmalar	bukilmElEr
bulardan	bulErdEn
buyen	buyen
buyumlarini	buyumlErini
byusti	byusti
dalaga	dElEgE
daraxtlarga	dErEXtlErgE
daryodan	dEryodEn
davlatdan	dEvlEtdEn
davolanmasa	dEvolEnmEsE
davrlarning	dEvrlErniN
dehqonlarning	dehqonlErniN
devorga	devorgE
diabet	diEbet
diapazonli	diEpEzonli
doiraviy	doirEviy
dorixonalar	doriXonElEr
dostonning	dostonniN
doʻstligi	dostligi
dramalarida	drEmElEridE
duradgorlik	durEdgorlik
duragaylar	durEgEylEr
efemer	efemer
egallashi	egEllESi
egasining	egEsiniN
egilgan	egilgEn
ehtiros	ehtiros
ekinlarga	ekinlErgE
ekinlaridan	ekinlEridEn
ekinzor	ekinzor
ekliptika	ekliptikE
ekma	ekmE
ekran	ekrEn
elektrolit	elektrolit
elektrostatik	elektrostEtik
emal	emEl
empirik	empirik
engil	eNil
erga	ergE
erish	eriS
eritmada	eritmEdE
esadigan	esEdigEn
eshituv	eSituv
eslatib	eslEtib
et	et
etagida	etEgidE
eti	eti
etilganda	etilgEndE
etilishini	etiliSini
etilmaydi	etilmEydi
etkazib	etkEzib
fanini	fEnini
fantastik	fEntEstik
faoliyatga	fEoliyEtgE
farklanadi	fErklEnEdi
fashizmga	fESizmgE
federatsiya	federEtsiyE
fenotipik	fenotipik
filmlarni	filmlErni
filmning	filmniN
flyuorit	flyuorit
fokus	fokus
fondlar	fondlEr
forma	formE
foydalana	foydElEnE
foydalanganlar	foydElENEnlEr
galaktika	gElEktikE
gapirib	gEpirib
gavdalanadi	gEvdElEnEdi
gazdan	gEzdEn
gazlardan	gEzlErdEn
gazlari	gEzlEri
gazli	gEzli
genetikasi	genetikEsi
geologi	geologi
gigiyenasi	gigiyenEsi
gipertoniya	gipertoniyE
girih	girih
grek	grek
gugurt	gugurt
gullagan	gullEgEn
gumbazi	gumbEzi
gʻaltak	XEltEk
gʻayritabiiy	XEyritEbiiy
gʻazallariga	XEzEllErigE
gʻori	Xori
halol	hElol
hammom	hEmmom
haqiqatan	hEqiqEtEn
harakatida	hErEkEtidE
harakatlarda	hErEkEtlErdE
haridor	hEridor
haroratning	hErorEtniN
havodan	hEvodEn
hil	hil
hisobladi	hisoblEdi
hisoblar	hisoblEr
holi	holi
hollardagina	hollErdEginE
homiladorlikning	homilEdorlikniN
hosildorligi	hosildorligi
hosilning	hosilniN
hoʻl	hol
hujayralarni	hujEyrElErni
hukmdorning	hukmdorniN
hukmronligining	hukmronliginiN
huquqidan	huquqidEn
huquqshunos	huquqSunos
idealistik	ideElistik
idishga	idiSgE
ifodaviy	ifodEviy
ildizida	ildizidE
ilmiga	ilmigE
impulsi	impulsi
