abdisere	obdiser3
strø	stre
strøm	strEm
strømavgift	strEmovyift
strømme	strEm3
strømning	strEmniN
strømpe	strEmp3
strømspenning	strEmspEniN
stubbe	st3b3
student	st3dEnt
studere	st3der3
stue	st33
stum	st3m
stump	stump
stund	st3n
stupe	st3p3
stupid	st3pid
sture	st3r3
stuss	st3s
stusse	st3s3
stusslig	st3sli
stusslige	st3sli3
stussligere	st3slir3
stussligst	st3slikst
stussligste	st3slikst3
stygg	stig
stykke	stik3
styre	stir3
styrke	stirk3
styrmann	stirmon
styrte	stit3
stå	sto
stå i kø	stoike
stø	ste
stødig	stedi
stødige	stedi3
stødigere	stedir3
stødigst	stedikst
stødigste	stedikst3
støl	stel
stønne	stEn3
støpe	step3
størkne	stErkn3
størrelse	stEr3ls3
støte	stet3
støtfanger	stetfoN3r
støtte	stEt3
støv	stev
støvel	stEvl stEv3l
støvete	stev3t3
støy	stEy
subbe	s3b3
subjektiv	s3byiktiv
subsidiere	s3bsidier3
substantiv	s3bstontiv
substituere	s3pstit3er3
subtil	s3btil
subtrahere	s3btroher3
suge	s3g3
suggerere	s3g3rer3
sukke	s3k3
sukker	suk3r
sukre	sukr3
sulte	s3lt3
sulten	s3lt3n
sum	s3m
summe	s3m3
summere	s3mer3
sund	s3n
sunn	s3n
super	s3p3r
superb	s3pErb
suppe	s3p3
supplere	s3pler3
sur	s3r
surfe	sErf3
surfing	sErfiN
surkle	s3rkl3
surmule	s3rm3l3
surne	s3n3
surre	s3r3
surt	s3t
suse	s3s3
susete	s3s3t3
suspekt	s3spEkt
suspendere	s3spoNder3
sutre	s3tr3
sutrete	s3tr3t3
sutt	s3t
suveren	s3v3ren
suverenitet	s3v3rEnitet
svai	svEi
svaie	svoy3
svak	svok
sval	svol
svale	svol3
svane	svon3
svangerskap	svoN3Skop
svar	svor
svare	svor3
svare på	svor3po
svarer	svor3r
svart	svot
svartne	svotn3
sveipe	svEip3
sveis	svEis
sveise	svEis3
sveisen	svEis3n
sveitser	svEits3r
sveitsisk	svEitsisk
sveitsiske francs	svEitsisk3froN
sveive	svEiv3
svekke	svEk3
svekling	svEkliN
svelge	svElg3
svelle	svEl3
svensk	svEnsk
svenske	svEnsk3
sverd	svEd
sverge	svErg3
sverme	svErm3
sverte	svEt3
svett	svEt
svette	svEt3
sveve	svev3
svevende	svev3n3
svi	svi
svigerinne	svig3rin3
svike	svik3
svikefull	svik3f3l
svikte	svikt3
svime	svim3
svimle	sviml3
svimmel	svim3l
svimmelhet	svim3lhet
svindle	svinl3
svinekjøtt	svin3SEt
sving	sviN
svinge	sviN3
svinne	svin3
svinse	svins3
svippe	svip3
svir	svir
svirre	svir3
svoger	svog3r
svulme	sv3lm3
svulst	sv3lst
svulstig	sv3lsti
svulstige	sv3lsti3
svulstigere	sv3lstir3
svulstigst	sv3lstikst
svulstigste	sv3lstikst3
svær	svEr
svært	svEt
svømme	svEm3
svømmedyktig	svEm3dikti
svømmedyktige	svEm3dikti3
svømmedyktigere	svEm3diktir3
svømmedyktigst	svEm3diktikst
svømmedyktigste	svEm3diktikst3
svømmer	svEm3r
svøpe	svep3
sy	si
sydame	sidom3
sydd	sid
sydde	sid3
syde	sid3
sydlig	sidli
sydlige	sidli3
sydligere	sidlir3
sydligst	sidlikst
sydligste	sidlikst3
syk	sik
sykeattest	sik3otEst
sykehus	sik3h3s
sykekasse	sik3kos3
sykelig	sik3li
sykelige	sik3li3
sykeligere	sik3lir3
sykeligst	sik3likst
sykeligste	sik3likst3
sykepleier	sik3plEi3r
sykkel	sik3l
sykkelhjelm	sik3lyElm
sykkelsti	sik3lsti
sykkeltur	sik3lt3r
sykle	sikl3
sykt	sikt
sylindrisk	silindrisk
sylskarp	silskorp
sylte	silt3
symbol	simbul
symbolisere	simbuliser3
symbolsk	simbulsk
symfonisk	simfunisk
symmetrisk	simetrisk
sympatisere	simpotiser3
sympatisk	simpotisk
synd	sin
synde	sin3
syndig	sini
syndige	sini3
syndigere	sinir3
syndigst	sinikst
syndigste	sinikst3
syne	sin
synes	sin3s
synge	siN3
synger	siN3r
synke	siNk3
synkron	siNkrun
synkronisere	siNkruniser3
synlig	sinli
synlige	sinli3
synligere	sinlir3
synligst	sinlikst
synligste	sinlikst3
synonym	sinunim
synshemmet	sinshEm3t
synsk	sinsk
synspunkt	sinspuNt
syntetisk	sintetisk
syre	sir3
syrlig	siLi
syrlige	siLi3
syrligere	siLir3
syrligst	siLikst
syrligste	siLikst3
sysle	sisl3
sysselsette	sis3lsEt3
systematisere	sist3motiser3
systematisk	sist3motisk
syte	sit3
sytråd	sitro
sytten	sEt3nsit3n
sytti	siti sEti
syv	siv
så	so
så synd	sosin
såkalt	sokolt
såle	sol3
sånn	son
såpe	sop3
såpeopera	sop3up3ro
sår	sor
sårbar	sorbor
såre	sor3
såte	sot3
sær	sEr
særlig	sELi
særlige	sELi3
særligere	sELir3
særligst	sELikst
særligste	sELikst3
særprege	sErpreg3
særskilt	sErSilt
søke	sek3
søker	sek3r
søkkvåt	sEkvot
søknad	seknod
søkt	sekt
søle	sel3
sølete	sel3t3
sølv	sEl
sømme	sEm3
sømmelig	sEm3li
sømmelige	sEm3li3
sømmeligere	sEm3lir3
sømmeligst	sEm3likst
sømmeligste	sEm3likst3
søndag	sEndog
søndager	sEndog3r
sønderknust	sEn3rkn3st
sønn	sEn
søppel	sEp3l
søppelkasse	sEp3lkos3
søppeltønne	sEp3ltEn3
sør for	serfor
sørge	sErg3
sørgelig	sErg3li
sørgelige	sErg3li3
sørgeligere	sErg3lir3
sørgeligst	sErg3likst
sørgeligste	sErg3likst3
sørgmodig	sErgmudi
sørgmodige	sErgmudi3
sørgmodigere	sErgmudir3
sørgmodigst	sErgmudikst
sørgmodigste	sErgmudikst3
sørlig	seLi
sørlige	seLi3
sørligere	seLir3
sørligst	seLikst
sørligste	seLikst3
sørpe	sErp3
søster	sEst3r
søt	set
søtningsmiddel	setniNsmid3l
søvnig	sEvni
søvnige	sEvni3
søvnigere	sEvnir3
søvnigst	sEvnikst
søvnigste	sEvnikst3
søvnløshet	sEvnleshet
t-bane	tebon3
t-skjorte	teSut3
ta	to
ta avskjed	toovSed
ta bort	tobut
ta hensyn til	tohEnsintil
ta imot	toimut
ta med	tome
ta på	topo
ta på seg	toposEi
ta seg av	tosEiov
tabbe	tob3
tablett	toblEt
tak	tok
taka	toko
taket	tok3
takk	tok
takke	tok3
takknemlig	toknEmli
takknemlige	toknEmli3
takknemligere	toknEmlir3
takknemligst	toknEmlikst
takknemligste	toknEmlikst3
takle	tokl3
takluke	tokl3k3
taksere	tokser3
takst	tokst
takt	tokt
taktfast	toktfost
taktfull	toktf3l
taktisk	toktisk
taktløs	toktles
tale	tol3
talgkjertel	tolgSEt3l
talglys	tolglis
tall	tol
tallerken	tolErk3n
tallrik	tolrik
tam	tom
tander	ton3r
tang	toN
tange	toN3
tangere	toNger3
tango	toNgu
tank	toNk
tanke	toNk3
tanke opp	toNk3op
tankefull	toNk3f3l
tankeløs	toNk3les
tann	ton
tannbørste	tonbESt3 tombESt3
tannhjul	tony3l
tannkjøtt	tonSEt
tannkrem	tonkrem toNkrem
tannpirker	tonpirk3r
tanntråd	tontro
tannverk	tonvErk tomvErk
tante	tont3
tap	top
tape	tEip
tapetsere	top3tser3
tappe	top3
tapper	top3r
tarm	torm
tarvelig	torv3li
tarvelige	torv3li3
tarveligere	torv3lir3
tarveligst	torv3likst
tarveligste	torv3likst3
taske	tosk3
tasse	tos3
tatovere	totuver3
tau	tE3
taubane	tE3bon3
taue	tE33
taus	tEws
taushet	tE3shet
te	te
teater	tEotr tEot3r
teaterstykke	tEot3Stik3
teatralsk	tEotrolsk
tegn	tEin
tegne	tEin3
tegnefilm	tEin3film
tegneserie	tEin3seri3
tegning	tEiniN
tegnspråk	tEinsprok
teig	tEig
teit	tEit
tekkelig	tEk3li
tekkelige	tEk3li3
tekkeligere	tEk3lir3
tekkeligst	tEk3likst
tekkeligste	tEk3likst3
tekkes	tEk3s
tekniker	tEknik3r
teknisk	tEknisk
teknologi	t3knulugi
teknologisk	t3knulogisk
tekst	tEkst
tekste	tEkst3
tekstil	t3kstil
tele	tel3
telefaks	telEfoks
telefon	tElEfun
telefonere	tElEfuner3
telefonieren	tElEfonir3n
telefonkiosk	tElEfunSosk
telefonkort	tElEfunkot
telefonnummer	tElEfunum3r
telefonrør	tElEfunrer
telefonsvarer	tElEfunsvor3r
telegrafisk overføring	tElEgrofisk ov3rferiN
telegram	tElEgrom
teleks	telEks
telenor	tE3lnur te3lnur
teleobjektiv	telEubyEktiv
telepatisk	t3l3potisk
telle	tEl3
telt	tElt
telte	tElt3
temme	tEm3
temmelig	tEm3lig tEm3li
tempel	t3mp3l
temperatur	tEmp3rot3r
tempo	tEmpu
tenke	tENk3
tenke på	tENk3po
tenkte	tENt3 tENkt3
tenne	tEn3
tenning	tEniN
tennis	tEnis
tennisracket	tEnisrEk3t
tenåring	tEnoriN
teolog	t3ulog
teologisk	t3ulogisk
teoretisk	t3uretisk
tepose	tepus3
teppe	tEp3
terge	tErg3
terminal	tErminol
terpe	tErp3
terrasse	tEros3 tEros3
terrassere	tEroser3
terreng	terEN
terrengsykkel	tErEsik3l
terrorisere	tEruriser3
terroristisk	tEruristisk
terskel	tESk3l
tese	tes3
teskje	teSe
tess	tEs
teste	tEst3
tett	tEt
tette	tEt3
ti	ti
tid	tid
tidfeste	tidfEst3
tidlig	tili
tidlige	tili3
tidligere	tilir3
tidligst	tilikst
tidligste	tilikst3
tidsriktig	titsrikti
tidsriktige	titsrikti3
tidsriktigere	titsriktir3
tidsriktigst	titsriktikst
tidsriktigste	titsriktikst3
tidsskrift	titskrift
tie	ti3
tief	tif
tigge	tig3
tikke	tik3
til	til
til høyre	tilhEyr3
til sist	tilsist
til tross for	tiltrosfor
til venstre	tilvEnstr3
tilbake	tilbok3
tilbakeholden	tilbok3hol3n
tilbakelegge	tilbok3lEi3
tilbakereise	tilbok3rEise
tilbe	tilbe
tilberede	tilb3red3 tilbEred3
tilbringe	tilbriN3
tilbud	tilb3d
tilby	tilbi
tilbørlig	tilbeLi
tilbørlige	tilbeLi3
tilbørligere	tilbeLir3
tilbørligst	tilbeLikst
tilbørligste	tilbeLikst3
tilbøyelig	tilbEy3li
tilbøyelige	tilbEy3li3
tilbøyeligere	tilbEy3lir3
tilbøyeligst	tilbEy3likst
tilbøyeligste	tilbEy3likst3
tildele	tildel3
tilegne	tilEin3
tilfalle	tilfol3
tilfeldig	tilfEldi
tilfeldige	tilfEldi3
tilfeldigere	tilfEldir3
tilfeldighet	tilfEldihet
tilfeldigst	tilfEldikst
tilfeldigste	tilfEldikst3
tilfreds	tilfrEts
tilfredsstille	tilfr3tstil3
tilføre	tilfer3
tilføye	tilfEy3
tilgi	tilyi
tilgjengelig	tilyEN3li
tilgjengelige	tilyEN3li3
tilgjengeligere	tilyEN3lir3
tilgjengelighet	tilyEN3lihet
tilgjengeligst	tilyEN3likst
tilgjengeligste	tilyEN3likst3
tilgjort	tilyut
tilhenger	tilhEN3r
tilhøre	tilher3
tilhører	tilher3r
tilintetgjøre	tilint3tyer3
tilkalle	tilkol3
tilkjenne	tilSEn3
tilkjennegi	tilSEn3yi
tilkommende	tilkom3n3
tillate	tilot3
tillatelig	tilot3li
tillegg	tilEg
tillit	tilit
tillitsfull	tilitsf3l
tilnærmet	tilnErm3t
tilpasse	tilpos3
tilregnelig	tilrEin3li
tilregnelige	tilrEin3li3
tilregneligere	tilrEin3lir3
tilregneligst	tilrEin3likst
tilregneligste	tilrEin3likst3
tilråde	tilrod3
tilrådelig	tilrodli tilrod3li
tilrådelige	tilrod3li3
tilrådeligere	tilrod3lir3
tilrådeligst	tilrod3likst
tilrådeligste	tilrod3likst3
tilsette	tilsEt3
tilsi	tilsi
tilskuer	tilsk33r
tilstrekkelig	tilstrEk3li
tilstrekkelige	tilstrEk3li3
tilstrekkeligere	tilstrEk3lir3
tilstrekkeligst	tilstrEk3likst
tilstrekkeligste	tilstrEk3likst3
tilstå	tilsto
tilstøte	tilstet3
tilsvare	tilsvor3
tilsynelatende	tilsin3lot3n3
tilta	tilto
tiltale	tiltol3
tiltre	tiltre
tiltrekke	tiltrEk3
tiltro	tiltru
tiltru	tiltr3
tilvirke	tilvirk3
tilårskommen	tiloSkom3n
time	tim3
timian	timion
tindre	tindr3
tine	tin3
ting	tiN
tinge	tiN3
tinglyse	tiNlis3
tippe	tip3
tips	tips
tirre	tir3
tirsdag	tiSdog
tispe	tisp3
tistel	tist3l
titte	tit3
titulere	tit3ler3
tivoli	tivuli
tjafsete	Sofs3t3
tjene	tyen3
tjener	tyen3r
tjenerinne	tyen3rrin3
tjeneste	tyen3st3
tjue	S33
tjueen	S33En
tjuefem	S33fEm
tjueni	S33ni
tjueto	S33tu
tjuetre	S33tre
tjukk	S3k
tjære	SEr3
to	tu
toalett	tuolEt
toast	toust
tobakk	tubok
tobakksforretning	tuboksorEtniN
tog	tog
toget	tog3
togtjeneste	tugSenEst3
tohundre	tuh3ndr3
tolerant	tol3roN
tolerere	tol3rer3
tolke	tolk3
toll	tol
tollavgift	tolovyift
tolldeklarasjon	toldEkloroSun
tollfri	tolfri
tolv	tol
tom	tom
tomat	tumot
tomgang	tumgoN
tomhendt	tumhEnt
tomsete	tums3t3
tomsing	tumsiN
tomt	tomt
tone	tun3
toneangivende	tun3onyiv3n3
tonløs	tunles
topp	top
toppe	top3
tordenvær	t3dnvEr
tordne	tudn3
tordner	tudn3r
tore	tur3
torg	torg
tornete	tun3t3
toro	turu
torsdag	tuSdog
torturere	tut3rer3
tosk	tosk
total	tutol
totalitær	tutolitEr
tradisjonell	trodiSunEl
trafikk	trofik
trafikkere	trofiker3
trafikklys	trofiklitros
tragedie	trogedi3
tragisk	trogisk
trakassere	trokoser3
trakke	trok3
trakt	trokt
trakte	trokt3
tralle	trol3
trampe	tromp3
trang	troN
trangsynt	troNsint
transformere	tronsformer3
transparent	tronsporoN
transplantere	tronsplonter3
transportabel	tronspotob3l
transportere	tronspoter3
transseksuell	tronsEks33l
trapp	trop
trase	trose
traske	trosk3
trassig	trosi
trassige	trosi3
trassigere	trosir3
trassigst	trosikst
trassigste	trosikst3
traust	trE3st
trave	trov3
travel	trov3l
tre	tre
tredje	tredy3
tredve	trEdv3
treffe	trEf3
treffende	trEf3n3
treg	treg
trehundre	treh3ndr3
trekant	trekont
trekanta	trekont3t
trekantet	trekont3t
trekke	trEk3
trene	tren3
trener	tren3r
trenge	trEN3
trening	treniN
tresnitt	tresnit
trette	trEt3
tretten	trEt3n
trettende	trEt3n3
trettendedagen	trEt3n3dog3n
tretti	trEti
trettien	trEtien
trettito	trEtitu
trevl	trEvl
trikk	trik
trille	tril3
trillebår	tril3bor
trimme	trim3
trinn	trin
trio	triyu
trippe	trip3
trist	trist
triumfere	tri3mfer3
trivelig	triv3li
trivelige	triv3li3
triveligere	triv3lir3
triveligst	triv3likst
triveligste	triv3likst3
trives	triv3s
triviell	triviyEl
trivsel	trifs3l
tro	tru
troende	tru3n3
trofast	trufost
trolig	truli
trolige	truli3
troligere	trulir3
troligst	trulikst
troligste	trulikst3
trolle	trol3
trolsk	trolsk
troløs	trules
tromme	trum3
trommehinne	trum3hin3
trone	trun3
tropisk	trupisk
troskyldig	truSildi
troskyldige	truSildi3
troskyldigere	truSildir3
troskyldigst	truSildikst
troskyldigste	truSildikst3
trosse	tros3
troverdig	truvEdi
troverdige	truvEdi3
troverdigere	truvEdir3
troverdigst	truvEdikst
troverdigste	truvEdikst3
tru	tr3
true	tr33 tr3w3
trumf	trumf
truse	tr3s3
truseinnlegg	tr3s3inlEg
trussel	t3r3s3l
trygg	trig
trygge	trig3
trygle	trigl3
trykk	trik
trykke	trik3
trylle	tril3
tryne	trin3
trå	tro
tråd	tro
tråden	troon
tråder	troor
tråkke	trok3
tråkle	trokl3
trær	trEr
trøste	trEst3
trøtt	trEt
trøttende	trEt3n3
tufs	t3fs
tukte	t3kt3
tulle	t3l3
tullete	t3l3t3
tumle	tuml3
tun	tun
tung	tuN
tunge	tuN3
tungsindig	tuNsini
tungsindige	tuNsini3
tungsindigere	tuNsinir3
tungsindigst	tuNsinikst
tungsindigste	tuNsinikst3
tungvint	tuNvint
tunnel	t3n3l
tur	t3r
turbulent	t3rb3lEnt
turgåing	t3rgoiN
turist	t3rist
turistkontor	t3ristkuntur
turkart	t3rkot
turkis	t3rkis
turne	t3n3
turnsko	t3nsku
tursti	t3Sti
tusen	t3s3n
tusle	t3SL3
tussete	t3s3t3
tute	t3t3
tv	teve
tv-rom	teverum
tverr	tvEr
tvers gjennom	tv3Sy3num
tvetydig	tvetidi
tvetydige	tvetidi3
tvetydigere	tvetidir3
tvetydigst	tvetidikst
tvetydigste	tvetidikst3
tvile	tfil3 tvil3
tvilsom	tvilsom
tvinge	tviN3
tvinne	tvin3
tvungen	tvuN3n
tvære	tvEr3
ty	ti
tyde	tid3
tydelig	tid3li
tydelige	tid3li3
tydeligere	tid3lir3
tydeligst	tid3likst
tydeligste	tid3likst3
tygge	tig3
tyggis	tigis
tykk	tik
tykne	tikn3
tynge	tiN3
tynn	tin
type	tip3
typisk	tipisk
tyrannisere	tironiser3
tyrannisk	tironisk
tyrkisk	tirkisk
tysk	tisk
tysker	tisk3r
tyskland	tisklon
tyst	tist
tyste	tist3
tyte	tit3
tyv	tiv
tyve	tiv3
tyveri	tiv3ri
tå	to
tåke	tok3
tåkete	tok3t3
tåle	tol3
tålmodig	tolmudi
tålmodige	tolmudi3
tålmodigere	tolmudir3
tålmodighet	tolmudihEt
tålmodigst	tolmudikst
tålmodigste	tolmudikst3
tåpelig	top3li
tåpelige	top3li3
tåpeligere	top3lir3
tåpeligst	top3likst
tåpeligste	top3likst3
tåre	tor3
tårn	ton
tåte	tot3
tåteflaske	tot3flosk3
tære	tEr3
tø	te
tøff	tEf
tømme	tEm3
tømming	tEmiN
tømre	tEmr3
tørke	tErk3
tørketrommel	tErk3trum3l
tørr	tEr
tørre	tEr3
tørst	tESt
tørt	tEt
tørt hår	tEt hor
tøye	tEy3
tøyle	tEyl3
tøylesløs	tEyl3sles
tøyse	tEys3
tøysete	tEys3t3
uakseptabel	3oks3ptob3l
uaktsom	3oktsom
ualminnelig	3olmin3li
ualminnelige	3olmin3li3
ualminneligere	3olmin3lir3
ualminneligst	3olmin3likst
ualminneligste	3olmin3likst3
uanfekta	3onfEkt3t
uanfektet	3onfEkt3t
uansett	3onsEt
uanstendig	3onstEni
uanstendige	3onstEni3
uanstendigere	3onstEnir3
uanstendigst	3onstEnikst
uanstendigste	3onstEnikst3
uansvarlig	3onsvoLi
uansvarlige	3onsvoLi3
uansvarligere	3onsvoLir3
uansvarligst	3onsvoLikst
uansvarligste	3onsvoLikst3
uatskillelig	3otSil3li
uatskillelige	3otSil3li3
uatskilleligere	3otSil3lir3
uatskilleligst	3otSil3likst
uatskilleligste	3otSil3likst3
uavbrutt	3ovbr3t
uavgjort	3ovyut
uavhengig	3ovhENi
uavhengige	3ovhENi3
uavhengigere	3ovhENir3
uavhengigst	3ovhENikst
uavhengigste	3ovhENikst3
uavlatelig	3ovlot3li
uavlatelige	3ovlot3li3
uavlateligere	3ovlot3lir3
uavlateligst	3ovlot3likst
uavlateligste	3ovlot3likst3
uavsluttet	3ovSL3t3t
ubalansert	3boloNset
ubarmhjertig	3bormyEti
ubarmhjertige	3bormyEti3
ubarmhjertigere	3bormyEtir3
ubarmhjertigst	3bormyEtikst
ubarmhjertigste	3bormyEtikst3
ubebodd	3b3bud
ubegava	3b3gov3t
ubegavet	3b3gov3t
ubegrensa	3b3grEns3t
ubegrenset	3b3grEns3t
ubegripelig	3b3grip3li
ubegripelige	3b3grip3li3
ubegripeligere	3b3grip3lir3
ubegripeligst	3b3grip3likst
ubegripeligste	3b3grip3likst3
ubehagelig	3b3hog3li
ubehagelige	3b3hog3li3
ubehageligere	3b3hog3lir3
ubehageligst	3b3hog3likst
ubehageligste	3b3hog3likst3
ubekvem	3b3kvEm
ubeleilig	3b3lEili
ubeleilige	3b3lEili3
ubeleiligere	3b3lEilir3
ubeleiligst	3b3lEilikst
ubeleiligste	3b3lEilikst3
uberørt	3b3ret
ubestemt	3b3stEmt
ubetenksom	3b3tENksom
ubetinget	3bEtiN3t
ubetydelig	3betid3li
ubetydelige	3betid3li3
ubetydeligere	3betid3lir3
ubetydeligst	3betid3likst
ubetydeligste	3betid3likst3
ubevegelig	3b3veg3li
ubevegelige	3b3veg3li3
ubevegeligere	3b3veg3lir3
ubevegeligst	3b3veg3likst
ubevegeligste	3b3veg3likst3
ubevisst	3b3vist
ublu	3bl3
ubotelig	3but3li
ubotelige	3but3li3
uboteligere	3but3lir3
uboteligst	3but3likst
uboteligste	3but3likst3
ubrukbar	3br3kbor
ubrukelig	3br3k3li
ubrukelige	3br3k3li3
ubrukeligere	3br3k3lir3
ubrukeligst	3br3k3likst
ubrukeligste	3br3k3likst3
ubøyelig	3bEy3li
ubøyelige	3bEy3li3
ubøyeligere	3bEy3lir3
ubøyeligst	3bEy3likst
ubøyeligste	3bEy3likst3
udanna	3don3t
udannet	3don3t
udelt	3delt
udugelig	3d3g3li
udugelige	3d3g3li3
udugeligere	3d3g3lir3
udugeligst	3d3g3likst
udugeligste	3d3g3likst3
udødelig	3ded3li
udødelige	3ded3li3
udødeligere	3ded3lir3
udødeligst	3ded3likst
udødeligste	3ded3likst3
uegennyttig	3eg3niti
uegennyttige	3eg3niti3
uegennyttigere	3eg3nitir3
uegennyttigst	3eg3nitikst
uegennyttigste	3eg3nitikst3
uegnet	3Ein3t
uekte	3Ekt3
uendelig	3En3li
uendelige	3En3li3
uendeligere	3En3lir3
uendeligst	3En3likst
uendeligste	3En3likst3
uenig	3eni
uenige	3eni3
uenigere	3enir3
uenigst	3enikst
uenigste	3enikst3
uerstattelig	3EStot3li
uerstattelige	3EStot3li3
uerstatteligere	3EStot3lir3
uerstatteligst	3EStot3likst
uerstatteligste	3EStot3likst3
ufarlig	3foLi
ufarlige	3foLi3
ufarligere	3foLir3
ufarligst	3foLikst
ufarligste	3foLikst3
ufattelig	3fot3li
ufattelige	3fot3li3
ufatteligere	3fot3lir3
ufatteligst	3fot3likst
ufatteligste	3fot3likst3
ufin	3fin
uflidd	3flid
uforanderlig	3foron3li
uforanderlige	3foron3li3
uforanderligere	3foron3lir3
uforanderligst	3foron3likst
uforanderligste	3foron3likst3
uforbederlig	3forbed3Li
uforbederlige	3forbed3Li3
uforbederligere	3forbed3Lir3
uforbederligst	3forbed3Likst
uforbederligste	3forbed3Likst3
uforbeholden	3forb3hol3n
uforberedt	3forb3r3t
ufordragelig	3fodrog3li
ufordragelige	3fodrog3li3
ufordrageligere	3fodrog3lir3
ufordrageligst	3fodrog3likst
ufordrageligste	3fodrog3likst3
uforfalska	3forfolsko
uforfalsket	3forfolsk3t
uforglemmelig	3forglEm3li
uforglemmelige	3forglEm3li3
uforglemmeligere	3forglEm3lir3
uforglemmeligst	3forglEm3likst
uforglemmeligste	3forglEm3likst3
uforklarlig	3forkloLi
uforklarlige	3forkloLi3
uforklarligere	3forkloLir3
uforklarligst	3forkloLikst
uforklarligste	3forkloLikst3
uformelig	3form3li
uformelige	3form3li3
uformeligere	3form3lir3
uformeligst	3form3likst
uformeligste	3form3likst3
uformell	3formEl
uforpliktende	3forplikt3n3
uforsiktig	3foSikti
uforsiktige	3foSikti3
uforsiktigere	3foSiktir3
uforsiktigst	3foSiktikst
uforsiktigste	3foSiktikst3
uforskamma	3foSkom3t
uforskammet	3foSkom3t
uforskyldt	3foSilt
uforstandig	3foStoni
uforstandige	3foStoni3
uforstandigere	3foStonir3
uforstandigst	3foStonikst
uforstandigste	3foStonikst3
uforståelig	3foSto3li
uforståelige	3foSto3li3
uforståeligere	3foSto3lir3
uforståeligst	3foSto3likst
uforståeligste	3foSto3likst3
uforstående	3foSto3n3
uforsvarlig	3foSvoLi
uforsvarlige	3foSvoLi3
uforsvarligere	3foSvoLir3
uforsvarligst	3foSvoLikst
uforsvarligste	3foSvoLikst3
ufortrøden	3fotred3n
uforvarende	3forvor3n3
ufravikelig	3frovik3li
ufravikelige	3frovik3li3
ufravikeligere	3frovik3lir3
ufravikeligst	3frovik3likst
ufravikeligste	3frovik3likst3
ufri	3fri
ufullendt	3f3lEnt
ufullkommen	3f3lkom3n
ufullstendig	3f3lst3ni
ufullstendige	3f3lst3ni3
ufullstendigere	3f3lst3nir3
ufullstendigst	3f3lst3nikst
ufullstendigste	3f3lst3nikst3
ufyselig	3fis3li
ufyselige	3fis3li3
ufyseligere	3fis3lir3
ufyseligst	3fis3likst
ufyseligste	3fis3likst3
ufølsom	3felsom
ufør	3fer
ugift	3yift
ugjenkallelig	3y3nkol3li
ugjenkallelige	3y3nkol3li3
ugjenkalleligere	3y3nkol3lir3
ugjenkalleligst	3y3nkol3likst
ugjenkalleligste	3y3nkol3likst3
ugjennomtrengelig	3y3nomtrEN3li
ugjennomtrengelige	3y3nomtrEN3li3
ugjennomtrengeligere	3y3nomtrEN3lir3
ugjennomtrengeligst	3y3nomtrEN3likst
ugjennomtrengeligste	3y3nomtrEN3likst3
ugle	3gl3
ugyldig	3yildi
ugyldige	3yildi3
ugyldigere	3yildir3
ugyldigst	3yildikst
ugyldigste	3yildikst3
uhandterlig	3honteLi
uhandterlige	3honteLi3
uhandterligere	3honteLir3
uhandterligst	3honteLikst
uhandterligste	3honteLikst3
uhelbredelig	3h3lbred3li
uhelbredelige	3h3lbred3li3
uhelbredeligere	3h3lbred3lir3
uhelbredeligst	3h3lbred3likst
uhelbredeligste	3h3lbred3likst3
uheldig	3hEldi
uheldige	3hEldi3
uheldigere	3hEldir3
uheldigst	3hEldikst
uheldigste	3hEldikst3
uhell	3hEl
uholdbar	3holbor
uhorvelig	3horv3li
uhorvelige	3horv3lii3
uhorveligere	3horv3liir3
uhorveligst	3horv3liikst
uhorveligste	3horv3liikst3
uhumsk	3h3msk
uhyggelig	3hig3li
uhyggelige	3hig3li3
uhyggeligere	3hig3lir3
uhyggeligst	3hig3likst
uhyggeligste	3hig3likst3
uhyre	3hir3
uhåndterlig	3honteLi
uhåndterlige	3honteLi3
uhåndterligere	3honteLir3
uhåndterligst	3honteLikst
uhåndterligste	3honteLikst3
uhøflig	3hEfli
uhøflige	3hEfli3
uhøfligere	3hEflir3
uhøfligst	3hEflikst
uhøfligste	3hEflikst3
uhørt	3het
uidentifisert	3id3ntifiset
uimotståelig	3imutsto3li
uimotståelige	3imutsto3li3
uimotståeligere	3imutsto3lir3
uimotståeligst	3imutsto3likst
uimotståeligste	3imutsto3likst3
uimottakelig	3imutok3li
uimottakelige	3imutok3li3
uimottakeligere	3imutok3lir3
uimottakeligst	3imutok3likst
uimottakeligste	3imutok3likst3
uinteressert	3int3r3set
ujevn	3yEvn
uke	3k3
ukekort	3k3kot
ukentlig	3k3ntli
ukentlige	3k3ntli3
ukentligere	3k3ntlir3
ukentligst	3k3ntlikst
ukentligste	3k3ntlikst3
ukjent	3SEnt
uklanderlig	3klon3Li
uklanderlige	3klon3Li3
uklanderligere	3klon3Lir3
uklanderligst	3klon3Likst
uklanderligste	3klon3Likst3
uklar	3klor
ukrenkelig	3krENk3li
ukrenkelige	3krENk3li3
ukrenkeligere	3krENk3lir3
ukrenkeligst	3krENk3likst
ukrenkeligste	3krENk3likst3
ukritisk	3kritisk
ukuelig	3k33li
ukuelige	3k33li3
ukueligere	3k33lir3
ukueligst	3k33likst
ukueligste	3k33likst3
ulastelig	3lost3li
ulastelige	3lost3li3
ulasteligere	3lost3lir3
ulasteligst	3lost3likst
ulasteligste	3lost3likst3
ule	3l3
uleilig	3lEili
uleilige	3lEili3
