we 	w i
peýdalanmakda	p e d a l a n m a k d a
prokurorlar	p r o ph~ l a r
pudaklara	p u d a k l a r a
pugtalandyrylmagy	p u g t a l a n dy~ cy~ l m o g
rowaçlygynyň	r o w a ly~ Z 5 a
ruhubelentlikde	r u h u b e l e n t l i k d e
saklaýarlar	s a q  a l a r
salgylanma	s a l Z a nz~ m a
salynmagy	s a ly~ n gy~
samboçylary	s a m b o y
sanawda	s a n a w d a
saparlaryň	s a p a r  i a
sazlamak	s a z l a m a k
sazlaşygyň	s a z l o S y Z a
sazçylyk	s a z y ly~
saýlanylyp	s a l a 5 ly~ p
saýlaýar	s a l a a r
sementiň	s e m e n t i a
senesiniň	s e n e s i n i a
serenjam	s e r e n j a m
serişdesinde	s e r i S d e s i n d e
skripkaçylar	s k r i p  y l a r
sorap	s o r a p
sorujy	s o r u h
sowallar	s o w a y a r
sungatlarynyň	s u N a tL~ a X hy~ 5 a
sylaga	s i m g a b o k
synçylaryň	s  u y o ry~ a
sütünleri	s i i l e r i
taekwondonyň	t a e k w o n d o 5 a
talapnamasy	t a l a p n a m a k
tanyşmagyny	t a 5 S m y 3 n
tapmaga	t a p m a g a
tapmaçalary	t a p a l a r
tassyklaýarlar	t a s a k l o a l a r
teklibiň	t a k l i b i a
teksti	t a k s t i
telewideniýäniň	t e l e w i d e n i 3 n i a
teswirnamasynyň	t e fs~ i r n a m a s 3 n 3 a
togtadylyp	t o x t a o ly~ p
topologiýasyna	t o p o r o g i a s 3 n a
tory	t o r
toýunyň	t o u 5 a
tumary	t u m a r
turbinaly	t u r b i n a l
tussaglykdan	t u s s a g ly~ k d a n
tutma	t u t m a n
täzelenip	t 3 z e l e n i p
töledilip	h a l e d i l i p
türgene	m a n t r g e n e
ukyplydygyny	u k 3 p ly~ o Z n
ulanylandan	u l a 5 l a nd~ a n
uny	u n
urup	u r u p
ussatlarymyz	u s s e  i m u z
ussatlaryna	u s v tL~ a X cy~ n a
utgaşdyrmagyň	u t gh~ u o S o r m a x y a a
utmagy	u t gy~
uçuşlary	u u S
wekilhana	w e k i l a n a
wekilhanasy	w e k i l a n a s
wepalylygy	w e p a ly~ ly~ gy~
windsörfing	w i d s o r f i N
wiza	w i c a
ygtyýary	y g T a r
ylalaşygyna	y l o l o S y Z n a
ylgamakda	y l g a m a k d a
ynanmak	y n a n m a k
yzlary	y z l a r
zakazçy	z a k a Z
zaýawkanyň	z a i h a 5 a
zenanlarymyzyň	z e n a  i m u z  y a
zolaklarda	z o l a q  d a
Ätiýaçlandyryjynyň	t i a l a n dy~ ry~ hy~ 5 a
Ätiýaçlandyryşyň	t i a l a n dy~ cy~ S y n
Çyzykly	y z a q kw~ a
Çäklendirilen	3 k l e n d i r i l e n
Özboluşly	z b o l u S
Özleriniň	z l e r i n i a
Ýarymaýyň	a r i m y a
Ýaryş	a r y S
Ýazmaça	a z a
Ýelena	e l e n a
Ýolagçylaryň	o l a g u y o cy~ a
Ýurtlaryň	u r tL~ a X ry~ n
äheňinde	3 h i n i d e
ätiýaçlandyrma	3 t i a l a n dy~ r m a
çagyrýarys	y 3 r a hy~
çakyr	a k 3 r
çalşylýan	a l S u y
çalşyrylyp	a l S y ry~ ly~ p
çapuw	a p u
çekilmeginiň	r l a w a n i n i a
çyglylyk	y g ly~ ly~
çykarylandygy	k  cy~ l a n dy~ gy~
çykarylmagyna	k  hy~ l m y 3 n a
çykarylyp	k  hy~ ly~ p
çykarylyşynyň	k  ry~ ly~ S y 5 n
çyksa	a q s a
çäklendirilmeýär	3 k l e n d i r i l d 3 r
çärede	3 r e d e
örtügi	o r t 3 g i
öwrüljek	k r l h
özleşdirip	o 3 z l e S d i r i p
özleşdirmekde	o 3 z l e S dy~ s a y m 3 k d e
öýlerde	o l e r d e
öňürti	o a 3 r t i
ülňülerini	l a k e l e r i n i
ünsli	i w i
ýaramsyz	a r a m s u k u z
ýatyr	a t e r a
ýatyrylmaga	a ty~ ry~ l m o g o
ýaýbaňlanýar	a b a a a nz~ a r
ýaýratmaga	a r a t m a g a
ýaşalmaýan	o S a l m o
ýaşamagynyň	o S a m a x y a 5 a
ýaşar	o S a r
ýaşaýşy	o S a S
ýaşululara	o S u l u l a r a
ýerlenilýän	r xy~ E kw~ l 3 n
ýetirilipdir	e t i r i l i p d i r
ýetirjekdigine	 r h k y a N i n e
ýetýän	e t 3 n
ýiten	i t e n
ýitirýär	i t i r 3 r
ýoklugy	o k k e
ýuwujy	u h
ýyldakydan	y u l d a k i 8 a n
ýyndam	y nd~ a m
ýörediji	a r e d i h i
ýöretmäge	a r e t m 3 g e
ýüzi	3 z i
ýüztutmasy	3 z r o b o s
Şweýsariýadan	w e s a r i 3 s 3 r 3
Şägirtlik	3 h i r i o L i k
Şäherleriň	3 i* l e r i a
Şükür	3 k a r
şa	S a
şadessanynyň	S a d 3 s a a 5 5 a
şertini	S e r t i n i
şäherdir	S 3 i* d i r
şübhesizdir	S 3 b z d a i r
Žurnal	u r n a l
žurnalistleriň	Z u v i r n a l i s t l e r i a
žurnallaryň	Z u v i r n a l l a hy~ n
Abdulla	b d u y a
Annaýewiň	e w i a
Anyk	5
Arassa	r a s a
Artyk	r T
Azerbaýjandan	z e r b a y a nd~ a n
Aýgytlaýjy	Z tL~ a X hy~
Babamyradowa	a b a m r a d o w a
Babaýew	a b " 3 o
Baky	a k
Bazar	l a u k a r
Bedew	p i e d o
Bilşimiz	i l S i m i z
Bina	i n a
Bölek	o r a
Dahyllylar	a h y L y l a r
Deputat	e p u t a t
Derýanyň	e r a 5 a
Desgalaryň	e s g a l a hy~ a
Duşenbe	u S e n b e
Döwletliler	k l e  l e r
Edil	d i l
Fransiýada	r a s i a d a
Garpamyk	a r p a m k
Gatnaşyja	a t n 3 S i L a
Gatnaşyjynyň	a t n 3 S y hy~ 5 a
Gatnaşyklaryň	a t n 3 S a q  i a
Gender	E d i n
Geodeziýa	e b a  a
Giorgiý	i o r i
Gumanitar	u m a n i t a r
Gutlagy	u t l a g
Gyzlaryň	y z l a cy~ n
Halaç	a l a
Haç	a
Hyzmatlar	y z L a r
Ilçihanasy	l i h a n a s
Işsizlik	S s i z b u C o
Joşgunly	o S g u n kw~ a
Kansleri	s l e r i
Kitapda	t a p d a
Kärhanany	r i e f 3 n
Köýten	o t e n
Köşi	o S i
Londonda	d o n d a
Maksatnamada	a k s a t n 3 a d a
Maksatnamanyň	a k s a t n 5 a
Maldarçylyk	a l d a r y ly~
Maslahatynyň	a s l a h a t u s 5 a
Mejlisine	j l i s i n e
Merkezleşdirilen	e r k e z l e S d i r i l e n
Meýdançada	e d a a d a
Meýletin	e l e t i n
Minnihanow	i n d i* 7 a n o
Miraslyk	i r a s ly~
Mugallymçylyk	t u g a ly~ i m y ly~
Myrat	y r a t
Nejmeddin	j m e d i n
Neşirýat	e S i r a t
Okuwyň	k u w 3 a
Olimp	l i m p
Pariž	a ry~ Z e
Paryzdepäniň	a r y z d a e p 3 n i a
Pikir	i k i r
Psihiatrik	s i h i a t r i k
Puluň	u l u a
Puşmana	u S m a n a
Pyragy	y t a n g g a
Raýdaş	a d o S
Sahnada	a h n a d a
Salgydy	a l Z t a
Seljuk	e l X u k
Seul	u
Söweşjeň	k e S i n
Talyplaryň	t a ly~ p l a n i n hy~ a
Taslamany	a s l a m a n
Tomaşaçylaryň	u m o S a u y o ry~ a
Toplumlaýyn	o p l u m l E y n
Tälim	3 l i m
Tölegli	o l e g l i
Türkmenleriň	3 r k m E n l e r i a
Welaýatda	e l a a t d a
Ykdysadyýetimiziň	k o v o  m i a a
abadanlaşdyryş	a b a d a n l o S o cy~ S
absolýut	a b " s o l u t
adamlaryna	a d a m l E cy~ n a
agajynyň	a g a hy~ 5 a
agzaçar	y n d r o a r
alamatydyr	a l a m a t o r
algydaryň	a l Z d a r y a
altynsow	a l Th~ Th~ o
alynyp	t a ly~ 5 p
alyşmalary	t a ly~ S b o i
amatsyz	a m a c u z
arakesme	a r a k e s m e
aralygyna	a r a ly~ Z n a
arkalaşykly	a r k o l o S a q kw~ a
arzuwy	a r z u w 3
asma	a s m a
asmanda	a s m a n d a
asudalygyň	a s u d a ly~ Z a
atlandyrypdyrlar	a t l a n dy~ hy~ p o l a r
atlandyrýarlar	a t l a n dy~ r a l a r
audit	a u d i t
awia	a w i a
awtoduralgalaryň	a w t o d u r a l g a l a cy~ a
awtomatlary	a w t o 7 tL~ a X n a
açyşlar	a y S
aýlanýan	a a nz~
aýrylyp	a hy~ ly~ p
aýyp	a y p
aýyplaýjysy	a y p l a n i n hy~ s
aňynda	a a y nd~ a
babatyndaky	b a b a t u s h k
baglara	b o g l a r a
baglaşyldy	b o g l o S y u l d u z
bagyşlap	b a x y a S a p
balyklary	b a l u k k
bapda	b a p d a
barar	b a r a r
barlyşyksyz	b a X l u k S a q s u z
baýdagyna	b a d a x y a n a
baýlyklarynyň	b a ly~ k l o cy~ 5 a
başda	b o S d a
başlarynda	b a S  i nd~ a
begendirdi	b e x e n d i r d i
bekedine	b e k e d i n e
belgisiniň	b e l g i s i n i a
bergileri	b e r g i l e r i
berilse	b E r e l s e
besläp	b e s l 3 p
betbagtçylykly	b e t b a g t y ly~ k kw~ a
beýannamasyny	b e a m a s 3 n
bilimleriň	b i l i m l e r i a
bilşiňiz	b i l S i a i z
biriňize	b i r i a i z e
birleşdirip	b 3 r l e S d i r i p
boldugyça	b o l d o Z a
bozmak	b o z
bozup	b o z u p
buhgalter	b u h g a l t e r
bukjasynyň	b u k y a s 3 n 3 a
buýsanjydyr	b u s a* hy~ o r
bähbit	b E h t i b i t
bäsdeşleri	b 3 s d e S l e r i
bäsdeşlerinden	b 3 s d e S l e r i n d e n
bäsleşer	b 3 w t a S e r
bäsleşiler	b 3 w t a S i l e r
bölege	b u w o l e g e
bütinleý	b 3 t i n l e
daýhanlary	d a a
daşalmagyny	d o S a l m y 3 n
daşamagy	d o S gy~
dekabryndan	d e k a b cy~ nd~ a n
derejelerine	d e r e h e l e r i n e
derwezesiniň	d e r e z e s i n i a
deňlik	d e N b u C o
dillerine	d i l l e r i n e
diplomatlar	d i p xy~ u 7 L a r
diwanynyň	d i w a 5 5 a
diwaryň	d i w a ry~ a
diýilýär	d i i l 3 r
dostlarça	d o s tL~ a X n a a
dowamyna	d o w a m 3 n a
duralgasy	d u r a l g a s
dury	d u r
duýup	d u u p
duşuşyklarynda	d u S u S a q  i nd~ a
döredilende	d a r e d i l e n d e
döwürler	d k 3 l e r
dükanlarynyň	d 3   i 5 a
dünýäden	d i a r e n
dünýäni	d i 3 n i
edaralardan	e d a r a l a r d a n
edijileri	e d i j i l e r i
edilenleri	e d i l 3 n l e r i
edinilýär	e d i n i l 3 r
edýärdi	p i e d r i e d i
ekerançylaryň	e k e r a n u y o ry~ a
elektronika	e l e k t r o n i k a
elementleriň	l E l E m E n  a
elçarpyşmalar	e l a r py~ S b e r m a l a r
eminleriň	e m i n l e r i a
erkine	e r k i n e
esaslandyran	e s a s l a n dy~ r i
esaslaryna	e s a s l a hy~ n a
esaslaryň	e s a s l a ry~ n
esere	e s e r e
eserlerinden	e s E r l e r i n d e n
etdireris	e t d i r e r i s
etekleriniň	e t e k l e r i n i a
etme	e t m e
eýedigine	e e d i g i n e
eýelerini	e e l e r i n i
festiwalynyň	f e S t i w a ly~ 5 a
film	b i l m
filmler	b i l m l e r
fizioterapiýa	f i 5 o t E r a  a
flotuny	f l o t u n
flotunyň	f l o t u 5 a
foto	f o t o
frahtlaýanyň	f r a h tL~ a X a 5 a
futbolçylar	f u t b o l y l a r
gadyrly	g a o E kw~ a
gahrymany	g a h r i m
galasy	g p i S k
galdyrdylar	g a u l d u z r o l a r
galp	g a l p
galyndylarynyň	g a ly~ ndy$  i 5 a
gapdalynda	g a p u d a ly~ nd~ a
gaplary	g a p u
garadylar	g a r a o l a r
garalýan	g a r a l
garaýandygyny	g a r a a n dy~ Z n
garaşly	g a r a S
garaşyp	g a r a S y p
garşylanyldy	g a r S y l a 5 u l d u z
gat	g a t
gatlaklary	g a t l a q
gatnaşjakdygyny	g a t n 3 S n i 5 o Z n
gatyşyk	g a t S k
gawunlary	g a w u l i
gawunyň	g o u 5 a
gaza	g a z a
gazagystanly	g a z y 3 s t a n kw~ a
gazanmakda	g a z a n m a k d a
gazanylmagy	g a z a 5 l m o g
gazturbina	g a z t u r b i n a
gaçyp	g a y p
gaýduwsyzlyk	g a dw~ y s u z  ly~
gaýtarylmagy	g a t a hy~ l m o g
gelendiklerini	g e l e n d i k l e r i n i
geodeziýa	g e b a  a
geologiki	g e o l o g i k i
geriminiň	g e r i m i n i a
german	g e r m a n
gezim	g e z u* f o
geçirilişe	g  i r i l i S e
geçirilýändiginiň	g  i r i l 3 nd~ i g i n i n
geçmişi	g  m i S i
girdejisine	g i r d e h a i s i n e
girelgesinde	g i r e l g 3 s i n d e
girizilenden	g i r i  l e n d e n
giňeldilýär	g i a e l d i l 3 r
goldady	g o l d a d
goldanylmagy	g o l d a 5 l m o g
gollanmalaryň	g o l l a n m a r  i a
goragly	g o r a g kw~ a
goralmagyna	g o r a l m y 3 n a
gowulandyrylmagyna	g o w u l a n dy~ hy~ l m y 3 n a
gowşak	g o w S a k
goýlandyr	g o l a nd~ e r a
goşandyna	g o S a n dy~ n a
gruzin	g r u w Z
gullukçy	g u L u k
gurallaryň	g u r a ly~ a cy~ n
guramasyny	g u r a m a s 3 n
guraýarlar	g u r a a l a r
guraýjy	g u r a hy~
gurluşlary	g u r l u S
gurluşykçylar	g u r l u S a q y l a r
gurluşyna	g u r l u S
gurýarys	g u r a hy~
gurşawynyň	g u r S a w 3 n 3 a
gutarýan	g u t a r
guýularyň	g u b e cy~ n
guşçulyk	g u S u ly~
gyzy	gy~ z
gyzyklanýar	gy~ z a q a nz~ a r
gämide	g 3 m i d e
gönükdirmäge	g n 3 k d i r m 3 g e
görkezijisidir	g a r k e z i j i s i d i r
görülmeginiň	g a r l a w a n i n i a
göwrümini	g k a s m i n i
göwün	g k o N
gözlegler	g o 3 z l e g l e r
gümmezli	N m e r L i
habarnamany	h a b a X n a q 5
hadysa	h a t i s a
hadysalarynyň	h a t i s a l a hy~ 5 n
hakujy	h a k u h
hakykaty	h a k k a t
halyçy	h a ly~
hassahanalary	h a s s a h a n a l a r
hassahanalaryň	h a s s a h a n a l a hy~ n
hassahananyň	h a s s a h a n a 5 a
hormata	h o r m a t a
hyzmatdaşlygynda	h u z  m a t d o S ly~ Z nd~ a
häsiýetlendirip	h a e S i e t l e n d i r i p
häzirlikçe	h 3  r l i k e
iberilmegini	i b e r e l a w a n i n i
ilkinjiligi	a l k i n j i l i g i
infrastruktura	i n f r a s t r u k t u r a
itleri	i L e r i
işgärlerinden	i S g r i e l e r i n d e n
janköýerleriň	h a n k o r xy~ E kw~ e r i a
jebisliginiň	h e t l i g i n i a
jedelleşilýän	h e d e l l e S i l 3 n
jemgyýetimizi	j e m Z  m i z i
jezalary	h e z a l a r
jümmüşinde	j 3 m 3 S i d e
kabel	k a b e l
kanunalaýyk	k a n u n a l a y
kararlaryna	k a r a r  i n a
kararlaryň	k a r a r  i a
kazyýetlik	k a Z y e
kepilidir	k e p i l i d i r
kesgitlemekde	k e s g i L e m e k d e
kilogramy	k i l o g r a m
kime	k i m e
kitaphanalar	k i t 3 p a n a l a r
kitaphanasynyň	k i t 3 p a n a s 3 n 3 a
klubynyň	k l u by~ 5 a
koeffisiýenti	k o e f a  l e v e n t i
kombinirlenen	m i b i r l e n e n
komissiýa	k o m i s s i a
kommunikasiýalar	k o m u n i k a s i a l a r
kompozisiýalary	k o m p o a i a l a r
konsertine	q o n i k e r t i n e
konwensiýa	q o n i k w e ns~ i a
korporatiw	k o r p o r a t i
kowçum	k o w u m
kynçylyklar	ky~ n y ly~ k l a r
kysymlarynyň	ky~ s i m l E hy~ 5 a
kämilleşdirmekde	k 3 m i l l e S dy~ s a y m 3 k d e
känini	k 3 n i n i
köl	k o
köpdürli	k o p d 3 l i
köprüsiniň	k o p a s a h i a
köpçülik	k o p l i k
köpüsinde	k o p 3 s i n d e
köçesi	k o e s i
künjegi	k 3 n o x e g i
künjekleri	k 3 n o x e k l e r i
küştçüler	k 3 S t k e l e r
küştçüleriniň	k 3 S t k e l e r i n i a
lukmanlary	l u k
lukmanyň	l u k 5 a
lukmançylygy	l u k y ly~ gy~
lybaslaryň	ly~ b a l a ry~ n
lybasynda	ly~ b a s 3 n d a
maddalaryna	l y e z i hy~ n a
maglumatlardan	m a h h a r a  d a n
manysyna	m a 5 s 3 n a
maslahatlara	s l a h a L a r a
maslahatlaşyp	s l a h a t l o S y p
maýadarlar	m a a d a r l a r
maýanyň	m a a 5 a
maýyplygy	m a y p ly~ gy~
medeniýetleriniň	m e d e n i e t l e r i n i a
mejlisleri	m e h l i w t a r i
mele	m e l e
meni	m e n i
merkezidir	m e r k a  dy~ r
merkezlerine	m e r k e z l e r i n e
metjidine	m e t i d i n e
metrologik	m e t r o l o g i k
meşgullanmagyň	m e S g u y a n m a x y a a
meşhurlyk	m e S w E kw~ a
milliondan	m i l l i o n d a n
minudynda	m i n u o nd~ a
myhmanhanasyna	m 3 t h a n a s 3 n a
mysallary	m 3 s a ly~ a r
müňýyllygyň	m 3 a y u l ly~ Z a
nagyşly	n a x y a S
naharyny	n a h a r e
nazar	n a z a r
nesle	n e s l e
nyrhnama	5 r hn~ a m a
näsaglara	n 3 s a g l a r a
oglan	o g i c
okaýar	o k a a r
okuwçy	o k u w
okyjylary	o k hy~
onlaýn	o n l a n
operasynyň	o p e r a s 3 n 3 a
operatorlary	o p e r a t o r
oragyny	o r a x y a n
organlary	u r g a
orunbasarlaryna	u r u nb~ a s e r  i n a
oturdaşlarynyň	o t u r d a S  i 5 a
oturdyp	o t u r o p
oturgyçlar	o t u r Z l a r
oýnadylar	o n a o l a r
oýunçysy	o u n
paralimpiýa	p a r a l i m p i a
pars	p a r
pasportynyň	p a s p o r Th~ 5 n
paýtagt	p a t o x
peýdalanyjynyň	p e d a l a 5 hy~ 5 a
polipropileni	p o l i p r o p i l e n i
portuny	p o r t u n
pursatlarda	p u r sw~ tL~ a X n a d a
pursatlarynda	p u r sw~ tL~ a X hy~ nd~ a
pälwanlar	p 3 7 l w a n l a r
raýdaşlyk	r a d o S ly~
redaksiýanyň	r e d a k S i a 5 a
rentgen	r e n t g 3 n
reňki	r e N k i
salgy	s a l gy~
sanlar	s a* l a r
sapagy	s a p a g
satyjynyň	s a t hy~ 5 a
saýlamaly	s a l o m o l
saýlawlaryny	s a l a w
saýt	s a
sebitler	s e  L e r
sebäbini	s e b 3 b i n i
seljerildi	s e l x e r e l d i
seljerişi	s e l x e r i S i
senasynyň	s e n a s 3 n 3 a
sentýabry	s e n t a o*
sereden	s e r e d e n
seredilmegi	s e r e d i l m E g i
serhetleri	s e r h e t l e r i
seýilgähi	s e i l g E h t i i
seýilgähiniň	s e i l g 3 h i n i a
seýilgähler	s e i l g 3 L e r
simfoniki	s i m f o n i k i
soraglary	s o r a g
soralýan	s o r a l
sowallara	s o w a l l a r a
sowgatlaryny	s o w a tL~ a X n a
stansiýalarynyň	s t a s i a l a cy~ 5 n
subýektiň	s u b e k t a
sungatynda	s u N a Th~ nd~ a
suwdaky	s u w d a k
synçylary	s  y
syrlary	s 3 r
söwdada	s k d a d a
söýgini	s o g i n i
sürüldi	s 3 r l d i
talyplaryny	t t a ly~ p l a n i n cy~ n
tamamlamagy	t o m o m  gy~
tansynyň	t a s 3 n 3 a
tanyşdyryp	t a 5 S o cy~ p
tapgyrydyr	t a p Z cy~ o r
taraplaryny	t a r a p l a y i hy~ n
taryhyndaky	t a hy~ y h k
taýýarlanylyp	t a a l a 5 ly~ p
taýýarlanyp	t a a l a 5 p
taýýarlaýarlar	t a a l a a l a r
tebärek	t e b 3 r e k
tematiki	t e m a t i k i
terbiýeleýiş	t E r b i E e l e i S
terbiýesi	t E r b i E e s i
terrorçylyga	t e r ph~ y ly~ g a
tersine	t E r s i n e
teswirnamasy	t e fs~ i r n a m a k
toparymyza	t o p i i m c a
towuklaryň	t o u k l o ry~ a
toýa	t o a
toýuna	t o u n a
turbalar	t u r b a l a r
turbalaryň	t u r b a l a hy~ a
tutanyňda	t u t a 5 a d a
tygşytlamak	ty~ e g S 3 t l a m a k
täsirinden	t a e S r i d e n
täsirine	t a e S i r i n e
täsirlerini	t 3 X a l e r i n i
tölenilmeginiň	h a l e n i l a w a n i n i a
tölenmeýär	h a l e e g w i t a 3 r
uglerodyň	u L e r o t i a
ukyplylyk	u k 3 p ly~ ly~
ukypsyz	u k 3 p s u z
ulanmazdan	u l a n m a z d a
ulanylmalydyr	u l a 5 l m o l y o r
ulanylyş	u l a 5 ly~ S
uçarlaryň	u a l a cy~ a
uçran	u r i
uçuşlaryň	u u S  i a
welin	w e l i n
wesýetlerine	w e s e t l e r i n e
weteranlaryň	w e t e r a n  i a
wezipedir	e z i  p e d i r
wezipelerinde	e z i  p e l e r i d e
wezipesidir	e z i  T i d i r
wideoşekiller	w i d e o S e k i l l e r
ygtyýarlydyr	y g T a r ly~ o r
ylalaşan	y l o l o S
ylalaşylýar	y l o l o S u y a r
ylymda	y ly~ m d a
ynanyşmagyň	y n a 5 S Z a
yzarlaýyş	y z a l a y S
yzygiderliligini	y z y g i d i n l i l i g i n i
yşyklary	y S a q
zalynyň	z a ly~ 5 a
zaýalanmagy	z a a l a n m a r gy~
zehinine	z e h i n i n e
zehinleriň	z e h i n l e r i a
zolagyndaky	z o l a x y a h k
zolaklarynda	z o l a q  i nd~ a
zorluk	z o r l u k a 7
zähmetde	z E h t i m e t d e
Çözgüt	o z N
Önümleriň	n m 3 l e r i a
Ösüşiň	s 3 S i a
Öwezow	w e z o
Özbaşdak	z b o S d a k
Öýjükli	j 3 k l i
Ýaryşlara	a r y S
Ýedi	e d i
Ýekebara	e k e bh~ a r a
Ýeriň	r i a
Ýurdumyza	g o m c a
Ýüküň	3 g u a
çagyrmaga	y 3 r m a g a
çalşyjy	a l S i L
çapmagyň	a p Z a
çapyksuwarlary	a py~ k s u w a l a r
çarpdylar	a r p o l a r
çekenlere	k b a n l e r e
çekilmelidir	r l m e l i d i r
çemeleşme	e m e l e S m e
çemeleşmäniň	e m e l e S m 3 n i a
çeşmesidir	e S S i d i r
çyglylygy	y g ly~ ly~ gy~
çykarmagy	y k a r m a j
çyralar	r a l a r
çäklendirilmezden	3 k l e n d i r i l m e z d a e n
çäklendirýän	3 k l e n d i r 3 n
çäklenmeýär	3 k l e e g w i t a 3 r
çäkler	3 k l e r
çärýeginde	r i e g i d e
çöllük	o L 3
çözgütleriniň	o z N L e r i n i a
ölçegdäki	o l g 8 o r i k i
ölçegli	o l g l i
öndürmegi	n d 3 s a y m 3 g i
önümlerden	n m 3 l e r d e n
önünde	n 3 nd~ e
örtük	o r t 3
ösümliklerden	o s m 3 l i k l e r d e n
öwrenýärler	k r e n r i e l e r
öwrülendigini	k r k e l e n d i g i n i
öwürmegi	k 3 s a y m 3 g i
özleşdirmegi	o 3 z l e S d i r m E g i
ýadynda	a o nd~ a
ýakynlaşdyrýar	a ky~ n l o S o r a r
ýanyndan	a 5 nd~ a n
ýapmak	a p
ýapylýar	a py~ l a r
ýaragsyzlanmak	a r a g a z l a n m a k
ýatlasak	a L a s a k
ýatyrmagyň	m u h u Z a
ýatyryp	a T ry~ p
ýazga	l g a
ýaýmaga	a m a g a
ýaşlaryny	a S
ýerlerindäki	r xy~ E kw~ e r i d 3 k i
ýerleşdirilişi	r xy~ E kw~ e S d i r i l i S i
ýerleşendir	r xy~ E kw~ e S e n d i r
ýetmegiň	e t a w a n i a
ýewropa	e w a z i
ýeňildi	a g a i l d i
ýitgiler	i t g i l e r
ýitirmän	i t i r m 3 n
ýokaryk	k a d k
ýolagçylara	o l a g y l a r a
ýygnaldy	y g n a l d
ýygnalyp	y g i E 5 t a ly~ p
ýygyndylary	y Z ndy$
ýyllardaky	y u l  d a k
ýyllarynyň	y u l  i 5 a
ýüke	3 k e
ýüzüp	3 z 3 p
ýüzýän	3 z 3 n
Ştatlarynyň	t a t l a hy~ 5 a
şahly	S a L
şahsdyr	S a 7 s o r
şatlygy	S a t ly~ gy~
şaýada	S a a d a
şekillendirilendir	S e k i l l e n d i r i l e n d i r
şekillerini	S e k i l l e r i n i
şikaýatlary	S i k a a tL~ a X n a
şikes	S i k e s
şypahanalar	S 3 p a h a n a l a r
şypahanasy	S 3 p a h a n a s
şäherjigini	S 3 i* j E g i n i
şöhlelendirilýär	S o L e l e n d i r i l 3 r
şöhratynyň	S o r a ty~ 3 n 3 a
žurnalda	Z u v i r n a l d a
Abdylla	b o t L a
Agama	g a m a
Akademiýasynyň	k a d e m i i S k 5 a
Alty	l t
Arkadagyň	r k a d a x y a a
Assosiasiýanyň	a d a m s u s i a 5 a
Awazany	w a z a n
Awtoulag	v t o l o g
Azat	z a t
Aýallaryň	a dl~  i a
Aýyplanýan	y p a nz~
Aşgabatlylar	S g a b a t ly~ l a r
Banka	n
Barlagyň	a r l a x y a a
Beden	e d e n
Borçnamanyň	u r 5 a
Business	u s i n e s
Bäsleşigi	3 w t a S i g i
Deputatlaryň	e p u t a tL~ a X hy~ a
Diýarymyzy	i i i m u z
Durmuşa	u r m u S a
Däbe	3 b e
Dört	o r
Döwletow	k l e t o
Ekleýjisini	k l e j i s i n i
Esasly	s a s l
Etrabyň	tr~ a by~ a
Final	i n a l
Finlýandiýanyň	i n l a nd~ i a 5 a
Gadyr	a d e r a
Galkanyň	a l u 5 a
Galyndylary	t a ly~ ndy$
Gazna	a z n a
Geleşigiň	e l e S i g i a
Geçip	 i p
Girdeji	i r d e h a i
Girewe	i r e w e
Gruziýadan	r u  3 s 3 r 3
Gutlag	u t l a g
Gökderede	k d e r e d e
Göreş	o r e S
Gözleg	o 3 z l a
Gülçülik	l l i k
Hanym	5 m
Hawa	a w a
Holding	o l d i N
Hyzmaty	y z ty ~
Hyzmatyň	y z ty~ a
Häzirlikçe	3  r l i k e
Ilatly	m u kw~ a
Ilçiş	l i S
Iýmit	m i t
Işleri	S l e r i
Jahan	a h a t a
Jeza	d a
Kazyýetleriň	a z y   a
Kitabyň	i t a by~ a
Kärende	3 r e n d e
Körpeler	o r p e l e r
Limited	i m i
Lukaşenkonyň	t u k a S e nk ~ o b 5 a
Maglumatlar	y h a r a a r
Maksatnamasyna	a k s a t n 3 m a s 3 n a
Mariýa	a ry~ a
Maslahaty	a s l a h a t
Mekdebe	e k d e b e
Mergen	e r g 3 n
Merwde	e r w d e
Mowzuk	o w z u k
Müsür	3 s a r
Müňlerçe	3 a l e r e
Nury	u r
Obanyň	b a 5 a
Omanyň	m a 5 a
Pagtanyň	y t a 5 a
Paýtagtymyz	a t o x ty~ m u z
Polşa	o l S a
Pudagy	u d a x y a
Puşkin	u S k i n
Resminamalary	e s m i n a m a l a r
Rezolýusiýanyň	e z o l u s i a 5 a
Riga	i k a
Sanjar	a n j a r
Soň	o a
Super	u p e r
Süleýman	u l e m a n
Tahyr	a h 3 r
Tanyşdyryş	5 S o cy~ S
Taý	a
Terbiýeleýiş	e r b i E e l e i S
Tertipnamasynda	e r t e p n a m a s 3 n d a
Toplum	o p l u m
Topluma	o p l u m a
Türkmenstandartlary	3 r k m E n s t a n tL~ a X n a
Uşu	S u
Wagtyň	y ty~ a
Welaýatlarda	e l a a tL~ a X n a d a
Welosiped	e l o s i p e d
Wezipeli	d i p e l i
Ylýas	l 3 s
Zehinli	e h i n l i
Zyýanyň	y a 5 a
abzallary	a b z a ly~ a r
adalgalar	a d a l g a l a r
agentler	a g e n
agzalaryndan	y r o l o hy~ nd~ a n
akkreditiwiň	a k r e d i t i % a
aklaw	a k l a w
akymyny	a k i m 3 n
