di	d i
expansion	" k ns~ i o n
ganadornan	g a n a d o r n a n
graduado	g r a d u a d o
impacta	i m p a k t a
indocumenta	i d o k u m e nt~ a
inspiracion	s p i r a i o n
integral	i n t e g r a l
live	l i v E
lock	l o k
miyones	m i o n i
mutuo	m u t u o
nabega	n a b e g a
pata	p a t a
permanente	p e r m a n e n t e
piscadonan	p i s k i s  o n a n
president	p r e s i d e n t
primordial	p l i m o r dy~ a l
rebaho	r e b a h o
reconocemento	r E c o n o k E m E n t o
rekisito	r e k i s i t o
sorprende	s o r p r e n d e
stock	s t o k
stoel	s t o
stof	s t o f
suministro	s u m i n i s t r o
teritorial	t e r i t o r i a l
trapa	tr~ a p a
trimester	l i m e s t e r e n
vez	p e m u
wela	w e l a
Activo	k t i b o
Atrobe	t r o b e
Consecuentemente	o* s e kw~ e n t E m E n t e
Fort	u r
Huis	k i s
Integridad	t e g r i d a d
Jose	o s e
Kia	i a
Linear	i n e a r
Matutino	a t u t i n o
Miss	i s
Ricardo	i k a r d o
accesibel	a k k b e l
admira	a d m i r a
aerolineanan	a e r o l i n e a n a n
angustia	a n g u s t a
bela	b e l a
combersacionnan	k o mb~ e r sw~ i o* n a n
comosifuera	k o m o s i pw~ e r a
confusion	r o n f u s i o n
conmemora	r o n m e m o r a
conteo	r o n t e o
costanan	k o s t a n a n
deduci	d e d u k i
desaparece	d e s a p a r e k e
devastador	d e b E s t a d o r
electronico	e l e k t r o n i k o
enbes	e n b e sy~ s
encarcela	e n C i r e l a
entretenimento	e n t r e t e n i m e n t o
facilmente	f a c i l m e n t e
fix	f i S
honesto	h o n e s t o
hospitaliza	h o s p i t a l i n c a
increibel	m a r e i b e l
militarnan	m i l i t a r n a n
molestia	o l e s t a
monetario	m o n e t a r i o
muda	r u g a
obhetivo	o b h e t i b o
pool	p o l
presidencial	p r e s i d i n C i w a l
presupuesta	p r e s u p u e s t a
resiliente	r e s i l i e n t e
stabil	s t a b i l
supletorio	s u p l e t o r i o
tanki	t a n k i
taxistanan	t a x i s t a n a n
unit	u n i t
visibel	v i s i b e l
Abogado	b o g a d o
Antes	nt~ m 3 s
Baby	a b "
Baly	a l
Digital	i g i L a l
Divi	i v i
Josephine	o s e p h i n e
Kavel	E b e l
Liber	i b e r
Metal	e t a l
Metanan	e t a n a n
Papa	a p a
Seccion	e T i o n
Spaño	p a 5 u
Tara	a r a
Trigt	x
Unidad	n i d a d
Valdes	a l d e
Vice	i k e
Werleman	e r l 3 m a n
Zodiac	o d i a k
aclarea	a k l a r e a
adkiri	a d 7 i r i
aviacion	a g o y a i o n
añadi	a 5 a d i
bos	b o s
calculacion	k a l k u l a k a i o n
cendi	k e n d i
cobranza	k o b r a n c a
constelacion	k o s t e l a i o n
cuero	kw~ e r o
deposito	d e p o s i t o
desordo	d e s o r d o
economicamente	e k o n o m i C i C e n t e
epidemia	a p i d e m i a
esei	e s e i
esencia	e s i n C i w a
eyfo	b f o
fiestanan	f i e s t a n a n
ful	f u l
gesto	g e s t o
hancra	h a n C i r a
holo	h o l o
hubentud	h u b 3 n t u d
interogacion	i n t E r o g a i o n
kg	k
luznan	% i s n a n
mercancia	m e r 5 u k u n C i w a
metodo	m e t o t o
motorisa	m u t u r i s a
negligencia	n e g l i g 3 n C i w a
peaton	p e a t o n
percela	p e r e l a
playa	p l a y i l a
prestamonan	p r e s t a m o n a n
primordialmente	p l i m o r dy~ a l m e n t e
proponi	p r o p o n i
propuesta	p r o p u e s t a
recursonan	r E C u r s o n a n
reemplasa	r E 3 mp~ l a s a
repatriacion	r e p a t r i a i o n
respectivamente	r e s p E kh~ a m e* t e  e n t e
seco	s e k o
significa	s i g  k a
silencio	s i l 3 n C i w o
skerpi	s k e r p i
slachtofferhulp	s l o t  f a i b p
splika	s p l i k a
superior	s u p e r i o r
supervisa	s u p e r i s a
trauma	tr~ a u m a
urna	u r n a
visual	v i s u a l
vooral	v o r a l
Asamblea	s a m b l e a
Cumana	u m a n a
Cura	u r a
Dirks	i r k
Entrada	t r a d a
Fiesta	e s t a
Francia	r a n C i w a
Fun	u n
Jenny	e 5
Kòrsou	a l E s o u
Mastercard	a s t E r k a r d
Ministronan	i n i s t r o n a n
Normalmente	o r m a l m e n t e
Olimpico	l i m p i k o
Panama	a n a m a
Parada	a r a d a
Republicano	e p u b l i k a
Scolnan	k o l n a n
Shark	h a r
Toezicht	o d i t
actuacion	a k t u a i o n
agradabel	a g r a d a b e l
asegurado	a s e g u r a d o
baca	b a k a
bom	b o m
camara	k a m a r a
canalnan	k a n a l
castigabel	k a s t i g a b e l
comprobante	k o m p l o b a nt~ e
conhunto	r o n u n t o
conservacion	r o n e r v a i o n
cortamento	k o r t a m e n t o
corupto	k o r b t o
costumber	k o s t u* b e r e
deadline	d e a d l i n e
detaya	d e t a y a
diversifica	d i e r   k a
excepcional	" u p i o n a l
exitosamente	" i t o s a m i n t e
explora	" p l o r a
extraordinario	" tr~ a o r d i n a r i o
extremo	e S a m o
eybanda	e y b a n d a
felicidad	f e l i k i d a d
gang	g a N
hibe	h i b e
humanidad	h u m a n i d a d
hunta	h u n t a
instrumentonan	s t r u m e n t o n a n
jetBlue	h e
kavel	k a b e l
lasonan	l a s o n a n
logico	l o g i k o
mande	m a nd~ e
mentor	m e n t o r
ministro	m i n i s t r o
muhernan	m u h e r n a n
obhecion	o b u i o n
plaka	p l a k a
practico	p r a k t  o
pretende	p r e t e n d e
privacidad	p r i v a c i d a d
recuperando	r E C u p e r a n d o
rednan	r e d n a n
reflexiona	r e f l " i o n a
ricibiendo	r i i a n d o
rondona	d o nd ~ o n a
skina	s k i n a
sobrebibi	s o b r e  b i
specialistanan	s p e k i a l i s t a n a n
tino	t i n o
tour	t o u r
transforma	i t r i s h m a
traspaso	t r a s p a s o
traves	t r a v e
Alfonso	l f o s o
Antia	t i a
Articulo	r t i k u l o
Basa	a s a
Bernadina	E a n i w
Centraal	e n t r a l
Defensor	e f e Th~ o r
Edwin	d w i n
Mahuma	a h u m a
Media	e d i a
Miembronan	i e mb~ r o n a n
Plas	l a
Prins	r i n
Sali	a l i
Sons	o* s
Studiantenan	t u d i a t e n a n
Taxistanan	a x i s t a n a n
Test	e s t
alerto	a l e r t o
ansha	a n C a
argumento	a r g u m e n t o
automobilistanan	a u t o m o b i l i s t a n a n
autorisacion	a u t o r i s a k i o n
baho	b a h o
card	k a r d
cardinal	k a r d i n a l
cortesia	k o r t e s i a
cria	k r i a
cruel	k
desconfianza	d e s k o n f i a n c a
desperdicio	d e 8 p e n e r w C i w r o
disgusto	d i s g u s t o
fisicamente	f i s i k a m e n t e
grafico	g r a f i k o
hero	h e r o
incorpora	i n k o r p o r a
influenza	i n f m b u g z a
lamentabel	l a m e n t a b e l
libremente	b r E m E n t e
lidera	l i d e r a
mandato	m a nd~ a t o
menu	m E n u
pasashi	p a s a s i
pasion	p a s i o n
positivismo	p o s i t i i s m o
reemplaza	r E 3 mp~ l a z a
reglamento	r e g l a m e n t o
regulacion	r e g u l a k a i o n
representando	r e p r e s e n t a n d o
rumannan	r u m a n n a n
spaño	s p a 5 u
super	s u p e r
suspende	s u s p e n d e
suspendi	s u s p e n d i
task	t 3 s o k
teritorio	t e r i t o r i o
testigonan	t e s t i g o n a n
texto	t e S o
tips	t e p
trailer	tr~ a i l e r
tripulacion	t r e p u l a k a i o n
ubica	u b i k a
worry	w o r
Abo	b o
Abuso	s o
Alemania	l E m a n i a
Awendia	w e n d i a
Balentina	a l e n t i n a
Bay	a y
Bijstand	g i y s t a nd~
Dam	a m
Departamentonan	a p i t a m e n t o n a n
Educacion	d u k a i o n
Haci	a c i
Henk	e n
Inmediatamente	e g w i t a dy~ a t a m e n t e
Inspectie	s p E kh~ a m e* t i e
Luna	u n a
Miembro	i e mb~ r o
Organizacion	r g a n i r o i o n
Palabra	a l a b r a
Poco	o k o
Ruben	u b e n
Solutions	o l u t i o* s
Stef	t e f
Tchong	C o N
Teishi	e i S i
Velasquez	e l a s k a
Wilhelmina	i l h e l m i n a
alaves	a l a v e
amienda	a m i e n d a
aresta	a r e s t a
automobilista	a u t o m o b i l i s t a
autor	a u t o r
avance	m a v a n u k a e
baile	b a i l e
botter	b o t u t e r e n
cautela	k a u t e l a
charla	C a l a
choller	C o l l e r
code	k o t e
colga	k o l g a
comparacion	k o m a r a i o n
compaña	k o mp~ a 5 a
complicacion	k o m p l i k a i o n
declaracionnan	d e k l a r a i o* n a n
dividi	d i v i d i
drama	d r a m a
excelente	" s e l e n t e
frecuentemente	f r e kw~ e n t E m E n t e
fuertemente	f u e r t E m E n t e
holor	h o l o r
huramenta	h u r a m e nt~ a
infunda	i n f u n d a
investigando	i n v e s t i g a n d o
kilometer	k i l 3 e t e r
logronan	l o g r o n a n
luchando	% l u s a nd~ o
machete	m a C e t e
manipulacion	n i p u l a k a i o n
metodonan	m e t o d o n a n
optimista	a t i m i s t a
paki	p a k i
pas	p a s
practicanan	p r a k t i k a n a n
realisacion	r e a l i s a k i o n
renombra	r e n o mb~ r a
restauracion	r a a  i o n
sagrado	s a g r a d o
score	s k o r e
seminario	s e m i n a r i o
siglo	s i g l o
sostenibilidad	s o s t e n i b i l i d a d
standard	s t a n r d
sumo	s u m o
supuestamente	s u p u e s t a m e n t e
tan	t a n
unanimamente	u n a n i m a m e n t e
wiel	w i
Catiri	a t i r i
Diego	i e g o
Directora	i r E C t o r a
Erasmus	r a s m u s
Eva	v a
Financiero	i n a n C y e r o
Hernandez	E a n a n d e z
Horcan	u r k a n
Intensive	t e ns~ i v E
Los	o s
Nisbet	i s b e t
Sur	u r
Unabes	n a b e sy~ s
United	n i
Valero	a l e r o
Willem	i l l 3 m
adelanto	a d e l a n t o
aloca	a l o k a
artificial	a r   i a l
atletanan	a t l e t a n a n
bais	b a i s
boa	b o a
call	k a l o
caos	k a o s
circunstancia	l r i s t a n C i w a
circunstancianan	l r i s t a n C i w a n a n
ciudadnan	i u d a d n a n
confrontacion	r o n f r o n t a  i o n
consensus	r o n w o u s
datos	d a t o s
decadanan	d e k a d a n a n
del	d e l
delitonan	d e l i t o n a n
eficiencia	e f i C y e n C i w a
emocion	e m o k i o n
entusiasmo	e n t u s i a s m o
eror	e r o r
esfuerzonan	e s pw~ e r z o n a n
evidencia	p i r i d i n C i w a
exportacion	" p o r t a i o n
fayo	f a y o
focus	f o k u s
huicio	w i i o
incumplimento	m a e mp~ l i m e n t o
interactivo	i n t E r a k t i b o
interesado	i n t e r e s a d o
interesadonan	i n t e r e s a d o n a n
kwihi	kw~ i 7 i
manteniendo	n e n d o
pensando	p e s a n d o
per	p e r
prolongacion	p r o l o N a C i w o n
reclamo	r E c l a m o
redobla	r e d o b l a k
regala	r e g a l a
regarda	r e g a r d a
responde	r e s p o nd~ e
rifa	r i b u Ng~ a
scrap	s k r a p
seleccion	s e l e k i o n
sponsor	s p o Th~ o r
staf	s t a f
supermercadonan	s u p e r * r a d o n a n
transicion	i t r i s i i o n
vacunacion	v a k u n a g a o n
version	e r S i o n
Alexander	l E a n d e r
Anne	a n n e
Anthony	nt~ o n
Caminda	a m i n d a
Card	a r d
Cratz	r a c
Cual	u a l
Dirksz	i r k
Eustatius	u s t a t i u s
Evita	v i t a
Gobernacion	o b E a n a g a o n
Henter	e n t e r
Hubentud	u b 3 n t u d
Kudawecha	u d a w e C a
Local	o k a l
Man	a n
Masnoticia	a s n o t i i a
MetaCorp	e t a o r p
Otronan	t r o n a n
Pablo	a b l u
Pedagogico	e d a g o g i k o
Placa	l a k a l
Rotary	o t a r
Salazar	a l a z a r
Tempo	3 mp~ o
Tratado	r a t a d o
Venezolanonan	e n e z o r a n o n a n
actualisa	a k t u a l i s a
benidero	b e n i d e r o
bestianan	b e s t i a n a n
brainstorm	b r a s t o r m
bukinan	b u k i n a n
center	C E n t e r
circulacion	l r u l a k a i o n
comproba	k o m p l o b a
consenshi	k o s S i
costoso	k o s t o s o
cuminsamento	k u m i s a m i n t o
cursonan	k u r s o n a n
delivery	d e l i e r
dera	d e r a
desgracia	d e s b o ch~ i a
despedida	d e 8 p e n e d i d a
distribui	d i s t r e g u bw~ i
divisa	d i v i s a
drive	d r i v E
ehemplar	e h 3 mp~ l a r
embargo	e m b a l i m a g o
empresario	3 mp~ r e s a r i o
encuentronan	e n kw~ e n t r o n a n
flexibilisacion	f l " i b i l i s a k i o n
flora	f l o r a
fortalece	f o r t a l e k e
gravedad	g r a v e d a d
imagennan	i m a g 3 n
inaceptabel	i n a k e p t a b e l
indirecto	i n d i r E C t o
innecesario	i n d e* k a* b e s a r i o
inseguridad	s e g u r i d a d
involucra	i n v o b e l r a
join	j o i n
landa	l a n d a
meymey	m e y *
monton	m o* t o n
motivacion	m o t i v a i o n
negosha	n e g o s a
oxigeno	o* x e n o
pantaya	p a n t a y a
pareu	p a r e u
plazo	p l a y i r o
precario	p r E c a r i o
radar	r a d a r
razzia	r a z 5 a
resisti	r e s i s t i
resort	r e s o r
respecto	r e s p E kh~ a m e* t o
reta	r e t a
rio	r i o
rudia	r u d i a
semanal	s e m a n a l
subsidia	s u b i d i a
teoria	t e o r i a
tiendanan	t i e n d a n a n
tip	t i p a
tratando	tr~ a t a n d o
usuarionan	u s u a r i o n a n
Americano	m e r i C i t a
Belgica	e l g i k a
Cualkier	w E l d a k i e r
Desiree	r e
Fin	i n
Haiti	a y t i
Jennifer	3 n f e r
Kapel	a p e l
Kende	e n d e
Kleuterschool	l E u t E r S o l
Landsbesluit	a n d s b e s  i t
Landsrecherche	a n d s r e 5  C e
Lee	e
Management	a n a g E m E n t
Meijer	e i h e r
Ministerraad	i n i S t E r a
Rincon	i n k o n
Rond	o
Services	e r i u
Supervision	u p e r i s i o n
Suriname	u r i n a m e
Una	n a
Veer	e l
Volksgezondheid	o l k s g e z o n d  i d
Youth	o u c
anciano	5 u k a i a
apela	a p e l a
areglonan	a r e g l o n a n
bishitando	b i S i t a n d o
bleki	b l e k i
buelonan	b u e l o n a n
circulando	l r u l a n d o
circular	l r u l a r
colectivo	k o l e k t i b o
consecuentemente	r o n e kw~ e n t E m E n t e
containernan	r o n t 3 E a n a n
controlando	r o n t r o r a n d o
coordina	k o r d i n a
dengue	d e N g w e
desconocidonan	d e s k o n o k i d o n a n
descuento	d e s k u e n t o
destinacionnan	d e s t i n a g a o* n a n
detenshon	d e t e n T u n
dirigentenan	d i x e n t e n a n
disgusta	d i s g u s t a
dispone	d i s p o n e
disposicion	d i s p o s i i o n
donjo	d o* h o
efectua	e f e k t u a
escogencia	e s k o g e n C i w a
factura	f a k t u r a
fomenta	f o m e nt~ a
gram	g r a m
gym	gy~ m
ignora	i N n i o r a
inmenso	i n m E n s o
interesnan	i n t e r e s n a n
internamente	i n t E r n a m e n t e
lamentable	l a m e n t a b l e
liter	t e r
logrando	l o g r a n d o
mayan	m E n
mire	m i r
obligacionnan	o b l a i g a i o* n a n
ofreci	o f r E c i
pesca	m i C
planeta	p l a y i n e t a
posesion	p o s e s i o n
proyeccionnan	p r o y o j i o* n a n
residencia	r e s i d i n C i w a
sembra	s e mb~ r a
sentimentonan	s e n t i m e n t o n a n
substancial	s u b s t a n C i w a l
teatro	t e a t r o
tiplijn	t e p l i j n
traduci	tr~ a d u k i
trankilo	tr~ a n k i l o
vloer	v l o e r
voluntarionan	v o l u n t a r i o n a n
Adicionalmente	d i k i o n a l m e n t e
Afdeling	f d e l i N
Antonio	t o o
Arqueologico	r s o X o l o g i k o
Aruparking	n i n i N
Brasil	r a s i l
Ciencia	i n C i w a
Constitucion	o s t i t u k i o n
Dande	a n e
Daniel	a n i
Dokter	o k t e r e n
Domingo	o m i Ng~ o
Dus	u s
Esun	s u n
Hapon	a p o n
Hogeschool	o g 3 s C o l
Interino	t E r i n o
Kier	i e r
Luz	u
Maske	a s k e
Mental	e n t a l
Mervin	e r v i n
Mil	i l
Miljard	i l y a r d
Muhe	a e
Nederland	p i e d r xy~ E kw~ a n d i g
Obama	b a m a
Orman	r m a n
Planea	l a n e a
Politie	o l i t i e
Rotterdam	o t t E r d a m
Sallestraat	a ly~ a* 7 a t
Scheepvaart	C e e p  a r
Specialmente	p e k i a l m e n t e
Tanten	a n t e n
Tarabana	a r a b a n a
Tormenta	o r m e nt~ a
Tuma	u m a
Turistanan	u r i s t a n a n
Weststraat	e k s t r a t
absoluto	a b " s o l u t o
accent	a k u a 5 a
acomoda	a k o m o d a
acomodacion	a k o m o d a i o n
acompañante	a k o mp~ a 5 a t e
alrespecto	a l r e s p E kh~ a m e* t o
ampliacion	a m p l i a i o n
apart	a p a r
asilo	a s i l o
ateriza	a t e r i c a
autorisa	a u t o r i s a
bataya	b a t a y a
bateria	b a t e r i a
baño	b a 5 u
calma	k a l m a
cantante	k a nt~ a n t e
cartanan	k i t a n a n
castiga	k a s t i g a
chance	% p i s k a n C i e
circulo	l r u l o
comestibel	k o m e s t i b e l
confiabel	r o n % b i j a b e l
cunucu	k u n u k u
dam	d a m
dat	d a t
debil	d e b i l
descripcion	d e s k r i p i o n
detencionnan	d e t e n C i w o* n a n
digitalisa	d i g i t a l i s a
distribucion	d i s t r e i o n
down	d o w n
electricidad	e l e k i cy~ i d a d
eroneo	e r o n e o
fila	b i l a
firmamento	f E i r m a m e n t o
fraude	f r a u d e
frecuente	f r e kw~ e n t e
gradicimento	g r i w C i w r m e n t o
habriendo	h a b r i e n d o
hari	h a r i
huesped	h u i e 8 p e n e d
huez	h u i e z
humilde	h u m i l d e
imagina	i m a g i n a
inmunologico	i n m u n o l o g i k o
integro	i n t e g r o
inventa	i n v e nt~ a
klasnan	k l a s n a n
laso	l a s o
mapa	m a p a
medaya	m e d a y a
mete	m e t e
motoriza	m u t u r i c a
obstaculo	o b s t a k u l o
orarionan	o r a r i o n a n
organizacionnan	u r g a n i r o i o* n a n
parehanan	p a r e h a n a n
parkeer	p i e r e
permisonan	p e r m i s o n a n
pick	p i k
piki	p i k i
planifica	p l a y i  k a
pos	p o s
protehi	p r o t e h i
receta	r E c e t a
rechaza	r E C l a p i a
reforza	r E h r a
rekesitonan	r e k e s i t o n a n
reservanan	r e s E r v a n a n
semi	s e m i
sucursal	s u k u r s a l
sugerencia	s u g e r e n C i w a
tecnologico	t e k n o l o g i k o
tristeza	t r i S t E z E
veredicto	v e r e d i k t o
wayanan	w a y a n a n
yame	y a m e
yude	y u d e
Alaves	l a v e
Alivio	l i v i o
Aviacion	v i a i o n
Avianca	v i a C a
Bernabela	E a n a b e l a
Catolico	a t o l i k o
Colorado	o l o r a d o
Dicon	i k o n
Empleadonan	p l e a d o n a n
Haime	a i m e
Hildward	i l 7 w a r d
Joan	o a n
Militair	i l i t a i r
Nivel	i v e l
Obra	b r a
Parti	i t i
Pastoor	a s t u o r
Quandt	u a nd~
Rapport	a p p o r
Representantenan	a p r e s e n t a n t e n a n
Resultado	e s u l t a d o
Rodgers	o d g e r
Slachtofferhulp	l a t o f a i b p
Sport	p o r
West	e s t
acera	a C E r a
activamente	a k t e  e n t e
agredi	y r e d i
agresion	y r e s i o n
alegre	a l e g r e
alimento	a l i m e n t o
anticurpa	a n t  p a
atraccion	a t r a k i o n
bringando	b r i N a n d o
bruha	b r u h a
consecutivo	r o n e n i u t i b o
contestanan	r o n t e s t a n a n
crusa	k r u s a
culpabel	k u l p a b e l
damanan	d a m a n a
delinea	d e l i n e a
diagnostico	d i a g n o s t  o
directornan	d i r E C t o r n a n
discusionnan	d i s k u s i o n n a n
euro	u
exclui	" k l u i
fada	f a d a
finansa	f i n a s a
food	f o d
formularionan	f o r m u l a r i o n a n
hechonan	h e C o n a n
hibando	h i b a n d o
horizonte	h o r i  b u* d a k
independencia	i n d e p e n d e n C i w a
indesea	i n d e s a i a
inicialmente	i n i C y a l m e n t e
inmunidad	i n m u n i d a d
inocente	i n o k e n t e
invitado	i n v i t a d o
juda	x u d a
km	k m
lancha	l a n C a
landamento	l a n m e n t o
lectornan	l e k t o r n a n
limpieza	l i m p i e z a
listra	l i s t r a
loco	l o k o
mahos	m a h o s
marino	m a r i n o
medicinal	m e d i k i n a l
meimei	m e i m e i
nombernan	n o m b E a n a n
ok	o k
opcionnan	o p i o* n a n
panorama	p a n o r a m a
payroll	p a y r o l o
percepcion	p e r e p i o n
pista	p i s t a
reconstruccion	r E c o s t r u C a i o n
reforsa	r E h s a
sero	s e r o
socionan	s o k i o n a n
staff	s t a f
stichting	s t i C t i N
storianan	s t o r i a n a n
titula	t i t u l a
tosamento	t o s a m i n t o
tristesa	t r i s t i 3 s a
turbulencia	t u r l e n C i w a
usuario	u s u a r i o
votado	v o t a d o
waya	w a y a
yamado	y a m a d o
Alavez	l a v e z
Avestruz	f e s t r u
Basico	a s i k o
Cacho	a c
Conforme	o h m e
Contrario	o t r a r i o
Dilanti	i l a n t i
Dominicano	i n i C i t a
Escudero	s k u d e r o
Fast	s d a
Fonds	d
Give	i v E
Guillfred	u i l f r e d
Hotelnan	o t e l n a n
Libertador	i b e r t a d o r
Marketing	a r k e t i N
Medidanan	e d i d a n a n
Page	a g a
Persona	e r s o n a
Ports	u r c
Pronto	r o n t o
Recien	e T i e n
Rijksministerraad	g i y k s m i n i S t E r a
Sanicolas	a n i k o l a
Segunda	e g u n d a
Tobago	o b a g o
Trahadonan	r a h a d o n a n
Weg	g
WhatsApp	h a c p p
alternativo	a l t E r n a t i b o
balie	b a l i e
bendicion	b e n w C i w r o n
bendiciona	b e n d i k i o n a
bono	b o n o
bringamento	b r i N a m e n t o
camindanan	k a m i n d a n a n
clausura	k l a u s u r a
click	k l i k
confrontando	r o n f r o n t a n d o
continente	r o n t i n e n t e
coordinador	k o r d i n a d o r
corespondiente	k o r e s p o n d i e n t e
credibilidad	k  b i l i d a d
debernan	d e b e r n a n
destaca	d e s t a k a
detayes	d e t a y e
digitalisacion	d i g i t a l i s a k i o n
divisas	d i v i s a s
empuhe	3 mp~ e
fam	f a m
fechanan	f e C a n a n
figura	f i g u r a
force	f o r k e
funcionarionan	f u n C i w o n a r i o n a n
genero	g e n e r o
habrimento	h a b l i m e n t o
heeft	h e f
intentonan	i n t e n t o n a n
invalido	i n v a l i d o
keur	k e u r
marcha	m a* r C a
mision	m i s i o n
muy	m u y
negosacionnan	n e g o s a i o* n a n
nombracion	n o mb~ r a i o n
ofertanan	o f e r t a n a n
panel	p a n e l
particularmente	p e r t i k u l a s a y m 3 n t e
perfecto	p e r f e k t o
piscanan	p i s k i s  a n a n
ponencianan	p o n i n C i w a n a n
preserva	p r e s E r v a
prizon	p r i z o n
quizas	k i c~ 3 s
referente	r e f e r e n t e
reporta	r e p o r t e
resa	r e s a
saludable	s a l u d a b l e
seccionnan	s e k i o* n a n
sosodiendo	s o s o d i e n d o
sub	s u b
testing	t e s t i N
treciendo	w a m i C y e n d o
work	e*
Arashi	r a S i
Astec	s t e k
Autoridadnan	u t o r i d a d n a n
Basora	a s o r a
Bestuur	e s t u r
Buki	u k i
California	a l i f o r n i a
Cft	f
Chevrolet	h e b r o l e t
Child	h i l 7
Comunicacion	n i C i i o n
Dentro	e n t r o
Djis	h i s
Electoral	l e k t o r a l
Esta	s t a
Exprodesk	S p r o d e s k
Filomena	i l o m e n a
George	e o r g e
Google	o g l e
Guardian	u a r dy~ a n
LabHOH	a b "
Lenny	e 5
Mes	m 3 s
Miles	i l a
Mini	i n i
Moko	o k o
Nada	a d a
Norte	u r t e
Plataforma	l a t a h m a
Politico	o l i t  o
Prof	r o f
Royal	o y a l
Senado	e n a d o
Tienda	i e n d a
Tratamento	r a t a m e n t o
Valdez	a l d e z
Visa	i s a
Yaris	a r i s
aan	a n
adopta	a d o p t a
afectando	a f e k t a n d o
artistico	i t i s t  o
asbest	a s % s a m a
asta	a s t a
ata	a t a
audiencia	a u d i i n C i w a
biahamento	b i a h a m e n t o
blokea	b l o k e a
boei	b o e i
campañanan	k a m a 5 a
capa	k a p a
capacita	k a p a k n e n
cayanan	k a y a n a n
cien	C y e n
clinica	k l i n i k a
complice	k o m p l i k e
constante	k o s t a n t e
contacta	r o n t a  t a
crudo	k r u d o
desesperacion	d e s a i 8 p e n e r a i o n
desplega	d e s p l e g a
diferencianan	d i f e r e n C i w a n a n
elementonan	l E l E m E n t o n a n
elogio	e l o g i o
enfermedadnan	e n f s a y m 3 d a d n a n
ensera	e n e r a
entidadnan	e n t i d a d n a n
envez	e n p e m u
felicitacion	f e l i k i t a i o n
frena	f r e n a
fuel	f u e l
gradua	g r a d u a
heroe	h e r o e
inteligencia	i n t e l i g 3 n C i w a
interveni	i n t E r f e n i
kaso	k a s o
lage	l a g e
lansamento	l a s a m i n t o
luhoso	l u h o s o
moratorio	m o r a t o r i o
netamente	n e t a m e n t e
nivelnan	n i v e l n a n
obviamente	o b i a m e n t e
ocacion	o k a i o n
origina	u r i g i n a
plastico	p l a y i s t  o
pobresa	p o b r e s a
productivo	p r o C u k t i b o
profundamente	p r o f u nd~ a m e n t e
rasa	r a s a
raspa	r a s p a
saluda	s a l u d a
session	s e s s i o n
set	s e t
sosteni	s o s t e n i
studio	s t u d i o
tosa	t o s a
yamadanan	y a m a d a n a n
Argentina	r g 3 n t i n a
Arubalening	r u b a l e n i N
Awg	w
Back	a k
Bao	a o
Bin	i n
Booshi	o S i
Cliente	l i e n t e
Colombiano	o l o m b i a
Conferencia	o f m i n C i w a
Cumpra	u m p r a
David	a b i d
Daño	a 5 u
Derechonan	e r e C o n a n
Diesel	e s
Docternan	o k t E r n a n
Edward	d w a r d
Elite	t e
End	nd~
Finansas	i n a sh~ 3 s
Ford	u r d
Gomez	o m e z
Grandinan	r a n w
House	o u s e
Illes	L m 3 s
Instancia	s t a n C i w a
Juffrouw	u f r o u n a
King	i N
Luis	k i s
Mario	a ry~ o
Mediador	e d i a d o r
Milieu	i l i e u
Mundialmente	u n d i a l m e n t e
Pandemia	a n d e m i a
Pfizer	f i 8 e
Rotaract	o t a r a k s
Siendo	i e n d o
Sosten	o s t e i n
Tata	a t a
Telearuba	e l e a r u b a
Telefon	e l e f o n
Tevreden	p i r r e d e n
Town	a u n
Unit	n i t
Zaken	a k e n
Zuid	u i
advies	a d v i e
ambtenaarnan	a m b t e n a r n a n
amistad	a m i s t a d
ansiedad	s i e d a d
aparte	a p i t e
asigna	a s i g n a
atraca	a t r a k a
awasero	a w a s e r o
balora	b a l o r a
biahenan	b i a h e n a n
biña	b i 5 a
bofon	b o f o n
by	b i e
cantica	k a n t i k a
cena	k e n a
certifica	C E r   k a
confidencial	r o n f i d i n C i w a l
contamina	r o n t a m 3 n a
criteria	k r i t E r i a
debati	d e b a t i
delegacion	d e l e 7 a i o n
dependiendo	d e p e n d i e n d o
diabetico	d i a b e t  o
diagnostica	d i a g n o s t i k a
djies	d n o x e
duidelijk	d u i d e l i j
eerste	e l s t e
ekiponan	r p o n a n
exclusivo	" k l u s i b o
externo	" t E r n o
higiene	h i x i E n E
homenahe	h o m E n a e
igualdad	i g w E l d a N a d
impresiona	i m p r e s i o n a
insinua	s i n u a
institucion	s t i t u k i o n
interpreta	i n t E r p r e t a
interpretacion	i n t E r p r e t a i o n
intervencion	i n t E r f e n C i w o n
kibrando	k i b r a n d o
kustwacht	k u s t w o t
medicina	m e d i k i n a
miseria	m i s e r i a
modera	m o d e r a
monumentonan	m o n u m e n t o n a n
nombramento	n o mb~ r a m e n t o
nomina	n o m i n a
ohala	o h a l a
operadornan	o p e r a d o r n a n
originalmente	u r i g i n a l m e n t e
park	p e r
parkeerplaats	p i e l p l a n i n a c
partners	p e r t n e r
piscamento	p i s k i s  e n t o
plaso	p l a y i s o
productor	p r o C u k t o r
prometedor	p r o m e t e d o r
reaccionnan	r e a k i o* n a n
restriccionnan	r a i cy~ i o* n a n
sapato	s a p a t o
seconde	s e k o nd~ e
secuestra	s e kw~ e s t r a
