li 	l i
Pupils	o z g a
Puttinu	u t t i n u
Qabad	a b a d
Qbilna	b i l n a
Qedin	e d i n
Qisna	i s n a
Rangers	a n g 3 r
Ranieri	a n i e r i
Rappreżentanti	a p p h r e n t a n t i
Resources	e s o u r k m 3 s
Riżorsi	i o r S i
Rugby	u gb~
Sarria	m a n i a
Schiavone	C i a v o n e
Schools	C o l
Schrödinger	C r o d i N e r
Scout	k o u t
Section	e k t i o n 3
Sewwieq	e w % a q
Sheffield	h e f i e l
Sidu	d u
Sigriet	i g r i e t
Sinjali	y i n j a l i
Sistemi	i s t e m i
Sisters	i s t E r
Site	i t e
Sitta	i t t a
Skoċċiża	k o i a
Slimiżi	l i m i
Sofia	o f i a
Soċjeta	o x e t a
Specjalment	p e k q  m E n t
Spinola	p i n o l a
Sportivi	p o r t i b i
Stellini	t E l l i n i
Sterlina	t u r xy~ E kw~ i n a
Stompers	t o m p e r
Stretta	t r e t t a
Sunshine	u n C i n e
Suprema	u p r e m a
Systems	y s t e r e p
Tabona	a b " a
Talent	a l e n t
Teachers	E w e S e r
Tekniku	e k n i k u
Tibdil	i b d i l
Tibqa	i b N g a
Tibżax	i b a X
Tigi	i g i
Tir	i r
Tmien	m i e n
Tomlin	l i n
Trapping	r a p p i N
Twelidt	w e l i d
Tweġiba	w e X i a b a
Tħares	a r e
Valentino	a l e n t i n o
Vetturi	e t w e N i
Viani	i a n i
Visits	i s i c
Warrawong	m a n a l o N
Wasalt	a s a l t a s
We	e
Wharf	h a r f
Wings	i N
Xerred	e r
Xjenza	h e n z a
Xogħlijiet	o g i l e
Zakkarija	a k a r i j a
abitanti	a b i t a n t i
addottata	a d t t a t a
adu	a d u
affaxxinanti	a f f a T T i n a n t i
again	a g a i n
aggornati	y g o r n a t i
agħmlu	y m l u
akuta	a k u t a
ambizzjuża	a m b i s z y a r i
ambjentalisti	a m by~ E n t a l i s t i
amministrazzjonijiet	a m i n i s t r a z z y a r o* e
ammirajt	a m a h
ammiratur	a m m i r a t u r
angoli	a N o l i
ankrat	a n k r a t r i
antikwat	a n t i k w a t
apatija	a p a t i j a
aperturi	a p e r t u r i
appellaw	a p p e y a w
arbuxelli	a r f e l l i
arloġġi	a r l o X i X i i
arrestata	m a n e s t a t a
assistejna	n i i S t a  n a
assurd	n i a y i n
attakkanti	a t k k a n t i
attira	a t t i r a
attrezzata	a t t r e z z a t a
attriċi	a t i
awditjati	a w dy~ ty~ a t i
awtorizzazzjoni	a w t o r i z z l z y a r o n i
azjenda	a z y e n d a
aċċenn	a n
aċċettax	a e t a X
baziku	b a z i k u
baħnan	b a n a n
bażilika	b a i l i k a
belandisti	b e l a nd~ i s t i
ben	b e n
benessri	b e n 3 s a r i
bennejja	b e n j j a
bghatt	b x E t
bhima	b i m a
bieżel	s i e l
bijhom	b i j o m
bilingwi	b i l i N w i
bilmod	b i l m o d
birds	b 3 r d
bolla	b o ly~ a
breeding	b r e n d i N
brutali	b r u t a l i
burden	p l a n i n a e n
burokratiċi	b u r o k r a t i
bus	b u s
bħall	b a l o
cable	k a b l e
cards	k a r d
carte	k i t e
cilindru	i l i n d r u
citazzjonijiet	T i t a z z y a r o* e
courses	k o u r e
daharha	d a h a r a
daqshom	d a q o m
daħka	d a k a
daħlitx	d a l i C
ddecidew	d b i b
ddecidiet	d k 3 r dy~ e t
ddiskutejna	d i s k u t e h n a
delay	d e l a y
deportati	d e p o r t a t i
derogi	d e r o g i
destinata	d e s t i n a t a
devozzjonali	d e v o z z y a r o n a l i
deċizjoni	d e i z y a r o n i
deċiżiva	d e i i v a
dgħufija	d o g u w i j a
distruttiva	d i s t r u t i v a
divers	d i e r
diversa	d i e r s a
dizastru	d i z a s t r u
diżappuntanti	d i a p p u n t a n t i
diżordni	d i o r d n i
djamanti	d c a m a n t i
do	d o
domtx	b 5
doppji	d o p ph~ i
duty	d u t 3
dwarek	d w a r e k
dħuli	d u l i
eccellenza	e T C E l l e n z a
edukata	e d u k a t a
egoisti	E k a s t i
ekonomisti	e k o n o m i s t i
elaborati	e l a b o r a t
elenka	e l e n
eleġibbli	e l e i d i b i k l i
emendati	E m E n d a t i
emfasi	e m f a s i
enabled	t a mp~ l e d
enċiklopedija	e n i k o p e d i j a
ereżija	e r e i j a
esaġerata	e s a x r a t a
esperjenzat	e s p e r o x e n z a t
espliċitu	e s p l i t u
esponent	e s p o
evalwat	p i r a l w a t
evanġelizzazzjoni	p i r a x o i z z tr~ z y a r o n i
ewkaristika	e w k a r i s t i k a
eżentati	e n t a t i
eżiljat	e i l
eżista	e i s t a
famuza	f a m u z a
fantastika	f a nt~ a s t i k a
fantastiku	f a nt~ a s t i k u
federali	f e d e r a l i
fehemx	f e h e m 7
felhux	f e l h u S
fergħat	f e r g a t
ferrex	f e r z e 7
ffirmati	f i r m a t i
fgat	f g a t
files	b i l e
filjali	b i l q
filkas	f a l k a s
fill	b i l
filosofiċi	b i l o s o f i
finalizzati	f i n a l i z z a t i
flahhar	f l a h a r
fotovoltajċi	f o t o w o l t a h i
fqajjar	f q a a r
fqajra	f q a r a
fra	f r a
frangiskana	f r a N i s k a n a
frank	f p a p a
fratell	f r a t e l a
frażijiet	f r a e
frieghi	f r i e g i
ftahar	f t a h a r
ftaht	f t a th~
fund	f u nd~
fundamentalista	f u nd~ a m e n t a l i s t a
garbu	g a r b u
garrbet	g a r b e t
generuzi	g e n e r u w Z
gera	g e r a
ghageb	x a g e
ghajta	x a h t a
ghandomx	x a nd~ o m 7
ghanna	x a n a
gharwien	x a r w i e n
ghedin	g h e d i n
ghelieqi	g h e l i e i r a
gibu	g i b u
grada	g r a d a
groups	g r o m
guh	g u
gwienah	g v i E n a h
għajru	x e r u
għalaqt	g a l a q
għallmu	g a ly~ m u
għamilx	g a m i l 7
għamja	g a m j a
għamluli	g a m l u l i
għanna	g a b a n n a
għarfuh	g a r t a N
għasar	g a s a r
għatxan	g a C " a n
għedtlek	g e d y o x
għejja	g e h j a
għemilhom	g e m i L o m
għix	g i S
għorrief	g o r e f
habbat	h a b b a t
habieb	h a b i e
hadlu	h a Z l u
hajjet	h a
hallast	h o l  s d a
hallejna	h a l j n a
harbet	h a r b e t
have	h a b e
heater	h e a t e r
heles	h e l e
helwin	h e l w i n
hgarhom	h N a r o m
hiltu	h i l t u
hlasijiet	L a C e
hofra	h o f r a
hrug	h r u g
ibassru	i b a s r u
iddisprat	i d i s p r a t
ideal	d e a l
identika	d e n t i k a
identiku	d e n t i k u
iffurmaw	f f u r m au
igedded	i g e d 3 d
ihabbtu	i h mp~  t u
ihawwad	i t u n w a d
ikaxkar	i k a T k a r
ikkargat	i k k a r g a t
ikkonċernati	i k k o n e r n a t i
ikraħ	i k r a
ila	i l a
ilahhqu	i l a h k
ilhu	i l w a
ilsienu	i l s i e n u
imbieghda	i m b i e x d a
imbilli	i m b i l l i
imdorrija	i m d o r i j a
imexxih	i m e S S i
imexxija	i m e S S i j a
imhallat	i m h a l l a t
imnaddfa	i m n 3 d a n a
imnaqqxa	i m n a k " o a
imperu	i m p e r u
impiegi	i m p i e g i
impożizzjoni	i m p o i z z y a r o n i
imqadded	i m q a d 3 d
imwaħħlin	e a l i n
imwiegħda	i m w k y a
imxerrdin	i m f e r i a n
imċaħħda	i m a d a
imġarrfa	i m NG~ a r a n a
imġieba	i m X i a e b a
imħabbar	i m a b b a r
imħallta	i m a ly~ t a
imħeġġa	i * N g X i a
inbdiet	i n b d i e t
indikatur	i n d i k a t u r
indiġeni	i n d i x n i
indulġenza	i d u l x z a
indunat	i d u n a t
ineffiċjenti	i n e f i y e n t i
infinit	i n f i n i t
influss	i n f l u s
ingustizzja	i N u s t i z z y a r m
iniżżlu	i n i l u
inkanta	m a nt~ a
inkantaw	m a nt~ a w
innaqsu	i n t u k s u
innifishom	i n n i % b i j  o m
innutaw	i n 3
inqabdet	i n o m a r u w d e t
inqaleb	i n q a l e
inqerdet	i n E r d e t
inrodd	i n r o d
insapportabbli	s a p p o r t mp~  l i
insostnu	s o s t n u
installazzjoni	s t a l l a z z y a r o n i
intaffu	i n t a f u
intemmu	i n t e m
intenzjonijiet	i n t e n z y o* e
interattiva	i n t E r a t t i v a
interpretati	i n t E r p r e t a t i
intrinsikament	i n t r e i k a m E n t
inwieġbu	i n w k NG~ b u
inċert	i n e r
inħaddmu	i n a d m u
inżul	i n u l
ipinġu	i p i  u
ipponta	i p p o nt~ a
ippremjat	i p p r e m
ipprovda	i p p r o w d a
iqerr	i E r
irażżan	i r a
irdum	i r d u m
irdumijiet	i r k d u m e
irjali	i r q
ironika	i r o n i k a
irrapportati	i r a p p o r t a t i
irrealizza	i r  a l i z c a
irridux	i r d u S
irridx	i r i d 7
isahhah	i s a h a h
isajru	i s e r u
isejhilha	i sx~ e xe i L a
issokta	i s s o k t a
isumu	i s u m u
ittini	i t t i n i
iwahhal	i w a h a l
iweġġa	i w e NG~ NG~ a
iwissu	i w i s s u
ixxurtjati	i S S u r t j a t i
iħassar	i a s s a r
jaddi	y a d i
jadurawh	y a d u n a l
jaffordja	y a f h a j a
jaffrontaw	y a f r o n t a w
jagħmilni	h a n k i m i l
jagħmlilhom	h a n k i m t o o m
jagħmlulek	h a n k i m l u r a
jahbtu	y a h b t u
jahbu	y a h b u
jajd	y a d
jakkomodaw	k k o m o d a w
japprofitta	y a p p r o f i t t a
jaqbadx	y a q b a d 7
jaqtax	y a q t a
jaqtgħux	y a q t g S
jarawk	h a r a x
jassistuha	y a s s i s t a
jastjenu	s t y E n u
javżaw	y a v a w
jaċċerta	y a e r t e
jaħsad	y a s a d
jaħżnu	h a n u
jcempel	k 3 mp~
jcemplu	k 3 mp~ l u
jegħrqu	h e g r X u
jelenka	j e l e n
jeħodni	h e b n i
jeħtieg	h e t a o g
jfakkruna	h f a k r u n a
jfaħħru	h f a r u
jgerger	h g e r g e r
jghaqqdu	h x a k " o d u
jghollu	h t o L u
jgħakkes	h g a k k e s
jgħamel	h g a m e l
jgħarrfu	h a r w u
jgħinni	h g i N
jgħinuni	h g i n u n i
jgħixha	h i h a
jhaddem	h a d b
jhallux	h i s k a d u S
jiddandan	h i d a a nd~ a n
jiddefinixxi	h i d a e f i n i S x i
jiddu	h i d d u l
jidhak	h i 8 a k
jidhlux	h i d  S
jifridna	h i f r i d n a
jigifiri	y i g i f i r i
jikkaratterizzaw	h i k k a r a t t E r i z z a w
jikkarga	h i k k a r g a
jikkaġunaw	h i k k a NG~ u n a w
jikkonforma	h i k k o* h m a
jikkonsidraw	h i k k o s i d l a w
jilgħabha	h i l g a b a
jimblukkaw	h i m b l u k k a w
jimmodernizza	h i m b E a n i z c a
jinawgura	j i n a w g u r a
jinbidlux	j i n py~ i t  S
jindahlu	h i d a h l u
jingħatalu	h i N a t a l u
jingħelbu	h i N e g u h
jinhareg	h i h a r e
jinkwetani	j i n kw"$ e t a n i
jinnega	j i n n e g a
jinsabx	h i i r a r u w 7
jinseġ	j i n s i
jinzertaw	j i n r i ly~ 3
jinċentivaw	j i n e n t i v a w
jipparaguna	h i p p a r a g u n a
jippoża	h i p p o a
jipproducu	h i p p r o C u k u
jipproċessaw	h i p p r o 3 s a a w
jirnexxilhomx	h i r n " n lx~ o m 7
jirnexxilux	h i r n " s o  S
jirranka	h i r n
jirraprezentaw	h i r a p r e z e n t a w
jirregolarizza	h i r e g o l a r i z c a
jirrelataw	h i r e l a t a w
jirrestawraw	h i r a u l a w
jirreżistu	h i r  s t u
jirriskjaw	h i r i s k j a w
jirsisti	h i r s i s t i
jishaq	h i S a q
jismaghhom	h i s gh~ o m
jispezzjona	h i 8 p e n e z z y a r o n a
jissaffa	h i 7 a f a
jissalvagwardjaw	h i 7 a l v a gw~ a a j a w
jissaporti	h i s s a p o r t i
jissejjħu	h i s sx~ e xe C u
jissemmiex	h i s e f a Z e 7
jissoktaw	h i s o* 3
jissospendi	h i s o* 8 p e n e n d i
jistaqsih	h i s t a q s i
jistaħba	h i s t a b a
jistu	h i s t u
jiswewx	h i s w e w S
jitkeċċew	h i t k e
jitlobna	h i L o b n a
jitnissel	h i t n i 7
jitpaxxew	h i t p a T T o
jitrawmu	h i  t o
jitwaqqa	h i tw~ a k " o a
jitwessa	h i t w 3 s a
jitħajjru	h i t a r u
jixli	h i S
jizfen	h i z m a n u n
jizra	h i z r a
jiċkien	h i k i e n
jiżboq	h i b o q
jiżnu	j i n u
jkellimhom	h k e ly~ i m o m
jnehhu	h n e h u
joktor	j o k t o r
joktru	j o k t r u
jolqotni	j o l pw~ o t n i
jopponi	j o p p o n i
joqogħdux	j o x o g d u S
joħnoq	j o n o q
jqattghu	h q a t x u
jsibuh	h s i b u
juriha	x u r i h a
jużawha	w a l a
jwahhlu	fw~ a h L u
jwassalx	z u l a d a a l 7
jwieghed	C i w k gh~ 3 d
jxejjer	h j h e r
jċaqlaq	y a q l a q
jġibx	h X i a b 7
jħallasx	y a ly~ a  7
jħalluh	y a l l u
jħobbx	j o b w 7
jżuruh	x u r u
kalendarja	k a l e n d a r e j a
kalzetti	k a l z e t i
kardinal	k a r d i n a l
katalist	k a t a l i s
kejkijiet	k e a h i e t
kellom	k e l l o m
kelmti	k e l m t i
kesħa	k e s a
kkalkulata	k k a l e l a t a
kkastigat	k k a s t i g a t
kkommetta	k k o m  t a
kkritikat	k k r i t i k a t
kliemna	k l i e m n a
kolonji	k o l o nj~ i
kolossali	k o l o s t o s a
komparabbli	k o m a r a b bl~ i
konkluzjoni	k o nk ~ % i s j o n i
konoxxenza	q o n i k 3 T T e n z a
konservattiva	q o n i k e r v a t t i v a
korporazzjonijiet	k o r p o r a z z y a r o* e
korra	k o r a
korriment	k o r m E n t
kortesija	k o r t e s i j a
kowc	k o w
kredenzjali	k r E d e n z y a l i
kristall	k r i s t a l o
kruha	k r u h a
kruċjata	k r u j a t a
kulltant	k u l l t 3 n t
kumdita	k u m n e n
kummissarju	k u m m i s s e r C u
kwakk	k w a k
laqqa	l a k " o a
lasta	l a s t a
lemah	l E m a h
lemin	l E m i n
leminija	l E m i n i j a
liberalizzat	b e r a l i z z a t
lima	l i m a
linef	l i n e f
lixka	l i S
lixx	l i S 7
lment	l m E n t
lsienu	l s i e n u
luck	% l u s
magħdud	m a g d u d
mahrug	m a h r u g
makabru	m a k a b r u
mammiferi	m a m m i f e r i
maqluba	m a q l u b a
maqlugħa	m a q k e a
marġinali	m a* r X i a n a l i
materjalista	m a t e r q  s t a
maġiku	m a X i a k u
maħtufa	m a tw~  a n a
mbarazz	b a r a z
mbgħad	mb~ g a d
mbiegħed	b i e g 3 d
mbuttati	m b u t t a t i
mdaħħal	m d a l
mdendlin	l a b nd~ l i n
medjaturi	m e d j a t u r i
megalitiku	a w a n l i t i k u
mehdi	m e h d i
membership	m e m p l a y s i p
messag	m e s s a g
mfarrka	m f a r
mghammda	m x a m d a
mheddin	m h e d i n
mibjugħa	m i by~ u g a
mifxul	m i f S u l
migjuba	m i gy~ u b a
minghajru	m i N a r e r u
mirakoluż	m i r a k i
missejna	m i s sx~ e xe n a
misterjuza	m i s t E r xy~ c a
mistħoqqa	m i s t o q o
mitfija	m i t f i j a
miżbugħa	m i b u g a
mmarkata	m m a a t a
moderation	m o d e r a t i o n 3
monsinjur	m o* t a 5 s i n j u r
moqdija	m o x d i j a
motivata	m o t i b a t a
moħqrija	m o x r i j a
mrobbija	m l o b e k u j a
mużiċista	m u i s t a
mħajra	C r a
naghmlux	n a g hm~  S
naghtuhom	n a g k i d o m
naghzlu	n a gh~ 3 z l u
nahsbux	n a 7 s 7
nanalizzaw	n a n a l i z z a w
nannti	n a n t i
nanntu	n a n nt~ u
naqbeż	n a q b e
naqsitx	n a q s i t 7
naċċertaw	n a e r 3
naċċettax	n a e t a X
naħrab	n a r a b
nbiegħu	n py~ e x u
ndahhlu	d a h L u
ndaqq	nd~ a k " o
ndaqqet	nd~ a k " o e t
ndipendenti	n t i p e n d e n t i
ndunajtx	d u n a x a 5
nefqet	n e f E
networking	n e t e* i N
ngħalaq	N a l a q
ngħixuh	N u m
nhargu	h a r g u
niddeciedu	n i d a i n d u
niesha	n i e s a
nieshom	n i e s o m
niffaċċaw	n i f i t a w
nifforma	n i f o r m a
niftakarni	n i f k a r n i
nigbdu	n i gb~ d u
nigbed	n i gb~ 3 d
ninfurmaw	n i n f u r m au
ninsiha	n i s i h a
nintebah	n i n t e b a h
nipparteċipaw	pw~ p i t e i p a w
nirranga	n i r a Ng~ a
nirrispondi	n i r s p o n d i
niskuża	n i s k u a
nivvinta	n i v v i t a
nixhed	n i S x 3 d
nizfen	n i z m a n u n
nizzel	n i z z e l
niċċara	n i a r a
niġġeneraw	n i N g N g 3 n 3 q l a w
niħux	n i S
niżżel	n i
njorati	nj~ o r a t
nkomplux	l i m p  S
nkwetanti	kw~ e t a n t i
nlestu	n l e s t u
notarili	n o t t a r i l i
notifikat	n o t i i S t i m a
nsejna	n sx~ e xe n a
nservi	s E r w i
nsew	s o
ntitolati	t i t o l a t i
ntiża	t i a
ntiżi	t i
null	n u l o
nurihom	n u r i h o m
nxerrdu	! e r d u
nħabbtu	a mb~  t u
nħasset	n a s e t
offensiv	o f s i b E
opera	o p e r a
orjentazzjoni	u r i n t a z z y a r o n i
ornamentali	u r n a m e n t a l i
ottimist	o t m i s
ottimisti	o t m i s t i
pageant	p a g a i
pajjiżkom	p a h j i k o m
panels	p a n e l
parabbola	p a r a b b o l a
parkegg	p i i m
passiggiera	p a s s i m i e r a
patrijarkali	p a t r e m a x k a l i
patrijott	p a t r e o t t e
paviment	p a g o y e n t
paċifiku	p a i f i k u
penalty	p e n a l t
penitenzi	p e d i r e n z i
perjodiku	p e r j o d i k u
perpetwa	p e r p e t w a
perċentwal	p e r e n tw~ a l
pilandri	p i l a n d r i
pitches	p i t C m 3 s
pjanar	ph~ a n a r
pn	p n
poggejt	p o m j
posts	p o s c
poġġejt	p o NG~ x
pprojbit	p p r o h b i t
pprovdiet	p p r o w d i e t
ppubblikajna	p p u b b l k a x n a
prekawzzjoni	p r e k a w z z y a r o n i
preparazzjonijiet	p r e p a r a z z y a r o* e
prestiġju	p r e s t i NG~ C u
prezentazzjoni	p r e z e n t a z z y a r o n i
principalment	p r i n k i p a l m E n t
proattivi	p r o a t t i b i
produttur	p r o C u t t u r
propjament	p a z c e n t
propoganda	p r o p o g a n d a
proċessat	p r o e s
pruvat	p r u p a t
psikjatra	p i k j a t r a
pubbliċitarja	p u b bl~ i t a r j a
qaddu	q a d d u l
qagħdet	q a g d e t
qamel	k " a m e l
qamh	k " a m
qariba	q a r i b a
qawl	q a w
qiesni	q e s n i l
qijad	q i j a d
qliegh	q  e x
ragonevoli	r a g o n e v o l i
ragunar	r a g u n a r
rajniha	r a x n i h a
ramlija	r a m l i j a
rcevejna	r k u s k i h n a
refurbishment	r e f u r b i S m E n t
rejd	r e y o d
relevanza	r e l e v a n c a
religjonijiet	r e l i gy~ o* e
rettili	r e t i l i
reġim	r E X i a m
riedni	r i e d n i
riga	r i x a
rikoverati	r i k o p e r a t
rimedjata	l i m  j a t a
ristrutturazzjoni	r i s t r u t t u r a z z y a r o n i
riċerkaturi	r i a a t u r i
rnexxilniex	r n " S i l i 7
rondi	r o n d i
roundabout	r o u n d a b o u t
rrapurtat	r a p o r d a t
rregalat	r g a l a t
rtiraw	r t i l a w
rwejjaħ	r w e j j a
rħisa	r i s a
sabitu	s a b i t u
sabulu	s a b u l u
safety	s a f e t
sajfi	v u f i
sajfin	v u f i n
santwarju	s a n t w ar C u
sawm	ph~ o n b u l
saħta	s a t a
security	s e k u r i t u s
sehibna	s e h i b n a
sejħilhom	s e j i L o m
semmewha	s e m e w a
senatur	s e n a t u r
sensi	s e s i
serena	s e r e n a
sfaxxa	s f a T T a
sfiqa	s f i k a
shaba	S a b a
shabkom	S a b k o m
sidha	s i d a
sightings	s i t  N
sikur	s i k u r
silg	s i l
sincerament	s i n u r a m E n t
sinċieri	s i n i e r i
sistematiku	s i s t e m a t i k u
skadew	s k a d o
skarsi	s k a r S i
skedati	s k e d a t i
skoperti	s k o p e r t i
skoprejna	s k o p r e y o n a
skura	s k u r a
smajtuhiex	s C hy~ a i 7
smigh	s m i t
sninu	s n i n u
socjetà	s o Sx~ e t 7
sogru	s o g r u
sorprendenti	s o r p r e n d e n t i
sovrana	s o w r a n a
spejjes	s p e i
speċjalizzazzjoni	s p e q  z z t z y a r o n i
spjegata	s p E g a t a
spjegazjioni	s p g a z y i o n i
ssokta	a d a m k t a
stage	s t a j
staghgbu	s t a gh~ gb~ u
staguni	s t a g u n i
staqsejtha	s t a q sx~ e xe t a
stimulu	s t i m u l u
str	s t r
subajh	s u b a
subgħajhom	s u b x e o m
subparagrafu	s u b p a r a b o ch~ w u
sustanzjuż	s u s t a nz~ C u
suċċessur	s u 3 s a r
tabù	t a b u
tadatta	t a d a t t a
tagħqad	t a g q a d
tajjba	t a b a
tajtx	t a h 5
tamiet	t a m i e t
taqrah	t a q r o h
taslu	t a l u
taħlit	t a l i t
tbaqbaq	t b a q b a q
tberren	t b e r
tehles	t e h e
television	t e l e i s i o n
teoloġiku	t e o l o X i a k u
tergax	t a rx~ a X
tesponi	t e s p o n i
testment	t e s t m E n t
tevolvi	t e v o l w i
tezistix	t a  s t iT
teħel	t e
teħodlu	t e b l u
tfaccat	t y kh~
tfahhar	t f a h a r
tghallimt	t x a ly~ i m
tghinhom	t 3 x  h o m
tghixu	t 3 x  iT u
tgħarraf	t a r a f
thalliet	th~ a ly~ i e t
theggeg	t h i m o g
thread	t r e a d
through	t r o u g
tiddependix	t i d a e p e n d i S
tiddubita	t i d  a
tifhimx	t i f i m 7
tifrik	t i f i
tijak	t i j a k
tijej	t i y e
tiksbu	t i k s b u
tilmenta	t i l m e nt~ a
tilqgħu	t i l k u
tinfed	t i n f d
tinfetah	t i n f e t a h
tinghad	t i N h a
tinsabx	t i i r a r u w 7
tinħema	t i n i m a
tippremja	t e p p r e m j a
tipprovoka	t e p p r o v o k a
tirkeb	t i r b a
tirsisti	t i r s i s t i
tispeċifika	t i 8 p e n e i f i k a
tistaqsik	t i s t a q k u
titkellimx	t i t k e ly~ i m 7
titqaddes	t i t q a d m 3 s
tittawwal	t i t u w a l
tittiekel	t i t k b a
titħejja	t i b 3  a
tixjieħ	t e S
tiżvolġi	t i v o l NG~ i
tlellix	L e ly~ i S
tnaddfu	t n 3 d w u
tniżżlet	t n i l e t
tniżżlu	t n i l u
toffru	t o f r u
toilets	t o l e c
tondi	t o n d i
topponi	t o p p o n i
torturi	t o r t u r i
toħlom	t o l o m
toħnoq	t o n o q
tpaxxi	t p a T T i
tqabbil	t k mp~
tqim	t g w i m
tradott	tr~ a d o t
trailer	tr~ a i l e r
trankwilla	tr~ a kw~ i l l a
tranżizzjoni	tr~ a n i z z y a r o n i
trasportat	t r a s p o r t a t
tremend	t r E m E n d
tridni	t r i d n i
turini	t u r i n i
tuzah	t u z a h
twajbin	t w a h b i n
twaqqgħet	t w a k " o k
twaqqif	t w a k " o i f i
twassalni	t w a s s a l
tħawlu	t a L w u
tħejjijiet	t a  j i j i e t
ucuh	u k u
urietna	u r i e t n a
utilizzat	u t i l i z z a t
uġiegħ	u X i a o g
użanza	u a n c a
varju	v a r C u
verżjonijiet	e r d s i m e
vidjo	v i d h o
virus	v i r u s
vrus	v r u s
wahdanija	w a h d a n i j a
wahhal	w a 7 a l
waqfux	w a q f u S
weġġgħu	w e X i i x u
weħlu	w e l u
wiri	w i r i
work	e*
wrejna	w r e y o n a
wrieh	w r i e x
xaghar	S a x a r
xarabanks	S a r a b a g
xebgha	S r gh~ a
xejjer	S j h e r
xerrdu	f e r d u
xihadd	S i h a d
xkaffa	S k a f a
xogħolu	t " g o l u
xutt	S u t
xxerred	S f e r
zvelat	z v e l a t
ċempilna	3 mp~ e L n a n
ċereali	e r e a l i
ċċelebra	e l e b r a
ċċelebrajna	e l e b a h n a
ċċelebraw	e l e b l a w
Ġdida	d i d a
Ġiġi	i NG~ i
Ġulju	u l C u
ġidu	N g i d u
ġismek	X i a h w i t a
ġugarell	N g u g a "
Ħelsien	e l s e i
Ħija	i y a N u
Ħsieb	s i e
ħabba	a b " b a
ħabtet	a b " e th~
ħaffer	a f f e r
ħalliex	o l  i 7
ħalqek	a l E
ħaruf	a r u f
ħbiberiji	b i b e r i h i
ħelisha	e l i S a
ħobżhom	o b o m
ħolm	o l m
ħoxnin	o* n i n
ħsiebek	s i e b e k
ħġaru	N g a r u
Żdiedu	d i e d u
Żiedet	i e d e t
Żoni	a
żammx	a m 7
żgħażugħa	g a u g a
żifna	f n a
Aghmel	q m e l
Aghti	t
Agħfas	g y
Ahmed	hm~ 3 d
Airways	i r w a y
Amministrazzjoni	m m i n i s t r a z z y a r o n i
Andy	n t a
Angeles	g e l e
Annamaria	m a r i a
Annimali	a n n i m o l i
Anzjana	n z y a n a
Arnaud	r n a u d
Ashton	S t o n
Awtorita	v t o r i t a
Aziz	z i z
Aġenzija	N g 3 n z i j a
Aħmar	m a r
Baby	a b "
Barak	a r a
Beijing	e i j i N
Benedettu	e n e d e t u
Benny	e 5
Berry	e r
Bertie	e r t i e
Betanja	e t a n j a
Bettina	e t t i n a
Bicca	i k k a
Bidi	i d i
Bih	i
Birdlies	o l i e
Biswit	i s n u i t
Bonifacju	q o n i y Sx~ u
Brittaniku	r i t t a n i kw~ a
Brittaniċi	r i t t a n i
Brother	r o th~ e r
Browning	r o w n i N
Campbell	a m p v E l o
Canale	a n a l
Capranica	a p r a n i k a
Christ	h r i s
Christi	h r i s t i
Clews	l e 3
Coach	o a C
Cola	o l a
Collard	o l l a r d
Coming	o m i N
Commerce	* r e
Complex	i m p l E 7
Corporate	u r p o r a t e
Cospicua	o s p i g u a
Country	o N t r
Cristiano	r i s t i a
Cruyff	r u y f
Cynthia	y nt~ i a
Decelis	e T E l i s
Depiro	a p i r o
Dimitri	i m i t r i
Dione	i o n e
Disa	i s a
Distrettwali	i s t r e t tw~ a l i
Division	i v i s i o n
Dmirna	m i r n a
Dolindo	o l i n d o
Domt	th~ o r o u
Donnhom	o 5 o m
Download	o w n l o a d
Drofenik	r o f e n i k
Dħul	u l
Edizzjoni	d i z z y a r o n i
Educational	d u k a t i o n a l
Einzellagen	z e y a g 3 n
Ekumeniku	k u m E n i k u
Emilja	l j a
Ernest	r n a* 7
Esterna	S t E r n a
Falcon	a l k o n
Ferdinandu	e r d i n a n d u
Fhimt	h i m
Fiera	i e r a
Filippini	i l i p p i n i
Fiorini	i o r i n i
Folla	o l l a
Foqra	o x r a
Friends	r i e n d
Fuqhom	b o m
Furjaniżi	u r j i  n i
Gak	a k
Gallery	a l l e r
Gambin	a m b i n
Gammarì	a m m a r i
Gap	a p
Garage	a r a g e
Gavà	a b 7
Germaniz	e r m a n i z
Gerolamo	e r o l a m o
Ghadhom	h a d o m
Ghalxejn	h a i j n
Ghamilna	h o m e L n a n
Ghandkom	h a n d k o m
Gianni	i a n i
Giddieb	i d i e
Giet	i e t
Giglio	i g l i o
Gilford	i l h d
Graffitti	r a f f i t t i
Grant	r a nt~
Gregorjana	r e g o r j a n a
Grimaud	l i m a u d
Gudja	w a j a
Guza	u z a
Gwardamangia	w a r d a m a N i
Għaddejt	a d j
Għadha	a d a
Għan	a n
Għedtlu	p i e d L u
Hallelin	a l l e l i n
Harold	a r o l
Hilton	i l t o n
Holroyd	o l r o y d
Horst	u r s d a
Hudu	u d u
Hux	u S
Ignazio	g n a L o
Impenn	p e n n
Impjegat	p j e g e
Inbniet	nb~ n i e t
Ingħata	g a t a
Inizjamed	n i z C i C e d
Innu	n t u
Insurance	s u r a n C i e
Isaac	s a a k
Islamika	s l a m i k a
Issemmew	s e m i a
Itlaq	L a q
Ittri	t t r i
Iwa	w a
