an 	a n
équilibréierte	e k i l i b r e i e r t e
évaluéiert	e v a  e i e r
évoluéiert	e v o l u e i e r
ëmbrénge	3 mb~ r e n g e
ëmdenke	m d e Nkw$ e
ëmgebaute	m g E m a u t e
ëmgeschriwwen	m g 3 s C ry~ u w e n
ënnerleie	3 n n e r l e i e
ënnerschwelleg	3 n n e r S w e l l a
ënnerwandert	3 n n e r l o a nd~ e r
ëstlecher	e s t l e C e i r
übtr	3 b tr~
Aarbechterinnen	a r t t E r i n n e n
Aarbechtsbedingunge	a r t C c b e d i N o N a
Aarbechtsgeschir	a r k C c g 3 s C i r
Aarbechtsopwand	a r t C c o p w a nd~
Aarbechtspolitik	a r t C c p o l i t i k
Aarbechtsprogramm	a r t C c p r o g r a m 3 n
Abannung	b a n n u N
Abby	b w
Aberratioun	b E r a t i o u n
Abteilungen	b t e i l u N 3 n
Acceleratioun	kh~  e l e r a t i o u n
Accusatiounen	kh~  s a t i o u n e n
Accusé	kh~
Ace	k e
Administrative	d m i n i s t r a t i v E
Adnan	d n a n
Adoptiounen	d o p t i c a u n e n
Adria	d r i a
Ajatollahen	h a t o l l a h e n
Ajouter	j o u t e r
Ajustementer	x u s t E m E n t e r
Aker	k a r
Akkreditéierung	k k  a  i e r u N
Akne	k n e
Aktiounsprogramm	k t o u s p r o g r a m 3 n
Aktiounswoch	k t o u s w o
Aktivitéitsberäich	k t i b i t e i c k 3 i C
Alarmanlagen	l a r m a n l o g e n
Albena	l b e n a
Albummen	l b u m e n
Alentouren	l e n t o u r e n
Alkoholkontrollen	l k o h o l k o nt~ r o l l e n
Allergen	l l e r g 3 n
Alma	l m a
Almënster	l m 3 n s t e r e n
Alpdram	l p dr~ a m
Altersënnerscheed	l t E r o n n e r S E 3 d
Altmaier	l t i e r
Aluedungen	l u e d u N 3 n
Ambulancieren	b u l a C y e r e n
Amerikanescher	m e r i k a n i S E r
Amstand	m s t a nd~
Anger	g e r
Angie	N i e
Anima	n i m a
Animation	n i m a t i o n 3
Annerhalleft	n a i n  l l e f
Années	a n n e m 3 s
Ansicht	s i t
Anstellung	s t e l l l u N
Anthem	nt~  m
Antibiotik	t i b i o t i k
Antidepressiva	t i d 3 p r 3 s a Ng~ e a
Anträg	t r 3
Apprenanten	p p r e n a n t e n
Apéritif	p y i t i f
Aquarien	k a r i e n
Ararat	r a r a t
Arbittere	r b i t t u a n e r e
Arbécht	r b t
Architekturfoto	r C i t e k t u r f o t o
Armando	r m a n d o
Asblen	s b l e n
Aschman	S m a n
Ashleigh	s L e i t
Assayas	s s a y a s
Assistente	s s i s t e n t e
AstraZeneca	s t r a i N o j a
Atheisten	th~ e i s t e i n
Athener	th~ 3 n 3 q
Athmosphär	th~ n o S f 3 r
Atmosphaer	m o s p t a e r
Atoz	t o
Attentioun	t t e n t i o u n
Auditen	u d i t e n
Auditioune	u d i t i o u n e
Auerzait	k i k " L a i t
Augustiner	t u g u s t i n 3 q
Auslaf	u s l a f
Auslännerfeindlechkeet	u s l a* d n e r f a S l e C k a
Ausrichtung	u s r i C t u N
Ausseministere	u s e m i n i S t E r e
Aussenminister	u s w o m i n i s t e r e n
Australierin	u s t r a l i e r i n
Austria	u s t r e
Austrëttsdatum	u s t r 3 c d a t u m
Autocenter	u t o k e n t e r
Ave	v e
Aviatiounssecteur	v i a t i o u s e n i u r
Avoiren	v o i r
Baatsch	m a c
Baggeren	y g e r e n
Bah	a h
Bahnhybrid	a h S a* r i d
Bale	a l e
Ballmann	a ly~ n
Balloon	o l  o n
Bamhaiser	a m h a z o l
Bandmember	a nd~ y o g o b e r e
Bannescht	a n n e s t
Barbe	a r b e
Barblé	a r bl~ e
Barnes	a X n a q m 3 s
Barrières	a r e r e
Bascht	a s t
Bascol	a s k o l
Basics	a s i k s
Basisdemokratie	a s i s d e m o k r a t i e
Bastin	a s t i n
Baussepolitik	a u s e p o l i t i k
Beamtin	e a m t i n
Beast	E s d a
Bebauung	e b a u N
Beet	o t a x a
Begeeschtert	g e S t E a
Begier	g i e r
Begriefnesser	g r i f n e s e r
Behandelungen	e h a n d e l u N 3 n
Behënnerte	e h 3 n n e r t e
Beiemann	e i e n
Beienhaus	e a u s
Beis	e i s
Belairer	e l a i r e r
Belgian	e l N i
Beliicht	e l i i t
Beliichten	e l i C t e n
Benji	E nj~ i
Berge	e r g e
Berna	E a n a
Beschtefalls	3 S t o y L
Beschäftegungen	3 S 3 f t e g u N 3 n
Bespriechung	e s p r i n u N
Bess	e s
Besseling	e s e l i N
Besseren	e s s E r E n
Bestiednes	e s t a o n i
Besëtzerin	e o c i n i n
Bettborn	e t b o r n
Bettenduerfer	e t i e r f e r
Bevilacqua	p i r i l a k k a
Bevëlkerungsgruppe	p i r E ly~ k e r u N s g a m p e
Bewärtung	e w 3 r t u N
Beyond	e y o n d i
Bian	i a n
Biathlon	y a t r L o n
Bibliothek	i b l i o th~ e k
Bichen	i E N
Bicker	i S k a r
Biergtrikot	i e r g k o t
Biertreng	i e r t r i N
Biffy	i f
Bigfoot	i g f o t
Bigonville	l i m a v i l l e
Bijoutier	i j o u t i E r
Bikinien	i k i n i e n
Bil	i l
Bilal	i l a l
Bilane	i l a n e
Bildchen	i l 7 E N
Billerbicher	i l l e b i r e  E r
Binden	i n d e n
Biografien	i o g r a f i e n
Biomedecine	i o m e d e k i n e
Bioproduiten	i o p r o C u i t e n
Birebam	i r e b a m
Birr	i r
Biscuit	i s k u i
Bitch	i t
Biwels	i w e l
Blaschette	l a S E t t e
Blatt	m u t
Bleser	l e s e r
Bletzen	l e c e n
Bleuen	e w o n u n
Blick	l i k
Bliesen	l i e s e n
Blocks	l o k k
Blotéin	l o n i n
Blutthéichdrock	l u t t a e i C t
Blutttester	l u t t e s t e r e n
Boarding	o a r d i N
Boavista	o a v i s t a
Boer	o e r
Boever	N v e r i
Bolt	o l
Boman	t a x
Bommeleeëraffär	o m e l e l e 3 r a f 3 r
Boseman	o s e m a n
Bossa	o s a
Botzfraen	t o nk~ f r a e n
Bourdon	o u r d o n
Bournemouth	o u r n i m o u c
Boxestopp	o f e s t o p p
Bratanov	r a t a n o N
Brennes	r e i
Brescia	r e S e a
Bretzelsonndeg	r e c  s o nd~ e n
Brewing	r E f i N
Breyer	r e y e r
Brigange	x a N a
Britain	r i t 3 n
Brooke	r o k e
Brother	r o th~ e r
Buddhismus	u d i s m u s
Budjet	w a j i
Bundesamt	u n d e s a m
Bundestagswahlen	u n d e s t a g s o L e n
Burkaverbuet	u r k a b e r e t
Buschdorf	u s C d o r f
Businessplang	u s i n 3 s a  l a N
Buslinne	u s l i n t e
Busrees	u s h r e s
Bussard	u s s e r d
Busverbindung	u s e r 3 t i d u N
Bâtonnier	a t i o* n i e r
Bäerdrefer	3 e r ndr$ e f e r
Bärel	3 r e l
Bëschofshaus	e s C o f S a u s
Bürosgebaier	3 r o s g E m a i e r
Caddie	a d i e
Cadettes	a d e t i
Cadres	a d r e
Caesar	a e s a r
Cafetieren	a f e t i e r e n
Cake	a k e
Calling	a ly~ i N
Camino	a m i n o
Campe	a m p e
Candy	a n dy~
Cannon	a n n o n
Capteur	a p t e u r
Capture	a p t u r e
Carillon	a r i l l o n
Carloh	a r l o
Carpentier	a r p e n t i E r
Carsten	a r S t e n
Cartes	i t e
Casablanca	a s a b l a*  a
Casey	a s u y
Cattani	a t t a n i
Cavagna	a b a j
Cave	a b e
Celan	k o e
Celtics	e l t i k s
Cercles	e r l e
Certificate	e r   k a t e
Cflore	f l o r e
Challenges	h a l l 3 N 3 s a
Chambersëtzung	h a m b e r o c u N
Champione	h a m p i o n e
Chantage	h a n t a j
Chargë	h a r g 3
Cheese	h e s e
Chekatt	h e k E t
Chen	h e n
Chlorophyll	L o r o ph~ y L
Chloé	L o e
Christihimmelfahrt	h r i s t i h i m i x t o a a h r
Chronike	h r o n i k e
Chrëschtbeemche	h r e S t b e m C e
Chrëschtlechsozial	h r e s C L e C s o z i a l
Church	h u r
Chômagezuelen	hy~ m a g d u e l e n
Cimetière	i m e t i e
Cinematic	i n e m a t i k
Citroen	i t r o e n
Clancy	l a n k o
Clarke	l a r k e
Claudie	l a u d i e
Clemenceau	l E m E n u a u
Clientskaart	l i e n c k a d
Clientën	l i e n t e n
Clint	l i n t
Cloot	l o t
Clubmember	l u b y o g o b e r e
Clyro	ly~ r o
Clôture	r u t u r e
Coding	o d i N
Collectrice	o l l e k i cy~ e
Collé	o l l e
Comedie	e d i e
Comitéen	a m i E 5 n e n
Communale	o m u n a l e
Compilatioun	i m p i l a t i o u n
Composing	i m p o s i N
Comptable	i m p t a b l e
Conan	o n a n
Concour	o nC~ o u r
Condamnatioun	d a m n a t i o u n
Condé	d e
Confederatioun	o f e d i n a  o u n
Configuratioun	o f i g u r a t i o u n
Congéswoch	o N e sw~ o
Conor	n o r
Constant	o s t a nt~
Consultingfirma	o* s u l t i N f i r m a
Contra	o t r a
Contrairement	o t r a i r E m E n t
Convocatioun	n v o k a t i o u n
Cooperation	o p e r a t i o n 3
Coopérations	o p y a t i o* s
Corpse	u r p s e
Cosplay	o s p l a y i l
Cosyn	o s
Couchen	o u C e n
Couloiren	o l o i r
Coursën	o u r o n
Cristian	r i s t i a n
Croisièresschëffer	r o i s i e y 3 s a C 3 f e r
Crown	r o w n
Créateur	r e a t e u r
Culten	u l t e n
Curriculum	u r i cy~ u l u m
Cyprien	3 p r i e n
Daarmkriibs	a r m k r a i b
Dagesausflich	a g 3 s a u s f l i C
Dalai	a l a i
Dalton	a l t o n
Damiano	a m i a
Damir	a m i X
Damplokomotiv	a m p l o k o m o t i
Daniëls	a n i E ly~
Dargent	a r g e n t
Darius	a ry~ u s
Darkness	a r k n e s
Dateniwwerdroung	a t e n i w w e r u N
Dawid	a w i d
DeMarco	e a r k o
Declan	e k l a n
Deelhuelen	e l w e l e n
Deelung	e l u N
Def	i f
Deister	e i s t e r e n
Dekadenz	e k a d e n z
Dellen	e l l e n
Demissioune	e m i s s i o u n e
Democratico	e m o k r a t  o
Demut	e m u t
Denkfabrik	e Nkw$ y o* i k
Deo	e o
Depassementer	a p a s e m e n t e r
Deprez	a p r e z
Dereguléierung	e r e g u l e i e r u N
Derniewent	E a n i e e n t
Derogatioune	e r o g a t i o u n e
Designlighting	e s i N n i l i t
Desinfektioun	e s i n f k t o u n
Desiroen	r o e n
Desmond	e s m o n d a
Desplat	e s p l a t
Diakonie	i a q o n i y a e
Diallo	i a l o
Diamant	i m i
Dies	i e
Digitale	i g i t a l e
Dimitri	i m i t r i
Dingschter	i N S t E r
Diogenes	i o g 3 n 3 q
Dip	i p
Diplomate	i p xy~ u 7 t e
Diploméiert	i p l o m u i e r
Diskoen	i s k o e n
Diskriminatioune	i s k l i m i n a t i o u n e
Distanzéierung	i s t a n z E i e r u N
Distillatioun	i s t i l l a t i o u n
Distribution	% l u z i b u t i o n 3
Diversifikatiounspolitik	Ng~ e r e n X i S t i m a  o u s p o l i t i k
Dodurch	o d u dy~ o
Doja	o h a
Dolan	o l a n i
Dollaren	o l l a r e
Dombrovskis	d o mb~ r o w s k i s
Dominatioun	i n a t i o u n
Domäne	o m 3 n e
Donaldson	o n a l j u n
Donatiounen	o n a t i o u n e n
Donatus	o n a t u s
Doniewend	q o n i e w e n
Donnéën	o n e a n
Dopamin	o p a m i n
Dorf	u r f
Doudekapp	o u d e k h a p p
Doudesannoncen	o u d e s a* ndw$ a C E n
Downpipe	o w m a p e
Dozentin	o z e n t i n
Draufelt	r a u m a n u l
Drauwelies	r a u w e l i e
Dreckskëschte	r E c k s k 3 S t e
Drescher	r e S E r
Droberoderin	r o b e r o d i n i n
Drogenhändler	r o g o i ch~ o t 3 nd~ l e r
Dréchemauer	r e l a g u m u i a
Drécker	r e S k a r
Dréiaarbechten	r e a r t t E n
Dréier	r e i e r
Drénglechkeetsfro	r e n g l e C k e c f r o
DuPont	u n t a 5 a
Duchesse	u C 3 s a
Duerchschnëttstemperatur	u i l l S  t s t i 3 mp~ e r a t u r
Duerfbewunner	u e r f b e w S e r
Duerscht	u e r S t
Duprez	u p r e z
DxO	7
Dys	y
Dämmerung	3 m e r u N
Dänzerinnen	a* d z e r i n n e n
Däreldéier	3 r e l d e i e r
Déifställ	e i f i s t 3 l o
Délégatioun	3 l 3 g a t i o u n
Déngens	i n g 3 n
Dépassementer	e k 7 E m E n t e r
Déséquiliber	e s e k i l i b e r e
Dënschdegmueren	3 n S d e g e r e n
Dënsden	3 n s d e n
Dündar	i d a r
Eau	a u
Ebbe	b b e
Ecstasy	C t a s
Edelmetaller	d e l m e t a l l e r
Edmée	d p a u e
Educatiounskommissioun	d u k a t i o u s k o m m i s s i o u n
Eeche	i n
Eelst	e l s d a
Eenheetsgewerkschaft	e n h i* c g e w e r k S a f
Eenzegaartegkeet	e n z e t u l t e g k a
Efex	f e 7
Effektif	f e k t f
Effektivitéit	f Nw~ t i b i t e i t
Egaal	g a l
Egoismen	g o i s m e n
Ehlinger	L i N e r
Eich	i C
Eifer	f e r
Einnahme	h m e
Eisebunnsfrënn	z o bw~ a ns~ f r 3 n n
Eisebunnsgesellschaft	z o bw~ a ns~  s e m u S S a f
Elba	l b a
Elderbrook	l d i n o* o k
Electronics	l e k t r o n i k s
Elefantastesch	l e f a nt~ a s t i S
Elektropop	l E k E tr~ o p o p
Elektroschrott	l E k E tr~ o S r o t
Elektrotechnik	l E k E tr~ o t e C n i k
Elektrovëlo	l E k E tr~ o v E n l o
Elephant	l E f i
Eliane	l i a n e
Elmen	l m e n
Eltern	l t E r n
Emballagen	b a l l o g e n
Emdenken	l a b Nkw$ e n
Emeringer	m e r i N e r
Emojien	m o x e n
Emojis	m c i s
Empfank	m p f n
Empfannen	m p f a b a n n e n
Emplacement	p l a C E m E n t
Emstellung	m s t e l l l u N
Endspurt	nd~ s p i r
Energiebedarf	n e r g i e b e d a r f
Energieklass	n e r g k b l a s
Energiekonzept	n e r g i e k o n z e p
Energiemix	n e r g i e m i S
Energiepark	n e r g i e p a r
Energiepass	n e r g i e p a s
Enfant	n f a nt~
Engling	N l i N
Ennemi	a n n i m i
Ennerhaalung	n a i  l 3 u N
Enough	n u 3 x
Enseignantsgewerkschaft	s e i N n i a n c g e w e r k S a f
Enter	t e r
Entféierung	nt~ o f o k i e r u N
Entrepreneuriat	t r e p r e n e u r i a t
Entstehung	nc~ t e h u N
Environment	n v i r o n m E n t
Eolienne	o l i e
Erausfuerderer	r a u s pw~ e r d e r a r
Erfindunge	r f i d u N e
Ergonomie	r m a a m i E 5
Erhalen	r a l e n
Erhéijungen	r h e i o n u N 3 n
Erkläerung	r k l 3 e r u N
Erliewen	r l i e u e n
Error	r o r
Erstellen	r s t e l l l e n
Erträg	r tr~ 3
Erwaardungshaltung	r w a r C u N S a l t u N
Erwägung	r w 3 g u N
Erzbeschof	L % s a m a C
Erënneren	r 3 n n e r e n
Eschdorf	S d o r f
Eselbuer	s e g u h e r
Esports	s p o r c
Essayen	s s a y e n
Etappevictoire	t a p  v i k t o i r
Etiketten	t i k e t
Etudiant	t u d i a
Euroe	u r o e
Europäischer	r u a z 3 i S E r
Evangelist	v a n g e l i s
Evasion	v a s i o n
Everlange	e r l a N a
Everton	e r t o n
Everybody	e r 3 b a o t a
Ewringmann	w r i N n
Exceptiounen	a l  e p t i c a u n e n
Explosioune	S p l o s i o u n e
Expogast	S p o g a s
Expressiounen	S p r e s s i o u n e n
Fabrique	a b " r i k E
Factor	a k t o r
Fado	y i
Falchero	a l C e r o
Falschausso	a l S a u s
Familljemass	a m i l l h s
Familljeminister	a m i l l j e m i n i s t e r e n
Familljennimm	a m i l l x e m m
Fares	a r e
Farwtéin	a r w n i n
Federspiel	e d i n s p i e l
Feministin	e m i n i S t i n
Fernandez	E a n a n d e z
Feste	e s t e
Festlechkeeten	e k  C k e 7 e t e n
Fettes	e t i
Fever	e v e r i
Feynman	b n m a n
Ficken	i S k e n
Fifth	f
Fiischen	i S E N
Filialkierch	i l i a l o mb~ o
Filles	i l l e
Finanzdéngschtleeschtungen	i n a n c~ d 3 7 N S t l e e S t u N 3 n
Finanziellt	i n a n c~
Finanzkader	i n a n c~ k a d e r
Finanzmaart	i n a n c~ a r
Finanzplaze	i n a n c~ p l a n i n z e
Finesse	i n 3 s a
Fitnesszenter	i t n e s z e n t e r
Flanderen	l a n d e r e n
Flantermais	l a n t E r m a i s
Flashback	l a S b a k
Flat	l a t
Flaxweiler	l a xw~ e r i l e r
Fleming	l E m i N
Fluor	l u o r i
Foirë	o i r 3
Followers	o l l o w e r
Folscht	o l s t
Fonctionnaires	n C i t i o n 3 n a i r e
Fonny	o 5
Fontagné	o* t a j e
Footballsterrain	o t b a ly~ s t E r a i n
Formateure	o r m a t e u r e
Formatiounsaktivitéit	o r m a t i o u n k a m t i b i t e i t
Foss	o s
Fotellen	o t e l l e n
Fotoalbum	k o t o a l b u m
Fotoausstellung	k o t o a u s s t e l l l u N
Foussgängerbréck	o u s g 3 N e r o* e k
Framework	r a m e e*
Frances	r a n C i m 3 s
Franséich	r a s e i C
Française	r a n a i s e
Freeden	r e n d e n
Freeman	r E 3 m a n
Frei	r e i
Freihand	r e i a nd~
Frelih	r e l i
Freske	r e s k e
Friemherrschaft	r i e m h e r s C a f
Friendship	S i p
Frischhaltefolie	r i S l o t e f o l i e
Fristverlängerung	r i s t e r l 3 N e r u N
Frittebud	r i t t e b u d
Froestellungen	r o e s t i L u N 3 n
Fräibeträg	r 3 i b e t r 3
Fräilous	r 3  u
Fuel	k i k "
Fuerbunn	u e r t a n e n
Fuerpläng	u e r p l a n a* d
Fuerschungsstanduert	u e r S u N s s t a nd~ u e r
Fuesparty	u e s p i t
Fuesstëmmung	u 3 s a y m u N
Fälschungen	3 l S w a n g 3 n
Féngeg	i n g 3
Fëllement	E ly~ l E m E n t
Fënsterdall	3 n s t E r n d~ a dl~
Fërderprogramm	3 r d i n p r o g r a m 3 n
Führerschäiner	3 r e r s Ch~ a i n 3 q
Gaardenhaische	a r b z a i s C e
Gadgete	a d g e t e
Gallego	a l l e g o
Gallen	a l l e n
Gallopin	a l l o p i n
Galway	a l kw~ a y u
Gamma	a m a
Gander	a n d e r
Gangler	a N l e r
Garland	a r nz~ i
Garnisoun	a r n i S o u n
Gauguin	a u g u i n
Gauthier	a u th~ i e r
Gavin	a b i n
Gebärmutter	e b 3 r t e r e n
Gedankegäng	e d a g i g a* d
Gedolt	e d o l
Gedrecks	p i e d r E C k
Gefecht	e f e t
Gegend	g
Geheie	e h e i e
Gehirtumor	e h i r t u m o r
Geieconcerto	e i e k o n z i r t o
Geliits	e l i i c
Gell	E l o
Gemengegebaier	E m E N E g E m a i e r
Gemengelandschaft	E m E n g e l a nd~ S a f
Gemengepäpp	E m E N E p 3 7 p p
Gemengeroot	E m E N E r o u t
Generellen	e n e r e ly~ e n
Genii	e n i
Geoffrey	e o f a
Geprouft	a p r o o k u p
Geriichtsuerteel	r i C c u e r
Gernsback	E a n s b a k
Gesamtandrock	e s a m t a n d r o k
Gesamtkontext	e s a m d k o nt~ "
Gesamtwierk	e s a m tw~ i e r
Gescheites	e s 5  t e
Geschäftslokaler	3 S 3 f c d r a l e r
Gesondheetskees	e s o nd~ h i* c k e s
Gespaant	e s p a i
Gestëppels	e s t 3 p p e l
Gewanne	e w a n e
Gewicht	e w i t
Ghosts	h o s c
Giant	i a nt~
Gierenz	i e r e n z
Giesinger	e s i N e r
Giischt	i s t
Gilson	i l o*
Gilwell	i l w e l o
Girsterklaus	i r S t E r k l a u s
Gitarr	i t a r
Giulio	i l i o
Glam	l a m
Glaube	l a u b e
Gleewen	l E e u e n
Glutenfräie	p e r o k  f r 3 i e
Gläichgëltegkeet	l 3 i C g E ly~ t e g k a
Gläichstand	l 3 i C s t a nd~
Gnaedig	n a  i g
Gnodebild	n o d e b i l 7
Goalchance	o a l C a n C i e
Goffin	o f i n
Golanhéichten	o r a n h u e i C t e n
Goldmedaile	o l d m e d a i l e
Gore	u r e
Graad	r a
Graden	r a d e n
Grafsteng	r a f s t i N
Grandsen	r a nd~ e n
Greatest	r e a t e s
Greffier	r E f i e r
Grein	r e i n
Greipel	r e i p e l
Grengs	r E N
Grennan	r e n
Grenzberäich	r e n z k 3 i C
Griffin	r i f i n
Grimmelen	l i m e l e n
Grisius	r i s i u s
Grondkenntnisser	r o n d k 3 n t n i 7 e r
Grondrent	r o n d r e n t
Grondschoulkanner	r o n d s C o l u m n 3 q
Grondsätzleches	r o n d s c l e C e i
Groningen	r o n i N 3 n
Grooljen	t o n lx~ e n
Groussherzogleche	r o u s S e r t L i n
Groussrégioun	r o u s r e i o u n
Gruppementer	n i n p E m E n t e r
Gruppendynamik	n i n p e n dy~ n a m i k
Gruppéierunge	n i n p e i e r u N a
Gräifvull	r 3 i f i v u l o
Gréiweknapp	r e i e kw~ a pw~ p
Gréngfläche	r e n g f l 3 C e
Gréngzone	r e n g z o n e
Guantànamo	u a nt~  a m o
Guardians	u a r dy~ a
Guckuck	u C k u k
Gulbicki	u l b i S k i
Guth	u c
Gymnastik	i m n 3 s o t i k
Gynekologen	y n e k o l o g 3 n
Gäste	3 s t e
Géigensaatz	e x e n s a c
Gënz	e N
Haalen	a l e n
Haapt	a s u
Haaptaktivitéit	a p t a k t i b i t e i t
Haaptinstrument	a s u  s t r u m e n t
Haaptmann	a p t n
Haaptsaz	a s u c a z
Haentges	a e n t g e
Haisercher	a z o mb~ o  e r
Hamid	a m i d
Hana	a n a
Handelsermächtegung	a n d e l e r m 3 t E g u N
Handgrëff	a nd~ g r e f
Handysnummer	a n dy~ s S E w e r
Hanergrond	a n e r g r o n d i
Hannergron	a n n e r g r o n
Hannergrondinformatiounen	a n n e r g r o n d i n f o r m a t i o u n e n
Haren	a r e
Harespele	a r e 8 p e n e l e
Hasselhoff	n i e l h o f
Hausdieren	a u s d i e r e n
Haussë	a u s o
Haustelefon	a u s t e l e f o n
Havanna	m a v a n u
Heber	e b e r
Heemréit	e m r e i t
Heirënner	e i r 3 n n 3 q
Heisbourg	e i s b o u r
Heischtergronn	e i S t E r x r o n n
Heizungen	e i a f o N 3 n
Hellange	e y a N a
Hellers	e l l e r
Hellinckx	e l l i n k k S
Helpdesk	e l p b u r
Helpermaart	e l p e r m a r
Hennicot	e n n i k o t
Heow	e o w o
Herausfuerderung	e r a u s pw~ e r d e r u N
Herbie	e r b i e
Herbiziden	e r p e t e  d e n
Herzegowina	e r z e g o w i n a
HiQ	i
Hicks	i S k
Hierkonftsland	i e r k o* f c nz~ i
Hierkonftslänner	i e r k o* f c l a* d n 3 q
Hiewann	i e w a n
Highkey	i t k u y
Hild	i l 7
Himmelsrichtungen	i m e l s r i C t u N 3 n
Hindley	i n d l e
Hinzerter	z e r t e r
Historikerin	i s t o r i k e r i n
Hivange	i v a n g e
Hiwwele	i w w e l e
Hobbymaart	o b w i m a r
Hochard	T h a r d
Hochzait	T h z a i t
Hochzeit	T h 8 i t
Holdings	o l d i N
Hole	o l e
Holzkuel	o l z
Homologatioun	o m o l o g a t i o u n
Hoppe	o p p e
Hormonen	o r m o n e n
Hospitalisatioun	o s p i t a l i s a t i o u n
Hubor	u b e r
Huis	k i s
Huldange	u l d a N a
Humbert	u mb~ v e l a
Humbrol	u mb~ r o l
Humiliatioun	m i l i a t i o u n
Hummel	l u m m e l
Hung	u N
Hunnegschnaps	u n u g S a pw~
Hurm	u r m
Hurts	u r c
Huy	u y
Hypothes	3 p o t h e s
Hypothéik	3 p o th~ e i k
Häerzlechkeet	3 a r L e C k a
Häfe	3 f e
Häftlingen	3 f L i N 3 n
Hänsel	a* d s
Häppercher	3 p p e r x e r
Härr	3 r
Härzlech	3 N  n
Hät	3
Héichiewe	e i C i e w e
Héichleeschtungssportler	e i C l e e S t u N 7 p o r L e r
Héichspannungsleitungen	e i C s p a n n u N w t a i t u N 3 n
Hëllefsorganisatioune	3 L e f s o r g a n i s a t i o u n e
Hëllefsverb	3 L e f s e r
Höhl	o L
Idyll	d y L
Iernster	E a n s t e r e n
Ihr	h r
Illustrateur	L u s t r a t e u r
Illustréiert	L u s t r e i e r
Immatrikulatioun	m m a t r i k u l a t i o u n
Immigratiounsdirektioun	m m i g r a t i o u s d i r e k t o u n
Immobilieprojet	m o b i l i e p t o n o x e t
Immobiliepräisser	m o b i l i e p r 3 s e r
Immobilismus	m o b i l i s m u s
Immunzellen	m u n z e l l e n
Impact	p a k s
Impfflicht	p f l i t
Implikatioun	p l k a t i o u n
Importateur	p o r t a t e u r
Incubateur	n k u b a t e u r
Indexmodulatioun	nd~ " m o d u l a t i o u n
Industriebrochen	d u s t r e r r o C e n
Industrië	d u s t r e 3
Indépendanten	nd~ e p e n d a n t e n
Infektiounskrankheete	n f k t o u s k r a n u e t e
Ingrid	N r i d
Initsch	n i 5 u
Installateur	s t a l l a t e u r
Integratiounsplang	t e g r a t i o u s p l a N
Interception	t e r e p t i o n 3
Interimsdirekter	t E r i m s d i r e k t e r e n
Interimspresident	t E r i m s p r e s i d e n t
Internetris	t E r n  i s
Internetzougang	t E r n  z o u g a N
Intervenant	t E r f e n a nt~
Intervenante	t E r f e n a n t e
Intransparenz	t r i s p a d e
Irgendeen	r g e n d e n
Islamist	s l a m i s
Isolatiounsmaterial	s o l a t i o u s m a t e r i a l
Issa	s a
Ivanov	v a n o N
Iwwerbeliichtung	w w e r b e l i C t u N
Iwwerhuelen	w w e r w e l e n
Iwwerschaffe	w w e r S f e
Iwwerwannung	w w e r w a n u N
Ixus	S u s
Jaeger	a E g E r
Jahren	a h r e n
Jalousien	a l o u s e i
Janet	a n e t
Jangen	a n g 3 n
Jarvis	a r v i s
Jasmine	a s m i n e
Java	a v a
Javad	a b a d
Jax	a X
Jedi	e d i
Jenni	3 n i
Jeppe	a p p e
Jesaja	e s a h a
Jessie	e s s i e
Jesuit	e s u i
Jobben	o b b e n
Joerzéngtelaang	o e r z E N t e l a N
Journalistekollegen	o u r n a l i S t a k o l l E g E n
João	o a* o
Jugendclub	t u g e n d k l u b "
Jugendensembel	t u g e n d e n s mb~
Jugendequippen	t u g e n d e k i p p e n
Jugendpräis	t u g e n d p r 3 i s
Jun	u n
Jungs	u N
Juno	u n o
Jéngste	e N s t e
Kabinne	a b i n n e
Kafe	a f e
Kali	a l i
Kalzium	a l L u m
Kamerateam	a m e r a t e a m
Kamigaito	a m i g a i t o
Kampfhandlungen	a m p f a nd~ l u N 3 n
Kannerfilm	a n n e r u k a C m
Kannerklinik	a n n e r k l i n i k
Kannermissiounssonndeg	a n n e r m i s s i o u s  nd~ e n
Kannerwonsch	a n n e r w o S
Kannerzëmmer	a n S N m a m e
Kapitalerträg	a p i t a l e r tr~ 3
Kapitalist	a p i t a l i s
Kapitänin	a p i t o h n i n
Karaoke	a r a k e
Karateka	a r a t e k a
Karaté	a r a a
Karte	i t e
Kassett	n i e t
Katarzyna	E t E d i t z
Kebab	e b a b "
Keent	e n t
Keeserräich	e e r 3 i C
Kellerduell	e l l e r dw~ "
Kellere	e l l e r e
Kelvin	3 l i N i n
Keun	u n
Khamenei	h a m E n e i
Kiefer	i e f e r
Kiercherot	i e r x e r o t
Kierpergréisst	i e r p e r g r e i 7
Kiischte	i S t e
Kilowatt	i l o w a t
Kimmich	i m m i C
Kimon	i m o n
Kinneklech	i n k b l E C
Kinsey	s u y
Kipling	i p l i N
Kirchhoff	i r C o f
Kiselsteng	a s l 3 s t i N
Klarsichtfolie	l a r  C t f o l i e
Klassekomeroden	l a 7 Nw~ 3 e r o d e n
Kleeblatt	l E l o b l a t
Kleedergeschäft	l e n d e r g 3 s C 3 f
Kleinberg	L e i n p l a y
Klengsten	l 3 N s t e i n
Klimadebatt	l i m a d e b E t
Klimagerechtegkeet	l i m a g e r a t E k a l o t a x a
