on 	o n
Vogts	o g i c
Voices	o C " e l e
Volgogradi	o l g o g r a d i
Volkswagenis	o l k s o g e n i s
Voll	o l o
Volvot	o l v o t
Vuorineni	u o r i n e n i
Vähiliidu	a t i l i d u
Väinameres	3 i n a m e r e
Väited	3 i
Väliseestlaste	3 l i s E r e s L a s t e
Väljamakseid	3 lx~ w e i d
Värskeim	r i e s k 3 i m a
Väärika	3 r i k a
Väärtpaberibörsi	E r t p a b e r i b a r S i
Võiksin	n a i k s i n
Võimalikke	n a i m a l i k k e
Võimuvõitlus	n a i m u b o i L u s
Võitjatele	o i k ty~ a t e a
Võitu	n a i t u
Võlad	n a l a d
Võlu	n a l u
Võsamaa	n a sw~ a
Võõpsu	n a o p s u
Wahlroos	a h l o s
Walkeri	a l k e r i
Waterhouse	a t e r h o u s e
Westminsteri	e s t s t E r i
Wiiralti	i r a l t i
Wilders	i l 7 e r
Wilsoni	i l s o n i
Wipestrex	i p e s t r i 7
Wittenbergi	i t b e r g i
Wolff	o l f
Wozniacki	o z n i a k k i
Wunibald	u n i b a l
Younan	o u n a n
Yves	f e
Zagrebis	y r e b i s
Zelimhan	e l i mw~ a n
Zimbabwes	i m b a b w e
Zinedine	i n e d i n e
Zubkov	u b k o v
aabitsa	a b i c a
aamen	a m e n
aastakoosoleku	a s t a k o s u k o l e k u
aastakoosolekut	a s t a k o s u k o l e k u t
aastamaksu	a s t a m a k s u
aastapäevast	a s t a p 3 7 e b E s
aastaringne	a s t a r i N n e
aastaseid	a s t a s e i d
aastatellimuse	a s t a t 3 m u s e
aastatetagust	a s t a t e t a g u s
aastavahetuspidu	a s t a v a h e t u s a t u
aastavõrdluses	a s t a b o* r b i d  e
abiellumine	a b i "  m i n e
abielunaine	a b i e l u n a i n e
abikaasaks	a b i k a s a k
abikomissar	a b i k o m i s s a r
abilinnapealt	a b i l i n t a  a l t a s
abilisega	a b i l i s e N a
abinõudest	a b i n o* u d a* 7
abipakett	a b i p a k e t
abiprefekti	a b i p r e f e k t i
abistajad	a b i s t a q d
abistajate	a b i s t a j a t e
abistaks	a b i s t a k
abistavat	a b i s t a v a t
abitreenerina	a b i t r e n e r i n a
abiturientidele	a b i t u r i n t i d e l e
abivalmilt	a b i v a l m i l
abordid	a b " a l d i d
absurdset	a b " s u r d  e t
absurdsus	a j g o u s
administratsiooniga	a d m i n i s t r a c i o " w i g a
adunud	a d u n u d
aedlinna	a e d l i n t a
aeglasemaks	a g l a s e m a k
aeglustumisele	a g l u s t u m a s l 3 e
aegruumi	a e g r u m i
aegsetest	a g e t e s
aegumist	a e g u m i s
aegumistähtaeg	a e g u m i s t E h t i  o g
aegus	a e g u s
aferiste	a f e r i s t e
agaramalt	a g a r a m a l t a s
agentuuride	a g 3 n t u r i d e
agoonia	a g o
agressiivsemad	y r e s s i Ng~ e s t u m a d a r
agressiivsemalt	y r e s s i Ng~ e e m a l t a s
ahnusest	a h n u s a* 7
ahnust	a h n u s
ahvatles	a h u
ahvatlevam	a h u  v a m
aiaaugust	a u g u s
aiandi	a y a nd~ i
aiapidajad	a y a p i d a q d
aiasaaduste	a y a s a a d u s t e
aiatöid	a y a t r o i d
aiatööd	a y a h a t 3 d
aidsihaiget	a i d s i h a i g e t
aimavad	a i m a v a d
ainulaadsed	a i n u l a j 3 d
ainulaadset	a i n u l a j e t
ainuliidriks	a i n a m b l i  k
airBalticu	a i r a l t i k u
ajagraafikus	s u b o ch~ a f i k u s
ajagu	s u x u
ajakavas	s u a v a s
ajakirjanduslike	s u l y a nd~ u s l i k e
ajakirjandusväljaanded	s u l y a nd~ u s v 3 lx~ a nd~ e d
ajaloomuuseumi	s u l o u s e u m i
ajamisega	s u C u w e
ajavahemikku	c a v a h e m i k k u
ajule	a h u l e
ajupesule	dy~ u a T u l e
akadeemikute	a k a d e m i k u t e
akadeemilisest	a k a d e m i l i s a* 7
aktiivsema	a k t i v s e m a
aktile	a k t l
aktiveerida	a k t Ng~ e r e e r i d a
aktsiisimäärad	a k c i s i m 3 r a d
aktsiisitõusud	a k c i s i t 3 u s u d
aktuaalsetel	a k t u a l e t e l
aktusele	a k t u s e l e
alagruppide	a l a g a m a t e
alajaamad	a l a j a m a d
alampalgaga	a l a m p a l g a g a
alandusi	a l a nd~ u s i
alavääristada	a l a v 3 r i s t a d a
algatusrühma	a l g a t u s a s m a
algavateks	a l g a b a t e k
algharidusega	a l x a r i d u s e N a
algkapitali	a l g k a p i t a l i
algklassidest	a l k a l l a s i d a* 7
algsel	a l k e l
algusaastatest	a l g u s a s t a t e s
alguste	a l k i s t e
alistumist	a l i s t u m i s
alkoholitootjate	a l k o h o l i t o 7 o ty~ a t e
alkohoolsed	a l k o  o l e d
allhanketöid	a ly~ a g i h a i d
allhankija	a ly~ a n k i j a
allhankijad	a ly~ a g i j a d
allutamist	C a L u t a m i b s d a
alluvale	o l  v a l e
altkäemaksuga	a l t k 3 e m a k S u g a
altkäemaksust	a l t k 3 e m a k s u s
alustamisega	a l u s t a m i s e N a
alustatut	a l u s t a t u t
am	a m
ambitsioonidega	a m b i t i o " w i d e g a
ambulatoorsele	a m b u l a t o r s l 3 e
ameerikalikku	a m e e r i k a l i k k u
ametialaste	a m e t i a l a s t e
ametiautod	a m e t i a u t o d
ametikohtadest	a m e t i k o h d a 7 t a d a* 7
ametipostilt	a m e t i p o s t i l
ametkonda	a m e t k o n d a
ametlikeks	a m e t l i k e k
ametnikuks	a m e t n i k u k
amortisatsiooni	a m o r t i s a c i o n i
ampluaa	a m p l u a
analoogia	a n a l o N i
analoogilise	a n a l o g i l i s e
analoogilist	a n a l o g i l i s
analüüsiv	a n a l 3 3 s i b E
anarhiat	a n a r i a a t
andekam	a n d e k a m
andjat	a j a t
andmestik	a nd~ S t i k
angaar	a N a r
angaaris	a N a a r i s
animatsiooni	a n i m a c i o n i
anni	a n i
antagu	a n t a g u
anumad	a n u d
apelsine	a p e l s i n e
apologeedid	a p o l o g e n d i d
aprillinalja	a p r e l l i n a l j a
apsu	a p s u
arendajal	a r e n d a q
arendavat	a r e n d a v a t
arenduskeskuste	a r e n d u s k e s k u s t e
arengusuundadest	a r e n g u s u n d a d a* 7
arengusuundi	a r e n g u s u n d i
argpüks	a r g p 3 k
arheoloogilised	a r u o l o g i l i s 3 d
arhiive	a r i a i v E
arhitektuurilise	a r i a t e k t u r i l i s e
armastuseta	a r m a s t u s e t a
armastuslugu	a r m a s t u s t u
armid	a r m i d
armulauariistad	a r m u l a u a r i s t a d
armusin	a r m u s i n
armutu	a r m u t u
arusaamades	m a d u s a m a d e
arusaamises	m a d u s a m i e
arusaamisest	m a d u s a m i s a* 7
aruteludele	a r u t E l u d e l e
arvamusliidriks	a r v a m u s l i  k
arvamustoimetuse	a r v a m u s t o i m e t u s e
arvestataval	a r b e s t a t a v a l
arvetel	a r b e t e l
arvukamalt	a r  m a l t a s
arvukatest	a r b u k a t e s
arvustaja	a r b u s t a h a
arvutades	a r b u t a d e
arvutamine	a r b u t a m i n e
as	a s
asendamisega	a s e n d a m i s e N a
asendusliiget	a s i s l i x e t
asetleidnud	a s   d n u d
asetust	a s e t u s
asetäitjale	a s e t 3 i y a l e
asfaldiga	a s f a l d i g a
asjaajamised	a s gy~ i c z o
asjapulk	a s j a p u l
asjatuks	a s j a t u k
askeldas	a s k e l d 3 s
astmepalga	a s t m e p a l g a
asud	a s u d
asuski	a s u s k i
asutuseks	a s u t u s Nw~
ateismi	a t e i s m i
atraktiivsuse	a t r a k t i v s u s e
auastet	a u a s t e
auditeerida	a u d i % t e r i d a
auditid	a u d i t i d
auditooriumiga	a u d i t o 7 o ry~ i m i g a
auditooriumile	a u d i t o 7 o ry~ i m i l e
auhindadeks	a u h i n d a d e k
auklik	a u k l i k
aukohtusse	a u k o h t u s s e
aukudesse	a u k u d 3 s a
aule	a u l e
aumärk	a u m 3 r
ausambaid	a u s a m b a i d
ausambale	a u s a m b a l e
ausammaste	a u s a m u s t e
ausatele	a u s a t e a
austaks	a u s t a k
austasid	a u s t a s i d
austraallased	a u s t r a l l a s 3 d
autasustamist	a u t a s u s t a m i s
autoavarii	a u t o a b a r i
autoettevõtete	a u t o e t u s n a k e t e
autokoolides	a u t o k o l i d e
autoomanikke	a u  o m a n i kw~ k e
autoostu	a u t o s t u
autopommi	a u t o p o m m i
autoriteediks	a u t o r i t e n d i k
autoritel	a u t o r i t e l
autosõitu	a u t o s o i t u
autoukse	a u t o u k s e
auväärset	a u  E r e t
auvõlg	a u  o l
avaistungil	a b a i s t u N i l
avalikustamises	a b a l i k u s t a m i b e
avamere	a b a m e r e
avariilise	a b a r i i l i s e
avariilisest	a b a r i a C i w a* 7
avastades	a b E s t a d e
avastused	a b E s t u s 3 d
avasõidu	a b E s o i d u
avatama	a b a t a m a
baarileti	b a r e l e t i
baasiga	b a s i g a
bakterit	b a k t e r i k
bakterite	b a k t E r i t e
ball	b a l o
ballett	b a l l e t
ballile	b a l l i l e
baltlastele	b a l u L a s t e a
barjäär	b a r E r
baseeruv	b a s e r u
bensiinihinna	b e n k u i n i h i n n a
bikiinid	b 3 k i i n i d
biogaasi	b i o g a a s i
bioloogiliselt	b i o l o s e p a s l 3
bioloogiliste	b i o l o g i l i s t e
bitcoin	b i t k o i n
boks	b o k
boonusena	b o e n a
broneeringuid	b r o n e r i N o i
brutokuupalga	b r u t o k u p a l g a
brutotulu	b r u t o t u l u
brutotunnipalk	b r u t o t u n u pw~ a l k a n
brände	b r 3 nd~ e
budistid	b u d i s t i d
bussidest	s i d a* 7
bussiradade	s s i r a d a d e
bussiühendus	s s i 3 h e nd~ i
buumiaja	b u m i a h a
bännerisse	b 3 n n e r i s s e
börsidebüüdi	b u w o s i d e b u 3 d i
börsiga	b u w o s i g a
börsikrahhi	b u w o r i k r a h
bürooruumid	b u o r u m i d
debiil	d e b i i l
debüütmängus	d e b u i m 3 n g u s
defekti	d e f e k t i
defineeritud	d e f i n e e r i t u d
defitsiidist	d e f i s i dy~ s d a
deflatsiooni	d e f l a c i o n i
dei	d e i
deklareerimist	d e k l o h r e l i m i s
deklareerivad	d e k l o h r e r i v a d
delegatsioonil	d e l e 7 a c i o n i l
delegatsioonis	d e l e 7 a c i o " w i s
delfi	d e l f i
demagoogilise	d e m a g o g i l i s e
demokraatidel	d e m o k r a a t i d
demonstrantide	d e m o* s t r a n t i d e
demonstratsiooni	d e m o* s t r a c i o n i
devalveerimisest	d e v a l a e l i m i s a* 7
diakooniahaigla	d i a k o a h a i g l a
diakooniatalituse	d i a k o a t a l i t u s e
digilehe	d i g i l e e
digitaalseid	d i g i t a l e i d
diktaadi	d i k t a d i
diktaat	d i k t a t
dinosauruste	d i n o s a u r u s t e
diplomaatias	d i p xy~ u 7 a t i 3 s
diplomaatilisele	d i p xy~ u 7 a t i l i s e l e
dirigeeris	d i r i x e r i s
diskrimineeriv	d i s k l i m i n e r e
diskrimineerivad	d i s k l i m i n e r i v a d
distantse	d i s t a n c
distantsist	d i s t a n c i s
distsiplinaarkorras	d i s c i p l i n a r k o r a s
dogmaatika	d u g u a t i k a
dokfilmi	d o k u k a C m i
doktorantide	d o k t o r a n t i d e
doktorantuuris	d o k t o r a n t u r i s
dokumentaalfilmide	d o k u m e n t a l u k a C m i d e
doonorluse	o n o r l u s e
doteerimiseks	d o % t e l i m i s Nw~
dotsendi	d o c e n d i
drastilise	d r E s t i l i s e
drastilist	d r E s t a C i w
droone	o n e
droonid	o n i d
eakamatele	e k a m a t e a
ebaadekvaatselt	e b a r 3 s 3 r Nw~ v m a c e l
ebaausalt	e b a u s a l t a s
ebaloomulikult	e b a l o l i k r u
ebamugava	e b a m u g a v a
ebamugavasse	e b a m u g a b E s s e
ebamääraseks	e b a m 3 r a s u
ebamäärast	e b a m E r s d a
ebapopulaarsed	e b a p o p u l a s 3 d
ebaproportsionaalne	e b a p r L o k c i o n a l n e
ebarealistlik	e b a d e a l i s t b u C o
ebaselgust	e b a s l 3 k i s d a
ebasoosingusse	e b a s o s u k u  s s e
ebatavalised	e b a t a v a l z o
ebaõnnestuvad	e b a n o* n n e s t u b a d
edasiliikumine	e d a s i l i k u m i n e
edasipääseja	e d a s i p 3 sx~ e xe a
edasiõppimise	e d a s y o* p k u i s e
edastamisega	e d a s t a m i s e N a
edendajatele	e d e n d a j a t e a
edendavate	e d e n d a b a t e
edetabelite	e d e t a b e l i t e
edukamat	e d u k a m a t
edulugude	e d u l u g u d e
edurivi	e d u r i v i
eduseisust	e d u s e i s u s
eelarvamustest	e k "  v a m u s t e s
eeldatud	e l d a t u d
eelistest	e l i s t e s
eelistungi	e l i s t u N i
eelistusest	e l i s t u s a* 7
eelisõigus	e l i s o i k g u s
eellased	e l l a s 3 d
eelmisesse	e l C u w o s e
eelnevaga	e l p i r a g a
eelnevatele	e l n e b E t e a
eelprojekti	e l p t o n o x e k t i
eelseisvaks	e l e i s v a k
eelseisvateks	e l e i s v a t e k
eeltingimused	e l t i N i m u s 3 d
eelvõistlusel	e l a o i s t l u s
eepose	e p o s e
eesmärgipäraselt	e s m 3 r g i p 3 r a r s l 3
eesruumis	e S u k m i s
eestiaegne	E k 3 n C a e N n i s
eestimeelsus	E k 3 n C i m e l u s
eestkõnelejad	E k 3 n C k o i n e l e y a d
eestlannaga	e s t a n c n a g a
eestseisja	e a* 7 e i s a q
eesõigust	e s o i k g u s
eetilises	e t i l i e
eheda	e h e t a
ehitamisse	e h i t a m i s s e
ehitasin	e h i t a s i n
ehitav	e h i t a
ehitistega	e h i t i s t e g a
ehitistest	e h i t i s t e s
ehitushange	e h i t u S a N g e
ehitushinnad	e h i t u s i n t i
ehitusinsener	e h i t u s nsw$ i 3 n 3 q
ehitussektori	e h i t u s e k t o r i
ehitustarvete	e h i t u s n a p a b e t e
ehtsaid	e h s e i
eitama	e i t a m a
eksimatu	e k s i m a t u
eksimist	e k m i s
eksimustest	e k b u p u s t e s
eksistentsiks	e k s i s t e n i k
eksperimenteerida	e k 8 p e n e r i m E n % t e r i d a
ekspertidelt	e k 8 p e n e r t i d e l
ekspositsioonis	e k s p o s i i o " w i s
elamisele	e l a m a s l 3 e
elamusse	e l a m u s s e
elanikeks	e l a n i k e k
elatuda	e l a t u d a
elavhõbedat	e l a b n a b e d a t
elektrihinda	e l e k tr~ i h i n d a
elektrikulu	e l e k t r i k u l u
elektriliini	e l e k t r e l i i n i
elektriliinid	e l e k t r e l i i n i d
elektrivõrguga	e l e k tr~ i v o* r b i g u g a
elektrivõrkudesse	e l e k tr~ i v o* r b i k u d 3 s a
elevusega	e l e b u s e N a
eliitkooli	e l i t kp~ i o l i
ellurakendamine	i L u r a k e n d a m i n e
elluviimisest	i L u b i m i s a* 7
eluaastal	e l u a s t a l
eluaegselt	t e l o g s l 3
eluasemed	e l u a s u m u
eluasemekulud	e l u a s e m e k l u d
eluasemetoetust	e l u a s u m u  a e t u s
elukindlustus	e l u k i n y l u s t u s
elukondliku	e l u k o n d l i k u
elukutselise	e l u k u c e l i s e
elukäigust	e l u k 3 i g u s
eluloos	e l u nd~ o s
elulugusid	e l u l u g u s i d
eluohtlikus	e l u o h L i k u s
eluolust	e l u o l u s
elupaikade	e l u p a i k a d e
elusad	e l u s a d
elustandardit	e l u s t a n o n
eluterve	e l u t E r v e
eluvaim	e l u b a i m
eluväärtuste	e l u b E r t u s t e
emadepäev	l e m a l b p 3 7 e v
emakakaelavähi	e m a k a k a e l a v E h t i i
emakeelepäev	e m a k e 7 e l e p 3 e v
emakese	e m a k e s e
emapuu	e m a p u
emigreerunud	e m i g h r e r u n u d
emotsionaalsus	e m c i o n a l u s
enampakkumisega	e n a m a k m i s e N a
enampakkumist	e n a m a k m i s
endiga	e nd~ i g a
endilegi	e nd~ i l e g i
endisse	e nd~ i s s e
energeetikute	e n e r g e e t i k u t e
energiafirmade	e n e r g i a f i r m a d e
energiakontsern	e n e r g i a k o nc~ o r n
energiaminister	e n e r g i m i n i s t e r e n
energiasüsteemi	e n e r g i a s 3 s t a i m i
enesekindlad	i n i e k i n y l a d
enesetapja	e n e s  ph~
enesetaputerrorist	i n i e t a p u t e r ph~ i s
enesevalitsuse	i N o w v a l i c u s e
eneseväärikus	i N o w v 3 r i k u s
ennemini	e n n i m i n i
ennetavaid	e n n e t a v a i d
ennetus	e n n e t u s
entusiast	e n t u s i s d a
eraelust	e r a e l u s
eraettevõtetele	e r a e t u s n a k e t e a
erakondlasi	e r a k o n d l a s i
erakordsete	e r a k o r d  e t e
eraldaks	e r a l d a k
eraldiste	e r a l d i s t e
eralõbu	e r a l o b u
eramajast	e r i C i c s d a
eramud	e r a m u d
eramuid	e r a m u i
erapooletud	e r a  o l e t u d
erapoolik	e r a  o l i k
erariietes	e r a r i e t e
eratarbimine	e r E t E d i t  m i n e
eraõiguslik	e r a o i k g u s b u C o
eraõigusliku	e r a o i k g u s l i k u
ereda	e r e d a
ergutamiseks	e r g u t a m i b e k
erialaks	e r i a l a k
erikohtlemist	e r i k o h L e m i s
erikoolist	e r i k o l i s
erilisemaks	r i l i s e m a k
erimeelsus	r i m e l u s
erinevustega	r i N u s i k e g a
eripärade	r i p 3 r a d e
eriteenistus	e r i k e n i S t u s
eriväelased	r i v 3 e l a s 3 d
eriüksuste	r i 3 k s u s t e
esietenduse	e s i e t e n d u s e
esiküljele	e s i k l E l e
esilinastunud	e s i l i n a s t u n u d
esindamist	e s i n d a m i s
esindan	e s i n d a n
esindushoone	e s i d u S o n e
esinelikusse	e s i n e l i k u s s e
esitad	e s i t a d
esitajale	e s i t a j a l e
esitatavatele	e s i t a t a v a t e a
esivanematega	e k u b " n e m a t e g a
esivanematelt	e k u b " n e m a t e l
esmaesitlus	e s e s L u s
esmatarbekaupade	e s m E t E d i t b e k a u p a d e
etaloniks	e t a l q l o
etteaimamatu	e t a i m a m a t u
ettepanekutes	e t p a n e k u t e
ettevaatust	e t t e b E a t u s
ettevalmistamisele	e t p i r a l m i s t a m a s l 3 e
ettevalmistatav	e t p i r a l m i s t a t a
ettevalmistuseta	e t p i r a l m i s t u s e t a
ettevõtjaile	e t u s n a k gy~ l
ettevõtjateks	e t u s n a k j a t e k
ettevõtluskeskkonnale	e t u s n a k l u s k e s k k o l e
etteütlust	e t u t l u s
eurokampaania	u r a m a n i a
euroliidult	u o l i d u l
eurotoetuste	u u t u 3 t u s t e
evakueerimine	p i r a k u e l i m i n e
evangelist	p i r a N e l i s
facebookis	f a C E b o k i s
faili	f a i l i
failid	f a i l i d
fantaasiaga	f a nt~ a a s i a g a
farmides	f a r m i d e
farmist	f a r m i s
fashismi	f a s i s m i
favoriidiks	f a v o r i d i k
fiasko	f i a s k o
figureerinud	f i g u r e r i n u d
fikseerinud	f i k s E r e r i n u d
filiaalid	b i l i a l i d
filmil	b i l m i l
filmilavastaja	b i l m i l a v a s t a h a
filmimaailma	b i l m i m a i t m a
filmistuudio	b i l m i s t u d i o
filosoofilise	b i l o s o o f u k a C i w e
finaalkohtumine	f i n a l k o h t u m i n e
finantsanalüüsi	f i n a nt~ a b a n a l 3 3 s i
finantseering	f i n a n s E r e r i N
finantseerivad	f i n a n s E r e r i v a d
finantsseis	f i n a n t i e i s
finiš	f i n i S
finišit	f i n i S i t
firmajuhtide	f E i r m a h u h t i d e
folkloorifestivali	f o l k nd~ o r i f i S t i v a l i
fondiemissiooni	f o n d i e m i s s i o n i
formaalset	f o r m a l e t
formaalsete	f o r m a l e t e
fotoaparaadiga	f o t o a p a r a y a N a
fotoaparaati	f o t o a p a r a a t i
free	f r e
fännab	f 3 n a b "
fännklubi	f a* d Nk~ l u b i
föderaalvägede	f o d e r a l a 3 g e d e
füüsilisel	f 3 3 s i l i s
füüsilistele	f 3 3 s i l i s t e a
gaasiballoon	g a s i b o l  o n
gaasijuhe	g a C e w e
garaazhi	g a r a Z i
garaažide	g a r a Z e i d e
garandiks	g a r a nd~ i k
geenidega	g e d e g a
geograafilises	g e o g r a u k a C i w m 3 s
globaalseks	g l o b a l e k
globaalsele	g l o b a l s l 3 e
globalistide	g l o b a l i s t i d e
grupeeringud	g a m e r i N u d
grupeeringut	g a m e r i N u t
grupijuht	g r u p i h u h
grupisõit	g r b i s o i t
gümnaasiumiosas	N m n 3 a s i u m i o s a s
gümnaasiumit	N m n 3 a s i u m i t
haagissuvila	h a g i 7 u b i l a
haavatavam	a n a t a v a m
hagejate	h a g 3  t e
haigestumus	h a i g 3 s t u m u s
haiglajuhtide	h a i g l a h u h t i d e
haigusesse	h a i g u s 3 s a
haigusjuhtu	h a i g u s xy~ k i w
haigustele	h a i g u s t e a
haigutama	h a i g u t a m a
haistsid	h a i s c i d
hajuvad	h a h u b a d
halab	h a l a b
halastanud	h a l a s t a n u d
haldjas	h a l d j a s
haldurid	h a l d u r i d
haljasalasid	h a l y a s a l a s i d
halvenema	h a l f e n i m a
halvustamise	h a l b u s t a m i s e
hambakliiniku	h a m b a k l i i n i k u
hamburgereid	h a m b u r g e r a i d
hankijad	h a n k i j a d
hankimisega	h a n k i m i s e N a
haridusmaastikul	h a r i d u s a s t i k u l
haridusstrateegia	h a r i d u s u z a % t e x i a
haritlasi	h a r i L a s i
harjumiseks	h a r xy~ C u w e k
harudes	h a r u d e
haruldasem	h a r u l d a s e m a
hasartmänguseaduse	h a s e r t m 3 n g u s e a d u s e
haualt	h a u a l t a s
hauaplats	h a u a p m u
haududa	h a u d u d a
heakskiitmine	h e a k s k i t m i n e
heakskiitmisel	h e a k s k i t C u w e l
heaoluriikide	h e a o l u r i T i d e
heatahtlikkus	h e a t a h L i k k u s
heategijad	h e a t e g i y a d
heateod	h e a t e d
heebrea	h e o*  a
heidame	h e i d a m e
heidutus	h e i d u t u s
heinakuhja	h e i n a k u h j a
heitleb	h e i L e
heitmete	h e i t m e t e
hekk	h e k
hekki	h e k k i
heldimusega	h e l d i m u s e N a
heldust	h e l d u s
heledamaks	h e l e d a m a k
helgema	h e l g 3 m a
helgemat	h e l g 3 m a t
helgesse	h e l g 3 s a
helikopterite	h e l i k o p t E r i t e
helistamisel	h e l i s t a m i s
helistamist	h e l i s t a m i s
hetkelise	h e t n z a g u r i s e
hetkeolukorra	h e t k e l u k o r a
hiinlase	h i a l a
hiinlastega	h i p i S t E g a
hilisemast	h i l i s e m s d a
hilissuvel	h i l i 7 u b e l
himude	h i m u d e
hindamatud	h i n d a m a t u d
hingedepäeval	h i N e d 3 p 3 p i r a l
hingejõudu	h i N j o u d u
hingeks	h i N Nw~
hingetõmbega	h i n g 3 t e m a m N e b e g a
hinnalisem	h i n t u r z o m
hinnanguks	h i n g u k s
hinnapakkumine	h i n n a p a k m i n e
hinnapiirkonnas	h i n a pw~ i r k o
hinnatav	h i n n a t a
hinnatava	h i n n a t a v a
hispaanlanna	h i s p a n a nz~ n a
hittide	h i t i d e
hobidega	h o b i d e g a
hobusekasvanduse	h o s e k a s v a d u s e
hoiatavalt	h o a t a v a l
hoidusid	h o d u s i d
hoiukodu	h o i u k o d u
hoius	h o i u s
hoiustajatele	h o i u s t a j a t e a
homopropaganda	h o m o p r o p a g a n d a
homoseksuaalsus	h o m o s e k s u a l u s
homoseksuaalsuse	h o m o s e k s u a l s u s e
hooaegadel	h o a g a d
hoogustub	h o g u s t u b
hooldekeskuse	h o l d e k e s k u s e
hooldekodule	h o l d e k o t u l e
hooldusfirma	h o l d u s f i r m a
hoolealustega	h o l e a l u s t e g a
hoolest	h o l e s
hooliks	h o l i k
hoolsa	h o l s a
hoolsad	h o l s a d
hooneregistri	h o e r e g % l u z i
hoovile	h o v i l e
horisontaalselt	h o r i S o n t a l s l 3
horvaadid	h o r v a a d i d
hotellidele	h o t e l a i d e l e
hotellidesse	h o t e l a i d 3 s a
hotelliga	h o t e l a i g a
hotellitoa	h o t e l l i t o a
hotellitoas	h o t e l l i t o a s
hubase	h u b a s e
hukatakse	h u k a t a k s e
hukkamõistmine	h u k k a m o* N i s t m i n e
hukuga	h u k u g a
hukutav	h u k u t a
hulbib	h u l
hulgim	h u l s i k e h
hulgimüüjate	h u l s i k e h 3 t a  t e
hulkuvaid	h u l k u b e i
hullumeelseid	h u L u m e  e i d
hullumeelselt	h u L u m e  s l 3
hullumeelset	h u L u m e  e t
hullutada	h u L u t a d a
hunnikus	h u n n i k u s
huulil	h u
huviringid	h u b i r i N i d
huvitavaim	h u b i t a v a i m
huvitavatele	h u b i t a v a t e a
häbeneks	h 3 n o N u
häbiplekiks	h 3 b i p l e k i k
häbitunne	h 3 b i t u n n e
häbitunnet	h 3 b i t u n n e t
hädaldada	h a r a l d a d a
hädaliste	h 3 y e z i s t e
häirega	h 3 i r e g a
häirimise	h 3 i r i m i s e
hämab	h 3 m a b "
härrasmeest	h 3 r a s m E k 3 n C
hästiinformeeritud	h a e S  h m e r i t u d
hävingule	h 3 v i  l e
hävitame	h 3 v i t a m e
hävitamisel	h 3 v i t a m i s
hääbumisele	h 3 b u m a s l 3 e
hääbus	h 3 b u s
häälestab	h 3 l e s t a b "
hääletajat	h 3 l e t a j a t
hääletusega	h 3 l e t u s e N a
hääletusest	h 3 l e t u s a* 7
hääletussüsteemi	h 3 l e t u s s 3 s t a i m i
hääletustulemusi	h 3 l e t u s t u  s i
hääleõiguslikku	h 3 l e o i k g u s l i k k u
hääleõiguslikud	h 3 l e o i k g u s l i k u d
häältearvuga	h 3 l a r b u g a
hõisates	n a i s a t e
hõivamine	n a i v a m i n e
hõivatuse	n a i v a t u s e
hõljuma	n a lx~ u m a
hõljus	n a lx~ u s
hõlpsamalt	n a l p sw~ l
hõlpu	n a l p u
hõreda	n a r e d a
hõredam	n a r e d a m
hõõruvad	n a o* r u b a d
hülge	S i l g e
hülged	h l g 3 d
hüljest	h l h s d a
hüppeliigest	t a 7 i p p e l i i g 3 s
hüppemäel	t a 7 i p p e m 3
hüppevooru	t a 7 i p T v o r u
hüvastijätt	t a 7 i b E s t i E t
hüvitamisega	t a 7 i v i t a m i s e N a
hüvitamisest	t a 7 i v i t a m i s a* 7
idaeurooplased	i d a e o p a l a
idapiirile	i d a p i i r i l e
ideekonkurss	d e i m a s
ideoloogilisi	d e o l o g i l i s i
idu	d u
idufirmadest	d u f i E l a* 7
igamees	i g a m e s
iganädalased	i g a n 3 d a l a s 3 d
igapidi	i x a p i d i
igapäevatööst	i x a p 3 p i r a h a t 3 s d a
igatepidi	i g a t e p i d i
igatsetakse	i g a c  k s e
igavam	i g a v a m
igaühelt	i g a 3 h e l
ignoreerima	i N n i o h r e l i m a
ihukarvad	i w i h r k a r v a d
iidset	i j e t
iirlane	i r l a n e
iirlaste	i r l a s t e
ilgelt	i l g e l
illegaal	i l l e 7 a l
illegaali	i l l e 7 a l i
ilmastiku	i l s t i k u
ilmateadet	i l r a i a d e t
ilmavaade	i l m a v a a d e
ilmsesti	i l m e s t i
ilmudes	i l r u g m 3 s
ilmumas	i l m u m a s
ilmutasid	i l a s i d
ilukirjandus	i l u k i r y a nd~ u s
iluravi	i l u r a v i
ilustatud	i l u s t a t u d
iluvõimlemise	i l u b o i m l e m i s e
imedemaa	i m e d e m a
imeilusat	i m e i l u s a t
imekauni	i m e k a u n i
imest	i m a* 7
imetegusid	i m e t e g u s i d
imidzhi	i m i d Z i
imikut	i m i k u t
immigrandi	i m m i g r a n d i
immigratsioonipoliitika	i m m i g r a c i o pw~ o l i i t i k a
imperialistid	i m p e r i a l i s t i d
impordikeelu	i m p o r d i k e l u
impulss	i m p u l s
indeksisse	i n d e k s i s s e
individuaalturniiril	i n d i v i d u a l t u r n i i r i l
infektsiooni	i n f i o n i
infi	i n f i
infoagentuuri	i n h a g 3 n t u r i
infoallikas	i n h a ly~ i k a s
infomüra	i n f o m 3 r a
informatiivse	i n f o r m a t i s v s e
informeerimata	i n h m e l i m a t a
infos	i n f o s
