të 	t 3
ujkun	u h k u n
ullinjve	u L j i nj ~ v e
ultimatumin	u l t i m a t u m i n
unifikojë	u n i f i k o x 3
uniformuar	u n i f o r m u a r
urdhëresave	u r d e r e s a b e
uroja	u r o h a
ushqyerje	u s qy~ e r e
ushqyesve	u s qy~ e s v e
ushtrohej	u s tr~ u 3
usta	u s t a
ut	u t
utopike	u t o p i k e
vaktit	v a k t i
valuta	v a l u t a
valutave	v a l u t a b e
vapës	v a p e
vareshin	v a r e s i n
vartës	v a r y
vdekurish	v d e k u r i S
vendimmarrësit	f e n d i m m a r e s i t
vendour	f e n d o u r
venitur	f e n i t u r
veprimtarë	f e p l i m n a p a 3
verdikt	e r d i k
veres	v e r e
vertikal	e r t i k a l
veshësh	e e S
vetiu	f e t i u
vetive	f e t i v E
vetëdijesohen	e y d i y e s o h e n
vetëflijimit	e y f l i j i m i t
vetëkënaqësi	f e d e k 3 n a q e s i
vetëqeverisjen	e y E e r i s i
veza	v e z d a
veçant	v  i
videokonference	v i d e o k o f m i n C i e
vidhni	v i d n i
vidi	v i d i
vigjilente	v i gy~ i l 3 n t e
vijoje	v i j o x e
vikendeve	v i k e n d e v e
viktimen	v i k t m e n
virologut	v i r o l o g u t
virologë	v i r o l o g 3
virusët	v i r u o
vitalitetin	v i t a l i t e t i n
vitrinë	v i t r i
vizitua	p i t e  t u a
vjeljes	v r o n o x e i
vjellë	v i L 3
vlerësuese	v l e r e s u e s e
vorbullën	v o m a k i L a n
votoje	v o  e
votu	v o t u
vrapuan	v r a p u a n
vrase	v r a s e
vrojtim	v r o h t i m
vuloset	v u l o s e t
vërejtura	v E n r e y o t u r a
vërteti	v E n r t e t i
vërtetimet	v E n r t m e t
vëzhgohen	v E n C g o h e n
xhaxhit	h a h i t
xhirollogarinë	S b a o l l o g a r i
xhudo	h o d o
zakonore	z a k o n o r e
zap	z a p
zbatoje	z b a t o x e
zbehta	z b e h t a
zbehë	z G e
zbrazen	z o* a z a n
zbriten	z o* i t e n
zbukuron	z b u k u r o n
zbuti	z b u t i
zejtarëve	z e h t a r e v e
zgjasim	z gy~ a s i m
zgjedha	z gy~ e d a
zgjedhe	z gy~ e d e
zgjidhnim	z gy~ i d n i m
zgjohuni	z gy~ o h u n i
zhanrin	Z a n i n
zhargon	Z a r g o n
zhbllokojë	C bl~ l o k o x 3
zhdukura	C d u k u r a
zhvatja	Z h u y a
zhvendoste	z a f e n d o s t e
zhytura	z h i t u r a
zodiakale	z o dy~ a k a l e
zotërimi	z o t e l i m i
zullumet	m a g a d u m e t
zura	z u r a
zvogëlohej	z v o gw~ 3 l o h e
zvogëluara	z v o gw~ 3 l u a r a
zëdhënësin	z 3 8 3 n 3 s i n
zëvendësimet	z 3 e nd~ 3 b u p e t
Çarshisë	3 y s i s 3
Çelën	e l 3 n
Çesk	e s k
çajrat	e r a t
çamë	a m 3
çarçafët	a r a f 3
çau	a u
çelet	e l e t
çelin	e l i n
çik	i k
çlirimtarët	l i l i m t a r e
çmenduria	m e n d u r i a
çrregullta	r e g u L t a
çuarjen	u a r i
želi	Z e n l i
život	Z e i v o t
Abrashit	b r a s i t
Administrimin	d m i n i u z i m i n
Adresimi	d r e s i m i
Adriatikun	d r i a t i k u n
Aerodromit	e r o i t
Afrikane	f n i t i m a n e
Agoni	g o n i
Airbnb	i r b b u
Ajaxi	y a x i
Akili	k i l i
Akte	k t e
Akuzohet	k u z o h e t
Albërie	l b e r i e
Alitalia	t a l i a
Alli	l l i
Almir	l m i*
Alternative	l t E r n a t i v E
Amaneti	m a n e t i
Ambasadë	b a s a d 3
Amdi	m d i
Amendamentet	m e n d a m e n t e
Anderlehti	d i n l e h t i
Andriy	n d r e
Angazhimet	g a z h i m e t
Anglezi	N l e z i
Ansambli	s a m b l i
Antifa	t i f a
Antishpifje	t i S k fy~ e
Antonijeviq	t o p i r i
Anulohet	n u l o h e t
Anxheles	n h e l e
Arbri	r o* i
Argëtim	r g 3 i m
Armë	r m 3
Arriti	r i t i
Arsimimi	r m i m i
Artikujt	r t i k u h
Arvanitasit	r v a n i t a s i t
Arës	r 3
Asim	s i m
Audiovizive	u d i o v i z i v E
Autoriteteve	u t o r i t e t e v e
Avenue	f e n u e
Avivit	v i v i t
Azet	z e t
Babis	a b i s
Badallaj	a d a ly~ a x
Bahrein	a h r e i n
Bakayoko	a k a y o k o
Ballist	a ly~ i s
Bankar	a n k a r
Bartësit	i t e s i t
Bastoni	a s t o n i
Batalioni	a t a l i o n i
Batalionin	a t a l i o n i n
Baumann	a u n
Becker	e T k a r
Begos	e g o s
Behçet	e h e t
Bekimin	r m i n
Bektash	e k s o
Beneventos	i n i f e n t o s
Bengasi	g a s i
Bentley	e n
Beqajt	e k a
Berbatov	e r b a t o N
Bernardeschi	E a n a r d e s C i
Beson	e s
Bicaj	i k a x
Bilbil	i l b i l
Bilbilin	i l b i l i n
Bleonës	l E i m E
Bllacës	y a k 3
Bluve	l u b e
Bogdanin	o g d a n i n
Bolinos	o l i n o s
Bonera	n e r a
Bonusi	n u s i
Borja	u r j a
Bosforit	o s h i t
Bourla	o u r l a
Brankos	r a n Z i
Braçes	r a m 3 s
Brigitte	x i t t e
Brisida	r i s i d a
Bromwich	r o m w i C
Buja	u h a
Bulliqin	u L t a m u a n
Bundeswehrit	u n d e s w e h r e
Burra	u r a
Butrintin	u t r i t i n
Buttigieg	u t i g i e
Bërthamore	3 r t a m o r e
Caballero	u C i C l e r o
Caffe	a f f e
Celik	e l i k
Celine	e l i n e
Central	e n t r a l
Ceshtja	3 S t i m a j a
Cezarit	d a r i t
Chanel	h a n e l
Change	h a n g e
Chiara	h i a r a
Christchurch	h r i s t z u r j i
Cilën	i l a n
Clara	l a r a
Control	o t r o l
Credit	r e d i t
Crotone	r o t o n
Cungut	u N u t
Dacin	a c i n i
Daisy	a y s m
Dalip	a l i p
Damon	a m o n
Danas	a n a s
Dardhë	a r d e
Davidit	a b i d i t
Deir	e r
Dekani	e k a n i
Delegatët	e l e 7 a y
Demonstruesit	e m o* s t r u e s i t
Deva	e v a
Dianës	i a
Dieta	i e t a
Dija	i y a N u
Dijon	i j o n
Dila	i l a
Dimova	i m o v a
Dimërore	i m u r o r e
Diogo	i o g o 7
Dior	i o r
Diplomatike	i p xy~ u 7 t i k e
Dishi	i S i
Doklen	o k l e n
Dolores	o l o r e
Dolën	o l a n
Dorjana	u r j a n a
Doruntina	u r u n t i n a
Doshi	o s i
Dosjes	o s i
Dragoti	r a g o t i
Drashovicë	r a s o b i k 3
Dresden	r e s d e n
Dritat	r i t a t
Driza	r i c a
Drogë	r o g o 3
Dropullit	r o p u l l i t
Dubrovnik	u b r o w n i k
Dubrovnikut	u b r o w n i k u t
Duhanit	a a n i t
Durimi	u r i m i
Durmishaj	u r m i S a x
Dëbora	e b o r a
Dërgesat	3 r g 3 s a t
Dërguarit	3 r g u a r i t
Düsseldorf	3 s e l d o r f
Economics	r o n o m i k s
Edhepse	d u L a s e
Elif	l i f
Energjinë	n e r gy~ i
Enkeleida	k e l e i d a
Epic	p i k
Epidemiologia	p i d e m i o l o g i a
Epërsia	a p i s i a
Erinda	r i n d a
Erit	r i t
Ermiri	r m i r i
Ernst	r Th~
Ersekës	r e k 3
Estrada	s t r a d a
Europiani	u r o p i a n i
Europianë	u r o p i a n E
Europianët	u r o p i a
Eurozona	u r o z o n a
Evanina	v a n i n a
Evra	v r a
Evropianin	v o p i a n i n
Fabregas	a b " r e x a s
Fadili	a d i l i
Faisal	a i s a l
Falemnderit	a l 3 m d i n i t
Fasada	a s a d a
Fatmirin	a t m i r i n
Faturave	a t u r a v e
Federatave	e d e r a t a b e
Felaj	e l a x
Fenerbaçe	e n e r b a e
Feng	i N
Fili	i l i
Filmat	i l e m a t
Filozofik	i l o z o f i k
Fitoret	i t o r e t
Fizik	u
Fizikisht	i r T i sC~ t i
Fjalimet	y a l i m e t
Fleckenstein	l e k b o s t o i n u r
Fold	o l
Formati	o r m a t i
Francuskoj	r a n k u s k o x
Frederiksen	r e d e r i k e n
Freeman	r E 3 m a n
French	r e n C i
Frontex	r o n t E 7
Frymëmarrja	cy~ m b a r j a
Funksionimi	u n k S i o n i m i
Fushe	u s e
Galica	a l i k a
Galway	a l kw~ a y u
Garner	a X n a q e r
Gazetarë	a z e t a r 3
Gerhard	a i n  r d
Giuffredi	i u f r e d i
Gjakovapress	k o w a d r e s
Gjigandët	y i g a nd~ 3
Gjinoc	j i n o k
Gjormit	j o r m i t
Gjuhën	x u h a n
Gjurmë	x u r m 3
Gjyqtarëve	hy~ k t a r e v e
Gmail	m a i l
Gojnovci	o x n o w i
Goldman	o l d m a n
Gomari	o m a r i
Gorica	u r i k a
Greku	r e k u
Grey	r E
Griezman	r i e z d m a n
Gripshi	r i p S i
Gudar	u d a r
Gërbeshi	3 r % s a m a k i
Gëzimit	3  m i t
Halitit	a l i t i t
Hamallaj	a m a l l a x
Hamleti	a m l e t i
Happy	a p py~
Hapësinore	a p e s i n o r e
Hardalias	a r y e z a s
Hari	a r i
Harito	a r i t o
Hashimin	a s i m i n
Hekal	e k a l
Hektor	e k t o r
Heroizmi	e r o i z m i
Hervin	e r v i n
Hetuesi	e t u e s i
Hipoteza	p o t E z E
Hodai	o d a i
Hollivud	o l l i b u d
Houard	o u a r d
Hristo	r i s t o
Huadhënësi	u a d 3 n 3 s i
Huasë	u a s 3
Hulumtim	u l u m t i m
Hurley	u r l e
Huver	u w e r
Hyri	y r i
Hysko	y s k o
Ideale	d e a l e
Identifikohet	d e n t i f i k o h e t
Ifo	f o
Iggy	g gy~
Iliazi	l i a z i
Ilinden	l i n d e n
Illyrian	L 3 r i a n
Ilyre	ly~
Imerin	m e r i n
Infektivës	n f i v E n
Inkurajoj	k u r a  n d a
Insajderin	s a d i n i n
Inspeksionit	s p e k S i o n i t
Inspektorateve	s p e k t o r a t e v e
Intel	nt~
Inteligjencë	t e l i g i n C i 3
Internetit	t E r n e t i
Investitorëve	n v e s i p o r e v e
Ira	r a
Isteri	s t e r i
Istrefin	s t r e f i n e
Istrefit	s t r e f i t
Jada	a d a
Jahanpour	a h a n p o u r
Jakupit	a k u p i t
Jamarbër	a m a r b e r
Janakievski	a N k i e b u r
Janjeva	a n o x e v a
Januzi	a n u z i
Jasharajt	a s a r a
Jeddah	p i e d d a h a
Jenny	e 5
Jeruzalemin	e r u w Z a l 3 m i n
Ji	i
Joel	o
Joey	N
Johnsoni	o h E 5 s o n i
Jorn	u r n
Josa	o s a
Juncker	u n C i k a r
Junik	u n i k
Kabinetin	a b i n e t i n
Kacarska	a k a g i u r
Kadastër	a d a s y r
Kadilli	a d i l l i
Kafenetë	a f e n e t 3
Kafja	a f j a
Kaka	a k a
Kaluam	a l u a m
Kampin	a m p i n
Kampionat	a m p i o n a t
Kan	a n
Kanarie	a n a r i e
Kanunin	n u i n
Kapitali	a p i t a l i
Karaburunit	a r a b u r u n i t
Karantinës	a r a n t i
Karius	a ry~ u s
Katie	a t i e
Katz	a c
Kazaja	l a u k a h a
Keko	e k o
Kemp	3 mp~
Ketë	e t 3
Kimmel	i m y
Kirgistan	i r g i s t a n
Kiril	i r i l
Kiro	i r o
Kirurgu	i r u r g u
Klasifikimi	l a s i f i k i m i
Klos	l o s
Klosin	l o s i n
Ko	o
Kodrat	o d r a t
Koja	o h a
Kokoshkave	o k o S k a b e
Koliqin	o l t a m u a n
Koln	o l
Komisar	o m i s a r
Komisioneve	o m i s i o n e v e
Kompozitori	i m p o z i t o r i
Komunitetin	n i t e t i n
Konform	o h m
Konsull	o* s u l o
Koordinatorja	o r d i n a t o r j a
Krapi	r a p i
Krichbaum	r i C b a u m
Kristaqit	r i s t a q i t
Kristijan	r i s t i j a n
Kristoforidhit	r i s t o f o r i d i t
Kroatët	r o a y
Kroi	r o i
Kryebashkiak	cy~ e b a S i k i a k
Kryefjala	cy~ e fy~ a dl~ a
Kryeminstri	cy~ e m i n u z i
Kryesues	cy~ e s u e
Kthesa	th~ 3 s a
Kthimin	th~ i m i n
Kullë	u L 3
Kullën	u L a n
Kulturën	u l t u r e n
Kuman	u m a n
Kumanovën	u m a n o v E n i
Kuteli	u t e l i
Kuzgun	u z g u n
Këlcyrës	E ly~ Ty~ r e
Këngëtaret	3 n g 3 a r e t
Kërkesës	3 r k e o
Kështuqë	e s s u b 3
Kürüm	3 r n 3 m
Laboratorët	a b o r a t o r e
Laden	a d e n
Lagjja	y a
Lalës	a l 3
Laprakës	a p r a k 3
Largimet	a r g i e
Larisa	a r i s a
Lashtë	n a N t a N t 3
Lauder	a u d e r
Lavdrim	a b ndr$ i m a
Lawrence	a w m i n C i e
Ledrin	p i e d r i n
Lenka	e n
Letrave	a t 3 r a v e
Lexo	" o
Leëis	e d i s
Libiane	i b i a n e
Liceut	C " e l e u t
Ligjërisht	i g T a r i sC~ t i
Lilaj	i l a x
Lile	a l
Linde	i n d e
Lindner	i n d n 3 q
Liritë	i r i t 3
Llogara	l o g a r a
Lodi	o d i
Lojtarëve	o h t a r e v e
Lojëra	o h 3 r a
Lokali	o k a l i
Londinezët	d i n e z 3
Lotitos	o t i t o s
Lovren	o w r e n
Luaj	w a h
Lubizhdë	u b i s e 3
Lucia	u C i a
Ludogorets	u d o g o r e c
Luisa	k i s a
Lula	u l a
Lulezim	u l e z u* f o
Lumës	u m E
Macja	a k j a
Makolli	a q u L i
Maksimumi	a k b u p u m i
Maksuti	a k o c u t i
Mallkimi	a ly~ k i m i
Mallorca	o l  w E L E
Manchesterit	5 u k u n C e s t e r i k
Manuali	a n u a l i
Manëz	a n E
Marine	a r i n e
Marrëveshjeve	a r 3 e S k u s k
Martinajt	i t i n a x a
Martinezin	i t i n n k a
Martit	i t i
Martë	i t 3
Masakrën	a s a k r e n
Maskën	a s k a n
Matematikës	a t e m a t i k 3
Mbappé	b a p p e
Mbesa	b e s a
Mbikqyrës	b i k qy~ r e
Mbledhje	b l e d e
Mbuloni	l o n i
Mburoja	b u r o h a
Meazza	e l c a
Meet	o t a x a
Mehmedi	e h m e d i
Memorandumit	e m o r a d i m i t
Menaxherët	e n a h e r e
Mendimit	e nd~ i m i t
Menemesporit	i n i m e s p o r i t
Mensah	e sh~ 3 h
Merkatoja	a a t o h a
Metodi	e t o d i
Metohisë	e t o h i s 3
Meyer	e y e r
Mickovskit	i S k o p s k i t
Midtjylland	d ty~ u y L a nd~
Milos	i l o s
Mineapolisit	i n e a p o l i s i t
Minerale	i n e r a l e
Ministrine	i n i u z i n e
Miri	i r i
Mirko	i r X u
Mirënjohja	i r 3 n j o h j a
Misajllovski	i s a n v e l o v u r
Mitchell	i C "
Mjaftojnë	y a f t o x n E
Mjedisin	h e d i s i n
Mlladiq	y a d i
Mocionin	T i o n i n
Moda	o d a
Modele	o d e l e
Monakos	o n a k o s
Moncef	o u f
Monroe	o r o e
Monzës	n z 3
Moskallëzim	o s k a l l 3 z i n h o
Mostar	o s t a r
Moura	o u r a
Mrekulli	r e k u l l i
Muhameti	a a m e t i
Mumbai	u mb~ a i
Murray	u r a y
Muslimanët	u s l i m a
Muze	u z e
Myftinia	y f t i
Myftinisë	y f t i n i S 3
Myler	y l e r
Mëhillajt	3 i l l a
Mërgimtarët	3 r s i k e h t a r e
Mërgjyshi	3 rx~ hy~ S i
Mërisë	3 r i s 3
Nadine	a d i n e
Nafije	a f i j e
Nagasaki	a g a s a k i
Naime	a i m e
Namazi	a m a z i
Nasa	a s a
Nashville	a s a f i l l e
Natalia	a t a l i a
Ndikimin	d i k i m i n
Ndikon	d i k o n
Ndjeshmëria	a j i  k i S r i a
Ndrangheta	d r a N h e t a
Ndrecaj	d r e k a x
Ndërgjegjësimi	d 3 r gy~ e gy~ e s i m i
Ndërmarrje	d 3 r m a r e
Ndërtimet	d 3 r t i e
Nebojsha	e b o h a
Nebraska	e b r a s k a
Nena	e n a
Nesti	e s t i
Newman	e w m a n
Ngoo	g o
Nikajt	i k a x
Nikaragua	i k a r a g u a
Nikoliq	i k o l i q
Nishi	i S i
Nixha	i S a
Njejtë	h e h t 3
Njemačkoj	j e m a % C k o x
Njeriun	h e r i u n
Njoftimet	j o f t i e
Njërin	T a n i n
Noizyn	o i z
Normalizimi	o r m a l i z i m i
Nuggets	t u g g e c
Nusret	u s r e t
Obiliqi	b i l i k i
Oli	l i
Olle	l
Olympiacos	ly~ f u k a k o s
Orbani	r b a n i
Ormeni	s a y m 3 n i
Ortakoll	r t a q u L
Osasuna	s a s u n a
Pagarushën	a g a r u S a n
Palokaj	a l o
Panairin	a n a i r i n
Pandorës	a n d o r e
Paqësorin	a q e s o r i n
Paraguait	a r a g u a i t
Paredes	a r e d e
Partie	i t i e
Partizane	i t i z a n e
Pasaporta	a s a p o r t e
Pascal	a s k a l
Pashai	a s a i
Pashalimanit	a s a l i m a n i t
Pasqyrat	a s qy~ n a
Patris	a t r i s
Pensilvaninë	e n s i l a a n i
Peqani	e k a n i
Petova	e t o w a
Petri	a t 3 r i
Peço	 o
Pichai	i T a i
Pjesëtarë	h e o n a p a 3
Plazhit	l a z h i t
Poema	o e m a
Pogban	o g i b a n
Politizimi	o l i t i z i m i
Poper	o p e r
Poradeci	o r a d e k i
Portën	u r y n
Power	o w e r
Pradesh	r a d e S
Prap	r a p
Prespa	r e s p a
Prevezës	r E f d 3
Prillin	r i l l i n
Princeshës	r i n u e
Problematike	r o b l a e m a t i k e
Profesorit	r o f i S o r i t
Prokurorise	r o k u r o r i s e
Prrenjas	r  T a s
Prymula	cy~ N u l g u r
Puerto	u e r t o
Pulitzer	l i C 8 e
Përfaqësimi	3 r f a 7 e s i m i
Përforcimi	3 r h r i m i
Përfytyroni	3 r f 3 t 3 r o n i
Përleshje	3 l e S e
Përshtatja	3 r S t a t j a
Qaka	a k a
Qarqet	a r X e t
Qena	e n a
Qendre	e n d r e
Qerimit	r i m i t
Qesh	3 S
Qeverisjes	e e r i s i
Qingdao	i N d a o
Qoses	o e
Radovish	a d o v i S
Rahimi	a h i m i
Rakitiç	a k i t i
Ramon	a m o n
Raporte	a p o r t e
Ratkoc	a t k o k
Redaksia	e d a k s i a
Redona	e d o n a
Redsat	p i e d s a t
Remdesiviri	n a l a b k u b i r i
Reshati	e s a t i
Retkoceri	e t S u r i
Revistës	e i s y
Rezervë	e r i ly~ v 3
Rezultoi	d u l t o i
Richter	i t E r
Right	i t
Rijeka	g i y e d
Rininë	i n i
Rinjve	r o n o x v e
Rinore	i n o r e
Rivaldo	i v a l d o
Riçard	i a r d
Robelli	o b e l l i
Rockefeller	T k e f e l l e r
Rodrigues	o d r i g e
Rodrygo	o d cy~ g o
Rolin	o l i n
Romain	t a i n
Ronaldinhos	o n a l d i h o s
Rotterdam	o t t E r d a m
Rrapi	r a p i
Rreci	r E c i
Rregullativ	r e g u y a t i
Rrethina	r e t h i n a
Rrofte	r o f t e
Rrustemi	r u s t e m i
Rummenigge	l u m m E n i g g e
Sade	a d e
Sadulla	a d u y a
Sainz	a i N
Salillari	a l i l l a r i
Salim	a l i m
Sallabanda	a ly~ a b a n d a
Salsano	a l s a n o
Sançez	a n e z
Sarandes	a r a n d e
Sateliti	a t e l i t i
Saukut	a u k u t
Save	a b e
Sejrani	j r a n i
Semanit	e m a n i t
Seyed	e y e d
Shahindere	h a h i n d e r e
Shaj	h a x
Shaptafaj	h a p t a f a x
Sharl	h a r
Shehin	h e h i n
Shekullit	h e k u l l i t
Shigjeta	h i x o x e t a
Shigjetar	h i x E t a r
Shikimi	h i k i m i
Shiroka	h i r o k a
Shitësit	h i t e s i t
Shkencat	h k 3 n k a t
Shkëmbin	h 3 m b i n
Shkëmbit	h 3 m b i t
Shoqatave	h o q a t a b e
Shoqërinë	h o x 3 r i
Shpërthim	h a p i r t i m
Shtutgart	h t u t a r
Shënime	h 3 n i m e
Shërohen	e r o h e n
Sidneit	d n e i t
Sidnej	d n e
Sidoqofte	d o x o f t e
Simmons	i m m o* s
Simonetta	i m o* e t t a
Sipërmarrja	i p e r m a r j a
Skana	k a n a
Skandalet	k a n d a l e t
Skemën	k e m a n
Skripal	k r i p a l
Skupštine	k u p S t i n e
Sllatinë	l l a t i
Sneijder	n e i c d e r
Sociedadin	T i e d a d i n
Society	T i e t
Soda	o d a
Sofokliut	o f o k l i
Sommaruga	o m m a r u g a
Sorosin	o r o s i n
Spitallë	p i t a ly~ 3
Standarde	t a n r d e
Standardeve	t a n b v e
Stavrev	t a b r E f
Strukturës	t o u k t u r e
Studeniçan	t u d e n i
Studiues	t u d i u e
Stërmasi	y r m i s i
Suedez	u e d e z
Sunny	u n u
Surelit	u r e l i t
Susuri	u s u r i
Synohet	y n o h e t
Sánchez	a n C i h e z
Talent	a l e n t
Tatimin	a t i m i n
Tatimpaguesit	a t i m p a g e s i t
Taulanti	a u l a n t i
Taulantin	a u l a n t i n
Tech	n
Teknologjik	e k n o l o g n o x
Tenisti	e n i S t i
Terrori	e r o r i
Testin	e s t i n
Thash	h a S
Thellohet	h e l l o h e t
This	h i s
Thom	h o m
Thuram	h u r a m
Tirolit	i r o l i t
Tironës	a z i m E
Topulli	o p u l l i
Toskës	o s k 3
Totenhemin	o t e h e m i n
Trading	r a d i N
Trajçe	r a e
Trent	r e n t
Tropojën	r o p o T a n
Troshani	r o S a n i
Tuda	u d a
Tunizisë	u n i a 3
Turqve	u r q v e
Tushe	u s e
Tyringji	3 r i N u
Tërësisht	3 r e s i sC~ t i
Udhëzimin	d e  m i n
Urdhër	r d e r
Urim	r E m o
Usman	s m a n
Val	a l
Valencian	a l e n C i i a n
Valentini	a l e n t i n i
Valentino	a l e n t i n o
Valleve	a l l e v e
Vanesa	a n e s a
Vanga	a N a
Varank	a p a p a
Vardari	a r d a r i
Vatrat	a t r a t
Vendosëm	e n d o o m
Verifikimi	r i f i k i m i
Vienna	i e
Vijës	g i y 3
Vin	i n
Virgin	i r g i n
Vjetore	h e t o r e
Voice	o i k e
Volejbollit	o l e y b o l l i t
Vranja	r a n j a
Vrionit	r i o n i t
Vritet	r e
Vuqiç	b i
Vurmo	u r m o
Vëllezër	3 L d 3 r
Vërtetim	3 r t m
Week	e k "
Weill	e i l
Winfrey	i n f a
Wray	r a y
Wuhanin	a a n i n
Wyoming	y o m i N
Xhafajt	a f a
Xhami	h a m i
Xhandarmëria	h a n d a r e k i S r i a
Xhelo	h e l o
Xhirimet	h i r i m e t
Xhovani	h o v a n i
Yad	a d
Yahoo	a h o
Yeni	e n i
Zahon	a h o n
Zaçe	a e
Zenelin	e n e l i n
Zenitit	e n i t i t
Zeqiraj	e k i r
Zeqirija	e k i r i j a
Zgjodha	gy~ o d a
Zheljko	h e l X k o
Zhupës	h u p e
Zidanes	i d a n i
Zieni	i e n i
Zizo	i r o
Zogiani	o g i t a n i
Zvogëlimi	v o gw~ 3 l i m i
abuzonte	a b u z o n t e
acartë	a k i t 3
active	a k t i v E
aderimit	a d i n i m i t
administratave	a d m i n i s t r a t a b e
administrohej	a d m i n i s t r o h e
administronte	a d m i n i s t r o n t e
adresonte	a d r e s b u* d a k
aftësimit	a f y m i t
afërmeve	a f 3 s a y m 3 v e
agjenturore	y i n t u r o r e
agravohet	a g r a v o h e t
agresor	y r e s o r
ah	a h
akcizave	a k i z a b e
akrobaci	a k l o b a k i
aksesorëve	a k e s o r e v e
aksesueshëm	a k o u e e m
aksidentesh	a k s i d e n t e S
aksionarëve	a k S i o n a r e v e
aktgjykime	a k t gy~ ky~ a q i m e
aktivizmit	a k t p i t e  m i t
akuzohem	a k u z o h e m
akuzosh	a k u z o S
algoritmet	a l k o r e e
alokuara	a l o a r a
aludoi	a l u d o i
amanetit	a m a n e t i
ambulantore	a m b u l a n t o r e
ambulatore	a m b u l a t o r e
amendimeve	a m e n d i * v e
amerikanin	a m e r i k a n i n
amoniumi	a m o N m i f a l a
amulli	a m u l l i
anal	a n a l
analizuam	a n a l i z u a m
anashkalim	a n a S k a l i m
anashkalohen	a n a S k a l o h e n
anetar	a n e t a r
anetaret	a n e t a r e t
antibakterial	a n t i b a k t E r i a l
antifashizmit	a n t i f a S i m a z m i t
aplikantit	a p l k a n t i
aplikua	a p l i k u a
aplikuesi	a p l i k u e s i
aplikuesve	a p l i k u e s v e
arabët	a r a b e
aristokrate	a r i s t o k r a t r a
arkivën	a r k i v E n i
arratisja	m a n a  s a q
arratisurit	m a n a  s u r i t
arre	a r
arrestin	m a n e s t i n
arrinë	m a n i
arriturave	m a n i t u r a v e
arritë	m a n i t 3
arritët	a r y
arrorët	a r ph~ 3
arsimtare	a r S i m t a r e
artikulohet	i t i k u l o h e t
asfiksuar	a s f i k s u a r
asgjesuar	a s gy~ e s u a r
asgjëje	a s gy~ 3 e
asgjëson	a s gy~ e s o n
asi	a s i
askushi	a s k u S i
asociacionin	a s o* k a i q l
atleti	a t l e t i
atletike	a t l e t i k e
atraksioni	a t r a k S i o n i
atribuojnë	a t r e o x n E
atribut	a t r i b u t
autoambulancave	a u t o a m b u l a n k o o
autoambulancës	a u t o a m b u l a n k o 3
automatiku	a u t o m a t i k u
autopsinë	a u t o p s i
avancë	m a v a n u k a 3
aviacionin	a g o y a i q l
avionësh	a g o y i m E S
axha	a h a
axhës	a h 3
azileve	a z i l e v e
bakllava	b a k l l a v a
baladë	b a l a d 3
balancimit	b a l a n k o i m i t
balerinë	b a l e r i
ballistëve	b a l l i s y v e
banden	b a n d e n
banditesk	b a n d i t e s k
banditeske	b a n d i t e s k e
banditësh	b a n d i y S
banueshëm	b a n u e e m
baraz	b a r a z
barbarë	b a r bh~ a r 3
bartni	b a r t n i
barë	b a r 3
bashkangjit	b a S k a N j i t
bashkova	b a S i k o v a
bashkëautor	b a S i k 3 a u t o r
bashkëjetojë	b a S i k 3 u n i c 3
bashkëjetuesen	b a S i k 3 o x e t u e s e n
bashkëluftëtari	b a S i k 3 l u f n a y t a r i
bashkëpuntorët	b a S i k 3 p u n t o r e
bashkëqeverisëse	b a S i k 3 E e r i o s e
bashkërendimit	b a S i k 3 r e n d i m i t
bashkësie	b a S i k e s i e
bastisjen	b a s t i s i
bastisën	b a s t i s a n
bazamenti	b a z a m e n t i
behemi	b e h e m i
bejnë	b e h n E
bekuara	b e kw~ a r a
berisha	b e r i S a
besimtaret	b e b u p t a r e t
bilbil	b i l b i l
bindni	b i d n i
biografia	b i o g r a f i a
bjeshkë	by~ E S k 3
blasfemi	b l a s f a m i
blegtorëve	b l e 7 t o r e v e
blejne	b l E n e
bleni	b l e n i
bllokonin	b l l o k o n i n
bombardimi	b o mb~ a r d i m i
bos	b o s
bosëve	b o o v e
bredhi	b r e d i
brengosje	b r e N o s e
breshka	b r e S
breshrit	b r e s r e
bubullimë	b u b u l l i m 3
bulmet	b u l m e t
burgimi	b u r g i m i
burgimit	b u r g i m i t
bâ	b a
can	k a n
censure	C E s u r e
censurën	C E s u r e n
ci	C i
cinizmin	T i n i z m i n
conte	r o n t e
copëtimi	k o p e t i m i
cënimin	k 3 n i m i n
dajre	d a r e
dakordohet	d a k o r d o h e t
dakordua	d a k o r d u a
dallueshëm	d a l u e e m
dash	d a S
dashamirë	d a S a m i X 3
dasmorët	d a s m o r e
datëlindje	d a y l i j e
debatua	d e b a t u a
dekanët	d e k i m E
deklarative	d e k l a r a t i v E
dekori	d e k o r i
dekorime	d e k o r i m e
demarkacioni	d e m a r a q a C e i o n i
demonstrate	d e m o* s t r a t e
demonstroi	d e m o* s t r o i
demonstrojë	d e m o* s t r o h 3
denarësh	d e n a r e s
dendësisë	d e nd~ 3 s i s 3
depolitizuar	d e p o l i t i z u a r
depozitohet	d e p o z i t o h e t
derguan	d e r g u a n
derivat	d e r e
derivatet	d e r i v a t e
deshen	d e S e n
deshira	d e s i r a
destabilizimi	d e s t a b i l i z i m i
