je 	j e
Gruzija	r u z i j a
Gustina	u s t i n a
Hagrid	y r i d
Hal	a l
Hamza	a m c a
Hanka	n
Head	E w e d
Health	e a l t
Heinz	e i N
Helsinkiju	e l s i n k i j u
Henrija	e n r i j a
Heraklije	e r a k l i j e
Higginsa	i m nsw$ i a
Hildegard	i l 7 g a r d
Historijska	i s t o r i j u r
Hitleru	i L e r u
Hladnog	l a d n o g
Hubert	u b e r
Hybrid	y o* i d
Igora	g o r a
Ilijaš	l i j a S
Ilirije	l i r i j e
Ilirima	l i l i m a
Imamović	m a m o v i Cy~
Industrijska	d u s t r e u r
Iris	r i s
Ironično	r o n i % C n o
Isaković	s a k i v i Cy~
Islama	s l a m a
Ispočetka	s p o C e t
Italijanske	t a l i j a s k e
Ivane	v a n e
Ivica	v i k a
Ivy	v
Izdanje	z d a n j e
Izgradio	z g r a d i o
Izuzev	z u z e v
Janeiro	a n e r o
Janice	a n i k e
Japanska	a p a n u r
Jednu	p i e d n u
Jenkins	e Nkw$ nsw$ i
Jugoistočne	i m i s t o C n e
Juliju	l i j u
Jure	u r e
Jurija	u r i j a
Kalesija	a l e s i j a
Kamp	a m p
Kanali	a n a l i
Karlom	a r l o m
Kenneth	3 n
Key	u y
Kijeva	g i y e d v a
Kineske	i n e s k e
Književnost	j E Z e n v Ng ~ o n o 8
Koalicija	o a l i k i j a
Koloman	o l o m a n
Kolumba	o l k i
Kolumbija	o l u m b i j a
Kompanije	p a n i j e
Kompaniju	p a n i j u
Konj	o
Kostajnica	o s t a x n i k a
Kotromanića	o tr~ o m a n i x a
Kovanice	l o v a n i k e
Kozara	o z a r a
Kozluku	o z l u k u
Kr	r
Kraljevi	r a l p i r i
Kratki	r a ty~ k i
Krunica	r u n i k a
Kurtz	u r c
Lancaster	5 u k a a s t e r e n
Lang	a N
Leicester	e C " e l e s t e r e n
Lewisa	e w i s a
Liber	i b e r
Libiju	i b i j u
Lijusa	g i y u s a
Linije	i n i j e
Lipa	i p a
Liszt	i s z
Lizimah	i r i m a h
Ljetnim	h e t n i m
Lojze	o h z e
Lokacija	o k a c i j a
Lu	u
Lynn	y n n
Makbet	a k b e t
Maksim	a k s i m
Malavi	a l a v i
Mandela	a n d e l a
Mariboru	a r i b o r u
Marion	a ry~ o n
Markom	a r k o m
Marku	a r k u
Maroku	a r o k u
Medicinska	e d i k nsw$ i
Medrese	p i e d r e s e
Men	e n
Merkura	e r k u r a
Metro	a t 3 r o
Mihael	i t a e l
Mihaela	i t a e l a
Mikroskopski	i k r o s k o p u r
Minhenu	h e n u
Minos	i n o s
Moje	o x e
Molly	o L
Moto	o t o
Muse	u s e
Muzička	u  C
Mycroft	y k r o f
Najmlađu	a x m l E 8 u
Naredna	a r e d n a
Narodi	a r o d i
Natco	a t  o
Nazivaju	a z e  s u
Načelnik	a C e l n i k
Naši	a S i
Nedavni	e d a b n i
Nepomuka	a p o m u k a
Neto	e t o
Nikoli	i k o l i
Nobel	o b e l
Nogometnog	g o m e t n o g
Noodles	d l e
Norfolka	u r f o l
Normandiji	o r m a nd~ i h i
Nosi	o s i
Not	o t
Noćna	o Cy~ n a
Objavljen	by~ a b lx~ e n
Objavljivao	by~ a b l x i v a o
Odbrana	d o* a n a
Odrasla	d r a s l a
Okružni	k r u Z e n i
Olova	l o v a
Online	n l i n e
Operativni	p e r a t i b n i
Orao	r a o
Ordena	r d e n a
Ostalo	s t a l o
Osvajanje	s v a j a n j e
Otkrili	t k r i l i
Over	v e r i
Ovih	v i
Ovoj	v o x
Pablo	a b l u
Pacifiku	a c i f i k u
Padom	a d o m
Palais	a l a i s
Patrik	a t r i k
Peggy	i m
Pepija	a p i j a
Perziji	e N a l w a
Perziju	e r  d u
Pobjednica	o by~ E d n i k a
Pokreti	o k r e t i
Pokémonom	o k e m o n o m
Polovina	o l o v i n a
Ponašanje	o n a S a n j e
Ponoćna	n o Cy~ n a
Popovića	L o k i Cy~ a
Popovu	L o k b u
Poražen	o r a Z e n a
Porto	u r t o
Posta	o s t a
Pottera	o t t E r a
Počasni	o C a s n i l
Počeli	o C e l i
Pravda	r a w d a
Predloženi	r e d l o Z e n
Prednje	r e d nj~ E
Prijenos	r i j E n o s
Prikazan	r i k a p i a
Prisutnost	r i s u t Ng ~ o n o 8
Produkcija	r o C u k C i g i y a
Professional	r o f e s s i o n a l
Project	t o n o x e k s
Prosječne	r o s h % C n e
Protok	r o t o k
Public	u b l i k
Queena	u e n a
Radeći	a d e C u i
Radove	a d o v e
Raider	a i d e r
Rankovića	a n k o v i Cy~ a
Ras	a s
Rasprava	a s p r a v a
Ratni	a t n i
Razvijen	a z v i y e n
Receptori	e T e p t o r i
Rekord	e k o r d
Relativna	e l a t i b n a
Reljevu	e l k u s u
Resolution	e s o l u t i o n 3
Review	p i r i e w
Rezolucija	e z o b e l i j a
Rhodes	h o d e i
Rizik	u
Romi	a m i n
Roselia	o s e l i a
Rouge	o u g e
Saobraćaj	a o  r a Cy~ a x
Saturday	a t u r d a y
Savage	a b a g e
Savezni	a v e z d n i
Scenaristi	C E n a r i s t i
Schwarzenegger	C w ar z i n i m e r
Secret	e T r e t
See	e
Senegal	i n i g a l
Septembra	a p t e mb~ r a
Sertolijeve	e r t o l i k u s k
Shore	h o r e
Sidney	d n i
Siemens	i E m E n
Sirija	i r i j a
Skupina	k u p i n a
Slova	l o v a
Slovaci	l o v a k i
Snooker	n o k a r
Solunu	o l u n u
Specifična	p e k  C n a
Spiegel	p i e g e l
Spolni	p o l
Spot	p o t
Squirtle	k i r
Sredstva	r e d s t v a
Srčani	r C a n i
Stanko	t a n k o
Statuta	t a t u t a
Steel	t e
Stefanu	t e f a n u
Stepanovića	t e p a n o v i Cy~ a
Strange	tr~ a N a
Stvarni	t v a r n i
Sudije	u d i j e
Supporters	u p p o r t E r
Sutjesci	u t i s k i
Svakog	v a kp~ i N
Svo	v o
Sài	a i
Tampere	a m p e r e
Tankred	a n k r e d
Taq	a q
Televizijski	e l e p i t e  c u r
Teorije	e o r i j e
Terryja	e r i j a
Tetis	e t i s
Thel	h e l
Theodor	h e o d o r
Theory	h e o r
Tihog	i h o
Timesa	i m 3 s a
Tipično	i p i % C n o
Tira	i r a
Tiraž	i r a Z e
Titov	i t o N
Tko	k o
Toga	o g a
Topić	o p i Cy~
Toulouse	o l o u s e
Tradicija	r a d i k i j a
Trajao	r a
Tramp	r a m
Tripoli	r i p o r i
Tsonga	s o n g a
Turke	u r k e
Tusi	u s i
Tvori	v o r i
Twina	w i n a
Ugarski	g a r u r
Uoči	o C i
Urednik	r e d n i k
Usto	s t o
Utrke	tr~ k e
Uzorak	z o r a
Učešće	% C i S Cy~ e
Ušao	x o a o
Varšavi	a r S a v i
Vatikana	a t i k a n a
Vjekoslav	h e k o s l a
Vojsci	o h S e
Vojsku	o h k u e C a
Vozila	o  l a
Vrhovnom	r o b n o m
Vuković	u k o v i Cy~
Wade	a d e
Wallacea	o l  u a
Warwicka	a r w i S k a
Wehrmacht	e h r m o t
Werner	E a n 3 q
Wheeler	h e l e r
When	h e n
Wikipedia	i k i p e d i a
Wild	i l 7
Wilde	i l 7 e
Zakonik	a q o n i k
Zapadnih	a p a d n i
Zastupnici	a s t u p n i C i
Zauzela	a u z e l a
Završna	a b r S n a
Zeusa	u s a
Zgrade	g r a d e
Zheng	x 3 N
Zlatnom	l a t n o m
Znatan	n a t a n
Zora	o r a
Zr	r
Zvuk	m a n u
adekvatne	a d e k v a t n e
administrativnog	a d m i n i s t r a t i b n o g
adolescencije	a d o l e s k i n C i g i y e
agresivan	y r e k u b "
ajeti	a x e t i
akceptor	a k u p t o r
aktin	a k t n
aktina	a k t i n a
aktivist	a k t i s
aktivnoj	a k t Ng~ e n o x
aktuelne	a k a k o n u l n e
akumulacijom	a k u m u l a k a i j o m
alatima	a l a t i m a
albanskoj	a l b i s k o x
alergijske	a l e r g i j s k e
algoritama	a l k o r i t a m a
alkaloida	a l  i d a
amandmana	a m a d a t m a n a
ambiciozni	a m b i i o c o n i
ambijenta	a m b i y e nt~ a
analnog	a n a l n o g
analog	a n a l o
analogne	a n a l o N n i s
analognih	a n a l o g n i
angažovan	a N a Z e o w a n
angažovao	a N a Z e o w a o
angažuje	a N a Z u v i e
anion	a n i o n
anomalije	a n u m o l i j e
antibiotike	a n t i b i o t i k e
aproksimacije	a p r o k s i m a c i j e
arheološko	a r u o r S k o
aroma	a r o m a
aromatski	a r o m a c k i
artefakti	i t e f a k t i
asteroidi	a s t E r o i d i
atletske	a t l  s k e
atmosferom	a t n o S f e r o m
atomskom	a t u m  k o m
atomsku	a t u m k u e C a
atribut	a t r i b u t
atrofija	a t r o f i j a
australijske	a u s t r a l i j s k e
austrijskim	a u s t r e s k i m a
autentičnost	a u t e n t i C Ng ~ o n o 8
autizmom	a u t i z m o m
autohtono	a u t o h t o n o
automati	a u t o m a t i
automobilima	a u t o m o b i l i m a
automobilom	a u t o m o b i l 3 m
autonomni	a u t o n o m i i
balkona	b a l k o n a
bataljonom	b a t a l x o n o m
bazene	b a z e n e
bedž	b e d Z e
belgijskom	b e l g i j s k o m
beogradskom	b e o n b o ch~ j k o m
besplatni	b e s p l a t n i
betonski	b e t o s k i
betonskim	b e t o s k i m a
bezbojan	b e z b o j E n o
biograf	b i o g r a f
bizantijskim	b i s a n t i j s k i m a
bizantijsko	b i s a n t i j s k o
bliskosti	b l i s k o s t i
blokirao	b l o k i r a o
bogu	b o g u
boj	b o x
bojišta	b o h i S t a
bokove	b o k o v e
bolesni	b o l e s n i l
bolesnim	b o l e s n i m
boljem	b o l x e m
boljom	b o lx~ o m
bolovima	b o l o v i m a
boravku	b o r a v k u
borilačke	b o r i l a % C k e
botanički	b o t a n i C u k i
božanskog	b o Z e i s kp~ i N
brade	b r a d e
brazilskih	b r i  l s k i
brazilskog	b r i  l s kp~ i N
brejka	o*  k a
brojalo	b r o q
bronza	b r o n c a
brzoj	b L n d a
bubrežnu	b u b r e Z e n u
budizma	b u d i z m a
bukvalno	b u k v a l
burno	b u r n o
bušenje	b u S o k o
centromere	C E nt~ u z i e r e
cestovni	k e s t o w n i
cijenio	C i g i y E n i o
cijepanje	C i g i y e r p a n j e
ciklusom	T i k l u s o m
cilindara	i l i d a r a
cilindričnog	i l i n d r i % C n o g
ciljanje	i l j a n j e
ciljnih	i l i h n i
citira	T i t i r a
cochineal	k o C i n e a l
cvjetati	k v E t a t i
cvjetni	k v E t n i
cvjetnih	k v E t n i
dakako	d a k a k o
daljini	d a l j i n i
datiran	d a t i r i
definisao	d e f i n i s a o
defteru	d e f t E r u
dekade	d e k a d e
dekret	d e k r e t
delu	d e l u
demonstracijama	d e m o* s t r a C i g i y a m a
den	d e n
departman	d e p i t m a n
deportiranih	d e p o r t i r a n i
despot	d e s p o t
devetnaest	d e b e t n 3 a* 7
dešavanjima	d e S a v a n j i m a
diferencirani	d i f e r e n l a n i
digitalnom	d i g i t a l n o m
dijalozi	d e s i  l o z i
dijamanta	d e s i  t a
dijelimo	d i j e l i m o
dileme	d i l 3 m 3
dinamično	d i n a m i % C n o
diobi	d i o b i
disertacija	d i s E r t a k i j a
disfunkcija	d i s u Ng~ o th~ k C i g i y a
diskova	d i s k o v a
diskovi	d i s k o w i
diskusija	d i s k u s i j a
distalnih	d i s t a l n i
divljenje	d i v lx~ o k o
divljine	d i v lx~ i n e
divova	d i v o v a
dizajnirali	d i z a x n i r a l i
dizajniranje	d i z a x n i r a n j e
djelotvorno	d h e l o t v o r n o
dječijim	g o C i j i m
dlakava	d e L o k a v a
dnom	d n o m
dobijemo	d o b i j E m o
dobitnici	d o b i t n i C i
dodjela	t o t r o n o x e l
doktorski	d o k t o r u r
donesene	d o* e s e n e
donijele	d o* i j e l e
donirao	d o* i r a o
doskoka	d o s k o k a
doslovnom	d o s v e l o v n o m
dostaviti	d o s t a b i t i
dostižući	d o s t i Z u v i Cy~ i
dozvoljavala	d o z v o l j a v a l a
drago	d r E g o
dramske	d r E m s k e
draž	d r E Z e
drvenastih	d r f e n a s t i h
drvetom	d r b e t o m
drvna	d r i n a
dubljim	d u b lx~ i m a
dubrovačka	d u b r o w a C
dubrovačkim	d u b r o w a % C k i m a
dugogodišnjim	d u g u q k a t e S n j i m
dugovječnost	d u g o b q C Ng ~ o n o 8
duhom	d u h o m
duhovima	d u h o v i m a
duhovnim	d u h o w n i m
dupli	d u p l i
duši	d u S i
dužnika	d u Z e n i k a
dvoja	d v o h a
dvotrećinska	d v o t r e x nsw$ i
edicija	e d i k i j a
efektivan	e f e k t i w a n
egzila	g z i l a
ekipno	r p n o
ekranima	e k r a n i m a
ekskluzivno	e k s k % i s i v n o
ekspanziji	e k s p a n z i h i
eksplozivnih	e k s p l o  Ng~ e n i
eksplozivno	e k s p l o  Ng~ e n o
ekvivalentan	e k v i v a l e n t a n
ekvivalentno	e k v i v a l e n t n o
elementarnih	l E l E m E n t a r n i
eliptična	e l i p t i c % C n a
emitirati	e m i t i r a t
emitovanje	e m i t o v a n j e
endotela	e n d o t e l a
endotelnih	e n d o t e l n i
enklave	e Nkw$ l a v e
enzimom	e n z i m o m
eocena	e o k e n a
episkopa	a p i s k o p a
epska	a p u r
epski	a p u r
estera	3 S t E r a
europija	u o p i j a
evidentirana	p i r i d e n t i r a n a
fakultetima	f a k u l t e t i m a
familiji	f a m i l i h i
faraoni	f a r i o n i
fatalne	f a t a l
favorita	f a v o r i t a
fašizma	f a S i z m a
federalnom	f e d e r a l n o m
fibula	f i b u l a
fiktivni	f i k t Ng~ e n i
filter	b i l t e r
filtrira	b i l t r i r a
finalna	f i n a L n a n
finansijama	f i n a s i j a m a
firmama	f E i r m a m a
firmom	f E i r m o m
fisije	f i s i j e
fiziološka	f i L o r S
flotom	f l o t o m
fluid	f l u i
fokusirala	f o k u s i r a l a
formalnim	f o r m a l
formalnu	f o r m a l n u
forumu	f o r u m u
fosfolipida	f o s f o l i p i d a
fosforilacije	f o s h i l a c i j e
fotosintezu	f o  i nc~ d u
fragmente	f r a n k i m e n t e
fragmentima	f r a n k i m e n t i m a
francija	f r a n C i g i y a
fuge	f u g e
funk	f u n
funkcijske	f w o m C i g i y s k e
funkcijski	f w o m C i g i y u r
funkcionisao	f w o m i o n i s a o
galij	g a l i
galija	g a l i j a
ganglije	g a N l i j e
garantira	g a r a n t i r a
garantuje	g a r a n t u j e
genetiku	g e n e t i k u
geolog	g e o l o
geometrijskog	g e o m E t r e s kp~ i N
geometriju	g e o m E t r i j u
gitariste	g i t a r i s t e
gitaristom	g i t a r i S th~ o m
glatkom	g l a t k o m
gležnja	g l e Z e n j a
glikolize	g l i k o l i z e
glumili	g l u m e L i
gora	g o r a
gornjom	g o r nj~ o m
grabljivice	g r a b l x i v i k e
grafa	g r a f a
građevinarstva	b o ch~ 8 e v i n 3 y s t v a
grlu	g l u
grupirati	g r b i r a t
grupni	g a m n i
guske	g u s k e
gustu	g u s t u
gutanje	g u t a n j e
guverneri	g u e r n e r i
haljine	h a l j i n e
hana	h a n a
harema	h a r e m a
harmoniji	h a r m o* a l w a
harmoniku	h a r m o* i k u
helenističkog	h e l e n i S th~ i C u kp~ i N
helikopterom	h e l i k o p t E r o m
hemoterapija	h e m o t e r i s a p i j a
hibrida	h i b r i d a
hibridni	h i b r i d n i
hibridnih	h i b r i d n i
hijerarhija	h i j E r a r i j a
hijerarhijski	h i j E r a r i a ly~ w u r
historiografije	h i s t o r i o g r a f i j e
hitac	h i t a
hladnoći	L a d n o Cy~ i
hodao	h o d a o
hodniku	h o d e n i k u
homogena	h o m o x e n a
homologni	h o m o L o g i E 5
homolognih	h o m o l o g n i
homoseksualne	h o m o s e k s u a l
horizont	h o r i z o n s
horkruks	h o r k r u k
horu	h o r u
hrabri	h r a b r i
hrom	h r o n
hronologija	h r o n o l o g i j a
htjele	th~ i d i
iOS	i
id	s e i
identificirali	d e n t  l a l i
ideologijom	d e o l o g i j o m
ideoloških	d e o r S k i
ilustracijama	i l u s t r a C i g i y a m a
ilustrira	i l u s t r i r a
imovinom	i m o v i n o m
implementacija	i m p l E m E n t a  i j a
incidencija	m a i d i n C i g i y a
incidenti	m a i d e n t i
indij	i n d i
indijanska	i n d i j a s k a
individualnog	i n d i v i d u a l n o g
individualnosti	i n d i v i d u a l n o s t i
indukcije	i d u k C i g i y e
industrijalizacije	u z i j a l i z a c i j e
informativni	i n f o r m a t i b n i
inhibiciju	h i b i k i j u
initio	i n i t i o
injekcija	r o n o x e k C i g i y a
inkubacije	m u b a c i j e
insekt	s Nw~
insistirala	s i s t i r a l a
instalira	s t a l i r a
instrumentalne	s t r u m e n t a l
integrali	i n t e g r a l i
interakcijama	i n t E r a k C i g i y a m a
internacionalni	i n t E r n a g a o n a l
interno	i n t E r n o
interpretirati	i n t E r p r e t i r a t
iritacije	i r i t a k i j e
irski	i r u r
iskazana	i s k t a ly~ o
iskazani	i s k l a
isključena	i s k l xy~ C e n a
iskoriste	i s k o r i s t e
iskusnih	i s k u s n i
ispaljivati	i s p a l x i v a t i
isplaćuje	i s p l a n i n Cy~ a j e
isporučuje	i s p o r u C a j e
ispunili	i s p u n i l i
istaknuo	i s t a k n u o
istrazi	i s t r a z i
istražene	i s t r a Z e n
it	i t
itekako	i t e k a k o
izbacili	i r b a c i l i
izbjegavajući	i r by~ E g a v a h u C u i
izdanka	i r n
izdavanju	i r d a v a n j u
izdrži	i r ndr$ Z e i
izdvojena	i z d a v o x e n a
izgaranja	i r N a r a n j a
izjasnio	i z y a s n i l o
izjašnjava	i z y a S n j a v a
izloženih	i r L o Z e n n i
izloži	i r L o Z e i
izmijeni	i r m i y e n i
iznenadni	i r n e n a d n i
iznenađujući	i r n e n a 8 u h u C u i
izradom	i r r a d o m
izrasla	i r r a s l a
izrastao	i r r a s t a o
izravnim	i r r a v n i m
izrazima	i r r a z i m a
izrazit	i r r a z i t
izrazitu	i r r a z i t u
izvedbom	i z v e d b o m
izvlače	i r b l a % C i
izvorna	i z v o r n a
izvornu	i z v o r tn~ a
izvrsne	i z v s n e
izvrstan	i z v s t a n
izvršenju	i z v r S e n c u
izvršnih	i z v r S n i
jahač	y a h a C
jasnih	y a s n i
jasnu	y a s n u
jaz	y a z
jedarni	h e d a r n i
jednadžba	h e d n a d Z e b a
jednadžbe	h e d n a d Z e b e
jednakom	h e d n a k i
jednogodišnje	h e d n a k a t e S n j e
jednostrano	h e d n o s t r o
jednoznačno	h e d n o y a n a % C n o
jedrima	p i e d r i m a
jeftin	h e f t i n
jestive	h e s t i v E
jestivi	h e s t i b i
jezične	h e  C n e
jezično	h e  C n o
juriš	x u r i S
kablova	k a b r o v a
kacige	k a c i g e
kacigu	k a c i x u
kadmija	k a d m i j a
kakvim	k a k i v i m a
kalibara	k a l i bh~ a r a
kalijevih	k a l i p i r i
kameo	k a m E o
kandidirati	k a n d i d i r a t
karakterizaciju	k a r a k t E r i z a c i j u
karbonata	k a r b o n a t a
kaseta	k a s e t a
kasnoj	k a s n o x
katoličku	k a t o l i C k u
kazao	k a z a o
kaznenog	k a Z n e n o g
keltske	k e l c k e
kinetičke	k i n e t i % C k e
kisela	a s l 3 a
kiselosti	a s l 3 o s t i
kitovi	k i t o w i
kladogram	k l a d o g r a m
klasom	k l a s o*
kletva	k l e t v a
kletve	k l e t v e
kliniku	k l i n i k u
ključno	k l xy~ C n o
kodom	k o d o m
kofaktora	k o f a k t o r a
kolektivni	k o l e k t Ng~ e n i
kolibu	k o l i b u
kolonizacija	k o l o n i z a c i j a
komentatori	m i e n t a t o r i
komentira	k o p i N t i r a
komisijom	k o m i s i j o m
kompleta	m i p l e t a
komunistički	m i u n i S th~ i % C k i
konceptom	q o n i k u p t o m
konflikta	q o n i k f l i k t a
konfuziju	q o n i k f u  d u
konjičke	q o n i k b C u k e
konkursu	k o nk ~ u r s u
kontrolirala	k o nt~ r o l i r a l a
kontroverzne	k o nt~ r o p e m u L n e
konvenciju	q o n i k f e n C i g i y u
konverziju	q o n i k e r  d u
koordinaciji	k o r d i n a g a l w a
koordinator	k o o n b u w a t o
korijenom	k o r i j E n o m
korisnosti	k o r i s n o s t i
kotlinu	k o t l i n u
kovanje	k o v a n j e
kočija	k o C i j a
košarkaške	S i a S k e
košta	S t a
koštanih	S t a n i
kraljevinu	k r a l p i r i n u
kraljevom	k r a l k u s o m
kredit	k r E d i t
kriminalca	k r i m i n a l k a
kristalnom	k r i s t a l n o m
kritičan	k r i t i C
krizom	k r i z o m
križarskog	k r i Z e a r S kp~ i N
krovnog	k r o w n o g
krugom	k r u g o m
krupnih	k r b n i
krute	k r u t e
krvotoka	k r E f o t o k a
kuha	k u h a
kupatila	c h a i l a
kupcima	k u p k i m a
kurseva	k u r s v a
kvalificiranih	k v a l i f i l a n i
kvalitetna	k v a l i t e t n a
kvartet	k v i t e
kvota	k v o t a
kvote	k v o t e
lahkoćom	l a h o Cy~ o m
lakta	l a k t a
lancetasti	l a n k o e t a s t i
lansirnih	l a n X a n i
laserskog	l a s E r s kp~ i N
laticama	l a t i k a m a
ledi	l e d i
legionara	l E g i o n a r a
legitimnog	l E g i t i m n o g
letjelici	l E ty~ E l i C i
letjelicu	l E ty~ E l i k u
lideri	l i d E r i y a
ligaškim	l i g a S k i m a
lingvista	l i N i s t a
livada	l i v a d a
ljestvicama	lx~ a* 7 v i k a m a
ljetni	l x e t n i
ljetno	l x e t n o
ljevice	L p i r i k e
ljubavnici	lx~ u b a b n i C i
ljubavnih	lx~ u b a b n i
logici	l o g i C i
lokaliziran	l o   r i
lopova	l o p o v a
lukove	l u k o v e
lule	l u l e
macula	m a k u l a
magijom	m a g i j o m
magični	m a h i r i C n i
magnetnom	m a j  n o m
magnituda	m a h n i t u d a
makedonskim	k e d o* s k i m a
maleni	m a l e n i
malobrojni	l o b r o x n i
manga	m a n g a
manjak	m a n j a k
maršira	m a* r S i r a
matematičkim	m a t e m a t i C k i m a
matrici	m a t r i C i
mađarskog	m a 8 a r S kp~ i N
mašinom	m a S i n o m
medijalnog	m e d i j a l n o g
meduze	m e d u z e
mehak	m e h a k
mehanika	m e h a n i k a
mehko	m e h k o
meksičke	k b C k e
mekteba	k th~ E b a
merkantilizam	m e r k a n t i l i z a m
metabolit	m e t a b o l i t
metabolizira	m e t a b o l i z i r a
metalnu	m e t a l n u
metalom	m e t a l o m a
metan	m e t a n
metodologije	m e t o d o l o g i j e
metropole	m e t r o p o l e
mezara	m e z a r a
međuproizvod	m e 8 m r o i z v o d
mijenjale	m i j E nj~ a l e
milicija	m i l i k i j a
milionima	m i l i o n i m a
miljenik	m e L E n i k
mineralnim	m i n e r a l
minobacač	m i n o b a k a C
mirise	m i r i s e
misa	m i s a
misteriozno	m i s t E r i o z n o
mitohondrije	m i t o h o n d r i j e
mitologiju	m i t o l o g i j u
mišljenjem	m i S lx~ o k o m
mjenjača	m E nj~ a % C a
mjerne	m y E a n 3
mladeži	m l a d e Z e i
mlađoj	m l E 8 n d a
mlina	l i n a
mnom	m n o m
mobilnosti	m o b i l n o s t i
modna	m o d n a
modus	m o d u s
mokraćni	m o k r a Cy~ n i
mol	m o l
molekulska	o l l o t e l u r
molibdena	o l i b d e n a
moralna	m o r a L n a n
moralnu	m o r a l n u
mornari	m o r n a r i
motivacija	m o t i v a c i j a
motivaciju	m o t i v a c i j u
motom	m o t o m
moćnim	m o Cy~ n i m
mramora	m r a m o r a
mračne	m r a % C n e
mudro	m u d r o
muha	m u h a
muslimanskoj	s l i m a s k o x
mutanti	m u t a n t i
mučili	m u % C i l i
nabavku	n a b a b k u
nabijeni	n a b i y e n i
naborima	n a b o r i m a
nacijama	n a C i g i y a m a
naciju	n a g a C u
nacrtao	n a k r t a o
nadahnuta	n a d a h n u t a
nadležan	n a d l e Z e
nadograđen	n a d o b o ch~ 8 e n
nadoknadu	n a d o k n a d u
nadražaj	n a d r a Z e a x
nadređeni	n a d r e 8 e n i
naglašena	n a g l a S e n a
nagon	n a g o n
najbližim	n a x a bl~ i Z e i m a
najbogatije	n a x a b o g a t i j e
najefikasniji	n a x e f i k a s n i h i
najgledanijih	n a x a g l e d a n i j i
najgorem	n a x a g o r e m
najgorih	n a x a g o r i
najkraće	n a h k r a Cy~ e
najljepši	n a x a lx~ e p S i
najnaseljeniji	n a x n a s l 3 E n i h i
najskuplji	n a x a u r  p lx~ i
najsnažnije	n a x a s n a Z e n i j e
najstarijem	n a x a s t a r i y e m
najvažniju	n a x a v a Z e n i j u
nakupina	n a k u p i n a
naletu	n a l e t u
nanijeti	n a n i y e t i
naoko	n a o k o
naosa	n a o s a
napadačka	n a p a d a % C
napet	n a p e
naporan	n a p o r a
naprava	a pw~ r a v a
napredni	a pw~ r e d n i
napuštali	n a p u S t a l i
naredbom	n a r e d b o m
naručila	n a r u C u i l a
naseljenost	n a s l 3 h Ng ~ o n o 8
nasilan	n a s i l a n
nasilne	n a s i l n e
nasljednike	n a s lx~ b n i k e
naslovnici	n a l o v n i C i
naslovnoj	n a l o v n o x
nastalim	n a s t a l i m
nastalu	n a s t a l u
nastavke	n a s t a b k e
nastavljajući	n a s t a b lx~ a h u C u i
nastojanje	n a s t o j a n j e
navodnjavanja	n a v o d nj~ a v a n j a
navođenje	n a v o 8 o k o
nazivane	n a z i v a n e
naznačiti	n a z n a % C i t i
naši	n a S i
neandertalaca	n e a d i n t a l a k a l
nedavni	n e d a b n i
neizvjestan	n e z v o x e s t a n
nejasne	n e y a s n e
nekroze	n e k r o z e
nektara	n e k t a r a
nemoguća	n e m o g u C u a
nepostojanje	n e p o s t o j a n j e
nepovoljne	n e p o v o l x n e
nepravedno	n e p r a v e d n o
neprofitna	n e p r o f i t n a
neriješenog	n e r i j E S e n o g
neslužbeno	n e s  Z e m u
nesretnim	n e s r e t n i m
neurotransmitera	n e u r o t r i s m i t E r a
neutralnost	n e u tr~ a l Ng ~ o n o 8
nezavisnošću	n e z a v i s n S C u u
niobija	n i o b i j a
nitrata	n i tr~ a t a
nježno	n j e g e Z e n o
njuške	j i S k e
nogometaši	n o g o m e t a S i
nositelja	n o s i t e l x w
notaciji	n o t t a g a l w a
notni	n o t t n i
noćenja	n o Cy~ e n j a
noževima	n o Z e n g o y a
nulta	n u l t a
nužna	n u Z e n a
obalnog	o C i C n o g
obavezuje	o b a b d u j e
obezbjeđenje	o b e z by~ E 8 o k o
obišao	o b i S a o
objavljivala	o by~ a b l x i v a l a
objavljivanjem	o by~ a b l x i v a n o x e m
objavu	o by~ a b u
objašnjeno	o by~ a S n o x e n o
oblaganje	o b l a a g a n j e
oblikovala	o b l a i k o p a l a
oblikovao	o b l a i k o p a o
obloge	o b l a l i g e
obnovljivih	o b n o b l x i v i
obojenim	o b o x e n i m
oboljele	o b o l x e l e
obora	o b o r a
oborina	o b o r i n a
obrasla	o b r a s l a
obrazovana	o b r a z o v a n a
obračunu	o b r a % C u n u
obrađen	o b r a 8 e n
obrađivati	o b r a 8 i v a t i
obrnutom	o o* n u t o m
obustavljena	s t a b lx~ e n a
obveze	o b p e m u  e
odbijajući	o d b i j a h u C u i
odbiju	o d b i j u
odgovarali	o d g o b a r a l i
odgođen	o d m 8 e n
odlaže	o d e L o Z e n
odlučen	o d b C e n
odlučile	o d n % C l
odlučujuće	o d n % C u h u C u e
odlučujućem	o d t C u h u C u e m
odlučujućoj	o d b C u u h u C u n d a
odnedavno	o d n e d a b n o
odredba	o d r e d b a
određenja	o d r e 8 e n j a
odsjekao	o d s h k a o
odstupiti	o d s t u p i t i
oduzeto	o d u z e t o
oduzme	o d u z m e
odvela	o d b e l a
odvoje	o d v o x e
ognjištem	o g i E 5 b S t e m
ogranke	o g r a n k e
ogrtača	o g i r t a C u a
okruglih	o k r u L i
oksidacijskom	o k s i d a C i g i y s k o m
okupirale	o k u p i r a l e
