de	d e
espacials	e s p a k i a l
especifico	e s p E kh~ a m e*   o
especificos	e s p E kh~ a m e*  k o s
esportivo	e s p o r t i b o
esquena	e s k e n a
establimiento	e s t a b l i m i e n t o
estatal	e s t a t a l
evident	p i r i d e n t
exacta	" a k t a
exercitos	" e r i t o s
factor	f a k t o r
faiga	f a i g a
fambre	f a mb~ r e
fesen	f e S e n
fisicas	f i s i k a s
fotografía	f o t o g r a f i a
franca	f r a C a
frases	f r a e
fruita	f n i n e n
funcional	f u n C i w o n a l
gana	g a n a
garras	g a r a s
golpe	g o l p e
gotico	g o t  o
grant	g r a nt~
gubiernos	g u b i E a n o s
habita	h a b i t a
horizontal	h o r i z o n t a l
ibons	i b o n
incluyindo	i n k l u y i d o
indoeuropea	i d o e u r o p e a
intelectual	i n t e l e k t u a l
labor	l a b e r
laboratorio	l a b o r a t o r i o
largas	l a r x a s
liberar	b e r a r a
linache	l i n a C e
mamifers	m a m i f e r
manifestacions	n i f e s t a k i o* s
manifiesta	n i f i e s t a
mantenió	m a n t e n i o
mantienen	m a n t i E n e n
marina	m a r i n a
masiva	s i v a
materna	m a t E r n a
mayestros	m a y e s t r o s
medida	m e d i d a
mental	m e n t a l
meridionals	m e r i d i o n a l
mesurar	m e s u r a r
minchan	m i n C a n
monesterios	m o* t a 5 3 S t E r i o s
montanyosa	m o* t a 5 o s a
mover	m o v e r i
mundials	nd~ i a l
murallas	m u r a ly~ a
muscular	s k u l a r
nacionalismo	n a g a o n a l i s m o
navegación	n a b e g a i o n
negativa	n e g a t i v a
nombrar	n o mb~ r a r a
nota	n o t a
notables	n o t t a b l e
noticias	n o t i i 3 s
nuestra	n u e s t r a
ocupando	o k u p a n d o
ocurre	o k u r
ofreixe	o f r a i S 3
ondas	d 3 s
opera	o p e r a
ordinador	u r d i n a d o r
papels	p a  d
parellas	p a r e ly~ a
peninsular	p e d i n r e p e n a r
perdiu	p e r d i u
perduga	p e r d u g a
plantilla	p l a y i n t i l l a
pobladors	p o b l a n k d o r
pobre	p o o*
podendo	p o d e n d o
poesía	p o e s i a
poquetz	p o k e c
poseyen	p o s e y e n
posiblement	p o s i b l E m E n t
pozos	p o i z o s
pre	p r e
prebatinas	p r e b a t i n 3 s
prefixos	p r e f i S o s
prencipiando	p m i n C i i p i a n d o
presas	p r e s a s
presentó	p r e s e n t o
presonache	p r e s o n a C e
previament	p b e b i m E n t
procede	p r o k e d e
procedents	p r o k e d E nt~ u
producito	p r o C u k i t o
protecher	p r o t e C e i r
qualidat	k a l i d a t
quarto	k i t o
quedau	k e d a u
quereba	k e r e b a
rechira	r E c  r a
recientment	r E C y e n t m E n t
reconoixita	r E c o n o i S i t a
reconquiesta	r E c o n k i e s t a
recorriu	r E c o r i u
recurso	r E C u r s o
refirmar	r e f i r m a r
reflexión	r e f l " i o n
regularment	r e g u l a s a y m 3 n t
relacionar	r e l a c i o n a r
requiere	r E k i e r e
rica	r i k a
salida	s a l i d a
santo	s a n t o
sciencias	S e i n C i w 3 s
sendero	s e n d e r o
sepoltura	s e p o l t u r a
setio	s e t i o
substancias	s u b s t a n C i w 3 s
sufrachio	s u f r a C i o
sur	s u r
sustancias	s u s t a n C i w 3 s
sían	s i
tartres	t a r t r e
tendrá	t e n d r a
tetulo	t e t u l o
tienden	t i e n d e n
tocar	t o k a r
toristico	t o r i s t  o
tramo	tr~ a m o
trampo	tr~ a m p o
transchenero	i t r i s t a C e n e r o
trobau	t r o b a u
turismo	t u r i s m o
uellas	u e y a
urbanas	u r b a n a s
usau	u s a u
valencia	v a l e n C i w a
vasca	v a s k a
vasos	v a s o s 3
vechetal	f e 5  a l
viviendas	v i v i e n d 3 s
volar	v o l a r
voluntarios	v o l u n t a r i o s
zarrar	z a r r a r a
án	a n
Adams	d a m
Aeria	e r i a
Albarracín	l bh~ a r a k l e
Alionor	l i o n o r
Apareixe	p e r a i S 3
Arredol	r e d o l
Asimov	s i m o N
Asinasmesmo	s i n a s S m o
Balcans	a l k a*
Banco	5 u k a o
Banks	a n k
Beach	E w e
Belchica	e l C i k a
Carmen	a r m e n
Chorche	h o r C e
Civil	i v i l
Confederación	o f e d e r a i o n
César	e s a r
Daroca	a r o k a
Departamento	a p i t a m e n t o
Die	i e
Finalment	i n a l m E n t
Fuente	u e n t e
Gupta	u p t a
Hu	u
Island	s l a n d
López	o p e z
Mallorca	o l  w E L E
Mediterrania	e d i t e r a n i a
Moncayo	n k a y o
Patrick	a t i cy~
Primer	r i *
Puede	u e d e
Puent	k i k " a 5 a
Puerta	 t a
Puerto	u e r t o
Quatre	u a t r e
Rafael	a f a e l
Ran	a n
Rechión	e T i o n
Recibe	e T i b e
Royal	o y a l
Saint	i nt~
Sellier	e ly~ i e r
Teatro	e a t r o
Teherán	e h e r a n
Tena	e n a
Universal	n i v e r s a l
Viello	i e l o
Villas	i l l a
acaban	a k a b a n
academicos	a c a d 7 e m i k o s
accidents	a k i d E nt~ u
adverbial	a d e r b i E a l
afecta	a f e k t a
africana	a f i cy~ a n a
altro	a l t r o
amanata	a m a n a t a
amaneixe	a m a n a i S 3
ambients	a m b i E nt~ u
americana	a m e r i k a n a
aquella	a q u m u S
asociacions	a s o* k a i o* s
atorga	a t u l g a
auxiliars	 i l i a r
avión	a g o y o n
basada	b a s a d a
basicament	b a s i k a m E n t
bebidas	b e b i d 3 s
biera	b i e r a
buenos	b u e n o s
busca	b u s k a t
cadieras	k a d i a a s
campesins	k a m T i N n E
capitals	k a p i t a l
catalans	k a t a l a n
caye	k a y e
chenerar	C e n e r a r a
chens	C e n
chovenil	C o p e n i l
chudicio	w a g w C i w r o
chugando	C o g a n d o
chunta	w a n t a
chóven	C o k b e n
ciertas	C y e r t o s
ciudadanía	i u d a d a n i a
clamatos	k l a m a t o s
clasicos	k l a s i k o s
clero	k l e r o
comarcal	k o m a r k a l
combina	k o mb~ i n a
combustible	k o m b u s t i b l e
comercios	k o * r i o s
completivas	k o m p l e t i v a s
complexa	k o m p l " a
compromís	k o m p r o m i
comunista	k o m u n i S th~ a
conducta	r o n d u k t a
confluyencia	r o n f l u y i n C i w a
confusión	r o n f u s i o n
consiguioron	k o s i g i o r o n
continentals	r o n t i n e n t a l
coordinador	k o r d i n a d o r
correr	k o r a r
creticas	k r e t i k a s
cruzada	k r u w Z a d a
cráter	k r o e r
cría	k r i a
cubren	k u b r e n
cuento	kw~ e n t o
data	d a t a
deben	d e b e n
decadencia	d E c a d 7 i n C i w a
defensa	d e f e s a
definita	d e f i n i t a
demanda	d e m a n d a
demás	d e m a
dentra	d e n t r a
depende	d e p e n d e
derivatos	d e r i v a t o s
descubrió	d e s k u b ry~ o
deseyo	d e s e y o
desintegración	d e s i n t e b o ch~ i o n
diaspora	d i a s p o r a
directa	d i r E C t a
disponibles	d i s p o n i b l e
dople	d o p l e
dormir	d o r m i*
duro	d u r o
elaboración	e l a b o r a i o n
electricos	e l e k i cy~ o s
emigración	e m i b o ch~ i o n
emigroron	e m i g r o r o n
emplegatos	3 mp~ l e 7 a t o s
empresa	3 mp~ r e s a
encargau	e n k a r g a u
encomenzoron	e nC~ o m e n z o r o n
eno	e n o
entalto	e n t a l t o
entero	e n t e r o
escandinavo	e s k a nd~ i n a b o
esfera	e s f e r a
especialidat	e s p E kh~ a m e* i a l i d a t
establir	e s t a b l i r
etz	e c
evidencia	p i r i d i n C i w a
exactament	" a k t a m E n t
existents	" i S t E nt~ u
extensions	e S X o* s
externos	" t E r n o s
fayena	f a y e n a
feguras	f e g u r a s
ferramientas	f e r a m i e n t a s
finalment	f i n a l m E n t
formatos	f o r m a t o s
fortaleza	f o r t a l E z E
fueros	f u e r o s
fundata	f u nd~ a t a
godos	k a t o s
gramaticals	g r a m a t i k a d
grano	g r o
gravación	g r a v a i o n
gravedat	g r a v e d a t
griegas	g r i e x a s
habituals	h a b i t u a d
hereu	h e r e u
hibierno	h i b i E a n o
ibn	i b n
implica	i m p l i k a
imposible	i m p o s i b l e
incluius	i n k l u i u s
incoativos	i n k o a t i v o s
indicador	i n d i k a d o r
ingredients	i N X i  e n c
ingresos	i N X i e s o s
inscripcions	s k r i p i o* s
internacionalment	i n t E r n a g a o n a l m E n t
invariable	i n v a r i a b l e
invasions	i n b E s i b o* s
investigacions	i n v e s t i g a i o* s
lanzamiento	l a n z a m i e n t o
lateral	l a t e r a l
lechislación	l e C i w a i o n
limfaticos	b u r f a t i k o s
liquida	l i k i d a
luengo	l u i Ng~ o
lunas	l u n 3 s
magnetico	m a j   o
manifestación	n i f e s t a k i o n
mantién	m a n t i e n
maritimo	m a r i t i m o
masculins	s k u l i n
medalla	m e d a ly~ a
mediterranio	m e d i t e r a n i o
microorganismos	m i C o r g a n i S m o s
microtoponimo	m i C u t u p o n i m o
mineral	m i n e r a l
minima	m i n i m a
molins	o l i n t
muebles	m u e b l e
murió	l i o
m²	m a
napas	n a p a s
narracions	n a r a i o* s
negativas	n e g a t i v a s
nivels	n i v e l
nominal	n o m i n a l
nusaltros	n u s a l t r o s
observar	o b e r v a r
oficio	o f i h i o
operativo	o p e r a t i b o
ortograficas	u r t o g r a f i k a s
pachinas	p a C i n 3 s
paralelas	p a r a l e l a
parroquias	p e r o k i a s
particulars	p e r t i k u l a r
pavo	p a b o
permitiba	p e r m i t i b a
permitindo	p e r m i t i n d o
pisos	p i s o s
plachas	p l a y i C a s
platiellos	p l a y i   o s
plegata	p l e 7 o
plegato	p l e 7 a t o
plumas	p l u m a s
poderba	p o d i n b a
policía	p o l i T i a
posan	p o s a n
posesions	p o s e s i o* s
posibilidatz	p o s i b i l i d a c
precisión	p r E c i s i o n
predomina	p r e d o m i n a
predominant	p r e d o m i n a n t
preparación	p r e p a r a i o n
preposicions	p r e p o s i i o* s
propagación	p r o p a g a i o n
proporción	p r L o k i o n
proposau	p r o p o s a u
proposó	p r o p o s o
punk	p u n
quartel	k i t e l
r	r
racial	r a c i a l
radical	r a d i k a l
reaccions	r e a k i o* s
reconoixencia	r E c o n o i S i n C i w a
reconoixer	r E c o n o y " e a r
rectangular	r E c t a n g u l a r
regla	r e g l a
relato	r e l a t o
rematanza	r E m a t a n c a
republicas	r e p u b l i k a s
responsabilidat	r e s p o i r a r u w i l i d a t
resultatos	r e s u l t a t o s
revueltas	b e b u e l t 3 s
robots	r o mb~ u t u a
royos	r o y o s
ruinas	r u i n 3 s
santuario	s a n t u a r i o
satelites	s a t e l i t e
secundario	s e k u n d a r a o
sedimentos	s 3 d i m e n t o s
semanas	s e m a n a s
septentrionals	s e p t E nt~ u z i o n a l
siente	s i e n t e
siglos	s i g l o s
significaba	s i g  k a b a
silaba	s i l a b a
sinonimos	s i n o n i m o s
substrato	s u b s t r a t o
succesión	s u k k o n
suizo	s u i r o
superficial	s u p e r a i a l
tallo	t a l o
tasa	t a s a
tecnico	t e k n i k o
teito	t e i t o
territorials	t e r i t o r i a l
titular	t i t u l a r
tractamiento	tr~ a k t a m i e n t o
trastes	t r a s t i
trescruzar	w a m i s k r u s a r
tripulación	t r e p u l a k a i o n
tu	t u
turquicos	t u r k i k o s
ubrió	u b ry~ o
universidatz	u n i v e r i d a c
usato	u s a t o
venir	f e n i r
viaches	v i a C m 3 s
viellas	v i e y a
visibles	v i s i b l e
vlacos	v l a k o s
Ángel	N
Aires	i r e
Alfonso	l f o s o
Anatolia	n a t o l i a
Andreu	ndr$ e u
Antes	nt~ m 3 s
Atro	t r o
Berenguer	e r e N i a
Blanca	l a n k o a
Blas	l a
Borgonya	u r g o n y a
Buenos	u e n o s
Calatayú	a l a t a y u
Cambra	a m b r a
Canadá	a n a d a
Catolica	a t o l i k a
Chardín	h a r a n
Cheorchia	h e o r C i a
Cine	i n e
Colechio	o l e C i o
Comunista	n i S th~ a
Congo	o n g o
Coreya	o r e y a
Cortes	u r t e
Costantinoble	o s t a n t i n o b l a e
Danubio	a n u b i o
Dentre	e n t r e
Dentro	e n t r o
Diz	i z
Eduardo	d u a r d o
Eixemplos	i S 3 mp~ l o s
Estadio	s t a d i o
Ferrández	e r a n d e z
Golfo	o l f o
Guadalajara	u a d a l a j a r a
Head	E w e d
Heinrich	e i n i cy~
Iberica	b E i cy~ a
Islas	s l a
Joseph	o s e p
Krajina	r a j i n a
League	E w e a
Lengua	g u a
Letras	a t 3 r 3 s
León	e o n
Logo	o g o
Léxico	e n  o
Matarranya	E t E d i t r a 5 a
Michael	i C a
Moscú	o s k u
Muit	u i
Mónegue	i* e a
Navarro	a b a r o
Occident	kh~  i d e n t
Partiu	a r v u
Pireneu	i r e n e u
Platón	l a t o n
Porto	u r t o
Poseye	o s e y e
Pueblos	k i k " bl~ u
Quaid	u a i d
Rechional	e T i o n a l
Reina	e i n a
Ribas	i b a s
Royo	o y o
Santiago	a n c a
Semontano	e m o* t a n o
Sociedad	T i e d a d
Solament	o l a m E n t
Steven	t e b e n
Sánchez	a n C i h e z
Thomas	h o m a s
Toledo	o l e d o
Victoria	i k t o r i a
Zona	o n a
abellas	a b e y a
aconsigue	a k o ns~ i a
actas	a k t o s
activa	a k t i v a
adreza	a d r E z E
aduyó	a d u a
adverbials	a d e r b i E a d
adverbio	a d e r b i E o
alans	a l a n
aletas	a l e t o s
alumnos	a l u m n o s
amanatas	a m a n a t a s
amariella	a m a r i L a
ambitos	a m b i t o s
americán	a m e r i kh~ a m e n
aniello	a n i e l o
anunció	n u i o
aparent	a p a d e
aplicación	a p l i k a i o n
artificials	a r   i a d
asambleya	a s a m b l e y a
asambleyas	a s a m b l e y a s
asegurar	a s e g u r a r
ataques	a t a k e
au	a u
autonomas	a u t o n o m a s
azuls	a z u l
baixan	b a i S a n
baixos	b a i S o s
banco	b a n C i o
bandas	b a n
barcos	b a r k o s
basicos	b a s i k o s
beluna	b e l u n a
breu	b r e u
café	k a f e
caleba	c a l 3 b a
cantons	k a nt~ o* s
caras	k a r 3 s
carbonio	k a g i p o l o
carreteras	k a r   a s
castellanas	k a s t e l a nz~ 3 s
castellanismo	k a s t e l a nz~ i s m o
castiellos	k a s t i 3 o s
cauz	k a u
celebración	k e l e b r a i o n
celebre	C E l E o*
centra	C E n t r a
ceramica	C E r a m i k a
chenitivo	C e n i t i b o
cheolochía	C e o l o C i a
chinesa	C i n 3 s a
choventut	C o p e n t u t
chuez	C o e z
chugar	C o g a r
chunyo	w a n y o
chóvens	C o k s k a
cinquena	T i n ky~ e n a
citar	T i t a r
clasificacions	k l a s  k a i o* s
climatico	k l i m a t  o
coalición	k o a l i i o n
codete	k o d e t e
colaboró	k o l 3 b u a o r o
coloca	k o l o k a
colonial	k o l o n i a l
coloquial	k o l o k i a l
coma	k o m a
comentarios	k o m e n t a r i o s
comparten	k o m p i t e n
composata	k o m p o s a t a
comunistas	k o m u n i s t a s
concentra	r o n C i e n t r a
confundir	r o n f u nd~ i r
conservar	r o n e r v a r
conservau	r o n e r v a u
construyida	k o s t r u y i d a
construyir	k o s t r u y i*
convento	r o n f e n t o
cooperación	k o o p e r a i o n
coordinación	k o r d i n a g a o n
cordelera	k o r d e l e r a
coro	k o r o
corredor	k o r e d o r
creyador	k r e y a d o r
creyato	k r e y a t o
creyau	k r e y a u
cristianas	k r i s t i a n a s
criterio	k r i t E r i o
criticos	k r i t i k o s
cubrir	k u b r a r
cuencas	kw~ e n k a s
cul	k u l
decide	d e 7 i d e
declinación	d e k l i n a g a o n
definicions	d e f i n i C y o* s
dels	d e l
dentradas	d e n t r a d 3 s
derivadas	d e r i v a d 3 s
desapareixioron	d e s a p a r e i n o r o n
desapareixiu	d e s a p a r a i S i u
desaugua	d e s a u g u a
descubrimiento	d e s k u b l i m i e n t o
descubrimientos	d e s k u b l i m i e n t o s
desembocadura	d e s a i mb~ o k a d u r a
deseparato	d e s e p a r a t o
deseparau	d e s e p a r a u
desinencia	d e s i n i n C i w a
despoblados	d e s p o b l a n k d o s
destacable	d e s t a k a b l e
destacato	d e s t a k a t o
detectar	d e t e k t a r
determina	d e t e r m i n a
determinan	d e t e r m i n a n
diferenciar	d i f e r e n C i w a r
diftongación	d i f t o N a C i w o n
dimensión	d i * ns~ i o n
dirichent	d i r i t a C e n
dirichito	d i r i C i t o
disenyato	d i s e 5 a t o
disolución	d i s o b e l i o n
disposición	d i s p o s i i o n
dividió	d i v i d i o
dunas	d u n 3 s
emitir	e m i t i r
enchaquia	e n C a k i a
encluyen	i n C i l u y e n
enemigo	i n i m i g o
entender	e n t e n d e r
entroron	e n t r o r o n
equilibrio	e k i l i b ry~ o
escatas	e s k a t a s
esferencias	e s f m i n C i w 3 s
esfuerzos	e s pw~ e r i z o s
española	e s p a 5 o l a
especificas	e s p E kh~ a m e*  a s a
espelungas	e s p e l u N a
estatals	e s t a t a l
estatua	e s t a t u a
estausunidenses	e s t a u s u n i d e n e
estilos	e s t i l o s
estructural	e s t r u k t u r a l
estudiar	e s t u dy~ a r
etapas	e t 3 p 3 s
etnicas	e t n i k a s
evolucions	e v o b e l i o* s
ex	Z i 7
excepcions	" u p i o* s
existir	" i s t i r
exteriors	e S e r i o r
fabricas	f a b r i k a s
faigan	f a i g a n
famosos	f a m o s o s
feminín	f a m i n i
ferramienta	f e r a m i e nt~ a
fina	f i n a
financiero	f i n a n C y e r o
fluido	f l u i d o
foco	f o k o
fondón	f o n d o n
fonetico	f o n e t  o
formalment	f o r m a l m E n t
formoron	f o r m o r o n
francos	f r a nC~ o s
français	f r a n a i s
fuesa	f u e s a
ganando	g a n a n d o
garchola	g a r C o l a
grafico	g r a f i k o
herencio	h e r e n C i w o
hesen	h e s e n
hi	h i
homonima	h o m o n i m a
identificar	d e n t i f i k a r
ideyal	d e y a l
incendio	m a e n d i o
influyó	i n f % a
inicialment	i n i C y a l m E n t
intentos	i n t e n t o s
irregularidatz	i r e g u l a r i d a c
islam	i s l a m
ixes	i S m 3 s
laboral	l a b o r a l
lexica	l " i k a
librement	b r E m E n t
licherament	l i C e rh~ a m E n t
liders	l i d e r
lingüista	l i N 3 i s t a
lituans	t u a
lochica	l o C i k a
luengaches	l u e ng~ a T h e s
malas	m a l 3 s
malotías	l o t i 3 s
mampostería	m a m p o s t E r i a
maniera	n i e r a
manto	m a n t o
marchar	m a* r C a r
marguins	m a* r g i n
masculinas	s k u l i n 3 s
mencions	m E n C i w o* s
meten	m e t e n
meyatos	m e y a t o s
minutos	m i n u t o s
mirandés	m i r a nd~ e
mixtas	m i S 3 s
molín	o l l e
monarca	m o n a r k a
monches	m o n C i h e s
mongols	o n g o l
motors	m u t u r
multiples	l t e p l e
nacionalista	n a g a o n a l i s t a
nacionalistas	n a g a o n a l i s t a s
naixencia	n a i S i n C i w a
naiximiento	n a i x i m i e n t o
naixita	n a i S i t a
nasal	n a s a l
necesario	d e* k a* b e s a r i o
negros	n e g r o s
noción	n o C i w o n
nombra	n o mb~ r a
normals	n o r m a l
numeración	n u m e r a i o n
occitans	T k i t a n
ocuporon	o k u p o r o n
ofensiva	o f e ns~ i v a
ofreix	o f r e i
olimpico	o l i m p i k o
onda	o n d a
onsos	o s o s
opción	o p i o n
ordenó	u r d e n o
padre	p a d r e
papa	p a p a
pareixen	p a r e i  e n
parellana	p a r e y a n a
parlamento	p a l a m e n t o
parques	p i s o X
pelache	p e l a C e
pelos	p e l o s
pena	p e n a
percusión	p e r k u s i o n
persa	p e r s a
perspectiva	p e r 8 p e n e k t i v a
pierde	p y E r d e
platero	p l a y i t e r o
plurals	p l u r a d
poblata	p o b l a t a
polaca	p o l a k a l
portugueses	p o r t u g u e e
posa	p o s a
posar	p o s a r
prebar	p r e b a r
premite	p r e m i t e
presentación	p r e s e n t a q i o n
prestichio	p r e s t i C i o
profundidat	p r o f u nd~ i d a t
propietarios	p r o p i e t a r i o s
proporciona	p r L o k r i o n a
proposa	p r o p o s a
provenzal	p r o p e n z a l
provincial	p r o v i n C i w a l
puertos	p u e r t o s
qualidatz	k a l i d a c
quitar	k i t a r
qüestions	q 3 e s t i o* s
rapedo	r a p e d o
raro	r a r o
rayo	r a y o
rechionals	r e C i o n a l
reconoixiu	r E c o n o i n u
recupera	r E C u p e r a
redota	r e d o t a
regano	r e g a
relacionada	r e l a c i o n a d a
releu	r E l E u
relichiosa	r e l i C i o s a
rematando	r E m a t a n d o
reparto	r e p i t o
representando	r e p r e s e n t a n d o
resolución	r e s o b e l i o n
responsables	r e s p o n l a g a n u s m 3 s
reyals	r e y a d
ribagorzano	b a g o r o n o
riego	r i e g o
rocoso	r o k o s o
rodiato	r o d i a t o
romanicas	r o m a n i k a s
ruedas	r u e d 3 s
rusio	r u s i o
saxón	s a x o n
sentimiento	s e n t i m i e n t o
signo	s i g n o
simbolica	s i m b o l i k a
sistematica	s i s t e m a t i k a
soldaus	s o l d a u s
sozmesos	S o z S o s
subespecies	s u b e s p E kh~ a m e* i e
subordinadas	s u b o r d i n a d 3 s
superar	s u p e r a r a
tallar	t a l l a r
tamien	t a m i e n
tardana	t a r d a n a
tasament	t a s a m i n t
teatral	t e a t r a l
tendencias	t e n d e n C i w 3 s
tipicament	t e p i k a m E n t
tractar	tr~ a k t a r
transistors	i t r i s i s t o r
tribals	l e d a d
trozos	t r o i z o s
ubicación	u b i k a i o n
ubiertos	u b i e r t o s
usando	u s a n d o
veranos	e r a n o s
via	v i a
vienen	v i e n e n
villas	v i l l a
vital	v i t a l
yoga	y o g a
zucre	z u k
Ánchel	C i n C e l
álbums	a l b u m
