va 	v a
tahmin	t a h m i n
taksonomik	t a k S o n o m i k
talabalarning	t a l a b a l a r n i N
talabini	t a l a b i n i
talablar	t a l a b l a r
talafot	t a l a f o t
taloq	t a l o q
talqini	t a q i n i
tamomila	t a m o m i l a
tamoyillar	t a m o y i l l a r
tanaga	t a n a g a
tanazzulga	t a n a z m a g a g a
tanglik	t a N b u C o
tanqisligi	t a n g w i h s l i g i
tarafdan	t a r a f d a n
tarafga	t a r a f g a
tarjimasida	t a l j i m a s i d a
tarmoqlarini	t a r m o q  i n i
tarmoqli	t a r m o q
taronalari	t a r o n a l a r i
tasdiqlandi	t a s d i k l a n d i
tashkilotning	t a S  l o t n i N
tashviqot	t a S v i k o t o
tasvirga	t a s v i r g a
tasvirlab	t a s p i t e n l a b "
tasvirlarni	t a s p i t e n  n i
tayyorlanishi	d a t a y o r l a n i S i
tazyiqi	t a z i k i
tekshirilgan	t a k S i r i l g a n
telekoʻrsatuv	t e l e k o 7 s a t u
telekoʻrsatuvlar	t e l e k o 7 s a t u b l a r
tenglamasi	g l a m a k i
terilgan	t e r e l g a n
teshiklari	t e s i k a r i
texnikasida	t e S n i k a s i d a
texnologiyalarni	t e S n o l o g i y a l a r n i
timsolida	t i m s o l i d a
tipologik	t e p o l o g i k
tokembriy	t o k a g u m u g r e
tokzor	t o k z o r
tomonlariga	t o m o*  x a
topishida	t o p i S i d a
toptirish	t o p t i r i S
tortdi	t o r t d i
tortgan	t o r t g a n
toshlarga	t o s a nz~ i g a
toshli	t o S l i
tovarning	t o w a r n i N
toʻldirish	t o 7 l d i r i S
toʻlqinlarni	t o 7 l m u a t u  n i
toʻplamning	t o 7 p l a n i n m n i N
toʻqimadan	t o 7 g w i m a d a n
toʻxtatildi	t o 7 t a t i l d i
toʻyi	t o 7 i
transportida	i t r i s p o r t i d a
transportining	i t r i s p o r t i n i N
trubka	t o u b
tuda	t u d a
tugallangan	t u x a l l a N a n
tugʻruq	t u x 7 r u k
tuksiz	n a i t e
tumanga	t u m a n g a
tundra	t u n d r a
tuproqlari	t u p r o q
turganda	t u r g a n d a
turistik	t u r i s t i k
tushirilishi	t u s i r i l i S i
tuxumini	t u X u m i n i
tuygʻular	t u y g 7 u l a r
tuygʻulari	t u y g 7 u l a r i
umumlashtirib	u m u m l a S t e m a Ch~ o
universitetlarida	u n i v e r i t e u k a L a r i d a
urushining	u r u s i n i N
uskuna	u s k u n a
usullarining	u s u y a r i n i N
uygʻun	u y g 7 u n
uyushmalar	u y u S b e r m a l a r
uzaytirish	u z a i t i r i S
uzoqdan	u z o x d a n
vakuumda	v a k u m d a
vaqtvaqti	v a q t v a q t i
vaziyatga	v a z i y a t g a
venger	f e N e r
viloyatga	v i l o y a t g a
viloyatidan	v i l o y a t i d a n
vismut	v i s
vodiysidan	v o d i y i d a n
voqeadan	v o E 3 s 3 r 3
xalifaligi	S a l i f a l i g i
xalifalik	S a l i f a l i k
xalkaro	S a l u l o
xalkopirit	S a l k o p i r i t
xaltasi	S a l t a s i
xarajatlari	S a r a q L a r i
xaritasi	S a r i t a s i
xavfsizlikni	S a b f s i z l i k n i
xisoblanadi	S i s o b l a n k o a d i
xodimlariga	S o d i m l a r i g a
xonada	S o n a d a
xonaga	S o n a g a
xonligiga	S o n l i g i g a
xonliklari	S o n l i k a r i
xorij	S o r i
xorijga	S o r i j g a
xotiralari	S o t i r a l a r i
xukmronligi	S u k m r o n l i g i
xulosasi	S u l o s a s i
yalla	y a ly~ a
yaralar	y a r a l a r
yaratishgan	y a r a t i S g a n
yashiringan	y a s i r i N a n
yetishtirishda	y e t i S t i r i S d a
yey	i
yigitlar	y i g i L a r
yillaridan	y i l l a r i d a n
yilliklar	y i l l i k a r
yopib	y o p i
yopilib	y o p i l i
yoqish	j o k i S
yoritishga	y o r i t i S g a
yoruglik	y o r u L i k
yoshidan	y o s i d a n
yozuvini	y o m a g a n i n i
yoʻnaladi	y o 7 n a l a d i
yoʻqotdi	y o 7 pw~ o t d i
yoʻqotib	y o 7 pw~ o t i
yulduzlari	y u l d a z l a r i
yumor	y u m o r
yumoristik	y u m o r i s t i k
yuritishga	y u r i t i S g a
yurtlariga	y u r L a r i g a
yutgan	y u t g a n
yuvilgan	y u b i l g a n
zamirida	z a m i r i d a
zangori	z a N o r i
zarurligini	z a r u r l i g i n i
zavodda	z a v o d a 7
Adabiyoti	d a b i y o t i
Afgʻonistonda	f g 7 o n i S th~ o n d a
Afgʻonistonga	f g 7 o n i S th~ o n g a
Agʻdam	g 7 d a m
Aholiga	h o l i g a
Akkad	k k a d
Alimqul	b u r k
Alyuminiy	l u m i n i
Amorf	m o r f
Arastu	r a s t u
Ashug	S u g
Ashula	S u l a
Ayniy	y n i y a n
Azimov	z i N i m
Aziz	z i z
Barselona	a r S e l o n a
Betxoven	e t S o p e n
Bevosita	e v o s i t a
Bismark	i s n a l i m a
Buxorodan	u S o r o d a n
Buzruk	u z r u k
Darvishali	a r v i S a l i
Daryoning	a r o n i N
Dekan	d o l o g
Dogʻiston	o g i i t o*
Ekvatorial	k v a t o r i a l
Etnik	t n i k
Farmoni	a r m o n i
Federatsiyasida	e d e r a c i y a s i d a
Fermi	e r m i
Fil	i l
Fin	i n
Firdavsiy	i r d a b s i
Freeman	r E 3 m a n
Galaktika	a l a k t i k a
Gazeta	a z e t a
Gazli	t r L i
Geologiya	e o l o g i y a
Gʻaznaviy	7 l n a v i
Hayvonlarning	a y v o n l a r n i N
Hidoyatov	d o y a t o N
Hindixitoy	i n d i S i t o y
Industrial	d u s t r i a l
Infeksiya	n f k s i y a
Irtish	r t i S
Ishi	S i
Ishoq	S o q
Ispaniyada	s p a n i y a d a
Issiklik	s i k l i k
Italiyadagi	t a l i y a d a g i
Iyul	y u l
Jack	a k
Jalolobod	a l o l o b o d
Jamshid	a m S i d
Joʻrayev	o 7 r a y e v
Jun	u n
Kamoliddin	a m o l i d i n
Karmana	a r m a n a
Kaykovus	a y k o b u s
Kitobning	i t o b n i N
Klassik	l a s s i k
Kompleks	i m p l e k
Kompyuter	i m p y u t e r
Kondagi	d a g i
Konfutsiy	o f u c i
Kundalik	u nd~ a r i k
Kuyosh	u y o S
Kuzgi	u z g i
Le	e
Lenin	e n i n
Lenkoran	e n k o r a
Liberiya	i b e r i y a
Logan	o g a n
MPa	a
Majmua	a x m u a
Majolis	a x o l i s
Maksvell	a k S p e m u S
Maorif	a o r i f
Martin	i t i n
Materik	a t e r i k
Maydon	a y d o n
Mendel	e n d e l
Metro	a t 3 r o
Meva	e v a
Mexiko	" i k o
Mezon	e z o n
Milan	i l a n
Mirzoga	i r z o g a
Muhabbat	a h mp~
Munavvarqori	u n a b v a r q o r i
Mushfig	u s f i g
Mustaqillikdan	u s t a q i l l i k d a n
Muzlik	a z l i k
Nafis	a f i s
Nodira	o d i r a
Nyu	y u
Odessa	d 3 s a
Ogʻiz	g i
Ogʻzaki	g 7 z a k i
Oksidlanish	k s i d l a n i S
Olmoniyaning	l m o* i y a n i N
Oqibatda	q i b a t d a
Oqtosh	q t o S
Oʻlim	7 l i m
Oʻzbekistondan	7 z n t u mb~ i s t o n d a n
Paleogen	a l e o g 3 n
Parker	a r k a r
Pedagogika	e d a g o g i k a
Peter	e t e r
Petr	a t 3 r
Piyoda	i y o d a
Politsiya	o l i C i y a
Press	r e s
Pskov	s k o v
Qabala	a b a l a
Qazilma	a z i l m a
Qirgʻizistonning	i r g i a t o n n i N
Qoratepa	o r a t e p a
Qum	u m
Qunduz	u n d u
Radiatsion	a d i a c i o n
Rasul	a s u l
Rasululloh	a s u l u l l o
Sa	a
Sababi	a b a b i
Sanoatida	a n o a t i d a
Sayfi	a y f i
Sem	e m
Seylon	b l o n
Sezar	d a r
Shaharlar	h a h a l a r
Shaxs	h a
Sheroz	h e r o
Shofirkon	h o f i E u N 7 o n
Shtatning	h t a t n i N
Shvesiya	h e s i y a
Simon	i m o n
Sinay	i n a y
Sohil	h i l
Soʻx	o 7 7
Stalin	t a l i n
Sun	u n
Suvga	u w g a
Suyuqlik	u y u k b u C o
Talas	a l a
Tarixda	a r i S d a
Tashhis	n a N t a N i s
Tazkirat	a z g o n a
Tellur	i L u r
Terisi	r i s i
Thomas	h o m a s
Tib	i
Tibbiyotda	d e b e k u y o t d a
Tijorat	i j o r a t
Toni	a
Toʻrtkoʻl	o 7 r t k o 7
Turkmanistonning	u r m a n i S th~ o n n i N
Tuxum	u X u m
Ufa	f a
Uganda	g a n d a
Urugvay	r u g v a y
Usmoniylar	s k o l x l a r
Uzbekiston	z n t u mb~ i s t o n
Vazifasi	a z i f a s i
Xamsa	a m s a
Xom	i r
Xona	o n a
Xonadon	o n a d o n
Xonqa	o N g a
Xorazmdagi	o r a z m d a g i
Xurshid	u r S i d
Yilda	i l 7 a
Yogʻ	o g i u
Yoʻldoshev	o 7 l d o S e v
Yuriy	u r e
Zij	i
Zulfiya	u l f i y a
adabiyotni	a d a b i y o t n i
adirlari	a d i r l a r i
aeroportlar	a e r L o k L a r
ahvolda	a h v o l d a
ajdodi	c d o d i
ajratiladigan	c r a t i l a d i g a n
akauka	a k a u k a
albomning	a l b o m i i N
almashtiriladigan	a l S t i r i l a d i g a n
aniklandi	a n i k l o n d i
aniqlikda	a n i k l i k d a
aqli	a q l i
ar	a r
arava	a r a v a
armanilar	a r m a n i l a r
armanlarning	a r  n i N
asarlardan	a s e r  d a n
asbobuskunalar	a s g a s k u n a l a r
asbobuskunalari	a s g a s k u n a l a r i
ashaddiy	a s a d i
ashulalari	a s u l a l a r i
ashyoviy	n a N t a N o w i
askarlarini	a s k a l a r i n i
asnoda	a s n o d a
asrab	a s r a b "
asta	a s t a
atamalar	a t o m o L a r
atamalari	a t a m a l a r i
atmosferadagi	a t n o S f e r a d a g i
avlodga	a b l o 8 7 g a
axlat	a x l a t
ayon	a y o n
aytadilar	a i t a d i l a r
azeotrop	a z e o t r o p
badanning	b a d a n i N
bahori	b a h o r i
barbod	b a r b o d
bardosh	b a r d o S
bastakorlik	b a s t a k o r b u C o
belgilarining	b e l g i l a r i n i N
belgilashga	b e l s e p i S i g a
belgining	b e l g i n i N
bijgʻitish	b i j g i t i S
bilak	b i l a k
birikmalarini	b i r i k m a l a r i n i
bodom	b o d o m
bogʻlarda	b o N 7  d a
bogʻlaydilar	b o N 7 l a y d i l a r
boj	b o x
borishiga	b o r i S i g a
boshlanishidan	s a nz~ i s i d a n
boshli	s l i
boshligʻining	s l i g i n i N
boshqarma	b o S k  r m a
boshqarmasida	s q o m i 7 s i d a
bosiladi	s i l a d i
boyitdi	b o y i t d i
boyitilgan	b o y i t i l g a n
boyliklarini	b o y l i k a r i n i
boyliklarni	b o y l i k l o r n i
bozorlarida	b o z o r l a r i d a
boʻlakli	b o 7 l a k l i
boʻlimini	b o 7 l i m i n i
boʻlishdan	b o 7 l i S d a n
boʻlishidir	b o 7 l i S i d i r
boʻlmadi	b o 7 l d i
bukilmalar	b u k i l m o l a r
bulardan	b u l a r d a n
buyen	b u y e n
buyumlarini	b u y u m l a r i n i
byusti	by~ u s t i
dalaga	d a l a g a
daraxtlarga	d a r a x tL~ a X n a g a
daryodan	d a r o d a n
davlatdan	d a b l a t d a n
davolanmasa	d a v o r a n m a s a
davrlarning	d a b r  n i N
dehqonlarning	d e h e o*  n i N
devorga	d e v o r g a
diabet	d i a b e t
diapazonli	d i a p a z u N l i
doiraviy	d o a w i
dorixonalar	d o r i S o n a l a r
dostonning	d o s t o n n i N
doʻstligi	d o 7 s t l i g i
dramalarida	d r o m o l a r i d a
duradgorlik	d u r a d g o r b u C o
duragaylar	d u r a g a y l a r
efemer	e f e m e r
egallashi	g a ly~ a  i
egasining	g a s i n i N
egilgan	g i l g a n
ehtiros	e h t u r o s
ekinlarga	r  g a
ekinlaridan	r l a r i d a n
ekinzor	r n z o r
ekliptika	e k l i p t i k a
ekma	e k m a
ekran	e k r i
elektrolit	e l e k tr~ o l i t
elektrostatik	e l e k tr~ o s t a t i k
emal	e m a l
empirik	3 mp~ i r i k
engil	o N i l
erga	e r g a
erish	e r i S
eritmada	e r i k m a d a
esadigan	e s a d i g a n
eshituv	e s i t u
eslatib	e s l a t i
et	e t
etagida	e t o x i d a
eti	e t i
etilganda	e t i l g a n d a
etilishini	e t i l i S i n i
etilmaydi	e t i l m o w d i
etkazib	e t kh~ a z i
fanini	f a n i n i
fantastik	f a nt~ a s t i k
faoliyatga	f a o l i y a t g a
farklanadi	f a r k l o n a d i
fashizmga	f a S i m a z hwy$ a
federatsiya	f e d e r a c i y a
fenotipik	f e n o t 3 p e
filmlarni	b i l m  n i
filmning	b i l m n i N
flyuorit	f ly~ u o r i t
fokus	f o k u s
fondlar	f o n d l a r
forma	f o r m a
foydalana	f o i 8 a l a n a
foydalanganlar	f o i 8 a l a N a n l a r
galaktika	g a l a k t i k a
gapirib	g a p e m a Ch~ o
gavdalanadi	g a b d a l a n a d i
gazdan	g a z d a n
gazlardan	g a z l a r d a n
gazlari	g a z l a r i
gazli	g a z l i
genetikasi	g e n e t i k a s i
geologi	g e o l o g i
gigiyenasi	g i g i y e n a s i
gipertoniya	g i p e r t o n i y a
girih	g i r i
grek	g r e k
gugurt	g u g u r t
gullagan	g u l l a g a n
gumbazi	g mb~ a z i
gʻaltak	g 7 a l t a k
gʻayritabiiy	g 7 a 3 r i t a b u i
gʻazallariga	g 7 tr~ u l l a r i g a
gʻori	g 7 o r i
halol	h a l o l
hammom	h a m n o m
haqiqatan	h a q i k a t a n
harakatida	h a r a k a t i d a
harakatlarda	h a r a k a tL~ a X n a d a
haridor	h a r i d o r
haroratning	h a r o r a t n i N
havodan	h a v o d a n
hil	h i l
hisobladi	h i s o b l a a d i
hisoblar	h i s o b l a a r
holi	h o l i
hollardagina	h o l l a r d a x i n a
homiladorlikning	h o m i l a d o r l i k n i N
hosildorligi	h o s i l d o r l i g i
hosilning	h o s i l n i N
hoʻl	h o 7
hujayralarni	h u y a 3 r a l a r n i
hukmdorning	h u k m d o r n i N
hukmronligining	h u k m r o n l i g i n i N
huquqidan	h u k m u a y
huquqshunos	h u k k S u n o s
idealistik	d e a l i s t i k
idishga	d i S g a
ifodaviy	f o d a v i
ildizida	i l 7 i z i d a
ilmiga	i l m i g a
impulsi	i m p u l s i
impulslarini	i m p u l w a r i n i
indeyslarning	i n d e y s  n i N
individ	i n d i v i d
individlar	i n d i v i d l a r
insektitsidlar	s e k t i d l a r
inshootlarini	i n T o L a r i n i
iqlimning	i k l i m n i N
iqtisodi	i k  s o d i
isbotlash	i s mb~ u t u a nz~ i S
ishining	i S i n i N
ishlarning	i S  n i N
ishlatilib	i S l a t i l i
ishning	i S n i N
ismidan	i s m i d a n
istagi	i s t a g i
iyulida	g a i d a
izoh	i z o
jadid	y a d i d
jala	y a l a
jamiyatlar	y a m i y a L a r
jamoada	c a m o k a d a
janubi	h a n u b i
jar	j a r
jarroxlik	h a r o* b u C o
jihozlandi	h i o z l a n d i
jinsga	h i s g a
joylarning	j o y  n i N
joylashgani	j o y l a S g a n i
jumlasidan	x u m l E s i d a n
ka	r o x
kadmiy	k a d m i
kafedrasining	k a f e d r a s i n i N
kalava	k a l a v a
kaliti	k a l i t i
kamerasida	k a m E r a s i d a
kasalxonaga	k a s e i o n a g a
kategoriyasi	k a t e g o r i y a s i
keltirildi	k e l t i r i l d i
kesiladi	k e s i l a d i
kesimi	k e s i m i
ketidan	k e t i d a n
ketishdan	k e t i S d a n
kimning	k i m n i N
kimyogar	k i m e o g a r
kira	k i r a
kislorodli	k i s l o r o t l i
kislotani	k i s l o t a n i
kitoblarning	k i t o b l a n k r n i N
kitobxonlar	k i t o b S o n l a r
kiyimi	k i y i m i
knyazligi	k 5 a z l i g i
kogerent	k o g e r e n t
koinot	k o i n a t
komissarligi	k o m i s s a l i g i
kompozitsion	k o m p o  c i o n
kondensator	q o n d e s a t o r
konlardan	q o n i k  d a n
konlarning	q o n i k  n i N
konsertlar	q o n i k e r L a r
konsertlari	q o n i k e r L a r i
koshinlar	k o s i n l a r
koʻkarib	k o 7 k a r i b a
koʻliga	k o 7 l i g a
koʻprigi	k o 7 p r i g i
koʻprogʻini	k o 7 p r o g o i n i
koʻrinishiga	k o 7 r i n i S i g a
koʻrishadi	k o 7 r i S a d i
koʻzgu	k o 7 z x u
kritik	k r i t i k
kubok	k u b o k
kuli	k u l i
kunduz	k u n d u N
kunni	k u n u
kurashlari	k u r a s L a r i
kurilish	k u r i l i S
kurtaklari	k u r t a q
lagan	l a g a n
lahjalari	l a h q
lampalar	l a m p a l a r
landshafti	l a nd~ a f t i
lashkarlari	l a S k a t l a r i
leksikasi	l E k E i k a s i
lentalar	l e n t a l a r
ligi	l i g i
limon	l i m o n
lirikasi	l i r i k a s i
lugʻatlar	t u 7 a L a r
lyoss	ly~ o s
mahkamlangan	m a k a m l a N a n
mahsulotini	m a 7 s u l o t i n i
majlislari	C l i w a r i
maktabdan	k t e y a n d a n
manbadan	n b a d a n
manbadir	n b a d i r
manfaatdor	n f a r 3 s i g d o r
manjurlar	m a n j u r l a r
mansubligi	s u b l i g i
maqolalarga	m a q o r a r a r g a
maqsadini	m a q s a d i n i
marhum	m a r u m
markazini	m a* r kh~ a z i n i
mashgʻulot	m a Ch~ g 7 u l o t
mashgʻulotlari	m a Ch~ g 7 u l o L a r i
mashhurdir	m a Ch~ g o n r
massagetlar	s s a g a L a r
massiv	s s i
matbuotida	m a tw~ o t i d a
materiallaridan	m a t e r i a l l a r i d a n
materiallarini	m a t e r i a l l a r i n i
matnini	m a t n i n i
maydonidagi	m a y d o n i d a g i
maydonlarining	m a y d o n l a r i n i N
mayl	m a y
maymunlar	m a i m u l i
mazhabiga	m a z h a b i g a
medallar	m e d a y a r
mehmonxonalar	m e h m o* S o n a l a r
mehnatkash	m e h n a t  s o
mehnatkashlar	m e h n a t k a s L a r
melioratsiya	m e l i o r a c i y a
merosiga	m e r o s i g a
metal	m e t a l
metalldan	m e t a l l d a n
metallga	m e t a ly~ g a
metrni	m e t r n i
mezon	m e z o n
mildiratib	l d i r a t i
minut	m i n u t
miyada	m i y a d a
monastiri	m o n a s t i r i
moylar	m o y l a r
moʻl	m o 7
moʻynali	m o 7 3 n a l i
muammosini	m u a m s i n i
muhitlar	m u h i L a r
mukofotga	m u k o f o t g a
mum	m u m
munozara	m u n o y a a r a
mushkul	m u S k u l
mushtarak	s k i a r a
mushuk	s u k
musobaqalarini	s o b a q a l a r i n i
musson	s o*
mustahkamlandi	s t a k a m l a n d i
mutafakkir	m u t a f a k i r
mutaxassislarni	m u t a g a s s i s  n i
mutaxassislarning	m u t a g a s s i s  n i N
muzdan	m u z d a n
muzliklari	m u z l i k a r i
naqqosh	n a k " o o S
nashrning	n a S r n i N
natijalarni	n a t i q  n i
navigatsiya	n a v i g a c i y a
naysimon	n a y b u p o n
nazariyalari	n a z a r i y a l a r i
nazoratida	n a z o r a t i d a
nazoratiga	n a z o r a t i g a
negizini	n e g i z i n i
nishonlash	n i S o n l a S
nol	n o l
nomda	n o m d a
norasmiy	n o r a s m i
novda	n o w d a
nuqtadan	n u k a d a n
nurni	n u r n i
obrazli	o b r a z l i
obroʻ	o b r o 7
ohirida	h i r i d a
okeandagi	o k e a nd~ a g i
okeanga	o k e a Ng~ a
oldisotdi	o l d i s o t l d i
olimlardan	o l i m l a r d a n
olimlaridan	o l i m l a r i d a n
oltoy	o l t o y
omillariga	o m i l l a r i g a
ongi	o N i
operatori	o p e r a t o r i
oqibati	o m g w i b a t i
organining	u r g a n i n i N
organizmdan	u r g a n i z m d a n
organizmlarni	u r g a n i z m  n i
orollarni	o r o l l a r n i
orqasiga	u r q a s i g a
orti	u r t i
ortish	u r t i S
osha	o s a
osilib	o s i l i
osmonda	o s m o n d a
ozarbayjonliklar	o z a r b a y j o n l i k a r
ozuqalar	o z b a l a r
oʻladi	o 7 l a d i
oʻldirib	o 7 l d i r i
oʻlkasidagi	o 7 l u s i d a g i
oʻngga	o 7 N g a
oʻqidi	o 7 g w i d i
oʻrganilishi	o 7 r g a n i l i S i
oʻrib	o 7 m a Ch~ o
oʻrinlardan	o 7 r i n  d a n
oʻsimliklarining	o 7 b u p l i k a r i n i N
oʻtgandan	o 7 t g a nd~ a n
oʻtmishga	o 7 t m a S a S g a
oʻtmishi	o 7 t m i S i
oʻxshashligi	o 7 S a S l i g i
oʻymakorlik	o 7 i m k o r b u C o
oʻzanda	o 7 u k a n d a
oʻzgarmay	o 7 z N a r m a y
oʻzgartiriladi	o 7 z a r t i r i l a d i
oʻzgartirishi	o 7 z a r t i r i S i
oʻzoʻzidan	o 7 z o 7 z i d a n
partenogenez	p e r t e n o g e n e z
pasaygan	p a s a y g a n
pasaytirish	p a s a i t i r i S
plastinkasimon	p l a y i s t i n k a s i m o n
plazmasi	p l a y i z m i s i
podshohi	w a b T u
pogʻonasining	p o g 7 o n a s i n i N
polietilen	p o l i e t i l e n
posyolkasi	p o s o l u s i
poyaning	p o y a n i N
poydevor	p o y b v o r
poydevori	p o y b v o r i
poytaxtiga	p o i t a x t i g a
prizma	p r i z m a
prorektor	p r o r e k t o r
proyektiv	p r o y e k t
pulga	p u l g a
pulni	p u l
punkt	p u n k
pyx	p 3 7
qabilalaridan	q a b i l a l a r i d a n
qabilaviy	q a b i l a v i
qadamlar	q a d a m l a r
qadriyatlar	q a d r i y a L a r
qadriyatlari	q a d r i y a L a r i
qahramonlarning	kp~ a h r a m o*  n i N
qalampir	q a l a m p i r a
qarzga	q a L g a
qashshoqlik	q a s o x b u C o
qasos	q a s o s 3
qatlamidan	q a t l a m i d a n
qatlamning	q a t l a m n i N
qatnaydigan	q a t n 3 y d i g a n
qatorlab	q a t o r l a b "
qildirish	q i l d i r i S
qilinganidan	q i l i N a n i d a n
qilinishini	q i l i n i S i n i
qir	q i r
qirgʻoqlarida	q i r g 7 o q  i d a
qirlar	q i r l a r
qismlaridagi	g w i h s m l a r i d a g i
qisqarish	g w i h s q a r i S
qiyinlashtiradi	q i y i p i S t i  r a d i
qiymatining	q i m a t i n i N
qizamiq	q i z a m i
qiziga	q i z i g a
qizlari	q i z l a r i
qizning	q i z n i N
qoidaga	q o m i i d a g a
qonuniyat	q o n u n i y a t
qoyalarga	q o a l a r g a
qoziq	q o
qoʻlidagi	q o 7 l i d a g i
qoʻltiqlari	q o 7 l t i k l a r i
qoʻmitasining	q o 7 m i t a s i n i N
qoʻpol	q o 7 p o l
qoʻriq	q o 7 r i
qoʻyishda	q o 7 i S d a
qulab	q u l a b
qulashi	q u l a S i
quriladigan	q u r i l a d i g a n
qurilishini	q u r i l i S i n i
qurilmalarning	k r e l m o l o r n i N
quruqlikdagi	q u r u k l i k d a g i
qusish	q u s i S
qutbi	k t b i
quti	q u t i
quyilishi	q u y i l i S i
quyuq	q u y u
radiotoʻlqinlar	r a d i o t o 7 l m u a t u l a r
raqqosa	r a k " o o s a
rayonlari	r a y o n l a r i
reaksiyalarga	r e a k S i y a l a r g a
rejasiga	r e y a s i g a
rejimda	r e h i m d a
rekord	r e k o r d
respublikalari	r e s p u b l k a l a r i
rivojlanishda	r i v o h l a n i S d a
rivojlantirgan	r i v o h nz~ i  r g a n
rom	r o m
romanini	r o m a n i n i
ruboiy	r u b o i
ruhan	r u a n
ruslarning	r u s  n i N
sado	s a d o
sahifa	s a h i f a
samarasi	sw~ r a s i
sanalar	s a n a l a r
saqlagan	s a q l a g a n
savdosotiq	s a b d o s o t i
sayqal	s a y l u k
sellyulozaqogʻoz	s e m u S y u l o z a q o g 7 o n s
sepiladi	s e p i l a d i
sepish	s e p i S
seriyasi	s e r i y a s i
sexlari	s e S
shafqatsizlik	S a f q a c i z b u C o
shaftoli	S a f t o l i
shaharlararo	S a h a l a r a r o
shakllantirishga	S a k l l a n t i r i S g a
shakllarga	S a k y a r g a
shamollatish	S a m o l l a t i S
sharning	S a r n i N
sharqi	S a r q
shaxta	S a r a
shayboniylar	S a y p o l x l a r
shevasi	S e b E s i
shifoxonalar	S i f o S o n a l a r
shirinlik	S i r i n b u C o
shkala	S k a l a
shoira	S o i r a
shovqin	s o b m u a n
sianid	s i a n i d
sifatlarini	s i y L a r i n i
siklida	s i k l i d a
singan	s i N a n
sinonimi	s i n o n i m i
siqish	s i k i S
sirki	X a X i
sirtidagi	s i r t i d a g i
siyosatni	s i y o s a t n i
sizga	s i z g a
soatiga	s o a t i g a
soatlik	s u L i k
sohalarga	s o h a l a r g a
sohalarni	s o h a l a r n i
somoniylar	s o m o l x l a r
sotadi	s o t a d i
sotsiologik	c i o l o g i k
sovishi	s o v i S i
sozlash	S o z l a S
soʻlak	s o 7 l a k
soʻm	s o 7 m
soʻzini	s o 7 5
soʻzining	s o 7 z i n i N
standartlar	s t a n L a r
strukturaga	s t r u k t u r a g a
studiyasida	s t u d i y a s i d a
subekvatorial	s u b e k v a t o r i a l
sudning	s u d n i N
sugʻorishda	s u g 7 o r i S d a
surgi	s u r g i
surma	s u r m a
surnay	s u r n a y
suvlardan	s u b l a r d a n
suvlarida	s u b l a r i d a
suvsiz	s u b i t e
suyukliklar	s u y u k l i k a r
suzadi	s u z a d i
taassurot	t a s o t e m
tabaqalari	t a b a q a l a r i
tabiatan	t a b i a t a n
tadqiqoti	t a d g w i k o t i
takrorlanishi	t a k ph~ l a n i S i
tani	t a n i
tanishib	t a n i S i
taqib	t a q i
taqsimot	t a q b u p o t o
taraflama	t a r a f l a m a
tariqati	t a r i k a t i
tarjimai	t a l j i m a i
tarjimalar	t a l j i m a l a r
tarmoqlariga	t a r m o q  x a
tarqatilgan	t a r q a t i l g a n
tasdiklangan	t a s d i k a N a n
tasdiqlash	t a s d i k p i S
tashkilotlarining	t a S k i l 3 L a r i n i N
tavsiyalar	t a b s i y a l a r
tegishlidir	t e g i S l i d i r
tekisliklari	t a k i w i k a r i
tekshiradi	t a k S i r a d i
tekshirgan	t a k S i r g a n
televizor	t e l e v i z o r
temirdan	t e m i r d a n
temperaturalar	t e N p e r a t u r a l a r
temperaturali	t e N p e r a t u r a l i
tenglamalarni	g l o m o l o r n i
tepaliklar	t e p a l i k a r
termal	t E r m a l
texnikani	t e S n i k a n i
tezpishar	t e z p i S a r
tiklab	t i k l a b "
tilshunosi	t i l S u Ng ~ o n o 8 i
timsollar	t i m z y a r
tip	t i p a
tishi	t i S i
tizimdan	t i s i m u d a n
tizimli	t i  r h a y
tizimni	t i s i m u n i
tizma	t i z m a
togʻlardagi	t o x 7  d a g i
togʻlaridagi	t o x 7 l a r i d a g i
togʻligi	t o x 7 l i g i
toifasiga	t o i f a s i g a
tokning	t o k n i N
tolalarining	t o l a l a r i n i N
tolasidan	t o l a s i d a n
tomoshabinga	t o m o S a b i Ng~ a
topologiya	t o p o r o g i y a
topshiriq	t o p S i r i
toshadi	t o S a d i
toshlari	t o s L a r i
totalitar	t a t a l i t a r
tovushlarning	t o w u s a nz~ i n i N
toʻdasi	t o 7 d a s i
toʻgʻridan	t o 7 g 7 r i d a n
toʻkilib	t o 7 k i l i
toʻlashga	t o 7 l a S g a
toʻlqini	t o 7 q i n i
toʻplamga	t o 7 p l a m g a
toʻplamidan	t o 7 p l a n i n m i d a n
toʻqimalarining	t o 7 g w i m a l a r i n i N
toʻqimalarning	t o 7 g w i m a l a r n i N
toʻra	t o 7 r a
tugʻildi	t u x i l d i
turilgan	t u r i l g a n
turklarning	t u r q  n i N
turkumlar	t u r k u m l a r
turlarni	t u r  n i
tushunilgan	t u S u n i l g a n
tusini	t u s i n i
tuxumlari	t u X u m l a r i
uglevodorod	u L e v o d o r o d
ulgurji	u l g u r j i 7 i
umurtqalilarda	u m u r t q o l o  d a
unsuri	u n s u r i
urugʻlanish	u r u g 7 l a n i S
urugʻlar	u r u g 7 l a r
