te	t e
Rāhina	a h i n a
Takitimu	a k i t i m u
Tapuika	a p o i k a
Tui	u i
Tīkina	i k i n a
Tīmoti	i m o t i
Uropi	r o p i
Wahi	a h i
Wanganui	a N a n u i
Whakangungu	h a k a n g u N u
Whakapono	h a k a p o n o
Whakareatia	h a k a r e a t i a
Whiriwhiri	h i r i wh~ E i r i
ahupūngao	a h u p u n g a o
amotai	a m o t a i
arawhata	n a l a t a
autōhiko	a u a i k o
ekore	e k o r e
hauāuru	h a a u r u
heipū	h e i p u
hihiko	h i i k o
hinaki	h i n a k i
huhu	h u h u
hukihuki	h u k i h u k i
ianei	i a n e i
ihiihi	i h i i 7 i
inanga	i n a n g a
kaitā	k a i t a
kaiwhakamāori	S i r k a m a o r i
kaiwhakatairanga	S i r k a t a i r a Ng~ a
kapohia	a h i a
kaupare	k a u p a r e
koorero	k o r e r o
kopu	k o p u
kākā	l l
kāpehu	l p e h u
kāti	k a a t i
matatapu	m a t a t a p u
mauritau	m a u r i t 3
mohiotanga	o* h i o t a Ng~ a
mokomoko	m o k o m o k o
nge	N a
nukunuku	n u k n u k u
nāku	n a k u
pukumahi	p u k u m a h i
pāhekeheke	p a h e k e h e k e
pāpāhua	p a p a w a
pāua	p a i
pōtiki	p o t i k i
pūkahukahu	p u k a u k a u
pūkeko	p u k e k o
rara	r a r a
rei	r e i
reiti	r a i
rūmaki	r u m a k i
takahuri	t a k a h u r i
takitaki	t a k i t a k i
tauria	t a u r i a
tauwhitiwhiti	t a w wh~ E i t i wh~ E i t i
tonuhia	t o n u h i a
tuohu	t u o h u
turu	t u r u
tāpaea	m a p a e a
tūhurangia	t u u r a N i
uiuia	k i h a h
ururua	a
whakapehapeha	wh~ E k a p e h a p e h a
whakapiria	wh~ E k a p i r i a
whakarauoratanga	wh~ E k a r a w o r a t a n g a
whakarōpūtanga	wh~ E k a r o p u t a Ng~ a
whakawhitihia	wh~ E k a wh~ E i t i h i a
whatitoka	wh~ E a t i t o k a
whiunga	wh~ E i u N a
whātoro	w h a t o r o
Āhuatanga	w a t a n g a
āhukahuka	a u k a u k a
Aitanga	i t a Ng~ a
Aue	u e
Hainamana	a i n a m a n a
Hoa	o a
Ian	a n
Ipukarea	p u k a r e a
Kanawa	a n a w a
Kauaka	a u a k a
Kohai	a i
Kīhai	i a i
Materoa	a t e r o a
Matihiko	a t i i k o
Moemiti	o r e p e
Māhaki	a a k i
Mākarini	a k a r i n i
Nāu	a u
Otautahi	t a u t a h i
Pīhopa	i o p a
Rahui	a w i
Raukura	a u k u r a
Riro	i r o
Roto	o t o
Ruatara	u a t a r a
Tamatea	a m a t e a
Tātaihia	a t a i h i a
Tō	o
Uri	r i
Wairaka	a i r a k a
Whaitere	h a i t e r e
Whaitiri	h a i t i r i
Whakairo	h a k a i r o
Whakapapa	h a k u t " u t " u
Wharehuia	h a r e k w i a
Whata	h a t a
Wi	i
Wāwāhi	a a
aata	a t a
angawaho	a N a w a h o
anā	a n
aratakina	a r a t a k i n a
hapainga	h a p a i Ng~ a
hotoke	h o d o k e
huamoni	w a m o n i
hāpaitia	h a p a i t i a
iraoho	i r a o h o
karetao	k a r e t a o
karoro	k a t e m e
kinaki	k i n a a k i
kēhi	q e
kīhini	k i h i n i
kōtuitui	k o t u i t u i
māhere	m a i*
mātātuhi	m a t a t i
ngari	ng~ a d i
ngāwhā	N a wh~
nuka	n u k a
p	p
pakipaki	k i p a k i
papatuhituhi	p a p a t u h i t u h i
parea	p a r e a
petihana	p e t i e n a n a
pirihi	p i r i 7 i
piringa	p i r i Ng~ a
piu	p i u
puaki	p u a k i
pukepuke	p u k e p u k e
pupuru	p u p u r u
pātaihia	p a t a i h i a
pēhanga	l u a N a Ng~ a
raorao	r a o r a o
roroa	r o r o a
rēhitatia	r a N h i t a t i a
taero	t a e r o
tahuhu	t a h u h u
tahā	t a h a
tapiri	t a p i r i
tutū	t u t u
tāima	m a i m a
tēwhea	t a N wh~ e a
tīkiti	t i N
tōiriiri	a i r i i r i
tūmau	t u m a u
unu	u n u
wairehu	w a i r e h u
wehewehenga	w e h e w e h e n g a
weu	w e u
whakaaraara	wh~ E a k a d a r a
whakairoiro	wh~ E k a i r o i r o
whakakai	wh~ E k a k a i
whakakāhore	wh~ E k a l h o r e
whakamaherehere	wh~ E k a m a h e r e h e r e
whakarewatanga	wh~ E k a r e w a t a n g a
whakaroto	wh~ E k a r o t o
whakato	wh~ E k a t o
wharangi	wh~ E a r a N i
wharau	wh~ E a r a u
whāki	w h a k i
āhea	a h e a
āputa	a p u t a
Awakairangi	w a k a i r a N i
Hinemoa	i n i m o a
Hoahoatia	o a h o a t i a
Horo	o r o
Katikati	a t i k a t i
Kumeroa	u m e r o a
Maku	a k u
Matene	a t e n e
Matt	a t
Mutunga	u t u N a
MāoriTe	a o r i e
Ngoingoi	g o i N o i
Papatuanuku	a p a t u a n u k u
Parahaki	a r a h a k i
Paratene	a r a t e n e
Pare	a r e
Pipi	i p i
Po	o
Pokapū	o k a p u
Puhiwahine	a i w a h i n e
Puketapu	u k 3 t a p u
Pēhi	a N
Rapu	a p u
Tahua	a w a
Taiwhenua	a y wh~ e n u a
Tana	a n a
Taonui	y a i
Taranga	a r a Ng~ a
Tere	e r e
Tini	i n i
Tuhinga	a i Ng~ a
Tāpiria	a p i r i a
Tōna	r 3 n a
Tūtira	u t i r a
Whakamahi	h a k a m a h i
Whakangahau	h a k a N a h a u
akau	a k a u
anamata	a n a m a t a
apataki	a p a t a k i
apu	a p u
eenei	e n e i
haerea	h a e r e a
hahi	h a h i
hangarua	h a N a r u a
hauwaru	h a u w a r u
hiringa	h i r i Ng~ a
huapae	w a p a e
huatau	w a t a u
hāngaitanga	h a N a i t a Ng~ a
hōro	h o r o
inarā	i n a r
kaiahuwhenua	k a i a w wh~ e n u a
kaimātai	k a i m u f a a t a i
kaipūtaiao	k a i p u t a i a o
kakau	k a k a u
karawhiu	k a n a l i u
kopa	k o p a
kotuku	k o t u k u
kāmera	l *
kāpia	l p i a
kōhinu	k o h i n u
kōwhaiwhai	k o wh~ i r a i
maera	m a e r a
manomita	n u m i t a
matatika	m a t a t i k a
matawai	m a t a w a i
matika	m a t i k a
matā	m a t a
moka	m o k a
muramura	m u r a m u r a
namata	n a m a t a
ngeri	g e r i
ngeru	g e r u
ngū	N u
peenei	p e n e i
punaha	p u n a h a
pōkai	p o k a i
pūoru	p u o r u
rawaka	r a w a k a
riihi	r i i 7 i
rimu	l i m u
ringatoi	r i N a t o i
riwai	r i w a i
ränei	r 3 n e i
rārangitanga	r a r a N i t a Ng~ a
rēmana	r a N nd~ e a n a
taa	t a
taau	t a u
tahitanga	t a h i t a Ng~ a
taiaki	t a i a k i
takahurihuri	t a k a h u r i 7 u r i
tanga	t a n g a
tangihia	t a N i h i a
taumāhekeheke	t a u m a h e k e h e k e
tautōhito	t a w a h i t o
tea	t e a
tohuhia	t o w i a
totika	t o t i k a
tuki	t i k i
turaki	t u r a k i
tāmi	m a m i
tāneke	m a n e k e
tāpoi	m a p o i
tātaihia	m a t a i h i a
tītaha	t i t a h a
tōrunga	a r u N a
waero	w a e r o
waihotia	w a i h o t i a
wairangi	w a i r a N i
warewaretia	w a r e w a r e t i a
wawa	w a w a
whakahōnore	wh~ E k a h r 3 n o r e
whangaia	wh~ E a N a i a
wheketere	wh~ e k e t e r e
Āperahama	p e r a h a m a
Āwherika	wh~ e r i k a
āio	a i o
ōnā	r 3 n
Araroa	r a r o a
Art	r
Hahi	a h i
Haki	a k i
Hape	a p e
Horomona	o r o m o n a
Itari	t a r i
Karekau	a r e k a u
Kawau	a w a u
Mārire	a r
Napier	a p i e r
Noa	o a
Oho	h o
Pani	a n i
Patapātai	a t a p a t a i
Pomare	t a r e
Poronihana	o r o n i h a n a
Pānga	a Ng~ a
Pōtitanga	o t i t a Ng~ a
Raihania	i h a n i a
Ratana	a t a n a
Rauropi	a u r o p i
Rerenga	e r e n g a
Rotoiti	k o t o i t i
Taake	a k e
Taite	a y t
Tangohanga	a N o h a Ng~ a
Tawhiao	r u f i a o
Tina	i n a
Tirani	i r a n i
Tāke	a k e
Waikaremoana	i k a r e y a n a
Whiringa	h i r i Ng~ a
Whiwhi	h i w
aroā	a r o
aru	a r u
hamama	h a m a m a
hoihoi	h o i h o i
hokihoki	h o k i h o k i
kaikai	k a i k a i
kaipakihi	k a i k k k i 7 i
kaiwhakangungu	S i r k a n g u N u
kakī	k a k i
kiato	k i a t o
konihi	q o n i h i
kotia	k o t 3 a
kuputuhi	k u p u t u h i
kutikuti	k u t i k u t i
kutu	k u t u
kāo	l o
kōhua	k o w a
kōkuhu	k  u h u
mako	k o
makutu	k u t u
manuwhiri	m a n u w i r i
muia	m u i a
mātātoa	m a t a t o a
paihamu	p a i h a m u
pakarutanga	p a k a r u t a Ng~ a
pakiwaituhi	k i w a i t u h i
papatahi	p a p a t a h i
paraihe	p a r a i e
peha	p e h a
pewhea	p e w h e a
pipiri	p i p i r i
piunga	p i u N a
pokanoa	p o k a n o a
poupoutanga	p o u p o u t a Ng~ a
pune	p u n e
purakau	p u r a k a u
pūtirotiro	p u t u r o t i r o
rekereke	r e k e r e k e
riringi	r i r i N i
ritamano	r i t a m a n o
rito	r i t o
rongopai	r o N o p a i
rīki	r i k i
taikaha	t a i k a h a
takiuru	t a k i u r u
tautau	t a u t a u
tautono	t a u t o n o
tohutoro	t o h u t o r o
tupono	t u p o n o
tōnga	a Ng~ a
tūhuratia	t u u r a t i a
unuhia	u n u h i a
utunga	u t u N a
wehewehea	w e h e w e h e a
whakaawhiwhi	wh~ E k a u f i w
whakaharatau	wh~ E k a h a r a t a u
whakamamae	wh~ E k a m a m a e
whakamatea	wh~ E k a m a t e a
whakamaumahara	wh~ E k a m a u m a h a r a
whakamaumaharatanga	wh~ E k a m a u m a h a r a t a n g a
whakatoko	wh~ E k a t o k o
whakatōpū	wh~ E k a a p u
whakatūhia	wh~ E k a t u i a
whariki	wh~ E a r i k i
whitiki	wh~ E i t i k i
whitiwhiti	wh~ E i t i wh~ E i t i
whānako	wh~ E nj~ 3 k o
wira	w i r a 7
wähi	w 3
wūru	w u r u
Ārai	r a i
Amorangi	m o r a N i
Aperahama	p e r a h a m a
Aranga	r a n g a
Hapū	a p u
Hera	e r a
Hika	i k a
Hinewhaitiri	i n w u f 3 i t i r i
Hokowhitu	o k o w h i t u
Hotunui	o t u n u i
Ine	n e
Kaitohutohu	i t o h u t o h u
Kao	a o
Kimi	i m i
Kopu	o p u
Korea	o r e a
Kāterina	a t E r i n a
Kōwhiria	o wh~ E i r i a
Manaaki	a n a k i
Moehau	o e h a u
Moeraki	o e r a k i
Moni	a
Muriwai	u r i w a i
Paari	a r i
Paeroa	a e r o a
Patariana	a t a r i a n a
Piri	i r i
Port	u r
Potatau	o t a t a u
Puoro	u o r o
Pō	o
Pūreta	u r e t a
Rahi	a h i
Rangihiroa	a N i h i r o a
Rāniera	nj~ 3 e r a
Rūaumoko	u a u m o k o
Tahuri	a h u r i
Takitahi	a k i t a h i
Tamatoa	a m a t o a
Tauanga	a u a Ng~ a
Tauaromahi	a u a r o m a h i
Tom	i r
Toroa	o r o a
Tuakana	u a k a n a
Tuhi	a i
Tuna	u n a
Ua	a
Union	n i o n
Waihangatia	i h a N a t i a
Whakamahinga	h a k a m a h i n g a
Whakamātauria	h a k a m a t a u r i a
ahumoana	a w y a n a
arahau	a r a h a u
haerehia	h a e r e h i a
honi	h o n i
huritau	h u r i t 3
hēoi	 o i
ihotanga	i h o d a N a
iramutu	i r a m u t u
kaitarai	k a i t a r a i
kame	k a m e
katakata	k a t a k a t a
kereme	k e r a m e
keria	k e r i a
kōpaka	k o p a k a
kōpiro	k o p i r o
kōrari	k o r a r o
matao	m a t a o
mawhiti	m a wh~ E i t i
momona	m o m o n a
moohio	h i o
moroiti	m o r o i t i
motupaika	m o t u p a i k a
moumou	% m a u m o u
mōkito	m o k i t o
mōku	m o k u
ngatahi	g a t a h i
ngira	N i r a
noaiho	n o a i h o
nohanga	n o h a Ng~ a
ohonga	h o n g a
ohooho	h o h o
onepū	n e p u
orite	u r i t e
paea	p a e a
patupaiarehe	p a t u p a i 7 r e e
poke	p o k e
poutū	p o u t u
pākeke	p a k e k e
pīrangitia	p i r a N i t i a
pōhara	p o a r a
pōhiri	p o i r i
pūkei	p u k e i
rarau	r a r a u
rea	r e a
repe	r e p e
riki	r i k i
ripa	r i p a
taapiri	t a p i r i
takai	t a k a i
tanu	t a n u
tapatahi	t a p a t a h i
taratara	t a r a t a r a
taria	t a r i a
tatahi	t a t a h i
tekoteko	t a k o t e k o
tiamana	t i a m a n a
toha	t o h a
tohia	t o h i a
tope	t o p e
tuatahitanga	t u a t a h i t a Ng~ a
tuawhitu	t u a w h i t u
tuia	t u i a
tukatuka	n a a t u k a
tungāne	t u N nj~ 3
turuki	t u r u k i
turuturu	t u n u t u r u
tākina	m a k i n a
tākupu	m a k u p u
tāruke	m a r u k e
urutau	t a u
waina	w a i n a
werohanga	w e r o h a Ng~ a
whakaaotanga	wh~ E k a o t a Ng~ a
whakahekea	wh~ E k a h e k e a
whakakao	wh~ E k a k a o
whakakāhoretia	wh~ E k a l h o r e t i a
whakamutua	wh~ E k a m u t u a
whakanikoniko	wh~ E k a n i k o n i k o
whakapainga	wh~ E k a p a i Ng~ a
whakarau	wh~ E k a r a u
whakarewahia	wh~ E k a r e nt~ a
whakarārangitia	wh~ E k a r a r a N i t i a
whakatakariri	wh~ E k a t a k a r i r i
whakatītina	wh~ E k a t i t i n a
wiri	w i r i
wānaka	w nj~ 3 a k a
wētahi	w a N t a h i
Ötautahi	t a u t a h i
ënei	3 n e i
Atiawa	t i a w a
Awherika	wh~ e r i k a
Erima	l i m a
Herenga	e r e n g a
Hiranga	i r a Ng~ a
Hunga	u N a
Hākinakina	a k i n a k i n a
Karihi	a r i 7 i
Kīia	i i a
Mata	a t a
Miro	i r o
Muturangi	u t u r a N i
Nawai	a w a i
Papaioea	a p a i o e a
Pau	a u
Pono	o n o
Prime	l i m e
Pōkiha	 a l a
Raka	a k a
Raupapahia	a u p a p a h i a
Rawinia	a w i
Rongoā	o N o
Ruawharo	a r u f 3 r o
Taha	a h a
Taro	a r o
Tatauria	a t a u r i a
Tauihu	a u i h u
Tianara	i a n a r a
Tokomaha	o k o m a h a
Toro	o r o
Tākaro	a k a r o
Tāngata	nj~ 3 g a t a
Tīmata	i m a t a
Tūhura	u u r a
Wahanga	a h a Ng~ a
Waimate	a i m a t e
Waiora	a i o r a
Whakautua	h a k a u t u a
Whatatutu	h a t a t u t u
Whatuiapiti	h a t u i a
Whitinga	h i t i Ng~ a
akohia	a k o h i a
amorangi	a m o r a N i
arotau	a r o t a u
haau	h a u
hamumu	h E m u m u
haukoti	h a u k o t i
haukāinga	h a u l i Ng~ a
hautū	h a u t u
houhia	h o i a
hīkoikoi	h i k o i k o i
hūnga	h u n g a
ioio	i o i o
kahawai	k a h a w a i
kaipāmu	k a i p a m u
kaipūrongo	k a i p u r o n g o
katinga	k a t i Ng~ a
km	k m
kokoti	k o k o t i
kuru	k u r u
käore	k a o r e
manahau	m a n a h a u
matamua	m a t a m u h a
mataora	m a t a o r a
mauhia	m a u h i a
mitamano	m i t a m a n o
moo	m o
mānuka	m nj~ 3 u k a
mārakerake	m a r a k e r a k e
māti	m a t i
mātāwaka	m a t a w a k a
nanao	n a n a o
ngutuawa	N u t o w e r a
noku	n o k u
pahemo	p a h e m o
paiheretia	p a i h e r e t i a
pakipūmeka	k i p u w i t a
patohanga	p a t o h a Ng~ a
pekanga	p e k a n g a
pekapeka	p e k h a p e k a
pereki	p e r e k i
pokea	p o k e a
purākau	p u r a k a u
pänui	p 3 7 n u i
pītau	p i t a u
pūranga	p u r a Ng~ a
pūtaketanga	p u k e t a Ng~ a
pūāhua	p u a w a
rerehua	r e r a w a
rongomau	r o n g o m a u
ru	r u
rumakina	r u m a k i n a
rērere	r a N r e r e
taatou	t a t o u
taihemahema	t a i h e m a h e m a
takiri	t a k i r i
taotū	t a o t u
tautohua	t a u t o w a
tauā	t a w
teretere	t e r e t e r e
toanga	t o a Ng~ a
tohea	t o h e a
tohetohe	t o h e t o h e
tākiri	m a k i r i
tāonga	m a o n g a
tātaritanga	m a t a r i t a Ng~ a
umere	u m e r e
wahapū	w a h a p u
wahia	w a h i a
waiariki	w a i a r i k i
weherua	w e h e r u w a
weka	w e k a
whakahaumako	wh~ E k a h a u m a k o
whakahoungia	wh~ E k a h o u N i
whakahāwea	wh~ E k a h a w e a
whakahōu	wh~ E k a h o u
whakakotahitanga	wh~ E k a k o t a h i t a Ng~ a
whakamaheretia	wh~ E k a m a h e r e t i a
whakamate	wh~ E k a m a t e
whakaohooho	wh~ E k a o h o h o
whakapaitanga	wh~ E k a p a i t a Ng~ a
whakapaparanga	wh~ E k a p a p a r a Ng~ a
whakaratoa	wh~ E k a r a t o a
whakatikaina	wh~ E k a t i k a i n a
whakatupuria	wh~ E k a t u p u r i a
whakatūturu	wh~ E k a t u t u r u
whawhaitia	wh~ E u f 3 i t i a
wherawhera	wh~ e r a w h e r a
āniwhaniwha	nj~ 3 u f 3 n i w a
īnoi	i N o i
Arapeta	r a b e t o
Area	r e a
Hakinakina	a k i n a k i n a
Hao	a o
Hawaii	a w a i
Heamana	e a m a n a
Hoi	o i
Hon	o n
Hoturoa	o t u r o a
Ihenga	h E N a
Kaiapoi	a y a p o i
Kamo	n o i
Kiekie	i e k i e
Kōhure	o u r e
Maaui	a i
Manuka	a n u k a
Matenga	a t e n g a
Matewhawhati	a t e u f 3 k a t i
Mauao	a u a o
Murihiku	u r i i k u
Network	e t w o r
Ngāruawāhia	g a r u u a  i a
Pere	e r e
Pitopito	i t o p i t o
PōtiNgāwari	o t i g a w a r i
Rangatahi	a N a t a h i
Rarohenga	a r o h i Ng~ a
Rito	i t o
Ruatepupuke	u a t e p u p u k e
Rārangihia	a r a N i h i a
Teitei	e i t e i
Tokotoru	o k a t o r u
Tāhūhū	a u u
Tāmakimakaurau	a kh~ i m a k a u r a u
Tē	a N
Tīpene	o e n e
Wehi	e h i
Whakaae	h a k a e
Whakatōhea	h a k a a h e a
Wēteriana	a N t E r i a n a
aianei	a y a n e i
arotahinga	a r o t a h i n g a
hahana	h a h a n a
hapūtanga	h a p u t a Ng~ a
haurima	h a u r i m a
hautipua	h a u t i p u a
hewa	h e w a
hinganga	h i N a Ng~ a
hukahuka	h u k a u k a
hīkaka	h i k a k a
hīkina	h i k i n a
ikeike	i k e i k e
kaihaka	k a i h a k a
kaingakau	k a i N a k a u
kaingārahu	k a i N a r a h u
kaiwhakamārama	S i r k a m a r a m a
kaiwhakaora	S i r k a o r a
kaiwhakarite	S i r k a r i t e
kariri	k a r i r i
karukaru	k a r u k a t u
kawekawe	k a w e k a w e
kohine	k o h i n e
kopae	k o p a e
kuaore	kw~ a o r e
kï	k 3
kāpene	l p e n e
kētanga	q e t a Ng~ a
kūaha	k u a h a
mahaki	m a h a k i
manawataki	m a n a w a t a k i
matarau	m a t a r a u
miihini	m e N w E h i n i
mirimiri	m i r i m i r i
mokete	m o k e t e
mānu	m nj~ 3
mātārere	m a t a r e r e
nekenekehanga	n e k 3 n 3 q k e h a Ng~ a
ngahoro	N a h o r o
ngoi	N o i
ngunguru	N u N u r u
not	n a t
oona	o n a
paerua	p a e r u w a
pania	p a n i a
paoho	p a o h o
parai	p a r a i
parepare	p a r e p a r e
patipati	p a t i p a t i
patuki	p a t u k i
piupiu	p i p i u
pokai	p o k a i
pürongo	p 3 r o n g o
pāwera	p a w e r a
pōtaka	p o t a k a
pōuriuri	p o u r i u r i
pūhia	p u i a
pūira	p u i r a
pūkana	p u k a n a
pūkohu	p u k o h u
rangimarie	r a N i m a r i e
rarauhe	r a r a u e
rerewhenua	r e r e f e n u a
taara	t a r a
takohanga	t a k o h a Ng~ a
tapahanga	t a p a h a Ng~ a
tiaho	t i a h o
tikaka	t i k a k a
tokowhitu	t o k o w h i t u
tuaiwi	t u a i w i
tuarongo	t u a r o n g o
tuke	n a e
tukia	t u k i a
tāruatia	m a r u a t i a
tūhonotanga	t u h o n o t a Ng~ a
up	u p
whakahauhau	wh~ E k a h a u h a u
whakahī	wh~ E k a h i
whakairihia	wh~ E k a i r i h i a
whakakake	wh~ E k a k a k e
whakamanatanga	wh~ E k a m a n a t a n g a
whakamoe	wh~ E k a m o e
whakamomori	wh~ E k a m o m o r i
whakanuitanga	wh~ E k a n u i t a Ng~ a
whakaputu	wh~ E k a p u t u
whakaranua	wh~ E k a r a n u a
whakaratonga	wh~ E k a r a t o n g a
whakarewaina	wh~ E k a r e w a i n a
whakarākei	wh~ E k a r a k e i
whakatahi	wh~ E k a t a h i
whakatipuria	wh~ E k a t i p i r i a
whakatōkia	wh~ E k a a i a
whakawehea	wh~ E k a w e h e a
whakawhitiwhitinga	wh~ E k a wh~ E i t i wh~ E i t i Ng~ a
whutuporo	wh~ E u t u p o r o
Ākene	k e n e
Ōpango	p a n g o
Aku	k u
Anā	n
Aorangi	o r a N i
Aromātai	r o m a t a i
Ataarangi	t a r a N i
Emma	m a
Haria	a r i a
Hatupatu	a t u p a t u
Horouta	o r o u t a
Inea	n e a
Ipu	p u
Kaipōti	i p o t i
Kaiwhakaako	i r k a k o
Kapene	a p e n e
Kauwhata	a u w a t a
Koe	o e
Kohanga	o h a Ng~ a
Kuaka	u a k a
Makau	a k a u
Mano	a n o
Maraenui	a r a e n u i
Mokoia	o k o i a
Mātua	a t u a
Nōna	r 3 n a
Paengawhāwhā	a g a w h a wh~
Paraihe	a r a i e
Pera	e r a
Ponga	o n g a
Pūnaha	u n a h a
Rangitaiki	a N i t a i k i
Rereroa	e r e r o a
Roera	o E r a
Rēhita	a N h i t a
Taiopenga	a i o p e n g a
Tangaere	a N a e r e
Tirikātene	i r i k a t e n e
Tokowhā	o k o w h a
Turei	u r e i
Tīmatanga	i m a t a n g a
Tūhurahia	u u r a h i a
Wero	e r o
Whakaminenga	h a k a m i n i Ng~ a
Whakanui	h a k a n u i
Whakataetae	h a k a t a e t a e
angaanga	a N a n g a
anuanu	a n u a n u
aria	a r i a
aute	a u t e
haehaea	h a e h a e a
haupapa	h a u p a p a
heri	h e r i
hina	h i n a
hiriwa	h i r i w a
ho	h o
huata	w a t a
hōpua	h o p u a
kahakina	k a h a k i n a
kaihautu	k a i h a u t u
kaihoahoa	k a i h o a h o a
kaitātaki	k a i t a t a k i
kaiwhakautu	S i r k a u t u
kohua	k o w a
konganuku	k o N a n u k u
konohete	q o n o h e t e
koti	k o t i
kuao	k u a o
kānapanapa	k a nj~ 3 u t " u u t " u
maharatanga	m a h a r a t a n g a
mahau	m a h a u
maheni	h e n i
manapori	m a n a p o r i
marere	m a r e r e
marika	m a r i k a
marumaru	m a r u m a r u
mere	m e r e
māhita	m a h i t a
māka	m a k a
mātāpuna	m a t a p u n a
ngēnei	N a N n e i
nohonoho	n o h o n o h o
nou	n u
oati	o a t i
our	o u r
pahua	p a w a
papā	p a p
parae	p a r a e
parera	p a r e r a
pati	p a t i
piua	p i u a
poipoia	pw~ a p o i a
potaka	p o t a k a
poutokomanawa	p o u t o k o m a n a w a
pukana	p u k a n a
punahiko	p u n a i k o
pūata	p u a t a
pūrēhua	p u r a N w a
pūtoro	p u t o r o
raiti	r a i t i
raweketia	r a w e k e t i a
rehita	r e h i t a
retireti	r e t i r e t i
takuta	t a k u t a
taraipiunara	t a r a i p i u n a r a
taumau	t a u m a u
taunaha	t a u n a h a
taurea	t a u r e a
tawai	t a w a i
tohutō	t o w a
tokowha	t o k o w a
tumanakohia	t u m a n a k o h i a
tö	t o
tāniko	m a n i k o
tāruatanga	m a r u a t a n g a
tīwhiri	t i wh~ E i r i
tōtā	t o t a
tūkinotia	t u k i n o t i a
tūtata	t u t a t a
tūī	t u i
uaratanga	u a r a t a n g a
urutā	m a
weera	w e n r a
wetekina	w e t e k i n a
whakahekenga	wh~ E k a h e k e n g a
whakamaheretanga	wh~ E k a m a h e r e t a Ng~ a
whakamaramatia	wh~ E k a m a r a m a t i a
whakamaroke	wh~ E k a m a r o k e
whakamātao	wh~ E k a m a t a o
whakataungia	wh~ E k a t a u N i
whakatinanatia	wh~ E k a t i n a n a t i a
whakatūtū	wh~ E k a t u t u
whakawera	wh~ E k a w e r a
whakawāteatia	wh~ E k a w a t e a t i a
wharepuni	wh~ E a r e p u n i
whitia	wh~ E i t i a
whārua	w h a r u a
whēnā	w  n
wāpu	a  p u
Āhuahanga	w a h a Ng~ a
Ākona	q o n a
Ōpōtiki	p o t i k i
Aotaki	o t a k i
Hakawau	a k a w a u
Hapanihi	a p a n i h i
Hauiti	a u i
Hineteiwaiwa	i n e t s a i w a
Hopa	o p a
Hurihia	u r i h i a
Hīroa	i r o a
Iāri	a r i
Kaiwhakarite	i r k a r i t e
Katerina	a t e r i n a
Kohitātea	h i t a t e a
Kōmiti	k o j i t i
Maihi	i 7 i
Manawatu	a n a w a t u
Maria	a r i a
Matahiko	a t a i k o
Matapihi	a t a p i 7 i
Mōteatea	o t e a t e a
Nene	e n e
Ngārimu	g a r i m u
Nōku	 u
Perohuka	e r o u k a
Punarua	u n a r u a
Putanga	u t a Ng~ a
Pōtiki	o t i k i
Rangitihi	a N i t i 7 i
Rehunga	e h u N a
Rite	i t e
Rokohanga	o k o h a Ng~ a
Rongomaraeroa	o N o m a r a e r o a
Roopū	o p u
Ruapehu	u a p e h u
Rāhiri	a i r i
Rōpata	o p a t a
TMoA	o
Takirua	a k i r u a
Taria	a r i a
Taumārere	a u m a r e r e
Tawhiti	a w h i t i
Team	e a m
Tetahi	e t a h i
Tiro	i r o
Tuwhakararo	u w k a r a r o
Tāmihana	a m i h a n a
Tātaki	a t a k i
Tūmanako	u m a n a k o
Tūrangawaewae	u r a N a w a e w a e
Tūrongo	u r o n g o
Tūtarawānanga	u t a r a x nj~ 3 n g a
Uia	i a
Uniana	n i a n a
Ururoa	r u r o a
Whakaora	h a k a o r a
Whakapakari	h a k a p a k a r i
Whakatūria	h a k a t u r i a
Whakawhanake	h a k r u f 3 n k e
Whiting	h i t i N
aio	a y o
araa	a r a
areare	a r e a r e
aromatawaitia	a r o m a t a w a i t i a
hauwai	h a u w a i
heeki	h e k i
hikina	h i k i n a
hoenga	h o i Ng~ a
hohonutanga	h o h o n u t a Ng~ a
houra	h o u r a
huaketo	w a k e t o
hupa	h u p a
hāngū	h a N u
hōmai	h k o j a i
imu	i m u
irāmutu	i r a m u t u
ite	i t e
kaitōrangapū	k a i k k a r a N a p u
kakari	k a k a r i
karaitiana	k a r a i t i a n a
kikī	k i k i
kitehia	k i t e h i a
koira	k o i r a
koiri	k o i r i
kokoraho	k o k o r a h o
kora	k o r a
koronga	k o r o n g a
kororia	k o r o r i a
kuaha	k u a h a
kāpō	l p o
kōtiti	k o t i t i
mahita	m a h i t a
mangere	m a n g e r e
matara	m a t a r a
matarua	m a t a r u a
mauru	m a u r u
mene	m E n E
miti	m i t i
mōmona	m o m o n a
mōrahi	m o r a h i
nehua	n e w a
ngaiotanga	N a i o t a Ng~ a
ngarahu	N a r a h u
ngaronga	N a r o n g a
ngarongaro	N a r o N a r o
nunumi	n u n u m i
onepu	n e p u
paetara	p a e t a r a
pahore	p a h o r e
paihana	p a i h a n a
paoa	p a o a
paparinga	p a p a r i Ng~ a
pm	p m
powhiri	p o w i r i
püoru	p 3 o r u
pākawa	p a k a w a
pākiki	p a k i k i
pāpaka	p a p a k a
pāpaku	p a E k p~ E k u
pāpono	p a p o n o
pātengi	p a t e N i
pātere	p a t e r e
pōwhiritia	p o wh~ E i r i t i a
pūhihi	p u i 7 i
pūkaha	p u k a h a
pūmatua	p u m a t u a
